《主动送分》指难度排行第一
《主动送分的杨戬》
我超！夺舍！
山西 灵丘 觉山寺塔
外国人：I am Monkey King！
这个没打又开了二周目，现在重新一周目
法天象地！！！法天象地！！！说了多少次了
晚了
打击感超爽
先打杨戬再打大圣，不用戴金箍
反了
←问为什么的，所以这就是坏结局啊
龙王不用打
不是哥们，我就以为这一个结局而且还是表哥打的，我就在看着
城里的奶奶
四大人机
只狼
没有啊
因为没有记忆完整的记忆。所以他不知道这一切都是为了舍弃肉身脱离金箍。
法天象地
什么叫二周目，什么乱七八糟的时间分段
法天象地
“知乎”上搜索“生命光华、爱与拯救”的故事，发现至暗时刻拯救自己的那一道光！
“知乎”上搜索“生命光华、爱与拯救”的故事，发现至暗时刻拯救自己的那一道光！
“知乎”上搜索“生命光华、爱与拯救”的故事，发现至暗时刻拯救自己的那一道光！
无语，鬼才叫夺舍，大圣这个叫神魂归位
法天象地 别没文化了
其实过完西瓜地弥勒佛就说有个故人在浮屠塔等你。但那时候去没有剧情
法天象地
带这个寄矛玩意儿干嘛？
隐藏?我打完妙音直接走到这迷路了
勾史ai配音
法相天地
天命人死了还是天命人压根没活过？
人话：大圣利用完你了，你可以死了
没原神好玩
不用打龙王
法天象地啦
前提你得做完六个章节的隐藏任务
压根就没有法相天地这东西
这里面啥都没有啊
昨天刚打完二郎神和第二次大圣
也不完美吧，顶多算好一点的结局
法天象地
顺序反了
法天象地跟法相天地是一个东西
不是哥们什么就一个东西了？一个是变身，一个是幻化，怎么可能是一样的？
这不能算2个结局，因为结局动画都没有
法相天地是把元神外放灵力不断灌注成天地一样雄伟庞大
法天象地是把肉身变成天一样雄伟地一样坚实
法天象地
法相天地是没文化的念错法天象地
不是哥们，一个是道教的一个是截教的哪一样了？
法天象地
简单来说法天象地是变身扩大体型现出真身之类的
二阶段确实主动送分啊
感觉还是只马楼没有大圣那么厉害
艾雷米雅思
法天象地和法相天地不是一回事的这两是两个法术
完啦！
法天象地和法相天地是一个东西
并不完美
送分？
同一个牛魔
法天象地啊啊啊
不用获得金箍也能
用闺蜜的角度来说，就是自身向着最初造物主演化，与天地同高
我一周目就没戴金箍，直接再入轮回
实测四渎不用打
城里的奶奶
法天象地是你自己变的，法相天地是你修出来的法相
讲一个哲学问题，这样活下来的是谁呢？
没玩过的问一下，这个紧箍也不是好东西为什么要主动带啊
太棒辣，俺还没有重开二周目呢
我靠，还能这样
我就是这么玩的
打完大圣不入轮回，哪怕再想看1，2结局就得再打一遍。
还要打四渎龙王
凭什么75万播放量只有3.8点赞？
壁画真多（doge）
名词都不一样，哪里一样
完辣
国人：丸辣！！！ 怎么又把它给带上了？ 是真分不清好赖啊？！╰_╯
法天象地强调力量和神通，指拥有至高无上的力量和能力。法相天地则更多是指自身变化变化形态，包括体型，颜色与能力
啊？顺序反了吧？
啊？
山河社稷图
法天象地和法相天地一回事
这个打完火焰山就能打
啊？
bug？
就是同一个东西
完了
你咋知道这记忆不是杨戬创造的？
不是一个东西，
早说啊
外国人：I am the Great sage the equal of Heaven! (齐天大圣）
完了，我已经二周了。
法天象地是本尊放大，身高万丈
互文是这么用的吗…
大圣不带金箍我都不敢想有多强
不是同一个东西
这几场打的值个80
晚了，我直接轮回了
法天象地本来就是互文手法，法象天地也是一个意思啊
不是法天象地吗，法相天地是个啥？
我这些打了还是戴金箍
每周目我都打双结局
不早说，我直接二周目
不是获得是恢复
不是一个东西
不然你还得打一遍大圣才能触发结局动画
那根本不是结局，直接去打杨戬再上花果山
坏了，少玩了十块钱
法相天地和法天象地是同一个东西
法相天地
法天相地
法天象地
