黄风岭八百里，一群耗子起连狙～～
你觉得为什么第二章开幕小猴子是刺猬.jpg
游科：主打的就是一个听劝（狗头）
冯骥：我塞了
《内幕》
我不是从这里过的哈哈
禁字诀大佬
掌灯狱使：优秀的脱敌满状态机制doge
身外身，你值得拥有
小西天肘击王
可是这灯笼怪出现也是因为魔音
这个隐身被瞄太真实了，盘丝洞狙神
他还是个怪猎玩家
还是忘不了彩六以及赛马娘
狸头五！在黄风岭一个没人知道的地窖里.jpg
在现场 鸟妈妈玩ps欧了 pc非了
缪缪
隔壁石先锋滑沙下去也能拿到身外身法，再回来打就轻松多了
不吃人又没说不吃猴
小西天近防炮
当时就差一点就初见杀了，结果他来了个飞天大草，我无了
王城双弓
戳棍总行了吧
黄风岭～八百里～曾是关外富饶地～
一阵强劲的bgm响起（
浮屠街杀出的威名
知道黄风岭开头为啥成刺猬了吧
我当时以为这里的雷电是boss的技能。。。
看出来了 但大圣逗你玩打替身
黄风岭～八百里～满地耗子架大狙
只要合理清图，用狐狸躲避仇恨，这根本构不成威胁
盲僧单杀猴子
来不及了，就石双双吧
小馋猫
大经验包~
黄风岭，八百里，全是火焰加特林
家里插几个磁暴线圈守家也正常
红温了
死亡细胞：黑神话也有属于自己的拳皇了
西奈沙漠的戈壁（
《正常》
呃，扣血条是上面魔将妙音的原因···
我称之为“集美”
初音()
这位更是大圣
但该说不说，大嫂真的可以啊
秘密花园
月 下 三 兄 贵
《瘟疫之源——图奇》
冯骥上学路上被突然飞出来的足球砸脸
盾戳，无法战胜的！
学宫崎英高学的（
正确的，这b怪仇恨范围巨远
史中之史，谢中之谢
黄风岭第一滋绷高手
嗨嗨嗨，来了啊！
还有高手？
他还是忘不掉怪猎
物理教授黄眉
笑死我了
窝心脚来喽
还有鸭子坐
闪避键坏了.jpg
鸟妈妈生了，虽然不是传统系列但是是只吗喽
独木桥上的蜘蛛蛋。
与石头人进行吉列的豆蒸
黄风谷的土龙也这样 冲锋过头了就回去刷新 我原地蓄3豆去等他出来重新打。。
@弓手冬郎
豆！蒸！
这里如果一直盯着浮屠界的传经筒看是不会扣血量上限的
什么都玉只会害了你（）
我玩禁字诀的，两个重批掉盾牌，一套带走，没见过这么多技能
这玩意一周目我打满了七个，一只还手的都没有啊，起手三豆劈棍，趁他硬直正好上一套轻击送走
多么吉列的豆蒸！
妙音的魔音
这个不是经验怪嘛
这是讲黑神话的UP主里唯一一个让我笑出眼泪的。
吉列的豆蒸
王座的小曲
火焰山开始明显怪物水平急速下降，几乎都是前几关的换皮，新的怪物几乎没有
叫你不用禁字法，哦还没学呢，哈哈哈哈哈二周目我开禁字法都是要蓄满先偷袭的
哈哈，真实了。我就打了一个，后面的有多远躲多远。别说我菜，我无伤寅虎小黄龙。只是不想浪费时间研究小怪的出招
初见是有点搞人，熟悉了甚至欣喜
挂点燃啊，然后元素反应
这个你拿棍花打的话，他根本不会还手直到盾破
不许你说双双！
你猜为啥第二章开头猴子身上全是箭
主要是被冰冻太烦
瞎子是戳棍识破的老师，无限识破
整个火焰山都死在这条路上了，碧水金睛兽都没死那么多次
这怪用劈棍跑蓄力敲，一下一个
飞蝠大圣跟你闹着玩的？
谁家大象
唉，猿劈是这样的
疯狂按索敌
应该排第一
我玩棍花的，打他都不还手
出生啊 出生
居然是 小兵
啊着
这个你不懂他就不懂，你站在原地蓄力，它等你蓄完吃满
快活快活快活～
最烦这个玩意了
可以找它转脖子的时候凑上去
看不到人劈棍蓄力一两棍就死了
这个是真出生
二叔祖你皮鼓中了一箭
肉厚的不行
白枭，梁挺？！
真出生登场
折磨牛牛
盲僧最好打的
沪僧传奇
这俩货 盾冲之后要起跳再盾牌砸地 这时候前滚 就可以闪背 然后只要位置不太差几乎可以全套伤害都打肉上
不会提前锁敌吗。。。。
关节炎
这？你是怎么敢带禁字决的？
我是因为他掉玲珑内丹打了好久
黑神话 大狙
火焰山还有
我一直在找这个灯笼鬼怪，特好打给的也多
广智不让用
草猴借箭
从暗处渐渐
畜 阴 未 来
我就是这样 哈哈哈哈
葫芦娃爷爷
主要是这游戏雷不是麻痹而是脆弱
海上僧被初见杀了
为啥不用劈棍，见面三蓄劈棍一套普攻就是一个
哈哈哈，盾戳流
经典三鼠杀猴阵 五鼬屠圣阵
那两个拿大盾的怪也不吃隐身
猴劈闹麻了
那个长翅膀拿芭蕉扇的b呢。我最讨厌那玩意
这玩意我遇到都是群殴之
