专业呀
哈哈哈好鬼畜
全栈师傅
不可能是个每周四有的，要有天天有，没有就一直没有，这是为了照顾绵羊才安排的
这是西南F4版红烧肉
橘子洲头待遇
看到这儿真的。。。难受 加油 一切都会好的 你们都是最棒的宝宝！
大锅饭和家常菜还是完全不一样的
冷知识:绵羊是第一个看完的
可算找到人念稿了哈哈哈哈
说的很对，不能为了炫技而牺牲最重要的功能性
这小伙子将来必成大器
铲子的发力点要离铲子头很近，这样拿法很费力而且翻不动
本以为去这些城市是为了去玩，没想到是为了见自己的亲人。是我肤浅了  泪目～
我做的！！！鱼香肉丝我做的
烟花易逝，人情长存
大盘鸡版红烧肉
非常符合食堂的调性，从来没在食堂吃到过任何大块的肉，哈哈哈
其实是大人的口味，小孩接受度可比大人们广多了，不应该限制孩子
我有捐钱！（自豪）
等等，这个手势，是说明绵羊还得练（doge）
厨子不偷五谷不收
人话，八斤
第二套方案，拖课拖到菜做好
哇哦内行
大西北吃咸口捏
绵羊戴上口罩好像王鸥
就在这时，主厨扛着音响走了过来
这下真的成绵羊阿姨了Doge
开使呤唱
小锅和大锅饭做法差别太大了
《帮厨的帮厨》
好纯正的鬼畜
我们全家人平安健康！！！！！！11月我雅思成绩全部考到6分！！！！！！谢谢！！！！！！！！！！！！
本北方人刚来南方吃到甜口的菜真的是要呕的程度，根本吃不下去，所以还是按平时的口味保险
这么困难 我选择不生
年度淡斑精华！
女士大义！
烟花易逝，人情长存
专升本上岸！
家里人身体健康！！
心想事成！平安顺遂，愿世上好人遍地有，坏人都消失！
所以都说了:厨师是个力气活！
考研上岸！
怀上我的健康宝宝！！！！
呐，这就叫专业
红烧肉当然要甜口的了
我做的！！！！
上600分
上岸
升本上岸
谢谢大姨！
兰州嘛，肯定是咸口
都要
大家都一切顺利！心想事成！
看好了小子，硬币是这样用的
不是，我还以为他们真的想去，结果是相见自己的亲人
希望26年的我能顺利毕业！
东北甜口
泪目了
为什么我的眼里常含泪水
我哭死
万事胜意
家人健康平安
泪目了啊啊啊
前面的，是八十斤啊
上岸！
顺顺利利
感谢你们做这个红烧肉哈，我还没玩这个游戏，我不知道有这个
好
请收下我的膝盖
直接2币奉上
上岸天大
这才是好校长
爱情发财
考研上岸！
乐乐要上岸！
家人身体健康
上岸上岸
法考过！！
大义
看哭了，真的是哭了T﹏T
考研上岸
诶呀 午休呢！哭了下午咋上班啊！！！
孩子们，祝你们以后的人生比这烟花还要绚烂！
上岸上岸
25考研上岸！！
酒泉人哭了
小破游你出息了！！！！
兰州人震惊 绵羊好棒
考研上岸
教资上岸
许愿：顺利入职西安一家好公司，涨薪
祝好
祝我上岸！
维语
上岸
那是四点五十分
我帮厨的帮厨，不是我的帮厨
火工头陀
洗碗
上岸北航
考研上岸
这种活动真的好好
有前途小姑娘
不加水炖？炒熟的红烧肉？
是小炒肉嘛
已三连
这个可以不辍学 戳到我了。
25考研上岸
有点感动
桃园深处有人家？
三连～
