难怪八戒二战二阶段会变鱼，原来是这里的鲶鱼
原著里王灵官可以跟全盛时期的猴子打的55开
黑。神话----悟空篇
阎王:是谁在往地府打钱
这是一条成熟的产业链，还是天庭会玩
只猪蜘蛛，钉耙蛛丝，两爱相欢，男耕女织
卯日星官是拳头大小的鸡仔？
戌狗：逆炼丹药
说到鹤的话，多半是天庭的白手套，那应该是白鹤童子。同时杂糅了太上老君这边。等于一个天庭道教的代理人
百回本原著里卯日鸡没有上报情况，直接下界帮师徒四人，黑神话里昆仑那边直接拿这个细节当把柄，害死了卯日鸡
有一说是玉帝
白龙：师兄，我也有眼
影神图说了新鸡原在披香殿，鹤真人引领他入职星宿还有对话
寡妇cosplay爱好者
我懂了，这些事蛊师
取走了一颗莲子，还了你一颗珠子
这里有一个细节莲子取出来的时候是满的，但到玩家手里的时候是少一个的
变纯爱战士了
波里个波：食物链，小子
临危不乱（
可能是姐姐们的女儿，当初过盘丝岭时还没孵化出来后来就自己养了
想想你的天上金丹是怎么来的就明白了
沙僧：你为何不打死他们
为什么和八戒生的是最小的？不合理
太上老君抓到大圣说了什么，把这个泼猴练成仙丹
法力修为？业绩！
顺序讲的太乱了，打紫蛛儿时四妹还没被捉
团藏
毗蓝婆菩萨是罗刹族的 所以被杀了佛祖那边也不会出头
这里不太对啊 你不打过紫珠儿 怎么见到王灵官和鹤仙人 故事线都乱了
那厮是玉帝老儿
野马跳涧！
道诡异仙
羊不是四只脚吗？
细节：老二战到最后，老五率先退场
不可能是二十八宿的人了，已经说了就走了卯日鸡和亢金龙
听说这里是男演员替身
对面就有个九转还魂丹，两个都被我拿走了。对不起二叔
西王母原本是凶神
盗墓笔记
黑神话故事里就盘了一个，影神图里写了认出一个后盘了
说不是一个的，起码西游记里面就是一个。不接受设定可以出去
去看鹤仙人的影神图
你拿定颜珠，二师兄拿你一颗莲子，不过分吧（doge）
其实是七仙姑
讲的好，请收下收下小币两枚！
删减了四妹很多对话 感觉四妹和天命人的故事延续或者说前传故事要放到DLC中了
盗墓笔记？长生
白毛是最强的
异形点了个赞
膏巢了
天命人：我没意见
原著就是猴子跟王灵官战平，然后雷将来了把孙猴子一围，王灵官就跑边儿看戏去了。
虫！豸！
王母是瑶池
注意到了 但是不知道伏笔是啥
黑神话阴谋论啥不能参与
说洛神的，你好好想想为啥叫洛神
王母和玉帝并不是夫妻关系，她只是女仙之首
？？？怎么就成了新的卯日星官了呢？？？
啊？这绣花针还能这么用？我硬打过去的
老坤婆
怎么就纯爱战士了 我没想到的 云玩儿
可是黄花观不是已经被猴哥烧没了吗
