这演技确实值得奥斯卡最佳女配
奇异博士买黑豹
这个电影告诉我们不要喝酒
哈基美的爱人能力发力了
他还是那么爱拉小提琴
给他喝水已经很好了，人家都要在保全自己的前提下，才能够帮助别人。
这几个人对农场主的私产有处分权吗？
forgive me是两个字（doge
善恶与肤色无关，在于人性。
阳光彩虹小白马（doge）
是得多绝望啊
奇异博士祖上还真是农场主
没有错，不管是当奴隶也好当牲畜也罢，不能自暴自弃，时机到来前要活着
接着奏乐，接着舞
押韵！！！！！
悲痛是为了释放情绪  如果一直沉浸其中  那就没救了
哈哈，真是皮特
卷福祖上就是当农场主的
这是真实事件改编的哦
《报仇丰厚》
善良的人可不会成为农场主
倒反天罡
唉，祥林嫂
奇异博士来买内个了
阔内哇  机油达！
万磁王饿得不轻
来广东一抓一大堆
确实善良的人不会成为农场主，同样愿意往上的人注定不会成为黑奴。
真不挑啊
有一种叫做撕心裂肺的汤~
真实事件改编，除了这句话是真的，其他的改成什么样你我也不知道
标准的美国西部腔调
奇异博士也干了
莫度
斯特兰奇也干了
天外来客
细节泥水干了
大表哥2？大表哥2的是1899年黑人早解放了
每一个种族，如果不能反抗，那么只能被销毁。
集美发动爱人能力了
怪不得奇异博士的师兄要叛变
是细腻啊，莫过
只会在那哭泣 有什么用 还觉得自己很高尚  你奋勇反抗 死了都是有尊严的。
都是老熟人啊
木头浸水不会有影响么？起码会变重吧
制度的重要性。而不是人性
白人之间 雇主和监工是相对平等的，监工杀了一个黑奴只要赔钱即可
这不就是咱们世纪初的人口贩卖么
不是解雇的问题，故意毁坏贵重资产，这工头倾家荡产也赔不起，肯定会被送去监狱的
前面的有没有看电影  开始那个女黑奴只是一起被出售不是他的妻儿
what?
美恐 常驻阿
你看糊涂了
现实是女的肯定不可能天天哭 她们早就习惯了  唉
奇异博士也要内哥干活吗
经典把自己老公的一切当成自己的
这里好像大表哥里面的沼泽啊
勇敢的木
她失去了两个孩子啊！！！为什么那么凶她，
爽！
人机工头
好好好
那能怎么办？？
错的是这个阶级，是这个世界
那买这个女的来干嘛，一直哭
你猜猜她带走一个白人，农场黑人能活几个？
刚砍得树，全都能浮起来吗？
这个口味不是一般人能理解的
这个口味重啊
林肯上大分
香蕉姐！
裴淳华？
没毛那当然细腻
你这跟白种人说的种族论有什么区别，不知道黄皮肤也是被歧视的吗
法鲨
这就是为啥黑人愿意来中国
好家伙还真是群星荟萃
来中国做女主播，只需要有手机就行，还能提高就业率。
卷福
让我想起缅甸了
亚伯拉罕 林肯
夏洛克
那是缅北！
上线返送100抽。
骨头打出来了 ?
go  work！！！！
go  word
这是黑豹好不好？不过他好像已经去世了
又菜又爱玩
优秀+白人又成救世主了是吧
农场主+，善良……呵呵
全是帅哥
确实像普莱斯
冰海战记
冷知识:本尼祖上真是农场主
祥林嫂。。。
没有垫肩？
人人生来平等
黑寡妇
钢铁侠
你要考研吗‘
死都不怕，还怕反抗么
冷知识:现实中卷福祖先就是干这个的
光彩虹，小白马，滴滴答滴滴答~
搏击俱乐部？
美国恐怖故事的双头女
很像大表哥2的亚瑟啊
亚瑟摩根
《报仇》
非常感人的好电影，关于得奥斯卡奖应该跟黑雪公主黑美人鱼同一密码锁
Go back to work !
你这样显得我很呆耶
牙少的吃饭少而且不咬人
啊，看到这才发现看过
白人罪恶滔天
有个成语叫卧薪尝胆
休息时间团建哈哈哈哈哈！谁是奴隶！
自杀 不如跟他干
那个儿
KPI
这老娘们太真实了
自由
汤姆叔叔的小屋
我学会了，我这就试试
拜托你就不能给他付个工钱让他跑吗？
勇敢的木
邀请的钱还有被卖身的钱被两个白人平分了
只蜡烛能不能去司
我还以为女主人离开了
就。？
黑 神 话
正比，你给的多了所有人都对你有良心
嫉妒使人面目全非
必須挑黃色的
好像缅北诈骗啊
这是征服者康
你拿偷的东西去给人家不是害人嘛，到时候被发现了又吃不了兜着走
黑不溜秋的真不挑食啊
很明显 不是
不要喝大酒，不要单独去夜店，不要跟陌生人喝酒，不要yp，小心腰子
木头刚砍下来难道没有水分?
他的妻子和他在被拐之前就有几个孩子好吧
那为什么没人要
之前白人揭发的那段剪了？
布拉德皮特
好押韵啊！
犹太人：这个我熟
牙医也会看牙口
人寿
美国潘宏
前面那个不是他的妻子
这是北方工业跟南方种植业抢劳动力，北方工业工作也是全年无休很多工作比南方种植园更苦更累也没什么自由，南北没区别，北方赢是因为工业造武器更厉害
黑人没被屠杀是因为默认所有黑人都是奴隶，跑了就会被抓成别人的奴隶，所有没被屠杀待遇反而比印第安人好
印第安人被屠杀而不是当奴隶是因为有地方可以跑，索性杀光
缅北
那个年代怎么用，给你做成卤煮吗？
他老师一定是大英王子
绿巨人
不是吗
我去看了大张伟老师2024美国巡演
不洗澡 王磁万也能上？
经典大表哥南方口音
你猜刚砍下的木头里有没有水分？
关键词：马戏团
是俩字 扫瑞
为啥不带走一个
哎，如此罪恶
骨子的罪恶
但是以他们高高在上的姿态，会上黑奴有点怪
可笑的国家
前面说善良的真是个人才
6
什么雷神，这是布拉德皮特
西蒙斯
这不是哈利波特里那个吗
奴隶都有休息日？我几年前的工作都没有
看分解的样子是做燃料不是做建材，质量无所谓的
黄种人才是
这还真是皮特
太虚了才会这辈子没生过病。
那时候哪有这技术
－
真够善良的，人刚死还有器官可以利用啊
第三遍了，我都不大记得有些细节了
想买两个农具
为奴12年
魔阵种族主义者，生津
前面弹幕有过什么艰难经历吗
难怪莫度对奇异博士这么有敌意
汤姆叔叔？
专业对口
奇异博士
反正善良的人不该被这么对待，不管什么皮肤，邪恶之人也必须受到最残酷的惩罚
前面怎么看的
难怪老把自由挂嘴边，这是干过为数不多的好事
阳光彩虹小白马～～滴滴滴滴滴答
被买时那女的不是他老婆
好像cod的普莱斯啊
开头那女奴不是他老婆
真理
slave
越看越像拐卖村......
知道了
阳光彩虹小白马
几块钱都貴了
善良的农场主不会有好下场
太惨了
马上要打南北战争了
接着奏乐接着舞
、
皮特
缅北直呼祖师爷
444444444444
细腻认真的？
确实是它们上帝教的
杰瑞～
上线就送100抽
go work
香蕉姐
“活下去”
真服了说饿了的♂的可不可以四一四
经典美化咯
老本行
美国经典电影
滴，滴滴，滴，滴答
劝别人死或者支持他人的自杀才是真正的可恶，三观怎么长得
大部分黑子我感觉跟犹太人人一样ex
感觉剧情跟冰海战记有点像
活着才能找到孩子啊，光哭就能一家团聚吗
没有希望不叫忍耐，那只是煎熬，是无尽的黑暗。
成都魅龙
嫁祸吗？有没有可能是真事儿
是开头那个哭泣的女人孩子才被卖了
关了灯还行，黑人皮肤是最细腻的
最后的浪漫
这是那个设计无限电池的天才
他一开始是一个人来的，一开始那个女的不是她妻子
应该是他的孙子
为奴十二载
回更好
1
他的妻子孩子不是被分别卖到不同的地方了吗
失踪了10年多了，妻子再婚也不能怪她吧
莫度法师附体
还是以前好，出生是出生，人是人
估计是富二代继承的农村吧
婴儿是谁的？
你给你给你给你给你
这下看懂了
法鲨
奇异博士也干了
6
为奴十二载
我的不想回评论了，砍树，砍得活的树，树含有水分。要晒干加工的，又不是家具，哪来的泡水一说
好称冯，任何人都是一个完整独立有自主权利的人格
这个妆和特效做的真好
又是洽当的比喻
确切的比喻
i drive
未尝她人的苦，又何必求她人活着
这房子和大表哥2上的一模一样
我咧个押韵啊
这房子不小啊，比大学生，外出务工的都大
上千块啊，几个监工上一年班也挣不到啊
潘宏园区
美恐系列女主之一
他好像普希金
这样的影片烂梗人也来看啊
那个年头黑人能上桌？
棉花采摘机上线
【林肯毁了我的农场主梦】doge
这是他老婆？
阿 好可怜
黑人版肖申克的救赎？
大表哥2里面也有这样的场景
卷福啊，挺有气质的
奴隶制的废除是人类文明的进步
forgive with me
;
看着都疼
木头泡水了不会影响质量吗
看来喝酒真的误事
10年发质没变，肤质没变
你这会害死他的
我国不分肤色，又分肤色
裸女
旁边还抖
哈哈哈有自知之明
资本家残害是这样的
笑死我啦这个看鲨臂的眼神
哈哈哈
这个比喻很恰当，班主任在学校里就是天，想怎么羞辱，殴打你，就这么羞辱殴打你。
倒反天差
现在的大夏也是这样，换了个名字叫劳务派遣外包
斯特兰奇
？这是成反比吧
你还提上建议了
看看牙损
这也能下得去吊？我宁愿靠双手
你不是狗就证明自己啊，
伐伐伐木工
早期诈骗
还真是两个字
必然的，不然要是福特解雇他们不一定有人雇他们了
其实当时并不是变态心理而是刚开始舍不得抽，然后夫人拱火了几句就上头了
勇敢的木来
up你在说出这些话的时候依然在以肤色定性
不辣的皮特
真叫皮特呗
自己要堕落，还去践踏别人的信仰
皮特监制的影片
皮特
广州:？？？？
奥斯卡最佳女配奖
正义皮特！！！
就这都下得去手。。。。
说得好
幻兽帕鲁
