标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
花十万元改造了一家40年的两元面馆。面馆老板只为赶集老百姓能吃到一碗实在的面，我也想让他们吃到一碗更幸福的面。,superB太,https://www.bilibili.com/video/BV1sBpae2EMi,247.1万,6386,-,38.7万,19.2万,38.7万,5328,"['美食', '美食侦探', '街头美食', '老板', '探店']",2024-09-08 12:58:00
《崩坏：星穹铁道》飞霄角色PV——「君莫笑」  ‌,崩坏星穹铁道,https://www.bilibili.com/video/BV1s2pBevEoN,358.6万,1.7万,"「即日起，罗浮各店暂停提供酒水服务。」
「发生什么事了？」
「嘘，将军口谕：狼来了。」

中文CV：
飞霄——叶知秋
景元——孙晔
 
日文CV：
飞霄——小松未可子
景元——小野大辅
 
韩文CV：
飞霄——손정민
景元——류승곤",27.7万,11.3万,27.7万,4.2万,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-09 12:00:00
谁是海难吸铁石？【硬核狠人70】,小约翰可汗,https://www.bilibili.com/video/BV1kepjePEPz,176.7万,1.9万,本篇为硬核狠人之查尔斯·赫伯特·莱托勒。,16.6万,10.1万,16.6万,5814,"['人文历史档案馆', '知识', '人文历史', '历史', '人文', '泰坦尼克号', '英国', '知识', '航海', '世界史', '敦刻尔克', '狠人']",2024-09-10 11:00:00
享饮,文武俩兄弟,https://www.bilibili.com/video/BV1YSpqeyEoe,123.2万,3278,-,22.8万,4.3万,22.8万,5653,"['生活这件小事', '生活', '日常', '酒', '文喝武喝', '擦大哥', '极饮者', '八饮', '寡人', '记录', '喝酒', '生活万花筒14.0-给生活的planB']",2024-09-08 20:25:07
我爸被撞没死掉，真有后福，有给钱的，还有给安排新车的,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1qZHDeQEEX,423.3万,9987,Not Found,54.0万,8.8万,54.0万,3404,"['了不起的新农人', '生活', '三农', '途岳新锐', '上汽大众', '小青年大丰收']",2024-09-07 17:00:00
是时候玩点好的｜《三角洲行动》9月26日正式上线PC及移动端！,三角洲行动,https://www.bilibili.com/video/BV1Shppe8EaZ,464.8万,4307,"是时候玩一点好画面、好玩法、好体验、好手感、好刺激、好热血、好细节、好有趣、好带感……
真国产自研，来自琳琅天上：2024年9月26日，是时候，玩点好的了！",12.9万,4860,12.9万,1.5万,"['游戏', '网络游戏', 'FPS', '射击游戏', '三角洲行动', '三角洲行动定档9月26日', '是时候玩点好的']",2024-09-10 10:00:00
军训辛苦了！来集脱缰凯！,脱缰凯Kk,https://www.bilibili.com/video/BV1hQpvevEL2,154.4万,3652,-,20.8万,1.1万,20.8万,2929,"['影视', '小剧场', '作业', '校园', '剧情', '原创', '短片', '写作业', '学生', '大学生']",2024-09-08 17:51:01
【年度巨制】琪计划：出击【2024崩坏3同人大电影】,特效小哥studio,https://www.bilibili.com/video/BV1UxpEe7Ej3,92.1万,1.3万,"琪亚娜！出击！
祝崩坏3八周年生日快乐！",11.0万,8.6万,11.0万,1.7万,"['崩坏3周年环游记', '游戏', '手机游戏', '手机游戏', '琪亚娜', '游戏', '崩坏3', '崩坏3同人大电影', '孑遗千星', '崩坏3八周年庆典', '感动', '薇塔']",2024-09-10 12:00:00
【超人杯】当五个C+对战三个魔王S,一枪超人CSGO,https://www.bilibili.com/video/BV1ZJpieLEwQ,134.9万,8109,Not Found,11.6万,7.0万,11.6万,1.4万,"['CS2创作激励', '游戏', '电子竞技', 'FPS', 'CS', '电子竞技', '超人杯', '魔王C+', 'CS2赛事暑期狂欢']",2024-09-08 18:00:00
我奶酪呢！！！！！！！！,高斯Goh,https://www.bilibili.com/video/BV1Z2421Z7ha,118.1万,9746,"希望你喜欢这次的视频，这次玩的游戏是《奶酪大盗》。
接下来我来详细介绍一下规则。 
游戏步骤： 1、分发身份牌并摇骰子，秘密查看身份及骰子点数。 
2、天黑请闭眼，主持人叫到点数时，对应点数的玩家睁眼并行动。 
如果一个嗜睡老鼠独自醒来，可以秘密地查看任意一名玩家的骰子。 
如果不止一个人醒来，则不能查看骰子。 
无论多少人睁眼，大盗醒来都一定要偷走奶酪。 
3、天亮前，所有人伸出手，大盗睁眼选择共犯，共犯睁眼与大盗确认。 
4、公开讨论后，投票指认奶酪大盗。 
嗜睡老鼠胜利条件：正确指认奶酪大盗 
大盗及共犯胜利条件：嗜睡老鼠或共犯被指认。 
也就是说，共犯需要充当挡箭牌。
记得三连！！！！！",13.1万,6.2万,13.1万,2880,"['桌游棋牌游戏推荐', '游戏', '桌游棋牌', '生活', '聚会', '搞笑', '推理', '日常', '沙雕', '整活', '小潮team', '奶酪大盗']",2024-09-10 12:00:00
从“我来助你！”到“我已无救！”黄风大圣身上究竟发生了什么？他的怒从何来？天命为何不公？——黄风岭剧情详解《黑神话：悟空》,川同学不穿童鞋,https://www.bilibili.com/video/BV1fGpeeGEXE,166.9万,7998,"黑猴剧情十分细碎，很多内容没有给出确切答案，需要很大程度上的拓展解读
因此视频内容包含大量剧透、主观猜想，均仅代表个人观点
黄风岭可讲内容太多，且有多个诠释角度，本期主要描述黄风大圣视角
后续关卡老川也会花时间慢慢解读
如有不同见解欢迎友好讨论",9.8万,6.1万,9.8万,1.1万,"['黑神话天命人来也', '游戏', '单机游戏', '单机游戏', '西游记', '国产游戏', '悟空', '剧情', '孙悟空', '游戏', '黑神话悟空', '黑神话', '《黑神话：悟空》8.20 直面天命']",2024-09-08 15:00:00
【非遗工艺】金箍棒熔毁！既然不是最好，那就推倒重来！,金银匠人火龙师傅,https://www.bilibili.com/video/BV1Gfp8esER1,119.0万,1140,主打犟种！既然不是最好的，那就做到最好！,24.1万,4.7万,24.1万,823,"['用手工打开黑神话悟空', '生活', '手工', '手工', '中国风', '非遗', '非物质文化遗产', '金箍棒']",2024-09-08 12:00:00
【STN快报第七季71】黑神话中最爱你的人在第四章,STN工作室,https://www.bilibili.com/video/BV1Rrpve3EmM,114.8万,1.6万,伊津野叙事太强，不适合待在卡普空,10.0万,8.2万,10.0万,7426,"['黑神话：悟空', '游戏', '单机游戏', 'COD', '单机游戏', '万代', '星球大战亡命之徒', 'DEI', '李阳', '恐龙危机', '龙之信条2']",2024-09-08 18:03:28
我膨胀了！居然敢为300人做饭！,绵羊料理,https://www.bilibili.com/video/BV1gBp7enES8,160.2万,4953,今天的食材：80斤肉！话不多说，直接开干！,14.5万,10.7万,14.5万,2787,"['bilibili食界杯', '美食', '美食制作', '生活', '学校', '美食制作', '公益', '厨艺', 'vlog', '食堂']",2024-09-10 17:30:00
爸，我一定会努力，成为您折不断的腰板,仔仔的猫meme,https://www.bilibili.com/video/BV1wop7eMEtd,147.8万,779,-,30.4万,5.2万,30.4万,834,"['影视', '小剧场', '父亲', '猫meme', '真实还原', '内容来源于网络']",2024-09-09 21:01:47
【互动视频】当丧尸遍布全城！你！能否活着离开这座死亡之城？！,末世云夜,https://www.bilibili.com/video/BV1g5pqeBEXP,183.2万,1.6万,"来迟了！来迟了！
先跟大家说声抱歉！让大家久等了
本期陆陆续续做了大半年，总共制作了将近一百个视频以及上千张图片
从剧本编写到视频制作皆由个人独立完成创作
剧本更是我做互动视频以来写的量最大最头疼的一次...
好吧...其实主要也是中途修改了几次剧本，再加上白天要上班，所以就一直没能制作下去...
那么话不多说，该视频为互动类视频
包括be结局在内大概有30个来个结局，两条主线结局，一条隐藏结局可供大家探索，希望大家玩的开心
[故事介绍：我从昏迷中苏醒，身体上传来说不清的异样感，我这是怎么了？整个世界安静的有些可怕，直到我离开房间遇到了尸变的室友，我才意识到，那过去和平的日常，也许再也回不去了]
制作不易，喜欢的朋友可以三连支持一下
您的支持是我做视频的最大动力！！！！",6.4万,5.5万,6.4万,1.6万,"['游戏', '单机游戏', '互动视频', '丧尸', '自制', '僵尸', '娱乐', '生存', '生化危机', '独立游戏', '末世', '互动游戏']",2024-09-09 03:16:01
“饭圈”变“怪圈”，要治！,央视新闻,https://www.bilibili.com/video/BV11up7egEDP,141.0万,1.4万,近年来，频繁出现一些狂热粉丝过激围堵艺人，对艺人疯狂“怼脸”跟拍等行为，严重影响公共秩序，甚至碰触法律底线。一些粉丝从对偶像单纯“崇拜”，渐渐演变成参与畸形“饭圈”造星“养成”，为了刷数据造流量，可以在网上发表不当言论，甚至做出“送花圈”这种过激行为。,14.2万,1.3万,14.2万,1.1万,"['资讯', '热点', '饭圈', '追星']",2024-09-09 14:09:46
小潮team的日常#2,阮阮是个天才7,https://www.bilibili.com/video/BV1DpHZefEg3,88.3万,1.7万,感谢各位天才的观看！如果喜欢这期视频，劳烦长按点赞给个一键三连鼓励一下！！我们下期节目见！,10.3万,4.9万,10.3万,1631,"['搞笑研究所', '生活', '搞笑', '日常', '搞笑', '滑稽', '奇葩', '高能', '幽默', '小潮院长', '小潮team', '阮阮', '搞笑研究所2024 5.0']",2024-09-08 12:00:00
【黑神话】⚡️可笑这漫天佛神，哪个不是罪孽满身⚡️,萌宠教主,https://www.bilibili.com/video/BV1yup4ewEKz,71.8万,659,"BGM：半山腰
填词 | 剪辑：萌宠教主
调音：王牌p
音源：从铮、未抒
——————————
说什么贪嗔痴恨
说什么未净六根
——————————
谁与我 再一棒碎凌霄
——————————",8.5万,5.0万,8.5万,4738,"['全民黑神话狂欢', '游戏', '单机游戏', '翻唱', 'CG混剪', '填词', '单机游戏', '游戏', '黑神话悟空', '天命人', '燃', '生活万花筒14.0-给生活的planB']",2024-09-08 12:00:00
百川终到大海，树叶终会归根，所以我会等你回来！,罗臣臣与孙空空,https://www.bilibili.com/video/BV1Wgp4ehETC,74.9万,1560,-,11.2万,3.1万,11.2万,8250,"['生活', '搞笑', '生活记录', '情感', '感动']",2024-09-07 19:08:55
最好的营销策略,远鉴字幕组,https://www.bilibili.com/video/BV1pspGeRETU,719.5万,412,tiktok,21.3万,1163,21.3万,2017,"['生活', '搞笑', '搞笑', '策略']",2024-09-08 19:00:00
用修正带画一幅光影分离画，同时呈现两种形态，星穹铁道飞霄,风雪阿虎,https://www.bilibili.com/video/BV1htpeewE7U,110.7万,515,-,20.6万,1.9万,20.6万,7269,"['星穹铁道飞霄', '生活', '绘画', '创意', '光影', '绘画', '原创', '手绘', '星穹铁道', '艺术', '飞霄']",2024-09-08 11:13:15
超级偷子,小潮院长,https://www.bilibili.com/video/BV1VQH9eWEBE,473.4万,3.2万,"希望观众老爷喜欢这个系列！ 
（希望你们喜欢，记得素质三连！）
温馨提示：本期节目有一点点不一样，更偏实况、推理、讨论，
大家都是自然真实的表现。
可能没那么多节目效果，希望大家多多理解！！！",35.7万,17.7万,35.7万,7264,"['搞笑研究所', '生活', '搞笑', '娱乐', '生活', '高能', '搞笑', 'vlog', '沙雕', '小潮院长', '小潮team', '奶酪大盗', '搞笑研究所2024 5.0']",2024-09-07 12:00:00
一亿年后的国足,碧天蓝钻,https://www.bilibili.com/video/BV1kPpeemEhR,247.3万,1351,制作：碧天蓝钻,13.2万,9808,13.2万,1.5万,"['鬼畜星探企划', '鬼畜', '鬼畜剧场', '国足', '搞笑', '范志毅', '海参', '鬼畜剧场']",2024-09-08 12:02:26
当别的男人对你的女朋友好,真子日记,https://www.bilibili.com/video/BV1BSHZe3EXS,158.2万,5428,Not Found,14.1万,5570,14.1万,2878,"['搞笑研究所', '生活', '搞笑', '搞笑研究所2024 5.0']",2024-09-08 12:00:00
这大概是我们有史以来最离奇的一期视频。。,大豪夫妇,https://www.bilibili.com/video/BV1ESHZeGE13,372.1万,1362,Not Found,5.6万,3924,5.6万,2360,"['随手拍秋天', '生活', '出行', '收藏这个秋天', '钓鱼', '奇葩', '高能', '生活记录', '大豪夫妇', '离奇', '记录', '海钓']",2024-09-07 14:11:48
《绝区零》简角色动画短片 | 惊魂午夜,绝区零,https://www.bilibili.com/video/BV1FqpqeXEvk,69.1万,1566,"「前辈，犯罪嫌疑人似乎遭受了很大的精神冲击。」
「莫慌莫慌，给她喝点热水，压压惊。」

—— 欢迎来到新艾利都！——
《绝区零》1.1版本「卧底蓝调」现已开启！
bilibili安卓端下载地址：https://www.biligame.com/detail/?id=108434bilibiliPC端下载地址：https://www.biligame.com/detail/?id=111210",9.0万,2.6万,9.0万,5175,"['游戏', '手机游戏', '手游', 'PV', 'ARPG', '新游', '剧情', '绝区零1.1', '绝区零简', '米哈游', '绝区零', '卧底蓝调']",2024-09-09 12:00:00
这时发动机轰鸣声似乎与你出生时的啼哭声渐渐重合,哈基米蛋鸭,https://www.bilibili.com/video/BV19KpveKENg,155.6万,889,这时发动机轰鸣声似乎与你出生时的啼哭声渐渐重合#猫meme#内燃机#山洪救母#故事源于网络,13.2万,7230,13.2万,1166,"['搞笑小剧场', '生活', '搞笑', '猫meme', '山洪救母', '故事源于网络', '内燃机', 'BILIBILI金电视奖']",2024-09-08 10:20:25
美国街头烤肉之王！一周只开2天，到底多好吃？,Meetfood觅食,https://www.bilibili.com/video/BV1LyHQenEut,241.6万,4835,美国最火爆的烤肉店什么样？ 今天我要带你们去的这家美式烤肉店，一周竟然只开2天，4小时全部售空！ 到底有多好吃？,17.5万,3.8万,17.5万,3788,"['秋收九月·美食团圆会', '美食', '美食侦探', '烤肉', '街头美食', '美食', '4K', '吃货', '美国', 'JoeJoe', '探店', '美式烤肉', '秋日美食吃喝大赏']",2024-09-07 17:00:00
全国第一人！嘴叼筷子过杨戬！,阿喵的小生活,https://www.bilibili.com/video/BV1qXpneqEBK,67.6万,1921,-,7.7万,7.3万,7.7万,1.1万,"['入坑黑神话悟空', '游戏', '电子竞技', '筷子', '黑神话二郎神', '动作游戏', 'MOBA', '残疾人']",2024-09-09 22:18:17
原本没事的 这可真是你们自找的了,星有野,https://www.bilibili.com/video/BV1ifppe3E4c,91.5万,1416,期待已久的鸡哥战斗场面来了！时隔四年鸡哥地铁神曲再度来袭！,10.1万,1.4万,10.1万,1399,"['动画', '同人·手书', '原创动画', '动画短片', '原创', '搞笑', '星有野', '星有野鸡哥', '抽象', '热血', '正义执行', '绝区零']",2024-09-10 11:26:38
“跳河的是妈妈，淹死的是小姨”,歪歪的猫猫剧场,https://www.bilibili.com/video/BV18cpbeLEuQ,69.1万,812,-,9.6万,9934,9.6万,3652,"['影视', '短片', '感人', '猫meme', '小姨']",2024-09-08 00:19:26
这不是刮刮乐，这是刮刮哭啊…,_张天琪,https://www.bilibili.com/video/BV17WpBeHEih,62.8万,1591,-,9.7万,4.5万,9.7万,1110,"['主打就一个宠粉', '生活', '搞笑', '生活记录', '刮刮乐']",2024-09-08 19:32:16
辛普森的救赎,拧不动啊真拧不动,https://www.bilibili.com/video/BV1ojpeezEvA,221.5万,304,-,3.3万,849,3.3万,158,"['整点电子榨菜', '游戏', '单机游戏', 'VR', '辛普森一家', '电子榨菜']",2024-09-08 12:42:57
【MrBeast首发】男人对女人挑战50万美元荒野求生,MrBeast官方账号,https://www.bilibili.com/video/BV1TMpheEErC,132.7万,7749,兄弟们来了～全网同步首发！记得关注看全球首发哦,6.4万,5131,6.4万,1402,"['整活儿还得看歪果仁', '生活', '日常', '娱乐', '生活', '歪果仁', '荒野求生', '野外', '挑战', '野兽先生', '整活', 'Mrbeast', '跨文化研究小会4.0']",2024-09-08 03:30:09
下了天罗地网，但听老师傅的话，心里还是打鼓！总要让我赚一次吧！,李维刚的日常,https://www.bilibili.com/video/BV1vXpEefE7a,130.8万,2124,Not Found,9.6万,1.1万,9.6万,546,"['记录美好农村生活', '生活', '三农', '日常', '鱼塘', '小青年大丰收']",2024-09-09 19:52:19
去了趟南半球，还真有和中国完全颠倒的国家？！,期末77,https://www.bilibili.com/video/BV1dup8eZExq,120.6万,7488,"第一次来到南半球的世界，每天都活的晕头转向，后来才发现这里的太阳每天都在北边！我说我怎么就分不清东南西北了，但是！这里的景色真的太炸裂了！！！！！！
本次使用器材：机身：尼康Z63*3；镜头：尼克尔Z 14-24mm f/2.8 S、尼克尔Z 24-70mm f/2.8 S、尼克尔 Z 24-120mm f/4 S、尼克尔 Z 20mm f/1.8 S、尼克尔 Z 28-400mm f/4-8 VR",5.8万,3.2万,5.8万,8322,"['跟着UP主看世界', '生活', '出行', '旅行', '摄影', '新西兰', '旅游', '生活', '尼康', '尼康Z63', '出行', '极光']",2024-09-07 21:18:10
整活！深夜偷偷把女友听的男声优语音换成我的…她又破防了！,盖里老哥,https://www.bilibili.com/video/BV1AgHXeYEeY,119.5万,2980,"点赞8w！！！
揭秘狗尿的故事！！！
感谢大家的支持！！！
都是我做下去的动力！！！
咖啡整活灵感来源于烦烦小邓《全自动红糖机》",7.1万,1.7万,7.1万,4345,"['随手记录我的生活碎片', '生活', '日常', '生活记录', '男朋友', '种草', '情侣', '整蛊', '恶作剧', '记录', '生活万花筒14.0-给生活的planB']",2024-09-08 12:30:00
“节奏感小曲，英文歌合集”,挽风丶Sama,https://www.bilibili.com/video/BV1MXHSeTEST,206.6万,590,Not Found,5.6万,1.7万,5.6万,761,"['电台新星征集令', '音乐', '电台', 'BGM', '英文歌', '音乐选集', '宫格音乐', '小曲', '节奏感', '精选歌单', '日推歌单', '电台新星征集令2.0']",2024-09-06 13:42:01
小时候奶奶照顾我，长大了我来照顾她,南猫meme日记,https://www.bilibili.com/video/BV11zpee9E9X,66.5万,480,-,13.7万,6.9万,13.7万,454,"['鬼畜', '鬼畜剧场', '猫meme', '猫meme日记', '猫meme剧场', '真实事件']",2024-09-08 11:48:55
少林寺一日三餐吃什么？体验方丈的饮食！什么味道？,HOLA小测佬,https://www.bilibili.com/video/BV196HfeKEeB,283.5万,8918,传说少林武僧师傅，十八般武艺样样精通，那他们每天练完功都吃什么？是清淡的斋饭？还是丰盛的“美味佳肴”？今天跟小测一起！前往少林寺！一探究竟！,7.6万,2.0万,7.6万,5673,"['秋收九月·美食团圆会', '美食', '美食侦探', '武术', '悟空', '4K', '美食', '测评', '试吃', '黑神话', '少林寺', '探店', '秋日美食吃喝大赏']",2024-09-07 18:00:00
校园食堂，不能在学生和家长的红线上蹦迪！,中国食品报融媒体,https://www.bilibili.com/video/BV1W7pJekE3G,63.8万,1950,Not Found,7.6万,7146,7.6万,1844,"['知识', '科学科普', '校园', '食堂']",2024-09-09 18:34:35
闪光，你抓不住,尴尬的铁根er,https://www.bilibili.com/video/BV1qHpBeQE4Q,122.0万,2718,-,8.7万,3089,8.7万,548,"['游戏', '手机游戏', '电子竞技', '娱乐', '搞笑', '王者荣耀', 'MOBA', '百里守约']",2024-09-08 19:32:35
如果把纸当成白天，那光就不用画了！,何大爷课堂,https://www.bilibili.com/video/BV1b7pqeiEDV,116.9万,222,-,14.0万,2559,14.0万,894,"['万物研究所', '知识', '人文历史', '人文', '绘画', '艺术', '万物研究所·夏日探索计划']",2024-09-08 21:37:37
拳拳到肉《战狼》，吴京巅峰之作，犯我中华者虽远必诛！,摩斯神探,https://www.bilibili.com/video/BV1JvHQetEU2,170.2万,1496,Not Found,8.3万,943,8.3万,293,"['人人都能聊影视', '影视', '影视杂谈', '电影解说', '吴京', '动作', '人人都能聊影视3.0']",2024-09-08 07:00:00
一封献给败犬的情书！论动画中的败犬如何逆天改命！反败为胜！【瓶说动漫】,瓶子君152,https://www.bilibili.com/video/BV1Empae6EoP,53.8万,3114,点个关注再走哦~,5.8万,3.0万,5.8万,4047,"['秋日动漫杂谈大会', '动画', '动漫杂谈', '收藏这个秋天', '搞笑', '我的青春恋爱物语果然有问题', '新番', '动漫杂谈', '恋爱', '白色相簿2', '路人女主的养成方式', '五等分的花嫁', '败犬女主太多了']",2024-09-08 18:30:00
【现场视频】拿到最新的iPhone16了！,影视飓风,https://www.bilibili.com/video/BV1PPpseoEAp,142.4万,3711,【现场视频】拿到最新的iPhone16了！,7.5万,7157,7.5万,9166,"['2024苹果秋季新品', '生活', '日常', '数码', '苹果', '科技', '手机', '现场', '16pro', '16Pro', 'iPhone16Pro', 'iPhone16']",2024-09-10 07:31:16
以防你不知道虎先锋+寅虎的武魂融合技有多帅,三金不是淦,https://www.bilibili.com/video/BV1nBptecEaW,140.2万,988,最近下载了刷Boss的mod，发现有些BOSS之间的技能衔接起来真的帅,5.8万,1.8万,5.8万,1.4万,"['游戏', '网络游戏', '黑神话', '动作游戏', '虎先锋']",2024-09-07 16:19:52
黑神话悟空一周目解锁所有结局的方法～,深圳漫游者,https://www.bilibili.com/video/BV1jNpzepELj,182.0万,118,-,11.9万,786,11.9万,3442,"['游戏', '单机游戏', '孙悟空', '黑神话悟空', '动作游戏']",2024-09-09 02:35:00
【短的发布会】史上最无聊苹果发布会，iPhone16持续挤牙膏疑遭定身术？,短的发布会,https://www.bilibili.com/video/BV1GmpWeBEje,154.2万,5461,你敢信一个半按快门对焦功能还要等后续OTA？？？,6.7万,7852,6.7万,1.3万,"['2024苹果秋季新品', '科技', '数码', '苹果发布会', '2024苹果秋季发布会', '发布会', '库克', '新品发布', 'iPhone', 'Apple', 'AirPods', 'iPhone16']",2024-09-10 09:13:30
假面骑士迪迦！,陈信喆Txz,https://www.bilibili.com/video/BV1QUpveiEgf,90.9万,411,第一次正式发视频 ，请多多关照！,13.4万,8415,13.4万,6459,"['你最喜欢的特摄', '动画', '特摄', '假面骑士', '迪迦', '帝骑', '卡面来打']",2024-09-08 17:27:35
《死轮子快动起来啊》,伤心欲茄222,https://www.bilibili.com/video/BV18YpieiEDz,114.3万,745,-,14.9万,3326,14.9万,3345,"['搞笑研究所', '生活', '搞笑', '搞笑', '八嘎', '搞笑研究所2024 5.0']",2024-09-08 14:16:56
粉丝很怪美食小秘方，第七期！,神奇海挪,https://www.bilibili.com/video/BV1xnpvedEiH,138.2万,2200,不知不觉来到了第七期！(●'◡'●),5.4万,2754,5.4万,864,"['bilibili食界杯', '美食', '美食制作', '美食制作', '美食', '美食教程', '甜点', '甜品', '美食vlog', '美味', 'Vlog']",2024-09-08 19:02:31
黄河还是很危险的,美食环游流浪记,https://www.bilibili.com/video/BV1jvpYeBEif,166.1万,1191,-,14.4万,1175,14.4万,2967,"['美食', '美食测评', '生活记录', '大连', '蛏子']",2024-09-08 13:25:36
自己真金白银买的车位，物业为什么不让安充电桩？,阿凡电充电桩,https://www.bilibili.com/video/BV1kRp4e8EMZ,100.9万,118,Not Found,6.7万,3723,6.7万,1548,"['汽车', '新能源车', '推荐', '新能源汽车', '充电站', '充电桩', '物业', '创业日记']",2024-09-08 17:30:00
贫僧广智也懂些拳脚！,麓麓有为,https://www.bilibili.com/video/BV1hqpBerEVv,116.0万,1922,"这时候有看到简介的观众可能就要问了
啊麓鸽麓鸽，你怎么这么久没更新啊
即答：实在没钱了出去打工了几天，刚回来负债做视频
请大家看到up主用爱发电的份上给个一键三连吧呜呜呜",4.8万,1.3万,4.8万,1787,"['黑神话天命人来也', '游戏', '单机游戏', '搞笑', '实况', '配音', '黑神话', '天命人', '沙雕', '第二章', '广智', '黄风大圣', '《黑神话：悟空》8.20 直面天命']",2024-09-09 12:00:00
紫蛛儿没死！八戒顶级演技骗过世界！【黑神话悟空】震撼解读04,未知老D,https://www.bilibili.com/video/BV15oHZeiEJS,188.9万,6058,"黑神话悟空第四章的解读来啦~希望大家能喜欢
这期真的纯讲主线，而黑暗的支线没有讲
主要想聊一些美好的东西，不要做的那么压抑，希望大家能理解
如果大家喜欢希望能三连转发支持一下啊~~~~",9.8万,5.7万,9.8万,1.4万,"['黑神话天命人来也', '游戏', '单机游戏', '西游记', '孙悟空', '单机游戏', '游戏杂谈', '黑神话悟空', '黑神话', '紫蛛儿', '八戒', '《黑神话：悟空》8.20 直面天命']",2024-09-07 13:47:49
