龙套:蓟县!
丸辣！
仅适用于热血番，恋爱番反之
正常，因为索尼克爆蛋了
《三女》
索尼克:我咋成女的了？
没错他就是成年波奇
梅开二度
这个算你的也没毛病，这个是你的，从某整出上来说真没毛病，真没毛病，兄弟
有一种马修和琦玉合体的感觉
到后宫番看姿势和着装就能明白了。。那股宅味冲天的挡不住。
后宫番怎么办？
啊？感觉好专业…
后宫篇怎么办？
这不就选出来了嘛doge
mob一看就很特殊吧哈哈哈哈哈
物理魔法使马修
我作为一个看过灵能的人，也看了半天才找到
才发现在最下面那个角落
找到主角了，锅盖头
新八唧
"没毛病毕竟""一拳""超人"
漩涡鸣人，波风水门
666这个入是桂盐豆不带盐的
丸辣
《橙》
最下排那个蘑菇头
每个人都是他们人生的主角
其实主角在左下角，只露了一半脑袋
根据答案，出题目算
笑爆炸了
漏半个脑袋的那个
为什么很多都是黑色衣服的？
两个黑头发咋不排除
看到mob了哈哈哈哈哈哈哈哈哈哈
哈哈哈迪达拉和蝎
？
这种逻辑，那你刚才为啥要特意留下？
丸辣
乔巴:？？
左下角那个蘑菇头
一眼灵能
hhhhhhhhhhhhhhhhh
枫与铃（dog）
“三女”
因为排除黄毛
我建议看人物的眼睛
？
哈哈哈哈哈哈
我看到主角了哈哈哈哈
金木有马玲屋神造太多了
后宫动漫呢？
左下角那个锅盖头
人家虽然不是主角，但都是重要角色，你这张图都是路人
怎么有一个这么像东山小红
蝎和迪达拉？
角都：我不是人啊？
演的，可以了
烟都不带烟的
左下那个
哈哈哈哈哈哈哈
byd，在左下角
这图没截全啊
《女》
这半张脸的瓜皮也太难了吧
？
也是够扯淡
什么无性别啊乔巴是公鹿啊我服了。。。
童神是棕色
《三女》
试问，后宫番主角真的是男的吗
这个眼镜有一点像日常里的某个老师
反骨排除法
这不是奇玉吗
我没看过，但我感觉左下角有个画风不对的
做題不看題目是這樣的
留半个头肯定难找啊
完辣！
左下角半张脸的蘑菇头
没毛病  索尼克没蛋
我哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
不看弹幕我都没看到
哈哈哈哈
索尼克哈哈哈哈哈哈
后宫番包长的好看啊
哈哈哈哈哈哈哈哈哈哈
龙套居然在下面
是露半个脸的蘑菇头
这一看构图也知道才是主角。
那你遇到后宫漫怎么办，全是女的
我想捶你
路人才占半张脸
笑死我了
丸辣
这个不是群像吗？
啊这下找到了
丸辣
后宫番只有一个男的
长头发就是女的
6
哈哈哈
完了，没看过，但是一拳刚开始看到现在，一下看出来了
这不能真让他把龙套选出来吧
还真把主角剩下来了
戳辣
这是配角
其实，以电影为例，任何不在正面和正中间的角色不是主角的情况下，就是发生了角色越位，越位是一种错误的视觉表达方式，是不被赞同的方法。
蝎是男的
丸辣
坐下那个蘑菇头有点眼熟，像是当主角的料
索尼克：我是太监谢谢
迪达拉：啊？
主角只有半张脸
