↑这是写意？你怕不是对写意有什么误解
中式留白
达尔文效应是吧哈哈哈哈哈哈
同理可证，高光和阴影一定有一个可以不化
尔朱天光（）
每日一你看哈（1/1）
丁达尔效应
升华的小曲
up主也把“氛围”二字念对了
我靠有点悟了
侠客风云传拼过唉！
省流：语文书文言文图片
所以，剩余的都需要脑补
力摧敌阵，如是天光破云
天才
wc牛逼
顿悟了
踏歌图吗
woc
祖宗到底是祖宗
？？？？？？？
啊？
千里江山图？
古人的智慧
bgm好难听。。。
留白
乔杉
谢谢你乔彬，今天又学到了一点
我那神奇的老祖宗呐
[OHHHHH]
猖狂
更麻烦…有没有一种可能，这是更历害的画法
OK
古人之神技
天地一气
这反倒更美了呀
我就不看
国画的意境美
M
想想以前这纸应该是白的，就更有感觉了
但是这种其实更难不适合新手的
慕容云海
天光现世
朱耷 一张纸画了孤零零的一条鱼
绝了
大师，我悟了。
卧槽，鸡皮疙瘩起来了
留白
乾隆:什么留白，那是给朕留弹幕的地方！
这张太好看了
鸡皮疙瘩起来了
卧槽
卧槽
力摧敌阵，如视天光破云
天才
负空间
[ohhhhhhhhの小曲儿]
妙啊
留白
哇
那也太难了
我去
太强了
鸡皮疙瘩起来了
人脑是最高级的渲染器
bgm最好也配古风，让视频文化基调统一
国画意境真的好美
绝妙
天啊，我可爱的老祖宗们
可是我们能感觉山间有云
我靠，起鸡皮疙瘩了
哈皮的小曲
哇
范宽
鱼
第1次知道，牛逼了。
额，这是麻不麻烦的问题吗？你在搞笑？
万能的B友啊，求BGM曲名！！！求求了
看完 拉回来点个赞
牛吃草
牛逼！
你真会呀！
这下就变成了山中的云啊
比如暴风雪中的北极熊？
woc
计白当黑，中式艺术独有的技法
老祖宗真的太牛叉了
爱了爱了
我已经猜到是谁的画了
不是我们现在
加上 就变成慕容云海
震撼！
达利园效应
再加个葫芦状的山那就可以拥有七兄弟了
学到了！！！！
玄武岩三角洲（幻视）
艺术の小曲
我去！！又学到了！
复古光追
我看你咋滴！！
是丁达尔
国画何须放洋迪
如视天光破云
好久没看到那么丑的边界了
这个我知道，是达利园效应
艺术の小曲
脑补
大写意
绝了
这些没有染吗
此云雾非彼寻常云雾！
wow
写意
梦想家小曲儿
帅啊
留白
我丢那也太难了
画完擦掉
哇这个
云本无形，既如此，吾又何必再画？
无用之用，其用甚大
我那优秀的无比聪明的老祖宗们啊！
无中生有
哇
？
哇
卧槽，给祖宗们跪了，太牛了
卧槽
传统国画的写意
这叫留白，不叫写意
哇
没有白色颜料反而创造了另一种画法
留白
这个更难（
这不是更麻烦......
卧槽不是我以为古代只有西方画有这种画法
计白当黑
灵感小曲
我去！！！！有道理
我去，厉害
留白啊
酷
留白
日出而林霏开，云归而岩穴暝
力摧敌阵，如视天光破云！
知觉的常恒性
比如零分
绝了！
禅，妙
打印机不就是这么干的。。。。
留白
我了个迷人的老祖宗
听到这音乐，我汗毛立起来了
留白，伟大
卧槽
横云断岭
对呀，白色就要是背景吗，天空按面积恰恰蓝色才是背景耶
艺术的小曲
哲学
震惊麻了
是不是还能代表牛吃草
老祖宗留下的就是神
妈呀
写意
[Ohhhhhh]
我靠
富春山居图
卡密！
好牛啊
恍然大明白进行曲
肉麻的小曲
哇！
卧槽！每期我都得发卧槽，也只会卧槽
留白的美
！！！
好丽友效应
马奈！
我悟了
牛啊
卧槽
留白大的地方每个人都有足够的想象，所见皆不同（?
留白有无数的想象……
留白
这个我知道，擦亮
不画的话也得做到心中有云、心中有雾，不然画不好
你看哈
你看哈（1/1）
鸡皮疙瘩起来了
力摧敌阵，如视天光破云
好厉害
天才
雪山白凤凰
天才的反向操作，画没有光的部分而不是画光本身
第一次听懂了
要不说中国画是人文画呢
我悟了大师
无即是有，有即是无
我悟了大师
丁达尔效应
阴刻，阳刻
刃牙封面
留白！
这两张画一个是古风一个写实 根本不是一个东西呀
天才！
欣赏的小曲
比留白那期更深一层了！
顿悟的小曲
留白
留白
艺术的小曲
我超
哇，好厉害
卧槽
卡密！！！
一阵强劲的音乐响起
每日你看哈（1/1）
还得是古人啊
这不是更难了吗
确实没有话语，但确实还是有云
天啊这个好神……
好烫
留白真的很美啊
