神寄的老卡
电脑：丸辣，第一难到我头上辣
左轱辘不转右轱辘转思密达
年少有为
5
单风扇限定款
这电脑可以了，能跑《黑极霸:悟能》
刷怪笼
《旧旧芯》
《沙皇炸弹》
能击败18％用户还是太新了
400配备了580现在一个580都赶300
猜你想搜：580纯纯大矿卡
赛博抓药
《好的》
《03年老弟喜提04年夏利》
游戏都268了
怎么滴！
神秘物资刷新点
单8g能跑黑神话吗
《手捧雷》
《移动炸弹》
580警告
c4已安放
《基本全新》
《国产剧情》
比华为笔记本跑的好多了
还有18%的用户在干嘛？
《我同学》
《让》
5帧怎么玩
别散了啊
等下小兄弟玩着玩着炸了找你，（32nm蚌埠住了）
他还能找回来
《低》
还有m2槽，不错
《抓药》
《超采样》
？？
金屋藏娇
wc
小阿giao
呵呵哈哈哈
卧槽比我主机都高，我不懂1070显卡比这个是强是弱啊
老演员了都
p106
笑场了
（5）
上古的宝贝 开卖了
网吧充伍佰送伍佰
一个螺旋桨照样飞！！！
炸弹C4已安放
8什么
可别把牢弟给炸死了
好朋友啊
别炸飞了
小兄弟还年轻，你别给炸坏了
军火展示
好奶呀，是弟弟吧
跟你年龄一样大，不是2010年的电脑了？
假的一逼
这卡参加过二战吧？
“那可是我同学啊！”“得加钱”！
买个游戏去网吧
行 大户爱
来块机械的容量还能大些
预算400你还考虑啥？
99新啥呀！实惠的5成新我信
2010年的电脑？500预算这是来串垃圾机来了？就算刨除人工也够呛
《这儿呢》
这不锈钢盆不得40？
还有高手？
甚至人工装机费还留了十块
久久锌
滴，老年卡
好东西好东西，哈哈
看看视频吧，这还打游戏
c4以安装
啊啊啊？
你要跑啥》》》？？？
还有m2
上古宝贝
99锌
皇帝的衣柜
超过电竞帧率
400还有显卡！！！
卧槽，我才29帧
9380，比4090新一倍
说真的这样还不如买点吃的
军工级主板
还想赚点？
大声密谋
九九锌
荒野大镖客1
580纯纯大矿卡核心出装发动！
经典e5女生自用99新
诗人握持
大夫抓药
牛逼
2666
那个炸死牢弟的笑死我了
你开店装机器赚10块 哥们跑腿赚100…要不你还是送快递去吧
显卡最多值80
70不如上机械硬盘
byd二手电脑
580大概也就100，硬盘送我我都不要
BYD二手电脑
连我手机都不如
150
炸弹已安放
你是不是来气我来啦
你记住同学是你最亲最近的人
这老婆网银你买你同学
怎么滴
艾斯全红
可以吉神话
卧槽 真的是图吧神器
抓药是吧
显示器最值钱
独眼龙那个笑死我吧
牛逼
400玩云电脑算了
回去自装C4
作者也抽点
直接抽百分之二十
啊？
万神殿：战争之神，再战300年
注意注意前方奇蛋物语
前方奇蛋物语
全程听不懂，就是感觉听起来很好玩儿
太高了，比我公司电脑好
送CPU
聚爆盆
啊
网吧包台机不就解决了
担心自燃
担心这CPU小老弟猝死
牲口
《 军 火 展 示 》
老将军申请出战！
“我同学”
弟弟R3
十四年的电脑
双通道都不给啦
真心演得好
fwfw
这手机也有年代了，大下巴水滴屏lcd
西劈优（纠正）
c4已安装
WC，我4060也就这
怎么滴？！
《不是非常确定》
海盗船仁至义尽了
同学可是你最亲最近的人
小鬼僵尸
小问题，一帧都能玩，最低5帧都极品了
哈哈哈哈哈哈
哎呦我去，还带灯，炸了，我都夸它牛
这游戏30针随便玩
256g固态70块钱不贵
摆拍违法
1080p
我勒个黑神话啊
我寻思弄好8000卖我同学呢
黑笑话 毛毛
能玩黑笑话
fw
清朝老片
做梦
5帧没绷住
什么，配完了卖你同学？！
怎么滴
byd比我我核显笔记本还低
游戏快有电脑的身价了
9600来一张
电竞帧率
这配置能玩黑曼巴·out
出门左转，有家网吧
；u??
09的15已经高一了
偶尔掉帧，经常偶尔
哈哈哈哈哈
我手机都16G了
我手机都16G运存了
快递c4
P106
可以玩bad math：malou
马赛克猴也是猴
你的兄弟少了一个蛋belike
骷髅炸弹人
装好了卖同学
军火库
散热器上萝卜散热器还能便宜69元
8g能跑win11
能玩黑曼巴•悟空
赔辣！盆能值20
奸商，矿盘卖70
盆儿比机箱贵
明天同学收到就被炸死
gtx690
120给我来一个
580
经典女生自用99新哈哈哈哈哈
测逝一下
抱着个c4小心给他炸喽
哈哈哈哈
11年配置的安排
细节放了一个坏的阻挡散热
如数家珍
别一会黑悟空比电脑贵
你就是赛博朋克2077的指头哥吧
树莓派
就地涨价呀 十来块钱变成二十了
装个悟空不用干别的了
炸弹以组装
战术核显卡
e3！
580纯纯大矿卡
电竞级
频率没有手机高
在个人加个内存吧
打开了妙妙屋
怎么滴！
不是哥们，你真能跑啊？
卧槽？
《忘了扔哪了》
英灵殿
云电脑氪400能玩一辈子
如数家珍
我相信小孩儿哥
行啊，这机器肯定能跑《黑笑话：吉吉》
懂了，一代i3吧，刚好差不多14年了
???
大两岁吧，不会算数了？
自爆小兵
赛博抓药
750ti!!!!!!!
E5起手
经典配置，回味悠长
大两岁的也是人才了
组装C4
10年牢底喜提12年电脑
送他个鞋盒
240g都没游戏安装包大，玩不了啊
自己囤了100
我也是，14岁也让配电脑
小学生
显示器不送？
一盆电脑
660
配置高了
宝（po）贝（lan）
580预订
那么代价是什么呢……
去网吧玩得了
不怕炸了？
《神奇牢卡》
炸弹以安装
20帧爽玩
14岁的电脑
建议去网吧开个月卡
哈哈哈
离谱
1万多小时使用基本全新？
这盆都比机箱贵
够黑的啊
迈腾3800000
黑笑话吉吉
赛博华佗正在抓药
弹幕别云了，e5怎么上p106？
聚宝盆
云游戏吧。
都没火影战力高
这风扇会不会飞出去
就是14年前的是吧
p106
要几台
？？？
woc？
什么玩意这是
120g装上系统还够装黑猴吗
还是去玩4399吧，看了估计都带不动
伊拉克成色
甚至能和OPPO A5比
这电源还五十，20块钱差不多
再上一级就要3000了
内存条最多五块
他说的是Windows2000
烧一个
下载不下来
义乌！
挺会啊
GT610，让老弟好好学习
配完卖同学
怎么滴！！
能玩造梦西游
无敌了孩子
主机:啊？我跑黑悟空？
960
真天生资本家圣体啊
一个翅膀照样飞
跟我老弟一起出生的
赛博药房
如数家珍
要腾云驾雾了吧
一盆电脑
.
C4已准备就绪！
i9级cpu
买完了转手卖同学
劳资买得起电脑买不起游戏了
嘎嘎新
风扇呢
志强
up人好啊，还给送两年
冲刺冲刺
哈哈哈哈
显卡114514
五百？配几台？
送显示器，键盘，鼠标
我寻思卖我同学
我也有这个提示，直接不管照样玩
10000来小时，基本铨锌
老弟打游戏还得贴四百起个钳子
一会就炸了
绷不住
跑分比我高
盆比机箱贵
《拳心》
赛博药房
赛博抓药
同学：6
如数家珍
“STEAM成年验证”
开始赛博抓药
好，整个2010年的回去
《配个十四岁的电脑》
cs登场
超绝大下巴
盆不要钱啊
第一次用一坨来形容一个电脑
真是好兄弟好同学
送个显示器
直接冒烟
说得好像很溜，一玩直接冒烟
还是个弟弟
240安装不了黑神话（
那得是2010年左右的配置了
我2018年4000块的的电脑跑分不到五万
坏了
潘多拉魔盒
这还能有显卡
一帧能玩，二帧流畅，三帧电竞（doge）
云.黑神话悟空
这算多了
啊！
给个c4
我怀疑我300配的都比他强~~
笑了（全新）
嘉然给马文杰买了4090
0帧无敌，1帧能玩，10帧流畅，20帧电竞有啥不能玩的
“马上就冒烟卡”
啊？
初代因特尔
四百可以玩游戏笔记本，十年前的
9800gt
240G连游戏都无法安装
万能同学
不黑心做什么生意？？？做慈善家吧
不黑心做什么生意？？？做慈善家吧
不黑心做什么生意？？？做慈善家吧
好家伙显卡跟我家老年电脑一样
上面那个都不转了！不敢扒了
240G你来逗我？？游戏500G
这也行？
知道啥是掉驱动吗？老卡更新个驱动就是掉驱动？
《同学是你最亲最近的人》
只剩132块了配个集贸啊
啊？
老板送个悟空呗
怕回家被打死呗，谁没试过呢
《引信》
我还在用E3
没风扇，只能算8成新了
价格没话说，但我不会买就是了
我家电脑就差个显卡和处理器，硬盘跑了四万多分
不能玩就退货
硬盘我买的全新230。。。
我家的14年配的电脑，去年还用着，gtx 650显卡，现在废了打不开了
我x 大户爱
9600GT
i9级 厉害
要看v几
我还在用480的卡
同学交到了个好朋友啊
120? 20！
去网吧玩
游戏比电脑贵系列
大户爱我艹！
直接《黑神话蜈蚣》
卧槽，居然能带动
那个风扇也老弱病残了
机箱来个盆
疯狂伊文上线
九成新
什么仇什么怨买个炸弹
配一盆电脑
400我建议去网吧
能跑<<黑几爸 老登>>
买台诺基亚打开b站看别人玩
小老弟千里迢迢上门取祸
鸡苯蜷芯
嬉皮笑脸
哈哈哈
啊？？？？
啊？？？
挺好的，散热还rgb呢
我卖我同学
如数家珍
老中医开药了
？
英特尔8086
同学给了8000
《又不是不能用》
这配置只能玩4399
黑中介  悟空
10后原来都14了我去
流畅
去网吧冲400块都能玩好久了
比我电脑都好
清库存
主机级帧率
黑悟空？有没有白悟空？
哈哈哈哈哈哈哈哈哈
666
买个游戏还剩...140
Rtx4090上
不是40帧 我8000的电脑才20帧
可以的小伙子，直接抽20%
诱导未成年人？
我也有这个 一点儿事没有这个随便玩
多少？
散热器比cpu贵
这不送老弟个黑神话
送个鞋盒
5帧
不是送了吗
鞋盒机箱
30系
40系
固态能玩明白吗换个机械
i9级
8g跑不了，要再加8g
560 560xt之间，比不了580
哈哈哈哈哈
小孩哥还挺会说话的
《盆栽机箱》
跟我i7 2060一个帧数，尼玛
啊？
开几家？
500！？同学这是要开网吧？
一套下来还没我键盘贵属于是
什么大两岁
盆10块？
九九成
有代沟了
？我590都只有30帧
c4
家里同意，给同学配？？！什么操作
可以玩《黑棉花；悟能》
最大气的一集
云端玩吧
贼船电源
关键是《又不是不能用》
赚了150
盆可不便宜
1帧能玩两帧流畅三帧电竞
同学是你最亲的人
网吧充140还能送点网费，260买游戏，
这些民用c4
显示屏不用钱
小米
抓药啊
一帧能玩两帧畅享三帧电竞四帧未来可期
这是要把同学给炸死啊（
哈哈哈哈哈哈哈
8g是运行内存啊...
比我开全高以后帧数高
至！强！
真高级啊 这屏幕还是触屏的
高抬老爷电脑
你这也太黑了
网吧5块钱一小时，可以打通关没毛病
玩的是黑神话马喽
人家本来就送你机箱啊
那你在上一根啊
显示器呢
刚不是说送他电源吗
480
《女大学生自用》
同学是你最亲近的人，我非得给你主板钻个眼
配个1914的
14年前的配置
爆能器已部署
