此时一个人自信满满的翻出了纱巾
我只能说古偶是史
御剑怜侍（雾）
御剑怜侍
先收藏，等下辈子投胎成女孩的时候再用
太子妃升职记御用服装组长
小时候我要是有这种视频，直接给我香迷糊了
我不敢想我小时候要是看到这个视频会有多高兴
我小时候老拿我家床单这么穿
有《红楼梦》那味儿了
小时候要会这么变 我绝对是村花
啊？
这个披风有种旅行者的感觉www
啊？
拍的多久天都黑了
小时候的梦想
真有那味了，厉害！！！
啊？
啊？
大话西游的味道
简直像是魔法
啊？
啊？
啊？
6
哇这个我喜欢
余越变古装
啊？
宝玉
牛
大唐服饰
这个喷不了这个是真好看
西游记啊啊啊啊
齐胸襦裙？
哇偶
啊？？？？
广陵王
啊？
有西游记的感觉是因为这个配色，橙白色，谁懂我静音横着女儿情在看
原来最简单三块布就能搞定
请古装剧剧组们好好看看
倒回来看这个领口怎么回事
啊？
这下不得不点赞了
？
真的好厉害呀
凤丫头
啊？
老师去拯救内娱吧
不是？
我小时候拿床单就是要的这个感觉
像小时候古装剧里漂亮姐姐会穿的那种感觉
她真的好会啊，审美也很在线
牛牛牛
我先来，oc先穿
卧槽？
战国袍的感觉
还挺好看的
！
厉害是厉害，但是有种西游记的感觉，懂我意思吗
这还是丝巾么？
天衣无缝（二声）
真的牛！
BV1ifiTePE2d
昭君出塞！
哇，这个好好看
啊?
感觉可以用来当人偶服的方法
湘玉
好像小时候看的古装剧哦
打的我都有点心动了。
牛
好厉害！！！！
西游记
仙子服！
小时候玩窗帘都没人玩的明白
厲害
啊？
厉害啊
啊？
飘飘
别啊
啊？还有？！
。。。王雪琴结婚那套。。。
看过妈妈辈的同款
吃西餐
啊？
关键是这些形制还挺还原的，只要布料一换就可以了
为什么没有购买链接！！！！
低成本网剧可以借鉴一下
那么多人已经开始期待下辈子了吗。
啊
啊？
上错花轿嫁对郎
看到这里瞪大了双眼
你过关
？
酷毙了
有点刁蛮公主的感觉了
对！我小的时候就是想要这种感觉！
我去!国王
啊？
啊？
好美啊
我也想到了太子妃升职记估计就这样搞得hhh省钱
啊？
好厉害
好看，必须收藏加关注咯
太牛了
这就是我小时候想要的！
正统的大牌汉服，一个人不可能穿的，至少要两个人才能穿上你
啊？
？？？
小时侯没有这个技术
美美美
哇
哇
这个好好看
女儿国
啊？
丝巾链接
？？？？？
看着就好凉快啊
魔法？
哇
啊？
我小时候经常拿着床单这么玩
啊？
看不懂啊老师
魔法
啊？
可惜小时候没有网
完了，我心动了
魔法 肯定是魔法
？？？？
确实巧思，很像那么回事
两天发三个视频就有几万粉了，牛
？？？！
我擦  姐姐好腻害
哇哇哇
还在发力
大话西游！
赏心悦目！
啊？
你让我觉得古代就是这样穿的，好贴身啊啊啊啊
？
啊？
牛
啊？
好厉害
好素
手巧的嘞
？
这个打底的裙子也好漂亮啊
厉害
啊？
美丽 大方很优雅
我小时候的床单梦
啊？
这套简练又好看
西游记！
哇
这白的会不会是一次性桌布。哈哈
好厉害！
这也不好看啊！
啊？
好了可以知道影视剧坑钱了
天呐 我小时候的梦想
加上白袖子瞬间高级了好多
以后古装的钱省了，哈哈哈
服了，这是天赋。
王熙凤
哇
小时候弄过这种
小时候要的就是这个效果
啊？
之前看过这个姐姐的视频，有好多套都很漂亮
有王昭君的感觉哎
啊？
青丘女帝白浅！！！
还有高手
我也披过被子跑。
啊？
哇偶哈哈哈哈
好牛
啊？
啊？？？？？
啊？
牛币
厉害厉害，BGM梦回小时候啊
啊？
很红楼梦
小时候想要达到的效果
？
啊？
啊？
啊？
天才！
好美
好厉害
啊?
这背不拔罐可惜了
太厉害了
我小时候看到得乐醒
好美
太牛了
哇！
6
啊？
666
卧槽
啊？？？？？？
这我是真佩服
啊？
？
我妹眨眼啊
她，会魔法吗
啊？
依萍，是你吗
我小时候为什么就没看到
牛啊牛啊牛啊牛啊牛啊
女儿国
啊？
牛逼
好靓
啊？？？？
牛逼
小时候就想这么干来着 哈哈哈
刚开始的时候本来想说啥玩意，好吧，这个是真的牛
我觉得好尬吗？
记得以前特别喜欢看哈哈
从下午拍到天黑哟！辛苦辛苦
实话说，我小时候就用床单这么搞
有没有男款？
没有男款？
啊？
啊？
我去，好好看！
不是青蛙，
啊？
啊？
啊？
太厉害了吧！
孙尚香
很美欸
啊？
好像西游记，好美
这个喷不了，这个是真的牛
出尘不到有着落了
据说拍电视剧就是这种
赶紧关注，这个是真的有用，现在关注以后就火了
寻妹眨？
前提：瘦
啊？？？？
bgm《上错花轿嫁对郎》
天才
姐姐，您去做服化道吧，真的，救救内娱吧
我小时候裹被单咋不会这么裹
好棒好棒
三条丝巾，换好几套衣服
太好看了
牛
像西游记里的嫦娥
真6
而且形制是正确的，哭了哭了
为什么小时候的我没看到
武媚娘！
其实都是唐装的款式
还挺好看
天哪简直是天才
这个好怕被勒
这么复杂，那我怎么解
啊？
寻妹眨
什么！还有！
哇塞，太哇塞了
本身古代的衣服就是简单的一块一块的步，穿的时候这样弄上去的
好漂亮呀，姐姐
牛啊
up好棒！
我妹眨眼啊
好厉害
御弟哥哥
西游记的孔雀公主
太厉害了
啊？
为什么小的时候没刷到
我小时候也这么玩
关注
这么大的丝巾不一定非得是丝巾，床单也可以啊
每一套都好看 牛
牛
这成本也太低了吧
66666
啊？
？等一下我是哪步没跟上
啊啊？
小时候最喜欢玩的游戏，家里毛巾毯子丝巾经常被霍霍
啊？
好看(๑• . •๑)
非要在外面穿吗？
啊？
怎么就变了
啊？
这个颜色emmm
这个是真好看
啊？
你们知道他为什么把手抬到肩膀那里吗？因为他的胳膊只能抬到那里，被他肩膀上的那条丝巾限制了行动你要是把手抬上去那你整个衣
女儿国国王
求链接orz
求教程！太美了！！！
握草
啊
啊？
好看
啊？
这也太牛了..
好喜欢上错花轿嫁对郎里面的歌
服了 甚至涵盖了不同形制
啊啊啊啊啊小时候的我怎么没看到
啊？
这个好看！
突然睁大眼睛
核心出装是里面的吊带
郡主
啊？
询妹眨啊
啊？
牛得B
金莲y是你吗
这身好漂亮！
啊？
啊？
？？？
？？？？
等我变性了也这样玩
这就是魔法！
孙尚香
女侠
寻妹眨
啊？
啊？
有人吗？有人吗？
红楼梦的感觉
好古香古色
古代人也挺热的吧
？？？
？？？？
？？？？
卧槽，这不是女儿国国王吗？
还有五套呢！
她会魔法吧
我靠
啊？
啊？
收藏了，然而我并不知道我一个大男人收藏来干嘛
我的妈呀，好牛
哇
天才
啊？
魔法
就这么水灵灵的变出来了？
666
天都黑啦
好强啊啊啊啊
我小时候咋刷不到TT
这
啊？
小时候自己用毛巾乱裹要是能裹成这样就好了
这套纯仙气飘飘
可以带货丝巾了
？？？？
啊？
不敢想象我小时候看见这个视频  会拿多少床单
啊？
啊？
啊？
