后面是放了一段视频，求职，一下就大火
行了，下单买游戏去
八戒你来啦，沙师弟你也没变呀
丁磊:我的身份证号码是。。。
暗区突围 和平精英 王者荣耀 第五人格....
《玩的不多》
3a啊哥
暴雪！
黑神话广智
我给百将行充了好几千，我是不是也算原始股东了
感情3A是叫3哎呀啊
大圣最后也妥协到拿钵盂送礼换回真经书
我和儿子一块玩黑神话悟空，他比我打得快，那时我老了，但也开心的笑了
有心了  这段真好
一个人能做到这程度，就已经意味着他不是一般人
《初见端倪》
藤子发力了
我不喜欢斗战胜佛，我只喜欢那个大闹天宫的齐天大圣
说不明白英语咱整中文也挺好的
《尕娃的小曲》
看下去，这是宝藏视频
猴哥!
《和平》
现在也是
当时？一直！
就说黑悟空也有悟空传的影子，还有人骂呢
斗战神
《腾讯》《网易》
劈棍，立棍，截棍
《整个小区的树林仿佛都在轻声呼唤我的名字》
强者发型
腾讯：腾讯：谁在夸我
文案牛逼
cs鹰角
2b手游倒不少
御三家:腾讯 网易 米哈游
米，猪，鹅
米  哈  游
米哈游
说米哈游的，人家手游质量是全球巅峰
米    哈    游
现在腾讯网易米哈游哪个不是
米哈游：你说的对
米哈游
米哈游完美对应
腾讯，米哈游，kl不都是？
鸡蛋里挑刺太夸张了，就是流浪地球第一部的水平，实事求是一点
腾讯，米哈游，网易照镜子吧
懂了，塞尔达抄的原
米：你点我名字得了
疼迅，网易，米哈游
mhy：报我身份证？
mhy：抱我身份证呢
米哈游走腾讯老路了
也没其它的啊 零分不也是最好吗
米哈游
米哈游
米哈游：确实
tx，wy，mhy，西山居，完美，鹰角，库洛（不是）
王者荣耀
腾讯和米哈游
米哈游
老米啊老米
米 哈 游
米哈游：？哦叫我呢
mhy:我们也是玩家
就这还有人说用一种武器很无聊
其实不止鹅场 ，国内基本上所有网游都是按照这套逻辑在做游戏
有些人别跪太久，这个游戏在外网都火爆了，别井底之蛙当反思怪
真的超精美，里面的动画也是，虽然不玩游戏，但是里面的所有我都很爱
我超？记得是我玩的第一款自走棋
口袋骑兵
我刚出生
程序猿是这样的
氪金
都想着赚钱
突然泪崩
如何让腾讯发财
百万文案
3哎
我滴妈说的太好了
真假美猴王已经是假的悟空了
把坠落当场舒适的滑行台阶
地下城与勇士
核心文化！
流浪地球在世界科幻是战狼二。。。
其实大背景很重要，中国如今在国外都是流量密码
高费用、高体量、高质量
？？？？？
中国目前只有黑神话这一个游戏算作艺术性的
不觉得
全球认为
117:似曾相识
？
百万文案
十年磨一剑
4m游戏
原神
一个想赚钱，一个想做艺术品，不一样
米哈游也很好可克可不克
算是要开始大闹天宫了
这个还你个人认为啊，这话是说不说都一样的废话
这回少说到手几百亿
杨奇也很强！！
看发量就知道了。
这不废话
《生物医学》
主要名字不是 Gokuu
00后当年都是暑假和大人一起看西游记
正确的
国内还有其它单机？
确实
泪目了
热爱可抵岁月漫长
玩透魔兽，设计个网游很简单
哈哈哈
宿命感
暗区冲突。
魔方。
流浪地球压根没法出海
？放假体验黑神话？？？？什么老板？
这下是真泪目了
比流浪地球强多了
确实是
星空本来就是3a
单机两个字可以去掉了
疲劳的是你自己的心，不是游戏
日本（咬牙切齿）
就记得打妖怪，哈哈哈。
死日子
个不个人无所谓无法撼动
网易也不遑多让呀
可惜了只有两个结局，但是我依然给9分，因为做的是真的好
牛逼
确实难打黄风大圣杀我30次
真神出现
只看猴子了
6
我给9分
支持
用不着个人认为了……
学长好
我只需3块大洋就能爽玩黑神话悟空，而你米哈游只有无尽的648，我才不想当冤种
md哭了
众所周知，逆水寒是5A游戏
徐阶
不争胜负，还说什么因果报应
果然是悟空传
黄风大人：打我试试简不简单
哥们儿别性别刻板印象啊
游戏还是有缺点的
永劫无间？真就拿头比啊
BGM：芦苇荡
三国杀你喜欢么
现在都是啊
四大天坑
在此之前，制作阶段，有太多人不看好黑猴了，现在已售1000万＋，啪啪打脸是真爽
银角大王噩梦
剧情也很厉害
真神！
陈泽是好人
泪目
文案真的绝
这个玩过，比云顶还早的自走棋
吹牛逼
文案牛批
斗战神白骨夫人前相当不错，之后就没啥玩头了
感动到我了
这肯定是啊还用说吗
斗战神就是动画里的鳖神，腾讯就是那个村的村民。
云宫迅音是我们的战歌和热血青春
女玩家也养孩子伺候老公还有长辈呀
还有收钱的ngo的抹黑
黑神话：赤潮
