我嘞个黑神话马喽啊
我嘞个三连
可以试试腾云式接乱点天宫
锁子黄金甲
我嘞个大圣打铁花啊
扣一送地狱火
别说我也学过棍
哮天犬给金骨棒配音
我觉得可以不用配兵器的声音
悟空的功夫练习当中ing
云顶棍
千手观音，大足石刻
你们不会以为这是特效吧(手动狗头)
才发现背景音乐是《敢问路在何方》变奏
黑神话吉吉国王
既见未来，为何不拜
王者:又有东西可以联动了
一开始真以为是cg
这个角色肯定特别容易上手 因为攻略我从小就看过（大喜
《极致还原》
还是忘不了黑神话吉吉
黑剑客十三
这是实拍画面，不是CG啦！
我嘞个黑神话:悟空
看到最后一段直接泪目了！终于等到了！
小子，看好了，硬币的力量是这么用的
这是实拍画面，不是CG啦！
大圣不是超英
不像，像甄子丹版
啥打铁花？
好活当赏
三连有动画啊！
游戏还没公测呢
太帅了，支持支持
说小丑的在现实中是真小丑
我们的青春啊
已经一键三连
乱点天宫！
！
帅啊
我嘞个实拍呀
6666666
牛逼
就凭你这个视频关注了
是您啊，那没事了
真的帅啊啊啊啊啊啊
碳花舞，非遗
我去，十三太强了
放下菠萝，立地成佛。
666
炭火舞
我靠
为什么可以这么帅～～～～
黑神话：范十三
牛逼！
牛啊!!!!!!!!!!!!!
这猴子有点矮啊
上一个视频就是低配版。用橡皮泥做的。
前面看过低配版的。
牛逼
you bad bad
找六小龄童指导一下
恭迎齐天大圣，猴子猴孙在此拜见！
必须一键三连
黑神金:极霸
棍子不用配音比较好吧…
大足石刻欢迎你
后面还有个高达的铠甲
哇哦
卧槽，真的一比一还原啊！你有币了
你玩真的？
突然想起来查大本事
广智，是你么
想哭
支持！
@南翔不爱吃饭
木炭舞
三连有了
音效影响
上链接。
火壶
帅气
火壶！
无敌了
投资俩个币
道具组牛逼
炭花舞封锁区——————————————————————————————————————————————————————————————————————————————————————————————
帅毙了！
广志先生帮帮我
恭迎天命人！
所以这庙里面有刀哥吗？
真手作
阿基拉刺客信条服装
《 黑神话·范十三》
能不能立棍doge
看起来不太聪明的亚子
碳花舞？
不儿哥们儿？你来真的啊？
又出发~
踏遍坎坷~成大道~
小子看好了，这两个币用出来会很帅
黑剑客：十三
广智！！！广智救我！！！
放开那个金箍棒让我玩玩
帅炸了
哇偶
帅
来个劈棍吧，蓄力三层的那种（doge）
gs音效难绷，像狗叫一样
卧槽 太燃了
帅
我靠我靠我靠我靠我靠我靠，
广智是你吗
求广志
太帅了
来个立棍
经典动作
我应该下错了，玩的黑神话广智
我去，我以为游戏呢！！！
《地球ol内置插件》
炭花舞
实拍啊啊啊啊啊啊啊
卧槽！打铁花啊?！
跑到这里应该没有卡莫那人了吧。
我是大足人！！！
有些人已经在开始玩大圣了，而有些已准备成为大圣
太酷了！！
三连有了
黑神话吗喽
[O  ohhhhhh]
一条e～大河～
比目睛睛甲！
看来是我的替身【能者先赏】发动了
范十三永远不会摘下他的口罩，就像西方不能失去耶路撒冷
安身咒
完了，漫展又要废手了doge
吗喽
如果手背上有毛就完美了
这是真猿神
上小黄车吧。
你币有了
啊，实拍？我还寻思搁游戏里面找地方录的呢
黑神话：十三
666，开桂了
123.4万播放
大圣（十三），收了神通吧
身披锁子黄金甲，头戴凤翅紫金冠，脚踏藕丝步云履，手持如意金箍棒！好大圣！
黑神话.广智
帅！
大圣。他不是超级英雄，他是我的神
这两个币是真值啊
三连支持！！！
头发梳得有点太周正
我买了黑神话
泰酷啦
棍花！
棍子带火！是你吗，广智？（doge）
666666
藕丝步云履，锁子黄金甲，凤翅紫金冠
真人广智！
无敌了
更新了踢我。
这个我知道！这个效果是加了碳！
前面的吉吉国王，我笑死
这必须是包三连的呀
只恨财力不足，没币了
我滴妈，这也太帅了
这不来一手乱点天宫（）
好帅我去
AI识曲
上个视频刚看了低配版
还有又又这个阿婆主也在模仿。
帅啊
不一样的三哥
在此恭迎天命人！
只识当年齐天圣，不认如今斗战佛
为什么我的硬币没了，我100多个硬币一个都没了！
广志
锁子黄金甲，凤翅紫金冠，如意金箍棒
棍花
buy拉buy啦
帅
赤潮啊
这就不得不关注了
三刷
.
帅麻了
山西
火钳留明
硬币为什么只能投2个
广智本体
你坐车随身带个剑啊
帅死了
大足人给你个三连！
背景BGM是《敢问路在何方》！好用心！
真的用心了
帅呀！
gpu爆炸啦
按F开始游戏
已经分不清游戏还是现实了
三二一，上链接
呂布？
这个风声是配的吗？好奇怪啊哈哈哈哈
卧槽！
大足石刻，世界级文化遗产。小时候去看非常的震撼
广智救我！！
哥们？你看看你的名字啊！
欢迎到我的家乡——大足石刻！
炭花舞吧
上链接
炭花舞
卧槽这么酷
nb
ps5黑神话
大足石刻土地，在此恭候天命人
我第一眼还以为这是游戏实况
？
天命人
来个立棍(狗头)
金箍是从才浅那里偷的。
猴哥你真了不得
别的不说 上连接
广智，助我！
？
催更
已经分不清是游戏还是现实了
地球online 黑神话悟空DLC
真的是少拿游戏动画吓我
我跟你说我可聪明的很，少拿游戏动画唬我
山西
谁的童年没有一个大圣梦，谁的中年心里没藏着一个忘了多年的猴子，黑神话一棒敲醒了多少沉睡在大人心里的那个猴儿
他刷棒喷火花，其实这还是一项非遗哦
好他妈帅！！！！！！
哈哈 感觉我自己越来越颠了
坏了 让他玩到真大圣了
来个大头
帅啊
牛B
有点像狮子，狮悟空
马楼：虎先锋三拳，我原地去世
好帅
牛，无法可说，一键三连献上
牛逼
好震撼
看得我想哭了
这才是网络该有的样子
不是  哥们 你来真的？
这个想最后要打的那个悟空
冷知识:未来指的是未来佛-弥勒佛
龟缚甲
在漫天神佛的注视下
布什·格么
啊。
为什么只能投两个币！！！
音效还有改进空间
广智救我
坏了没币了
我擦
我嘞个黑神话悟空啊
链接发一下
这个项目我王多鱼投了！
广志
5090都压不住吧
我嘞个黑吗喽啊
就这个bgm 刻在骨子里的感动
太牛了！
无敌
很好，你三连有了
主播辛苦了，必须三连支持一波
锁子金鳞甲。。。
黑神话 · 广智
帅啊
天命人
太帅了吧
帅
一瞬间怀疑是游戏画面
你币有了
三，二，一上链接。
原来我还以为是南翔呢
火壶
外国：等等你说啥？
帅帅帅帅帅帅帅帅帅帅帅
变身！启动！
重庆大足石刻
师 师 师 师 师
施主不如放下棍棒，也同我学一点佛法
春晚没他我不看
C: 烫烫烫
这是钻石版！带通关记录，出场就是典藏版！
我嘞个大圣先天圣体
身高还原原著
各位如果更新了踢我！
等下
大制作
帅
从最开始就看  到现在才发现居然没关注
这和音效太难绷了
不能戴啊
悟空打铁花
如果一去不回？那就不去
你来个立棍试试
我买 我下班就买
不要带金箍，齐天大圣不带金箍
我要看戳棍
差挨打的妖怪了
广智！
剑客，略懂棍法不过分吧？
是猴哥！
是炭花舞吗
或许你的动作片段里加上云宫迅音会更赞。
那些说翻拍名著吃力不讨好的人来看一看什么叫好的态度！！！！！
好用心啊。
！！！！好帅
摄影怎么量血条了？
这不比奥运会开幕式好看！
来个蓄力立棍
这甲胄太帅了！很适合收藏啊
等等这是真人？
这是一只外国面孔的猴子
我欲成仙，快乐齐天
什么 天命人已经轮回到现代了吗？
底下那个是灯带什么特效 ？？
无语住了
一招齐眉棍
帅炸了
这个火刀，没错，黑神话·广智
好的
我嘞个4k画质啊
耍棍的音效有点怪，其它很棒
大制作啊
果然有人还原这个打铁花啊
花棍流是吧
音效太拉胯了
还得是实景好 眼睛都开阔了，通透不少
第一眼以为是游戏
广智是你吗广智
广智呢？
你怎么啥都会舞？
黑剑客：十三
雾山五行，中的那句话。火浣！
帅炸了
NB
今日方知我是我
广智救我！
感觉广智适合
音效该改改了
我就说猴子是火系吧
锁子连环甲
应该让朱铁雄帮你衔接上
棍势
我超太帅了
币给你
好了，该我玩了
一项未来的非遗诞生了
黑神话13
大足石刻
剑客也有大圣梦
配音拉了
“金箍带上之后，你再也不是一个凡人。人世间的情缘不可再沾半点。”
我一开始把这个看成特效了
棍客范十三
是火棍不是火壶
悟空，你胖了
卧槽，牛逼
能天使？
打铁花
不是才浅的那个，那个后面部位是一个可调的环，这个是开的。但两人都很棒
去看过大足石刻 令人震撼的秀美 还想再去
我就说嘛，我怎么没看到这章内容，原来这个是现实实景拍摄，我还以为是游戏实时拍摄
精致
五情七灭镇
你好，天命人
空屏我的了
游戏里还原物理特性，现在现实中观察物理特性是吧？
道具组牛逼
经费爆炸
狗叫？
不是我衣服怎么在你那，还给我吧
音效让我想起西游记后传
上链接
谁还不是天命人
321给我上链接
重庆大足石刻
不对，这不是广智吗？
重庆大足石刻
新西游没你我不看
这个视角看不像黑神话，共向雄兵连
这币是攒不住了
刚看完潜才做的黄金金箍就来到这
这辈子都想当猴子
大家三连，回回血！
太还原了
我要这硬币有何用！
帅到我了
中国终于有一部好游戏了
别戴
宣发大使
bgm好评
不是哥们，你来真的呀
广智呢，救一下啊
我buy啦！
哇塞，这游戏粒子拉满（狗头）
俺老孙回来了
我了个黑神话吉吉国王啊
吴承恩凭一己之力用西游记养活了多少人
就这呀，我上我也不行
好酷啊！！！
吃俺老孙一棒
铠甲太大了。。。
帅
这个棍子的音效可以换一个吗
棍客
buy了，两天了还在第一关
你为什么要戴这箍儿？
玛雅
毛都分叉了
加油！！！！！！
你不说我还以为是在游戏里呢
你不会以为这是特效吧
落地即变，更加炸裂
小孩玩火尿炕！！！！
金箍和才浅打的不一样
才浅打的金箍
广智
大圣！
太帅了，十三
后来有人似你三分，我便慌了神
梦泪
这个金箍棒是炭花舞吗
颗粒感拉满
帅
这不是特效！！！
假使热铁轮，于我头上悬；终不以此苦，退失菩提心。——大足石刻开凿人赵智凤（公元1185年）
斗罢艰险又出发
广智救我
大足石刻之华严三圣
我的家——重庆大足时刻欢迎你！
舞舞生风
三界四洲，最强bgm.
啊？
炭花舞也是
不是，你来真的？
这紧箍是才浅打的吗？
偶哟 大制作！必须三连了！
我差点以为亮血条了
火壶不是中国非遗，打铁花才是
看好了，小子三连之力是这么用的
嘉然说比马文杰cos得好
牛逼
广智？？
我靠
帅爆了！！
这学完了，谁敢惹你？
我操，猴哥
将军盔
这是在烤肉？
身穿锁子黄金甲，脚踏藕丝步云履，头戴凤翅紫金冠！
身穿锁子黄金甲，脚踏藕丝步云履，头戴凤翅紫金冠！
第一眼:这画质开得挺高啊    第二眼:实拍?!
卡卡西悟空？
大足
真·粒子特效
应该演广智
粒子特效
boss，你来当！
不会一拳被虎先锋秒杀了吧？
我听到哮天犬的声音
原来是你
这是南翔的舞炭花吗
收下我的膝盖
雄兵连的即视感
我要这硬币有何用！！！
炭花舞！！！
全网第一个COS黑悟空的人嘛？
大圣啊～～～～～～～
挥棍音效有点出戏
游戏和现实一样的兄弟
这样帅啊！
cos广智？
太帅了
就凭这，你必有了
up这个视频经费爆炸了 大家多支持
时间刚刚好
十三啊，那正常了
悟空，你怎么拿着广志的武器？
音效让人反胃
我勒个帅呀
求BGM
敢问路在何方
有心了
没打几下by d棍就红了，好歹多打几下
做自己的天命人，去闯那天宫
下次cos广智
果然是黑神话广智
这是广志
一币之力
必须要增加经费哦
啊你来真的啊？
真人特效不如游戏 倒反天罡
诚意满满，给个币
广志是你
牛
注意听bgm那个钢琴，你挑着担我牵着马
真·粒子特效
中国甲胄的特点：披挂
音响砸了！
你币有了
帅
帅炸了好嘛！！！
坦克版六耳猕猴？
野原广志
众筹吧193万粉丝一人出一块
恭迎天命人！
244
不管怎么看还是觉得像游戏
这粒子效果好真实~
小子看好了，硬币之力是这样用哒
好帅！！太酷啦
游戏行业里程碑
中国文化自己3A大作魅力
灯光都是自己铺的吗
黄金甲
上链接
哇偶
真会玩儿啊。
既见未来，为何不拜
我天实拍画面
如果上天再给你一次机会 你会怎么说
我也第一眼以为是游戏画面！
哇！！这铠甲太帅了！？？
马喽
才意识到是这个实拍
太厉害了！
捆绑红绳？
好了该我穿了
无敌了
为什么你没跑起来棍子也能红（dog）
音效有点像狗吠
四川天命人签到
云南天命人签到！
火笼＋悟空
满级音效。
别戴这个
地狱火啊
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊斗战胜佛！！
说实话这个挥舞的音效有点私人
电脑没准备好
太帅了
帅炸！
牛
太帅了
都有点害怕伤到文物
千手观音
好活 当赏！
大足石刻
这个不是剑的音效吗？不太合适吧
帅啊
立棍来一个
悟空效果拉满
牛逼
光打轻棍 打重击啊
帅哭了
哇偶
你币有了
牛逼
音效太过了
纯铁棍很重的
后面的衣柜里都啥啊，高达都有
你玩真的啊
黑神话悟空不是一刀99999999，没意思
火壶？
金箍带上以后，你再也不是凡人，也不再拥有世间的情爱
站起来站的太草率了
锁子黄金甲
烤串
既见千手 为何不拜
猿神，启动
期待
广智
1
这不是CG啊
老k ：我靠
音效也是实拍吗
细碎的剪辑，穿插的画面
棍客范十三
居然是实拍
锁血甲
斗罢奸邪又出发，又出发！
这下可太帅了。
江湖不是打打杀杀
等等，你说啥？实拍？！
卧槽
链接发一个看不起谁呢
我哭了呀
我想哭了(┯_┯)
卧槽
大足石刻
不是吧阿珍 你玩真的
是，炭花舞吗？
太帅了吧！
nb
布什，戈闷
天呐
一币之力
既见蔚来，为何不buy
帅
支持
本大足人超级骄傲！！
啊啊啊来大足了！！！！
明光铠！
卧槽！
差个虎先锋
看了三遍 反复确认这不是实机演示 是实拍
我不是什么超级英雄！我是花果山齐天大圣孙悟空！
不是，手搓盔甲啊
金猴奋起千钧棒
刚刚有点像终极战斗仪哈哈哈哈哈哈哈
经费：去做你们喜欢做的吧，不用管我！
你不火谁火
我要做齐天大圣!
后面柜子还能开高达。
这一身行头得多重啊
老k的衣服？
黑神话·刀郎
背景音乐简直爱了爱了 那是我童年的回忆 86版 西游记 主题曲两首
在此恭迎天命人！
金箍我要了
啊？
明光铠改过来的啊，还搁着刺客服都出来了？
重庆大足石刻
大足
帅啊！
才浅做的金箍哈哈哈哈哈哈哈
顺便把才浅做的金箍戴上哈哈哈哈哈哈
會立棍嗎
没说的，三连
用心了，辛苦了
帅爆了，
入了次番回轮，就别想轻易涅槃。
这次一定
音效差点意思
这硬币还留着干什么
哇喔酷
小子看好了，硬币之力是这样用哒
吴承恩从影视业转战电游业
太帅了
黑神话·广智
牛逼
好棒啊
666
就差个老虎了
卧槽  老范
上链接，必须要当齐天大圣了
碳花舞
握草？
斗罢艰险，又出发
CG
因为他善
我去，太帅了
六耳猕猴
牛批
大足石刻诶！！！！！！
帅得嘛，就不谈
漂亮
加油
只能投一个币了
这个棍声有点败
他好酷
大手笔啊
帅
太帅了
太帅了
敢问路在何方，路在脚下
一链三连你值得
又出发
帅
速度真快。
敢问路在何方，路在脚下
火应该是沙子
buybuybuy
这棍有点沉啊
天兵是银盔，大圣是金甲
了解你的捍卫者
帅气
剑客《剑客》
这bgm太喜欢了
已三连！太棒了
帅啊
黑神话：广智
独具匠心
流弊
好了，我的衣服和棍子可以还给我了
精致
黑神话悟空
真的好帅啊！！
至尊宝本宝了
帅
牛逼
帅！
66666
这个样子，估计漫展不敢让他进……
酷
去掉甩棍音效会更好
支持高质量创作！你值得！
好玩，使的rX 5700叉t旋转
敢问路在何方，路就在脚下
炭花舞
这也是3A水准
藕丝步云履：所以就没我什么事儿呗
我以为是cosplay
这画面感比游戏还强啊
当你穿上这套装备就不再是那个普通人
《论黑猴养活了多少up主》
我留着这币有何用？
想要，上链接
华流才是顶流！
太帅了太帅了太帅了太帅了太帅了太帅了太帅了太帅了
视频里的是炭花舞！！！
不是才浅那个，那个是伸缩扣
帅爆了
帅！
天命人
少侠请受老夫一拜
坏事儿了，没币了
剑客范13
好真实的样子
界·悟空
魔悟空
为何不buy
肯定是纯金的呀，刚都在染色了
最近，游戏相关，两只眼睛已经看不过来了
别加这GS音效行嘛
这做饭愿你多恰
up主被烫到了哈哈哈哈
黄铜
阿米诺斯。
哟，大足石刻，千手观音
大足
这是男人无上的浪漫啊啊啊
哇૮ ⚆⚆ა
我第一眼真以为这是游戏画面
帅
请选择你的英雄
大足石刻！！！
除了牛逼，就是牛逼
背景音乐是钢琴版的《路在何方》
九百八一根火棍
可以拍电影了
欢迎来重庆大足石刻
脸都不对啊
熟悉的音乐，那熟悉的童年
万里追云履
挖槽
给我玩，给我玩。
我就当我瞎了
这bgm钢琴版敢问路在何方太带感了
厉害
不是哥们？
猴脸宽了 要是小一点窄一点就好了
怪我太鲁莽了，装进雷音寺顶撞了佛祖
太帅了！
不能在走了，在做师傅就没救了
挥舞棍棒的配音好单调
大师兄，咱们要逃到哪里去
里面放了木炭
听好了金箍棒我要了。
好有钱啊，这些都是真金。
重庆大足
已经分不清这是游戏还是现实了
太帅了！更喜欢大圣了
做大了
每个小男孩的梦想就是成为齐天大圣！！！！！
真.天命人
啊？真人？
除了身高不够  体格不够
感谢博主黑神话给我们湖南张家界宣传
大圣
呼呼呼呼呼
格雷修
就是小短腿doge
实景拍摄的话注意保护好文物哈
棍势叠满了
这口罩是娘胎里带的呀
擎天柱好像不够长
铠甲上链接
赤潮
漫展需要你
武器配音差点意思
2000十
这老师也是一个大博主
啊？
他亮血条了！！
这个叫火狐，不叫打铁花
喜欢不上是你的自由，希望你言尽于此，观点表达完要是再踩一捧一我可就不答应了
这是实拍画面？我嘞个都
打野我都是用猴哥
有点厉害了
猴哥，是你回来了吗？
那个是铁水
这个绳结……
已三连
前面说火壶的，这是火棍……
不用说了，上链接!
千手观音
猴哥归来
只能说有钱真好
大足石刻欢迎大家
牛
下跪加地边白，就像我上三开血鬼术一样
凤翅紫金冠，锁子黄金甲，藕丝步云履
那个狼？
黑社会·悟空
手没毛啊，不是说极致吗
君宝戴上这个窟。。搞错了
哦哦哦哦哦哦
想好了，戴上金箍，你就不在是凡人了
初音牛魔
阿真 你来真的啊
我绝得可以把特效声音去掉
去找才浅把他那个金箍要过来
快从评论区抽奖，我要去穿一下
你猜猜他练了多久
好帅呀
经典名著阅读
