坏了，吃的是我的大脑配置
吃大脑配置是吧
啊？
啊?
天才！
666盐豆不带盐
这个我会
赢了是桂，输了是仁济
这个游戏确实挺吃配置的，吃玩家脑袋的配置
省流:吃的是大脑配置
灵魂汁子～浇给～
赢了就是开了，输了就是仁济，B站是这样的
666盐豆不带盐的
啊？
省流：吃的是玩家的配置
？
啊？？？？！！
吃的脑子配置
丸辣
啊！
cnc
省流：大脑配置
我脑汁呢？
天才
诶嘿诶嘿，看不懂，我玩维什戴尔的
这个入是挂
糟了，好像真有点难
c，这虫子比我聪明
小虫子：那我就祝你了
啊？
天才
目前不知道怎么赢
困住了，悲
这个我会
啊？
头好痒！
？
？
6
配置是大脑是吧
？？？？？
布什戈门？
布什·戈门
的确吃配置，可惜是大脑的
啊？？
也没说是人脑的配置啊，还我脑子
这题我会!
等等？
NB
不是，哥们？！
啊？
啊？
看着挺难，实则一点也不简单
我是农民，这就是甜菜
啊？
聪明蛆芽
啊？
黑龙的邪眼
难道他真是天才
要来咧
甜菜
牛
？？？
？？？
有点太费脑子了
啊？
What the ***.
啊？
啊？
啊？
步豪!这个真的吃配置
金金金金金金金金金金金金金金
？？？
啊?
蟹阿金
？？？
我又回来了
啊？
这只虫子在吃我的大脑
这不对吧
眼睛突然睁大
天才！！
啊？
马萨卡
雕刻大师
这个会降凭啥其他的不会下沉啊
吃脑子的配置
我CPU了已  烧经
啊？
？天才！
卧槽
啊？
太吃大脑配置了
？
啊？？
有点意思
天才！
天才
？
？
欸这个我会！
超纲了
描边大师
蟹老板
原来配置是脑子
啊？
演不带演的
这个简单
蟹阿金
啊？？？
啊？
啊？
啊？
一人一局，这把到你了
脑子转了一下
初见端倪
天才
啊
啊？不是
啊？
？
？
奖杯来的
啊？
？
啊？？？
？
脑子没了
不是等会？
头痛头痛
脑袋烧了烧了
不对…有问题？
？？？
这是蟹阿金吗
？
完了，我傻了
这个虫我认识，我小学的时候它就坐我前面那桌
啊；
这只虫虫是天才
?
666，腌豆不腌
要长脑子了
可以想象成俄罗斯方块
没关就是开？
啊？
？
黑龙的邪眼doge
啊？
这是我见过远超人的脑子！不像那些个每次都失败的傻呗
天才！
等会，没反应过来
这虫子吃的不是饼干，是我脑子
啊？
确实吃配置
不是？？？等会
真.蟹阿金
蟹老板
？0？
我靠
吃的是大脑配置，而不是电脑配置
牛逼
66
啊？
稍加思索
啊？！
脑子要长出来了
徒手搓声卡（不是
虽然看着很难，其实一点也不简单
啊？
吃cpu是吧
啊？
？
啊
这是章鱼哥的 压迫者吗？
有桂
?
天才
终于碰到会的题了
啊？
天才
啊?
啊?
这个我也会
啊？
吃的是大脑配置是吧
啊？
啊？
吃我的大脑配置
不可能
啊？
啊？
啊
啊？
先天蛆虫圣体
坏了真的吃配置
？
啊？
？
？
我去，还有bug
啊？
欢迎回来
啊？
天才
等下，是吃玩家配置吗？
啊？
螃蟹网卡
布豪！
原来是吃我的配置好
原来吃的配置是我脑容量。。
CPU烧了
？
我是个logo
这配置有钱都买不到
666盐豆不贷盐
奖杯来的（罗太音）
坏了，是吃我的配置
比我聪明
这大佬确实吃配置
啊？
啊？
黑龙的邪眼
？
看不懂思密达
啊？
啊？
看了一会脑子疼
？
瑞昱
啊？不是，没看懂啊
黑龙的邪眼
为什么看着这么简单，却那么难啊
这关你先玩吧，我等会在玩
你就玩吧，一玩一个不吱声
确实吃配置
牛鼻
啊？
吃大脑配置
？
你等会？
头有点痒，要长脑子了
不是等会？
不是个梦？
啊？
啊？
别急，让你再玩一会
不急，你先玩会
全集唯一会的一步
脑子冒烟了
机智
？？？
啊？
谁家CPU烧了？
蟹阿金
欢迎回来
看到大家都在懵，我就放心了
贪吃蛆?
天才！
这我学集贸啊
啊？？
难他天
啊？
这个我上我也不行
可以看出来，这应该吃的是大脑配置
啊？
突然觉得原神也不是不能玩
长脑子了，终于长脑子了
？
啊？
啊？
吃大脑配置是吧
好了，该我玩了
发生什么事了？
啊？
？
？
太吃配置了
啊？
你玩吧
？
螃蟹黄金的
啊？
发生甚么事了？
？
？
啊？
这游戏看着难，其实一点都不简单
啊？
到我玩了
啊？
嗯，这个也还能看出来
？
啊？
？
出游戏吧迫不及待想玩
这下看不懂了
奖杯来的（萝太音）
啊？
啊？
不是各门
这题我会
吃的不是电脑配置是人脑配置
？
？
？
输了会说展示容错，有的素质堪忧的说仁济
白色一坨
你再玩会儿
可以停，他却这么快
甜菜
啊？
这我学集贸啊
很喜欢b站人的一句话
我超这怎么玩
啊
脑子要炸了
坏了，我成人机了
看似很难，实则一点都不简单
坏了，冲我来的
坏了我脑子不够用了
啊？
啊？
nb
原来是大脑配置
6
啊？
啊？
原本以为吃的是电脑配置，没想到是大脑配置
这回真丸辣
吃大脑配置
nb
我的脑子已经被爆扣了
蟹老板
有点吃配置啊
啊？
欢迎回来
演都不带演的
啊？
啊？
这个我会
欢迎回来
想养一只
开了
初见端疑
月吗？
完了，我都看不懂他下一步要怎么做
这种思维是我没有的（做不到的）
啊？
不是
啊？
丸辣
欢迎回来
我是农民，这就是甜菜
666这个虫且是桂
开挂了，没意思，不开挂通不了
这种游戏我是一定不会玩的
欢迎回来
曰
666这个入是桂
坏了，虫子比我学的还好
吃大脑配置罢
啊？
大脑配置吗？
我吃了这条虫子会变聪明吗
懂了，游戏名叫:坏了！太吃配置了
月
这虫子学机加工的吧？
?
坏了，太吃脑子了
人工智虫
指大脑配置要求
6
原来是这么解决的吗？
这空间感太强了
啊？
