老毕登
七十二斩接重斩
布什戈门
到斩杀线了
大圣小曲
随风而去吧！
风灵月影
省流：从头控到死
已经猜到了
帅
第一次看到用棍子凌迟的
火魔破
二周目就是爽游。
虎先锋：我tm犯天条了？
虎先锋: 完了，真给那猴子修成大圣了
《黑社会·悟空》
我二周目也这样群殴他
苇名厕所
满血斩杀线
猴戏
点赞11.4万（大喜）
毛流才是顶流！
虎先锋：我打大圣？真的假的
一万宝鸡
这都二周目，肯定吊打了
虎先锋:丸辣
轮件流
旁门左道
我靠一遍过怎么回事啊？
绞肉机
毛毛流 就是神！
乱棍打死老师傅
细节扩散减抗
一插二定三猴毛
我的妈呀~~
省流：螺旋升天
核心出装
虎先锋：我去，挂
乱拳打死老师傅！
72斩加重斩
怎么感觉在打刀塔
三星天将圣贤孙悟空
打完收工
大圣！快收了这神通吧！
绞肉机
扩散减抗
这个很难吗？
？？？
就知道欺凌弱小，不是大圣所谓
踢罐是吧？
厕所，老八
不是哥们
好强的交互啊
造梦西游3悟空七十二斩接重斩
墙角惨案
核爆
虎先锋：下一站，上岸
讲究
《多猴轮剑》
论剑了
这就铛铛了，开二阶了是吧
45度斩虎台
乱棍打死老师傅
没吃药。还能凹
增伤、减抗、打
起手知流派
虎先锋：猴哥他群殴我呜呜呜！
潮汕手打虎肉丸
这不造梦西游吗？！
好机会bushi
黑魔法：悟空
虎先锋：我看见太奶了
绞肉机
天龙棍都做出来了应该是三周目了
一顿圈儿踢
尽一切恶得须陀洹，然后布施远离诸苦，受苦众生令得解脱，怖畏众生令得远离。
花果山水帘洞十三太保听过没？我就是老大
虎先锋：求佛
领域展开
黑社会·群殴
这特么才像齐天大圣嘛
虎先锋：丸辣，真大圣来了
哪吒の小曲
省流：群殴
大圣，快收了神通吧！
啊？不是各门，这不对吧
二周目玩家发来贺电
虎——先——锋
？？、6B
纳尼？
无伤打虎先锋
七十二斩+重斩？
梦回造梦3
血池？
虎先锋：你看，邮寄
毛毛流
七十二斩重斩
《黑社会·悟空》
虎先鋒：丸辣
虎先锋还卡上点了
七十二斩+重斩
加纳
大圣3世转命
特攻先锋群
D出三星猴哥了是吧
蓝拳插图腾是吧
丸辣！
大圣！快收了神通吧
造梦西游的残党   这招很熟悉
盗视屛的没沐
到斩杀线了
卧槽
啊？
天下武功出墙角！
黑社会·悟空
省流，墙角惨案
回来报仇对吧
一棍敲死猴头梦
时间差不多咯！
开始猴戏
乱棍打死
飞起来
毛毛流
省流：造梦西游派
啊？
我说怎么这么熟悉，很像横扫千军
这是真大圣
论剑
七十二斩接烈焰风暴
黑社会悟空
时间差不多咯
黑帮流 悟空
黑社会·群殴
长棍！杀到！
？我嘞个开局二阶
虎头留着下酒
卧槽
猛虎抵不过群猴
黑社会 · 悟空
菊花不保
回新手村大杀特杀！！！过分了！
丸辣!
牛逼
啊？
乱棍打死
虎先锋不配用芭蕉扇
虎先锋：丸！！！辣！！！
没触发剧情就是死过了，说吧送了几个猴头
虎先锋:丸辣
卧槽？
看技能知流派
牛逼啊
查个灯球
苍角展旗
Just  do  it
血条清空术
抡语
帅气！
省流:七十二斩+重斩秒了
好帅
1000+
大仇得报，喜欢卡墙角是吧
二阶段天命人
请求集合！论剑！
毛毛流
减元素抗性
天命牌绞肉机
正义的群殴!
黑神话有自己的厕所
乱棍打死
爽！
真大圣来了
你是来报仇的，我就是想证明我失去的尊严我一定要拿回来
我好像知道接下来要发生什么了
要来力
虎：哪来的猢狲，不对！是那弼马温！
厕所位
虎先锋：丸辣！！
这一棍子下去怕是有点痛哦
二周目一路火花带闪电
这是来寻仇的
捣蛋鬼别捣蛋
我是华山派的，师傅告诉我这就是论剑
丸辣！
让我想起了我玩怪猎的外号……秘药猎人
猴先锋
打脚
烛光晚餐
经典开局
绞肉机
有一种造梦西游的感觉
一周目你叫我猴头我不挑你理，二周目你叫我什么？！
这就是论剑！！
k神是一种精神
七十二斩加重斩
三国战记定天书？
毛毛流
步豪
尼玛又见墙角战神
乱棍打死
必杀！登龙剑！
啊？
都二周了还花里胡哨的猴戏
先附魔
七十二斩+重斩
你是…顶级修脚工
笑死我了
完了，天命人开二阶了
想起硬控2.5秒
丸辣
群殴
这不是盗的视频吗，几天前就看过了
苇名厕所是吧[怒]
正义的群殴
猴哥，你棒棒糖插边上不要了么
颠勺
黑社会 悟空
怎么有监管开二阶的声音？
就离谱
好家伙
论剑
乱棍打死
场面一度非常混乱
天才
太残暴了
乱拳打死老师傅
？
？？？？
各位老爷门给UP三连吧
