这个真的是实话，体制内加个篮球队对社交真的好处
人话:能输的滴水不漏
张哥の奇妙歇后语
鬼故事：进度条
上来就是高端局我也整不明白啊
什么神仙歇后语哈哈哈哈哈哈
但是我们本校研究生取消了，因为太烂了没人考
哈哈哈哈哈abandon第一个单词是吧
《重口》《猎奇》《仁寿》
入典！
核心出装（
奥德彪炖香蕉（bushi）
《张哥定场诗》
“是这样的”
我打4399还真只玩无敌版
左脑缺失指令集 右脑缺失运行库(doge
张哥我当rapper可以吗
《往期回顾》
每日神奇歇后语1/1
《赛博中医》
《全唐》
up对学生会评价真到位
985也坚持不下来
蚌埠住了
哎呀，都是为了为人民服务嘛！当然有用了（doge）
坏了我上了985  怎么办张哥
985，从小到大，假期计划没完成过一回
坏了，我真是985
那如果我真是985呢
我才211，差985是差点哈
我985好了，感觉这辈子有了
我就是985新生，看张哥视频感觉这辈子有了
哭，可是我是211啊（
学习是暂时的，辛苦是永远的
张哥怎么不推荐我搞对象 我要狠狠繁殖！
死于非命笑死我了
幻想时间
还真是，全市最好的乒乓球馆里全是体制内的老大爷
你要说这话我可就不爱听了
爬山（舒适）
戒戒说得对！
实话的，高中成绩进步是父母逼的(●—●)
实话
nnd毕业了才刷到
还真是
听音乐算吗
rapper怎么样张哥
还真是
不好意思不玩农
别骂了别骂了
大实话
别骂了
还好我考试从不作弊
ps找之前打听一下口碑
今天背明天忘
我要当raper！
我还真是985
有没有可能985也坚持不下来
985 但坚持不下来
别骂了别骂了
长跑（骄傲）
985表示坚持不下来
0帧起手哈哈哈哈
不是，我真是985
@戒社
还真是
专精装（
确实
对的
别骂了我朋友破防了
"True, dude"
别骂了别骂了
这种还有小朋友指出也是这辈子有了↑
我清华了
支持
支持
不旷课超过80％的大学牲
不挂科就不错了
算了，我决定加入兄弟会
玩游戏哈哈
maimai算吗
开始做梦！
还真是
张哥说的极是
坏了，怎么凌晨五点了，哦原来我还没开学，那没事了
就是艺术生怎么办
“我不懂肉，但我懂你”
万一真的985呢
确实
我是眼低手低
搞不成就二战！
我还真是双一流
好骂
核心出装
前面是稀的，后面是干的
还是好人多啊
完了骂的是我
笑死我了草
大专以上 也来听听了
正片开始
千万不要加学生会！！！
我真这么干。。。
第九艺术也是艺术
没事，宿舍十一点就断电了
话糙理不糙
张哥真教干货了
一说这个弹幕985就多起来了，哈哈哈哈，太典了
哈哈哈哈哈哈
哈哈哈哈哈哈哈
想屁吃呢兄弟
别骂了，别骂了
太对了哥
我曹，喜欢第九艺术，原神，启动！
哈哈哈
上大学先学抽烟喝酒还是先学rap
UP三年前是聊摄影的，我当时就是因为玩摄影关注他
企业也是一样的
汗流浃背了
女生呢
太对了，我是从小学三年级就经常熬夜睡眠不足，初中成功得了桥本甲减，现在得终身吃甲状腺激素
所以把能坚持听课当成了计划。。比较现实。。
那我考6级一个月背一个单词可以吗
cos成本太高了
别骂了
哈哈哈
别骂了求你了
没事985也坚持不下来
骂的我好爽
《自我介绍》
主要是被逮到两个人都没成绩
好！
已经毕业了
还真有985
还真是
完辣
省流：干干干！！！
稳了
都说了是中医不是西医
一学期挂了三科，现在老实了。
确实啊，翘了一学期早八
我念的最强双非，比好多211强呢（自豪
看了张哥，感觉自己这辈子都踏实了，谢谢张哥
奇拉比被歧视讨厌的时候，还真在rap
省流：忍界大战三百多集实际就三天
过家家哈哈哈哈
我还真是
哈哈哈哈哈哈哈哈哈哈
说得好但我是985
学生会说人话就是免费的苦力（
骂的不是我，我才16（
实话说一天五个都很不错了
（一再强调）
真实住了
哈哈
为什么我上大学那会儿没人和我说这些
俺是踢球滴
打游戏为啥不是爱好了
中医确实也要背英语
太真实了，张哥你怎么就不早生4年呢
中外合办哭了
嘻嘻
我的评价：上大学必须得爽!不能苦了自己(doge)
+一心会
我都双非了你猜我们学校有没有硕士点
十万伏特！
台球！商务杆法
英语学不会可以去学中文吗
还真是
别骂了别骂了
真的，大学培养一两门喜欢的兴趣爱好很重要
高中的时候已经把爱好培养完了，篮球 乒乓球 吉他 滑板 现在想学摄影了
一毕业了的：好看，爱看（Doge
"你在骂,我那是二本正经本科"
也不是吧，我也学了一个学期才考上的dog
哥们牙缝是真大啊，看得我出戏了
哥别骂了
文明七明年二月份出了，大学生有得玩了
说的是真的，进去了还要早训，整天都是信息轰炸忙来忙去不知道在忙啥
我的保研名额，被人抄下去了，大家都知道他是抄的，可有什么用，人家去了985，我现在在厂里当牛马
好，我做到了！
可以改背俄语的吗
行走的威化饼
吓死我了，还好我不玩农，终于不用被批判了
刀子嘴电锯心
渐入佳境啊张哥
