指认的人只知道贝动了手，当时摄影小组是旁观的
为啥摄影小组没被抓
代表镰刀和锄头
人還怪好的咧
？被长笛穿了
恐怖片里的摄影师都太敬业
我也能控制鼻子，耳朵动一动
没指控没证据
坦克打桩机
不是up一直都是摄影师视角啊，弹幕在说什么
前面预言家刀了
哦上帝，他简直就是一个天才
原片就是这样的
jo良jo影？
小孩都能杀，欧美不是不能这么做吗
惊叹的是这种影片能被允许上映而没被列为十大禁片
怎么对面也有摄影团队啊？
《暗中》
我靠，边唱歌边做这种事，太压抑了吧
长沙人的朋友都知道
一个紫龙，另一个看着像童虎
终究是天道好轮回苍天饶过谁
我洗一遍就忘了（doge）
小孩：这就是身法
应该是外国人的膨胀率比较低没有亚洲人的有弹性
这是故意拍出来的病态，说实话就算当年是真的也没啥，近代现实里发生的更病态的多
没看懂这段，啥意思啊？
普普通通上班族
因为老乞丐早都饿思了
发条橙青涩版
万一他把拍摄团队全杀了怎么办？
这场景就明显是拍摄了 撞一下就那么多番茄酱
《职业风险》
狂躁扎耳的枪声更能让人体会到开枪这件事的沉重性
夺命邮差
因为观众带入的是摄像头视角，担心“自己”被抓
不是法国人干什么职业都这么松弛的吗
磕到后脑的某处了就会抽抽，很多车祸锦集里面会出现
不是，磕到后脑勺了
逐渐成为角色
猜测是因为开了他情妇的玩笑（磕避孕药）
前排提醒：该片为伪纪录片，出演均为导演亲朋好友，情节虚构
可以去维也纳考试，然后落榜【doge】
真的不敢想象如果去电影院一下看完会有多压抑
小孩：丹砂！
这下知道了……
这小孩要是不喊偷偷溜走
等等，那个泥里好像有个手
蓝色代表say my name
石膏板做的地面 可以确定是法国了
收音师太难了
老奶奶：布什，戈门
莫名有种《发条橙》的质感
零帧起手
《没啥区别》
果然是帮凶，如果是凶手一个人，这个小孩说不定能跑掉
《有经验的朋友》
《职业》
贝罗特被小孩哥溜了？
曼波~
有点像普京
不行了，看不下去了，这种类型的电影对我来说还是太超前了
摄像头不能掉，主角不能死，所以死亡率最高的就是收音师了
前排提醒：该片为伪纪录片，出演均为导演亲朋好友，情节虚构
前方钻石加一
这里慢放会发现根本没砸中，手下落的位置和距离也没碰到，而且在凶手刚举起手时受害者已经在开始抽搐了
前面的你猜猜镰刀和锄头是挥向什么的
蚌埠住了，牵制监管者60秒
老外的膨胀率比较低，
遗憾
天才
因为你是䈉崥
只能说是不正常的人是不正常正常的人并不会代入到变态的视角。
fw
迭戈马拉多纳
细说吹曲
好好好
九 一 新址[ze67]
处牲
小孩mvp
NTR！
圣斗士在法国超火的
还抓着报纸emmm……太敬业了
这是拍纪录片还是当帮凶呢，
诸如两倍正常人，三倍小孩和老人四倍
?zhes
这播放量离谱啊
我超？
卧槽
离谱
啊？
哈哈哈哈
操
说帅的你真是饿了
水泥埋尸水泥也会爆开
只有敬业的摄影师还在拍，不逃跑。
BYD还挺博学
观众们都是好学生。
每请一个摄影助手就被干掉。助手太倒霉。
不要这样，你会习惯暴力的。
背后的原因令人暖心
小技巧
这么沉吗？
懂了懂了
某猴子饭团哈哈哈
小孩和老人的骨密度差 所以要多绑一些
紫色人称寡妇紫
哈哈哈哈
绿色代表孩子不是你的
不像演的
的確有道理
小人物最多就是一串数字，特别的上热门的除外
出租车司机
这是伪纪录片……
伪纪录片啊，不看标题就
智慧的眼神
救护车
我服了。。
他妈妈也被仇杀了，和瓦莱利同样的死法，只不过屁股里的凶器由长笛换成了拖把
土匪与强盗
三人成虎
浏览器去搜一下就知道了
我不洗也不会记得
哟西
这个伪纪录片里的主角演的确实像个出生
派崔克：nm
看嘛？
你怎么知道是假人？
学到了
第一人称电影
可怜的老奶奶
老太:我不是很开心
长得和普京好像
有点无聊啊
不是，这真是演的？
你又代表上亚洲人了？
我是关音菩萨 你猜我为什么在这
这个主角是那个控制不住自己笑场的主持人，有印象了没，嘲笑嘉宾声音畸形的。都是搞笑短剧
学会了
这么硬吗
艾伦：你也想变成鸽子？
这个变态杀手好有才
我代入了小孩和那对夫妻
前面的你要谈意义，那其实没有任何事物是有意义的
犯罪的人才
太真实了，医院里的护工看到没子女的老人态度明显比有人照顾的差
被疼死了
消失的夫妻
爽了！
让子弹飞
我舔一口就忘了
