下次没了广智，你还能悟空吗？
看好了孩子，硬币之力是这样用的！！！
悟空是悟空，我永远也不会是悟空，我是那个哑巴猴子，也是那位独一无二的天命人
我永远不是大圣，但我可以成为下一代大圣！
这里八戒已经把新人当自己人了
跑哪儿，回高老庄？
“这次是为了我的哥哥们”
我们可以是齐天大圣，但绝不是孙悟空
知道为什么最新一季没有吴大师了，原来到这里配音了
我是禁字觉打过的后面几章
没事的可以入门开挂
广智！！！！！！！
到达胜利之前，无法回头。
还有广智
我即是悟空
帅！！！！
下次没了广智，你还能悟空吗
给个台阶给你，但是以猴哥的性格这个台阶他是不会下的
他要是知道我已经打过了二郎神（狗头）
我已无救 何必回头！
我悟了！大师！
猪八戒知道对面这玩意多可怕 那真是他大师兄
我这一路，过关斩将，就是为了见到大圣
俺老孙走了这一路就是为了这一刻，走？不可能
《广智救我》
完了，走马灯了
叮～
然而天命人就是悟空转世
我已无救，何必回头！
广智救我！！
见性方可成佛
我已无救，何必回头
集齐五件神器，拿着如意金箍棒，便回不了头了
瑟濂老师
见多识广，我也喜欢用广智，哈哈
逃跑的路已经被空气墙挡住了
我也想跑，但是法环没有空气墙
回土地庙不怕空气墙
广智救我！
悟净：？？？
可我要的是齐天大圣的名头啊！！！
"金猴奋起千钧棒,玉宇澄清万里埃"
报菜名是吧
可是，这才第一阶段啊
我已无救，何必回头!
一路走来，那可回头？
因为主角是悟空，所以不会跪也不会跑
师弟，我已无路可退
有空气墙啊
意就是在这
若要一去不回，那便一去不回
我已无救，何必回头
悟空、悟能、悟净！
我也想跑啊，但这就是天命，我是天命人
下一次，我想先救悟能，然后再救悟空
悟净:世界愦忘我……
不打他，我没法通关
开弓没有回头箭，唯有直面天命
二叔，你说过，拿起这金箍棒，我便无法回头
神！！！！！！！
悟净：我无所谓
叔，我已穿上这件齐天套，便已没有回头路
天命人：赢不了？我听不懂
有广智就老实了
战 绩 可 查
打架时千万不要想走马灯
我也想跑啊，但是他有空气墙
提示：你已经看了很多遍了
齐天大圣！
就算样貌一样，着装一样，本事一样，我也不是悟空，我就是我!
手机相册：丸辣！
跟我老猪回高老庄
到达胜利之前，无法回头
到头来还是一场空
沙僧死了吧
金猴奋起千钧棒，玉宇澄清万里埃
吴大师的声音
大圣防水，也是希望天命人能够成为下一个大圣
bgm是Wasted
我早已无法回头
+-*7
无法回头，那又如何
别在那喊广智广智的广智有多强，后期基本不会再用了
叔，我们已经走到这里，无法回头了
如若无能岂敢谈空
风紧扯呼
这一路的历练 便是我接受他衣钵的理由
