梅山二郎翰
送葫芦的就信袁
大战（一滴血没掉）
那为什么四大天王也在这个画里？他们可不是二郎神的亲兵
《斗战神fo》
大圣不死，就不能摆脱金箍，所以大圣必须赴死才有真正自由
打工人现状
难怪牛哥总有艳福，该死的牛格魅力doge
大狗狗！
肌红蛋白
因为他打石头人会给你涨能量条
悟到：肚子越摸越大
原著里二郎神和大圣称兄道弟关系好着呢，都是坦荡荡的人物，实力又不相上下，大家惺惺相惜，最主要，都是反骨仔doge
大哥X4，郎君X1
还不结束啊？再不结束天庭就姓杨了doge
这是我最后的波纹了，收下吧天命人!
故人坤坤doge
根器：猴哥的二弟！
梅山六兄弟就是封神后的梅山七圣，只是袁鸿死在了山河社稷图里封不了神，所以变成了六个
对不起，我是警察
措不及防的结束，那就重刷一遍顺便催个更
我觉得是梅山七圣 里四都尉里的姚公麟 姚都尉 头带斗笠 光头~UP主说的事封神演义里的八怪
就拥有了钢铁般的意志
万物皆可精讲哈哈哈哈哈
别再剧情剧情的了，先买个游戏玩玩看自己心里就有数了
竟然是你
道观
再长些，再多些，俺老孙看起来不顺眼
哎，梅山兄弟和二郎神默默付出
原来这也可以精讲
青雀
只在肝一件事情
重头还是催更!!
万物皆可精讲，你是1900…………开头没了，味都不对
啊，你也干了，速速开启解说，三连了
天庭是合法的黑涩会
老猴子怕不是观音
】、；就会被。7
未来佛看清了挺正常
所以四大天王是假的
应该叫二哥
因为，最后一道试炼要四大天王送人头
俺也一样没玩
牛哥别拍
老戴
雷铸神兵：乐
老无间道了
牛哥一拳把自己拍吐血了
牛哥
说错了，是羊
只有石头人不会
所以不做支线的不是天命人哈哈哈
是不是不锤这一下死不了啊。。
戴春风是吧
猪是山海经的双头猪，有寓意自己去查，分给老牛的，
你不在的日子，我每天都在想你
穿不得打斗有台词，继承他的意志有多难我比你更清楚
原来玉帝就是西格玛
凭本事借的聘什么要还！
所以没挑战二郎神的结局是坏结局，还是要带紧箍
忍辱负重二郎神
完了，我的心早被四妹夺走了
啊？我是过了黑熊才拿的避火罩
那四大天王是啥？
