《E5-2690，14核心28线程》
8192核刷铁机
黑山大叔的熔炉组诶
有种左耳进右耳出的感觉
5W（指刷铁机功率）
3358开赌！
刷铁机？AI服务器我都信
创哥理赔（
我相信不久以后，赤石科技就能做出负150万效率的刷怪塔(dge)
就看视频这一会1.4万变1.5万了
玻璃一定要染色吗，有没有大佬
双子塔（doge）
别划走！这不是搬运，这是自制！
本视频没有任何铁傀儡受伤
《鸿石》
月月养活一堆生电玩家
1个也没有，最好的时候半路爆了6个（QAQ）
这种剪辑方式看起来真舒服。
为了造刷铁机而造刷铁机be like
基岩版雷姆
地狱吞噬者，简称地吞，对比世吞，地吞可以更贴近地面，减少容错率
我很少用左右横跳来形容一首音乐
老外同款剪辑
我有一计，建造2048核心刷铁机
翻译:96组村民
《顺手》
⎛⎝≥⏝⏝≤⎛⎝
你未来绝对是百大，只要你坚持下去不出一年左右
老迪快乐机
中国人自己的外国人
我靠，一天涨粉3万！
自制投自制
双声道(喜
我是来自2034的人，在2034他成为一个百大
9518！
超级百大圣体
不是这个视频，怎么那么像从外国搬的？虽然看着像是国内自己做的
铁（ti4）砧
我也见过这个（悲）
我嘞个去   三分钟涨5000粉
1.4万
2000+
一个视频8.8万粉丝。
勇敢去做
入股
一个视频，8.8万粉
入股
我嘞个雷
8.8
8.8W
8.8子们
Just do it.
入股
.                                               ╱/                             ╱/          ╱╱
[ohhhhh]
新晋甘地老哥
8.8万
-没有不可能-
一个视频8.8万
第一期？
8.8w
僵尸：高端局
Just do it.
Just do it.
Just do it.
122
8.7万
8.7 W
已三连
8万
一个视频八万多。
8.7万了
唉你大爷呀你给我干哪来了这还是bill bill吗？
啊？可我经常没有眼啊……
一个视频就8.7万粉拉
《缺乏经验》
md看成双子塔了（
甚至连渲染都是一层蓝的
外放都能感觉到BGM在横跳
基岩版不是是个民二十床吗
入股
字体看起来像是后期覆盖上去的，确定不是搬运然后配音的吗
同款树场
最终解释权归作者所有
8.7
阿迪达斯：没有不可能
手机：↑↓↑↓↑↓↑↓↑↓↑↓↑↓
up主，我一定会变成你的老粉的
音乐名字：Just friend
都快赶上命令方块指令无限刷了
8.6万
不是这么强烈的风格居然是第一个视频吗，生来就是吃这碗饭的
终于知道为什么国外老歌能火到国内了
国外老哥
我一开始还以为是国外搬运的。
《猛新》
视频制作很精良啊
8.6
入股了不亏
颤抖吧  铁砧
《鸿石》《铁定》
耶！生榨
层层建筑拔地起
直接开创造拿不好吗，没有区别好吧
突然发现 好像听不懂了
入股了
a？
我是没少见，我见过最多也就4个
impossible is nothing
我嘞个3D环绕音啊
电脑:这把高端局
米小时
入股
前面听几句甚至听出了政治课的感觉（
8万4
啊？一期就8万粉丝wc
8．4万
入股
夺少？！（卡维音）
我的朋友 :丫的，是不是开创了
好一个腾出双手
《腾出双手 》
8.4w
没有工业基础，创造工业基础
我嘞个3D打印机啊
夺少？
哇正好520人
哎？我擦，这是第一个？
滑动变阻器
现在关注以后就成老粉了
我记得这种概率反而是极其小的
环绕歌声？
没眼的很常见啊
音乐正确
嗯，我家电脑里的2048显卡哪去了？
just do it！！！
我家电脑的2048显卡哪去了？
我压一个关注加三连，能火！
神金，害我紧张一下
中国有自己的老哥！
得看版本
我愣是没看出来什么是鸿石
入股
入股
just do it
8.3萬了
啊?
8.3
一个视频8万粉丝
just do it！
我的世界变成工业时代
8.3万关注！
哥们，两天81000粉
8.3万
732个人出来吧
剩下729人出来吧
8.3万+
3D打印
这不得卡死
两天已经八万了
怎么感觉跟4090的显卡差不多？
那些东西是为了好看
8.2W
这比我开创造拿的都快。
8.2万了
8.2万了
少谁就去谁谁谁的刷机
8.2w
《只》
摔落保护最有用的一次
空瓶
7.7万
8.2万
8.2万了
《零碎材料》
第三次看到这个视频
现在已经8.2万粉了
只有一个人 >^<
入股
要Java版，网易基岩版不行
这种视频质量堪比百大up主
8.2万粉丝
8.2w粉
服务器：谢谢
我靠，3天8万粉
两天八万粉?？
创造模式都没有他拿的快
一切皆有可能
《埋栈Maizhan》
第一个视频就这么多粉丝。
《埋栈Maizhan》
无敌了，一个视频8万粉
8.2万
嘿嘿
666这个入是桂
入股
8.1w+
火钳刘明
8.1W ！！！
夺少？
Just do it
入股
在等一个飞机
cool
第一期视频，你已经赢了
那就灶台150万产量的刷铁机吧
外国人:我们来看看这个中文哥
生炸白桦不好吗
第8.1万入骨
"玻璃染色很重要的,不染色会显得普通,染色了看起来就会变成豪华款式"
8万1
这个字体包叫啥？
8·1万
《原石》
没有不可能
没有不可能
没有不可能
《勇敢去做》
勇敢去做
勇敢去做
勇敢去做
...........................
8万了
（≥v≤）
8w了
老版本玩的时候感觉挺常见的吧
8万了...
没有不可能
不是双声道，是3d环绕
没有不可能
还是3d环绕音
80000整
铁砧(zhan)
啊
8万
两天之内竟然涨了8万粉丝！
我觉得他未来肯定能成为百大！先关注一手！
8w！！！
现在关注以后就是老粉了
迪哥关门大弟子
2048核心，6144线程
入股
王     进     喜
8.29日7.9万粉丝
完结，撒花！
BGM: Just Friends
《1视频》
美国农场主的起源
你
这玩意就是创造我都懒得做
31
落地，水
以后的百大
感觉像曾经的史蒂猪
我仿佛看到了史蒂夫的身影
給了給了，三連必須給
耸立云端的阿尔特弥斯神庙
细节用只
6面草方块儿啥意思
7.9w
这不是Vc的挖沟机吗？
@节操pro
7.9万
打印机
78000
入股
11个
我赌他能火
创哥理赔
假肉
一个都没见到
点加速，差点三连了
落地盾（bushi
《钢铁是怎样练成的》
勇敢去做
一个档就启动一次
勇敢去做
7.8W粉丝了
7.8万了
妈妈快看肝上长了个人！
667人出来吧
wok，转圈的音乐
✓
网易版有一个单独的版本叫网易版）
7.8万
7.8W
科技改变生活
7.7万
血  腥  的  原  始  积  累
动漫量
我双扬声听着怪怪的
13.5万
钢铁回廊
⎛⎝≥⏝⏝≤⎛⎝
⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝⎛⎝≥⏝⏝≤⎛⎝
⎛⎝≥⏝⏝≤⎛⎝
o▬▬◙▆▅▆▆▇▇◤（看到的传下去)
7.7万了
加快发展，直接创哥
7.7万
just         do         it
7.7万
7.7万粉
七万粉整出了七百万粉的活
7.7w
奇观
1
7.7个
7.7w
7.7w
有种被音乐扇耳光的感觉
′、太
钢铁之路
[ohh]
[ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh][ohh]
我他妈以为是国外的中配
我找的所有要塞末地门门就没找到过
刷石机用的是TNT爆炸获取石头，你黑曜石怎么炸？
夺少？
