《前方严浩翔迅速撤回一个摸头动作》
他们真的没喝吗
《来自马哥我去》
《我去》
《来》《还没商量好，你再上会儿》
《再去上会呗》哈哈哈哈哈哈哈哈哈哈哈哈
你若安好那还得了
贺儿吃饭是持久战
超自然喝同一瓶水的风年
蛋团在除了舞台以外的所有犄角旮旯都有竞争意识哈哈哈
这个轰鸣声足以看出耀文开的多快
让我想到了之前问节目组是不是他们降的雨
老师们带带我们翔霖玩吧
《啥都憋不住的年纪》
起床：养成系固定节目
文轩和“小丈母娘”
哦哟家长组
时代少年团成立团体工作室！
《王者荣耀》
难得听小马说话不用调音量哈哈哈哈哈
我现在在期待一个不敢期待的东西……
《一到你俩，BGM都温柔了》
《男孩子的胜负欲啊》
怎么感觉七个蛋总是在放烟花哈哈哈哈哈
想看翔哥叫小贺
摇摇晃晃~~
我们翔霖能坐一车吗
不是啊……小贺，你喝了多少？
我轩听到有吃的立马弹起哈哈哈哈哈哈
丁会长看看我们翔霖吧
笑嘻我了耀文
支持七P
《你过奖了哈》
张哥：来吧小贺
woooooooooooo～最敢说奖给小宋
三辆车走出了不同的道路。
长点心啊，到时候被毒唯骂死了亚轩，最重要的一点，他们的关系不需要你们评判
《严盯盯上线》
《先蹿出去了》
家长组好抓马
一个月了  我们炸可算是到了内蒙了
箱子你的生日物料呢
被开玩笑的人觉得不礼貌，那就是不好的梗确实啊，但是他们的关系需要我们进入插手吗？
我要递给老天爷贺会长的祺鑫
给大家庆祝开学？？
上次这辆车坐7个人还是丁哥开的！
严浩翔这个世界上是没有你在意的人了迈
你是安全了，我的安全呢
翔哥：我凑个热闹
张哥迫不及待哈哈哈
头一回见冰红茶喝醉的
男生永远无法抗拒烟花的魅力
贺儿～
《刘耀稳》
在梦里wave
每年至少一次自驾游
路人也挺不解的，夏天鞭炮
脆的song chi
姐  搞团就是为了这几个瞬间
《前、后护法保驾护航》
你安全了，我呢？
能说“我去”说明是个好宝宝，和我一样不会说脏话，最多说个我天我去这种
你们敢抖，我有点不敢看啊
三年之期以到，翔霖复活吧！
他俩门打不开的原因是因为张哥还在睡 门外是严 懂得都懂
鑫轩新概念合作，天杀的我要看23双人舞台
没有年上宠，哪来年下疯啊啊啊啊啊啊啊翔霖绝了
哈哈哈哈哈哈哈哈这是堵了多久啊我天
醒批勇闯无人区
《不谈钱只谈缘 一万八千元》
说什么时代少年团没有竞争这不是在竞争吗(狗头)
刘耀文冰红茶，喝出白酒味
马哥，你怎么也有墨的口音呀～
谁懂这个拍拍啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
《墨的口音》
两对CP已经聚齐了，还差最后一对，翔霖启动
我去！严上厕所给贺配了个探听！
马哥那清澈的眼神实在是被惩罚怕了啊
rnb发型正确
最爱是摇～摇～晃～晃～
好宠的stf
那个……新年快乐
《从你的全世界路过》
《贺儿～》
6.7w
我们小炸的竞争意识也就在这方面了
严浩翔贺峻霖天天开心
哟哟哟贺儿呢
还得是我们贺老师
两个枕头懂的都懂
我把我的票给从头开到尾的翔哥
这转场哈哈哈三人行，兴奋行
《啊？！》三个奶牛猫哈哈哈
《我们翔霖一起拉着丁会长啊》
张真源你知道你在说什么吗！！！！
这个不能反驳，我爸亲自颁的奖
张哥开都没开过，就这么水灵灵的拿到了第一
哈哈哈哈我服了笑死王者荣耀
《这是亚轩最喜欢的一段》
小贺：他人缘分 与我无关（低头哐哐吃
不愧是小宋
《D音》
《张哥：67这我咋说。。。67啊都挺好》
气氛都到这了，那新年快乐？
我浩翔的生日企划也赶紧的啊～马上9月了！你不是生日那天，好歹也得是生日月吧！
整整齐齐七个蛋
严浩翔你的半拉眉毛我真的是哈哈哈哈好可爱啊
这是把饭店都包下来了吗我天
翔霖永远在一起
《强哥》
其实说实话，除了公司，其实其他stf都挺好的。
严浩翔大红大紫
脆damn～
翔哥来我们山东考公吧
碗盆
陪伴组像喝了二两
丁程鑫大红大紫
《眼睛瞪得像铜铃～》
<三排》
哈哈哈哈淡淡的疯感
应该是翔哥在里面说了让他们先抽，然后小贺才说的这句:“我们先抽吧”
贺峻霖：我弟又发什么疯（押韵）
冰红茶掺酒了吧
哎呦 这是在干什么～哈哈哈哈哈
这还没有竞争意识，简直体现的淋漓尽致，好吧
严浩翔os：丁哥打了一个小奶嗝
我们这不就有竞争意识了吗？什么没有竞争意识，这不是竞争意识吗？真的是不要乱说，好不好？
我们小时有自己的争宠竞争意识
《艺妙郎》《钢霸狼》
《发个疯》
严浩翔生日物料什么时候发
《变过来》
真好，还给我们讲上了哈哈哈
这不得交杯
老师可以给严浩翔的表情整个直拍吗
浩翔：生无所恋
我们57又水灵灵地搭上小手了
不让窝～
岁月静好的家长组
亚轩:小手指~
老师，我们家是正经男团啊
烟花：我和小炸，谁更炸？？
翔霖默契！！
前方高能，微醺张哥上线
张哥又微醺啦
镀金马头
笑死我了马嘉祺
小猫：嚼嚼嚼
文文：我就是最小的弟弟
浩翔（嚼嚼嚼版）
《各聊各的》
《已读乱回》
这期物料不要外传，不然大家都没有面子了
刘耀文《镖人》大火
我追团是为什么，不就是为了这种氛围感家属感吗
受不了了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
小贺：倒反天罡
（浩翔）开车：嘻嘻   堵车：不嘻嘻
哟，这不脆爷吗~
不用叫他 不需要～
气氛都到这了那……新年快乐？
翔哥情绪稳定，好想谈。（bushi）
小宋那有枕头，拜托，你们放过他俩吧
杯子里绝对不是饮料
翔霖互补
三代闹闹剧   时团在这玩  我要笑死了
严浩翔给我看啊
这仨没发现少了4个人吗
老师我们翔霖不睡一间房吗
我就知道……什么东西在他们手里都长久不了
冷静朋友们，耀文那里好像本来就是俩个枕头，因为丁哥床上也是两个，一个床窄一点是单人，一个床宽一点是双人
《互摸一下》停顿的那几秒烧干脑细胞了吧哈哈哈哈哈哈哈
《燃冬组》
张哥：我也是你们play中的一环吗？
晚樱同款《啊？》给我笑崩溃了
亚轩跟我一样哈哈起床第一件事看手机
好温柔的碗盆樱
严浩翔空屏表白贺峻霖
烟花短暂，你们永恒
这样吧，谁wave得好，谁是唯一all绿
家人们翔霖互动了！！！！
“军火”展示（bushi）哈哈哈哈哈哈
两位驾驶员很配！！
国王游戏拼车，我自留k，不包
哎呦，哎呦，我又磕到了
翔霖翔霖6799
小刘哥爽了哈哈哈
竹马 情绪稳定的神
好显眼的康师傅冰红茶
车上氛围很好，丁哥也没有因为宋的这句话生气，就兄弟间开玩笑，大家别吵
《探听》
周杰伦应援车
吓我一跳。我以为又要关相机
文鑫行行行 你俩真会用脸
瞬间即是永恒
阿阿阿阿阿阿啊啊阿阿阿啊我嘞个翔霖阿阿阿啊
哈哈哈哈哈，源霖感觉是喝多了，微醺
刘耀文你喝酒了？！喝酒不能开车的哥们！！笑死我了
啊啊啊啊啊啊啊终于到我们风年了啊啊啊啊啊啊啊啊啊啊啊啊
《小福鑫》
这么暗的吗 不知道的还以为他们在车底
家长组带幺儿组哈哈哈
《极限救援奖～》
严浩翔：不是张哥～
他们这个游戏玩了一个小时我都能看。
40跟80的确实是不一样
严浩翔贺峻霖
张哥随地大小睡
建议把这个放李总办公室
金黄茄茄
