阿斯兰：byd我怎么进驾驶舱
如果万代机设什么的没有定稿的话，可能直接找ray，按这里的来了
万代：以前是给我压力，这次是直接给我往死路上壁
万代：我今天公布要拆卸才能收纳的HG，你来拆我台？
你也可以做到（Ray音）
这下真是徒手搓高达了（指魔蟹）
设计创意秒杀解体匠系列
建议卖给万代，因为我想玩，那个京宝梵都能出，这个必须得出啊
鱼的水贴本
哇，他甚至想要可动
不吃肯德基吗？（
万代：我也敢
下期食材:eg完美强袭（不是）
正义；我来组成骨架！
参加比赛估计又能拿个冠军了
万代：好办，把手和肩甲去掉
《拘束架》（幻）
ray：跟着我，你（指万代），也可以做到
万代：什么？我打RAY？
《论RAY为什么是神》
你也可以做到（doge）
万代：很简单，只塞个身体和头就行了
创制燃焰:我不到啊
创燃：在想我的事？
解体匠蟹doge
阿斯兰萨拉，正义，出击!
弹簧锁（威廉老登色）
也感谢RAY Studio团队替我们这些爱胶人士圆梦
解体匠qwq蟹
太阳炉没绷住
神中神啊，ray.我的超人！
吃剩下的蟹壳
RAY的魔蟹世界(幻听)
是这样的，我们只管看就好了，而Ray要考虑的就多了
RAY老师考虑自己开一家模型厂吗？直接干翻万代
万代:员工们都给我学着点，这玩意咱们要卖的比酱沙还贵
万代学一学别想着坑钱了，国模现在要不就是199，要不就是299，还有铁骨
B社都望尘莫及的设计和制作能力，还有那效率，牛牪犇啊！
钢铁侠加变形金刚，牛啊
下次还敢！
卧槽 关键还有这么牛逼的可动！
Pg巴巴托斯+1
有没有可能是纳米科技
nb！！！！！！！！！！！！！！！
倒是给我蹭漆掉漆啊！！！！！
这刻线 稳如老狗！
[ohh]
[ohh]
啊？
牛逼！
牛逼
牛逼
啊？
啊？
[OHHH]
下次出个创制燃焰塞进大魔里吧
[OHHH]
啊？
万代你快看看！你出啊！！！
[ohh]
卧槽
hg刚刚宣
牛
这次一定
[ohhhhhh]
卧槽！这个联动帅炸了！！！！
只有五个人，但有七碗冰淇淋
高高，你也可以翻这个!(dog)
万代：削人棍就行了
省流，往大做。
那么多高达，我的发
超合金
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh]
[ohh]
这不是Z系列的胯部变形机构吗
牛逼
[ohh]
万代的只能装一个上半身甚至还得单独购买无限正义。
[ohh]
[OHHHH]
见证历史！！
牛逼！
居然还有地台
我艹，还带整备模式，这货卖2000都超值了
牛逼牛逼
我要这硬币何用！为啥只能投2个？
ray你怎么不烤肉了
1999 我迅速下单！！！！！！！！
woc！！！！！！！！！！！！！！！！！！！！
来啦
[ohhhh]
啊？
[ohh]
老罗都来了，嘿嘿
[ohh]
牛逼
欢迎回来
牛逼
[ooh]
我超，这联动
万代看了心发慌，连夜买了版权
[ohh]
建议直接量产
啊？
牛逼
[ohh]
至此，已成艺术
这个项目我投了！！！！
牛逼
[前方高能]
[ohhhhhhhh]
牛逼！
牛逼
[ohh]
牛逼
[OHHHHHHHH]
[OHHHH]
702个人出来吧
第一次见到币比点赞多的
牛逼
万代：不是哥们 你这样我们很难做啊！
nb
还能这么玩啊
上链接！！！
牛逼
[ohh]
见证历史
牛逼啊！！！！
要不了几下就坏了！
[OHHHH]
牛逼
[ohhh]
拿什么量产？
那是热破孩子！睁大眼睛！
能不能让我玩玩
你 也可以做到...个寄儿！
ray佬牛比！
"@万代 你们负责吹牛,RAY大佬帮你们实现。"
等于从头重做了一只魔蟹
牛逼
见证历史
妈问跪
[ohhhhh]
太牛了
牛逼
这个给我我能玩一辈子。
牛逼
在视频号看哭了，三连二刷
《正合我意》
巨人！
nbnb
合体？
看哭了
量产，量产
钢普拉心形流
直接改成变形机了
万代就照这个做
人玩玩具，还是玩具玩人呢？
how I miss you
[OHH]
[OHH]
[OHH]
[OHH]
[OHH]
[OHH]
[OHH]
[OHH]
我的一辈子
太帅了
牛逼
正好刚刚在刷万代新出的消息
me.，我做不到
牛逼！！！！！！！！
距离钢铁侠又近了一步
能不能做一个pg夜莺
我想看创战者塞大魔
太牛逼了
这不搞个创战者塞大魔
次回：盖塔合体还原
我没记错的话魔蟹飞起来的时候是能看到正义的脚底板的
啊？
我看到变形金刚了
解体匠蟹
阿珍你来真的啊
量产必须量产
[OHHHH]
完全胜利
妙啊
[ohh]
牛逼
哇操
nb！
握草
牛逼
牛逼
牛壁
牛壁
这么牛逼
扎古王
[ohh]
牛！太牛了
牛逼
牛哇
牛逼
下次的彩蛋呢？
RAY哥：没错，我加了洋葱！
现在算是职业模型设计工作者了吧，不能参加比赛了
脚底不就是正义二的吗？
有没有一种可能正义二在魔蟹体内是分体的，脉冲的模块设计（元祖不也是上下两部分嘛）
50块钱交个朋友！
50包邮交个朋友
我也想看mg妖天使！
代哥：哥！你们这么匠，会显得我的产品很呆的…（飙泪）
这内购绝了
pg啊
可惜魔蟹的比例貌似还是大了点
这个整备状态可太帅了
川口名人三代目：GUNPLA 哇 几U 哒~
？这腰，这头
啊？？？？？？？？？？？？？？？
啊？！！！
啊啊啊啊？
啊？
建议量产
[ohh]
[ohh]
神
求你了，什么时候发售
我要这硬币有何用
[ohhhhhhh]
！
这个我也不会，找不到卖的
nb
我靠
牛逼
[ohh]
WOW
牛逼！
[ohh]
牛逼！
啊
哥们儿，我求求你赶紧去万代任职吧
[ohhhh]
3d打印的世界，创造力无限大
直接做肩甲折叠
bandai mgxx.Ray
想看大魔里面装创然！
吊打万代！
[ohh]
[ohh]
牛逼
wc
牛逼
我是模型公司的，期待和ray合作出国产机甲
牛逼
我是模型公司的，我公司的人也和他们一样身材
牛逼
居然还有人说国模买下版权量产，别云了
[ohhhhhh]
万代：布什戈门，你来真的啊？！
从头到尾的“我去”
3d打印参加不了我扎，其它比赛或许可以，但没含金量
卧槽他妈，我整个人一身鸡皮疙瘩
这里的BGM应该是英姿飒爽的夏亚
[ohhh]
见证历史！
卧槽。。。。。！！！！
[ohh]
啊？？
真的牛逼啊
WC牛逼
Ray其实是曙光社的
量产！量产！量产！！！
牛逼
牛逼
高技术力
这个声音，爽
上链接
说实话，拉伸这个我是不认可的
RAY:“你，也可以做到。”我;“这我做集贸啊？”
你负责梦想，我负责成真
[ohhh]
今年的模型之王已经有啦！在这个视频的人想必都清楚是谁了
魔蟹状态下接近mg比例了！！！好看，真的强！！大佬果然是大佬
[ohhhh]
牛逼啊啊啊啊啊
666
这不妥妥的冠军
万代：图纸给我！！！我出个hgex！！！快点
牛逼
这可动性，真的证明万代在摆烂
这也太牛了
[ohh]
卧槽！
牛逼！
牛逼
牛逼啊大佬
牛逼牛逼牛逼牛逼牛逼
牛逼牛逼牛逼牛逼牛逼
[ohhhh]
牛逼啊
我又觉得我牛了
我也要做加把劲骑士
牛逼！
解体匠蟹
牛啊！！！！
牛逼牛逼
晚上上YouTube看看外国人的评价
吹爆！！！
牛逼
牛逼
仙家法术！！！！绝对是仙家法术！！！！！
万代：你们这还缺人吗？
[ohh]
[OHH]
[ohhhh]
太牛逼了
你下次把创制燃焰塞到大魔里吧
万代快过来学学，你ray叔叔是专业的
压力给到了万代
妈耶
[ohhh]
爽
说设计rg的是真想多了，打印件有rg开模水平的话可以直接开模型公司了
见证历史！！
牛逼！
牛逼
牛逼
[ohh]
国之工匠
万代配不上
变形金刚思路啊
牛逼。。。
搜来哇，爱哒！
全体起立！！！
[ohh]
神
还有个推进器背包呢？
这支架太酷了，一种在制造的感觉
正义魔蟹，阿斯兰·萨拉，出击！
牛逼
独角兽直呼内行
[ohh]
卧槽
上链接
阿斯兰：万代那台我要2887掉，改开这台！
魔蟹正义，建造工厂
啊？
这是哪台00系高达？
鱼缸里的是能天使吗？
这太牛逼了，这件这战备状态真的是。
我想看mg非凡强自
我的天呐，能不能上链接呀？
牛逼
你们是高达创战者吗？
正义魔蟹，阿斯兰·萨拉，出击
全身鸡皮疙瘩起来了
[ohh]
我操，牛逼呀！
高达创战者
如果说拼模型等于在组装高达，他们就等于在自主研究制造高达
你也可以学会命？
[ohh]
废料零件不能回收利用吗？
妈呀，这是真爱了，这么精益求精
啊？？？
圣衣神话
[ohh]
那，这就叫专业
牛逼
阿代，我要这个
万代：你来上班
币比赞多
牛逼
太强了
模型之神
三连已不足以表达我的敬意
比赛估计不行，禁3d打印的
[ohh]
[ohh]
DQ打钱（
？？？？？？？？？
能不能量产我想要
超合金
woc
戈门泥水？
下次还敢
犀牛建模
赶紧申请专利
牛逼
RAY老师真的不考虑出一套手部的光束特效件嘛？
等一下！右脚内侧是不是掉漆了！！！
牛逼
[ohh]
牛逼
牛逼
等一下！右脚内侧是不是掉漆了！！！
