我靠这段太帅，真有斗法的感觉了
神风一起，三界何人能敌
一山不容二虎，除非一公一母
砂锅王开局送了，二郎就能赢
袈裟小熊立正了
数值平衡过了，真正的原本数值可以去看有人做的虎先锋vs金池，那个数值没调过，差距巨大
疯虎吃的是伥鬼骗来的村民，虎先锋吃的是老鼠，还是有差距的
杀国王要是先死了，杀二郎必赢
《 风 灵 月 影 》
咳咳咳，小西天土地，在此恭迎天命人～
符合人设
地铁，小张太子，手机
虎先锋以为是黄风带来的手下老鼠，所以说吃他们解恨，应该不知道他们原本是人类
这哪儿差数值啊，看不出来血量以及命中的攻击谁多吗？
沙国王最大意义或许是死掉然后让二郎红温
挖草·国王连弩伤害爆炸
诶 大朗是不是可以捡弟弟精魄了
你是风儿我是沙
虎先锋是不知道老鼠就是人变的，他在村子里被供奉为虎神，就是因为他一直帮助过路的人类
应该是黄风大圣的机制抽不开场地，只能把熊拉过来
按理说虎哥比虎弟营养好，一池子饮料呢
说数值的别云了 这两个打到伤害就是差不多，只是黄风攻击次数多罢了，明显调过数值的
黑熊精：没定风珠我玩集贸啊
劈头士（灵吉大士）
蝜蝂：我来助你！
这沙国王诗人握持
黑风山一号种子vs黄风岭一号种子
大圣残躯vs二郎神
父慈子孝，兄友弟恭
虎头拿来泡酒，剩下的留给大王
空气墙mvp
小张太子不是三郎，原著里小张太子是北方真武大帝的手下，是在小雷音寺来帮了孙悟空所以被黄眉记仇，才关进浮图塔
疯虎加油啊！！！
沙国王唯一的作用就是自我献祭给沙二郎开狂暴
这设计吊打飞智
完美虚化VS领域展开
压黄风！
孙吧老哥
何来路打葛弗雷？
何来？何来？
黑熊还是输在霸体少，还容易硬直
差点反杀
这就是传说中的一山，不如二虎
这就是中的一山，不如二虎
应该杨戬打小黄龙，调完数值打，真正的cs打cs
献祭一个砂锅王
好活当赏
一山不容二虎
哇偶，好酷
石敢当VS石先锋(
虎先锋大战虎先疯
青背龙那得附魔附魔有个p伤害
主场优势是吧
我识破都吃投技，直接无敌帧状态被扯飞
我是病了 ，不是死了！
脑袋砸核桃
有兵器就是厉害哈
四小龙混战
精彩
疯虎太脆了
精彩
要不是老三没血条  老三也来了
JK小熊：老六我服了
精彩
精彩啊
帅！
三昧神风，久未用也！
黑熊的jk裙
神仙打架
一个币黄凤大圣
燃起来了
想看九个提灯打妙音
你就是弟中之弟！
虎先锋有主场优势，应该有主客场，打平后在第三方场地决胜局
来个赛程
蓟县
沙建成，沙世民，沙渊
小张太子：6
旁边山上的落石。
国王死的瞬间，二郎应该就开始哭了，但这里二郎挥了一锤子都没开始哭，是不是因为技术不完善，所以他开不了狂暴了？（个人感觉）
这沙国王死半天，二郎挥出一锤之后停下但看起来不像是狂暴前摇的掩面痛哭啊，更像是待机状态（当然也可能是我的错觉）
还在蒸
精彩
还在蒸
第七魔神布拉修！
精彩
疯虎完虐虎先锋
好看爱看
黑熊没主场火焰地形优势了
笑死了，这小鼻嘎
不许伤我爹爹！！！（怒吼）
虎头留着下酒，剩下的送给大王
弟弟就是弟弟，一天是弟弟一辈子都是弟弟
jingcai
fenghuying
都是我儿
蓟县！精彩！竟然能看到斗智斗勇的感觉
可惜
难道说？
这手柄有点像switch pro
兄弟之战
从来不开震动
虎先锋吃投技吗
电子斗蛐蛐
策略：献祭父亲进入狂暴
蝜蝂
wwwe
精彩
石敢当地球上投
这么奶~是弟弟吧！
支持黄风大圣
我选择ps手柄
蓟县
这黄风怪有BGM的buff加持啊，略有优势。
t
要不是我已经有手柄了
沙国王：什么？我当太爷爷了？
二郎愣了好久哈哈哈，并没有狂暴
废长立幼，国之不幸啊！
三郎就是浮屠塔的那个，结尾画能读有旁白说的
蓟县
第一关boos和第二关等级差太多 黑熊伤害太低
游玩感觉疯虎拳脚比虎先锋猛
兄弟角逐
虎先锋是弟弟
疯虎是哥哥
黑熊被虐
什么黄风岭玄武门
精彩
蓟县
这点血还能杀个我
有风有沙，喝个够吧！
一套连招
精彩
黑熊客场作战
丸辣
三味神风！！
该来的还是来了
疯虎太脆了
黄风交损了，快补火doge
太好看了，我淦
啊?
大圣残躯打二郎神
虎先锋VS虎先疯
都没机会使搅
还是差点意思
又到了爷最爱的电子斗蛐蛐环节
精彩
精彩
兄弟会战
精彩
死慢了属于是
AD呢，为什么不Q，Q打断别人的平A啊
疯虎脆，头目和妖王的血条差不少
让双虎打黄风怪吧
伤害不够
伤害明明差不多，看的时候带点脑子
可惜了可惜了
我寻思这边能行                             显然是这边更强
极限
青背龙雷刃飞天龙车 比有些投技还夸张的伤害
熊熊可爱捏
神仙斗法
黑熊原著打了二十回合不敢出来的货色
黄风
小西天的农夫拳也很强啊
太极限了
真是一场酣畅淋漓的竞赛
沙国王死晚了
疯虎持械了
各打各的
赛博斗蛐蛐
不够过瘾和有悬念啊，有写boss的状态都不正常，应该弄三局两胜制比较公平和有观赏性啊
这么焦灼
兄友弟恭
没看头，这数值都不是一个级别的
一般，经常回不上血
回合制
有刀就是比赤手空拳厉害些
兄弟阋墙
来个亢金龙打辰龙
难以想象要是大郎还是人形时期有多强
哥哥主场
精彩
徒手和持械存在一堵高墙
这集真的是兄弟反目，父子相残，真有你的啊
BOSS不弹刀啊
虎先锋打寅虎
a????
为公平起见，也应该主客场轮换呀
兄弟相残，人间惨剧
？第一单体伤害不是大石敢当的拳头？或者大铁球
刮痧
电子斗蛐蛐
虎先疯 vs 疯虎
赤手空拳打不过带武器的
黄风岭击杀王
帅气！！！
爹！！
本是同根生，相煎何太急？
跳起来好好笑
精彩
蓟县
精彩精彩
[前方高能]
精彩
精彩!
黑熊怂的很
疯虎吃了血量少的亏
献祭沙国王应该能打赢
国王会跑路么
真好看啊
单手和你打，哈哈
有来有回
我赌拿武器的赢了
虎弟数值应该高些
二郎：蝶，你来
这伤害也太低了吧
蝜蝂
这没有比的必要啊
精彩
寅虎才是真无敌
一个徒手，一个拿刀怎么打？
大石敢當對戰四大天王！
我来助你！
疯虎:来洞里打！
没想到，黑熊真的尽力了，太精彩了
主场优势
疯虎攻击欲望太强了
三太子在浮屠界吃瓜
疯虎投技用不出来
大圣残躯对战二郎神
我压疯虎
黄风大圣的攻击欲望都要强于黑熊啊
阿伟螺蠃
国王要是寄了二郎就必赢了
精彩
这tm是十三岁？
黑风难道不是六根之一？
我已经买了
火克风那个你不光没玩过游戏，也没咋读过书
想看幽魂大战矜持长老，最好再有一只观战的三花猫
父慈子孝，兄友弟恭
精彩
上单打架旁边ob的adc be like：
精彩
他爹死了沙二反而牛逼
雷电增伤的
之前京东129 129的手柄真的能用吗
虎先锋怒杀弟弟
老大走伤悲
帅啊
三郎在
精彩
墙角惨案
这段真的像斗法一样
是没见过的技能呢
我买的震动很拉
你哥永远是你哥
《哥俩好》
还叫什么大郎  叫国王啊
终于来了
客场作战没天花板疯虎被大削
man！
断货了一周了都，无奈买了冰原狼
man！
要不让黑熊精去跑剧情拿个定风珠？
疯虎血太少了
二阶段的怎么打得过三阶段的啊
小黄龙都是aoe是吧
父子君臣纲纪，伦常规矩天理（无头弹唱）
打不过就得跪下
黑熊精：我打黄风大圣？
好像nspro
我感觉疯虎比虎先锋难打
我是说 有没有可能 马喽没做手柄反馈
兄友弟恭
能打成这样 黑熊尽力了
还在蒸
玛德气死，没定风珠的我就烦这个
荷莱露？何时来的
精彩
青背龙附魔拔刀，第一周目一刀能打1500呢
爹爹祭天，法力无边
主要是疯虎血条比虎先锋短，他攻击频率高，对猴子那是酒都来不及喝
龟龟
精彩
我愚蠢的欧豆豆呦
唤起风暴
四渎内战
又是爷最喜欢的电子斗蛐蛐
三郎应该是小张太子
太baby辣
又脆又没输出
沙国王活着影响输出
疯虎在虎先锋后面，应该比虎先锋要厉害
广智的含金量还在提升
虎先锋对战虎先疯
徒手和持械之间，存在着一堵高墙……
真是精彩的对决
两兄弟都吃人，一个心理安慰是吃鼠罢了
期待不能和黄眉
我来助你！
精彩
事已至此，只好献祭砂锅王了
精彩
沙大郎细节集齐全精魄等二郎残血再杀爹
警察
看了小张太子，原来沙国一家长的都挺帅的
精彩
兄弟反目 父子成仇
弟弟这没有地形优势了啊
又到了爷最爱的电子斗蛐蛐
电子斗蛐蛐
精彩！
精彩
精彩
大郎现在能用二弟的形态了
我打的时候感觉大朗更好打
大郎可是和大王混的
精彩
最后这个精彩 就是前期被耗血太多
不是你真来啊
铁疯虎啊
我猜疯虎
丸辣
电子斗蛐蛐
崛起吧，沙暴！
极限
疯虎伤害比虎先锋高吧
打团的我，很忙但不知道忙什么
沙国王的作用是？
这款竟然没有连击模式
你怎么骂人啊！
有武器与空手之间存在着难以逾越的高墙……
疯虎＞老年虎先锋＞年轻虎先锋
地区平衡没做有啥好看的
虎先锋:弟弟就是弟弟
有天命人倒模的杯子吗（doge
第一单体上海明明是铁球
神风一起，三界何人可敌
神仙斗法
虎先鋒主場優勢不公平
精彩
啥情况 份家产打起来了 还是抢师妹？
什么时候来个春水堂联动
精彩
愚蠢的欧豆豆you
对他使用炎拳吧！
握草！太帅了！
我不会为了收藏买它的，我豪华版宙斯2不香吗？
险胜
这就是为啥疯虎的位置被顶了
丸蜡
疯虎是前代虎先锋
ob
精彩
精彩
不是byd这跳砸读指令躲我tm也被躲过，当时把我气的
疯虎厉害啊
精彩
真棒啊 砸起的石头也是带血的
到底还是哥哥
精彩
哈哈哈
这一段有点帅
解说很画蛇添足
精彩精彩
斩~月~刀
精彩，太精彩了
赛博斗蛐蛐
黄风主场作战，稳辣
精彩
神风一起，三界谁人可敌？
黄风血条右上那个就是燃烧DEBUFF，一堆人不知道
杨戬的飞剑伤害也高的离谱
大石敢当是aoe了
黄风太强了
量子纠缠
苏哈里国门口那个老虎是这俩的爹
献祭老爹，二郎法力无边
压路机来了
虎先锋yyds
五颗丹药压虎先锋
沙国王的唯一作用就是去送死
黑熊身上这毛跟刚去宠物店洗完一样
蓟县
他两个谁是哥哥？
马萨卡
符合原著疯虎打不过虎先锋
虎先锋出招真的力量感十足
卧槽！
这黄风
虎先锋韧性高一些
6蛙大战4徒弟！
劳伦斯:？
说实话不难受，按技能还挺舒服的
小黄龙，红孩儿？
不是开了剑核心的那几条龙？
这个一看就是黄风赢
疯虎血少
不是哥们，你连各位
233333投技
这才是斗法啊
杨戬打大圣残躯二阶段
精彩
符合剧情 大郎确实比二郎猛
这黄风大王人搁那呢看不到啊
黑熊势颓，主公速击之
蓟县！
wocwoc
精彩
太精彩了
不愧是大哥
看看弟弟
大王比二郎弱
同事被罚 一下万元
虎先锋vs虎先疯（doge）
大朗会玩啊
其实老爹要是没了二郎就稳了
开领域是吧 我也有
精彩！
黄风必胜的，黑熊又没有定风珠
黄风大圣为什么不把他师傅的头砸过去呀
兄弟阋墙
欺师灭祖，老东西们自然不肯放过我。来罢！
卑鄙！
我觉得一阶段的黑熊能打死他
脑袋嗡嗡的
沙国王笑死
哈哈哈哈
可惜，差点反杀
妖王打头目 毫无悬念应该不用我多说吧
