他是真玩起来了。
注意：这是一个月前的采访
先别给我聊什么法术攻击，先让我记住哪个是躲避
包括巴黎奥运会！doge
空军龙
我也想玩……但我就是记者美女这个水准，所以，算了吧
卡总红温了
这个设计有意思，当地的人参什么的精怪修为有成就封做当地的土地
发芽的土豆
此处得胜二字出自赵孟頫《行书洛神赋》《蜀山图歌》
《猴 子 猴 孙》
影视级毛发质量
《好吧》
呼叫列文虎克
墨菲特玩家
布什 戈门
翻译一下：难度还是太低了
《随便按》
《恋爱模拟》
拆包容易进橘子
《还要做一些调整》
保密级画质
我们等了四年！而游科等了七年！！！！一切都值了！
发芽土豆绷不住了
空军
游龙一般的身姿
：我的宝贝袈裟呀！
这就是矫若游龙的飘逸轻盈出处吗？！第一次直观体验
大家注意，英文翻译是loong，到外面宣传时注意一下
前方石头人空大
我还以为女主持在打，原来不是2333
这是真爱，要是边上换个懂行的，他已经开始讲解打法了
希望游戏也能更新制作人讲解在二周目
沃日好帅
黑猴排面。
666人家叫广智，是金池长老的徒弟
黑熊熊
不愧是有“恋爱模拟”标签的游戏（doge
这踏马是恋综吧，羡煞我也
@洛恩佐
惊鸿游龙
亢龙，有悔
同款飞智手柄
身外身法！
停龙车
大 树 守 卫
土豆发芽了
村长
《问题不大》
古  达  老  师
没关系我让后台调数据了，怪打你不掉血
空军司令
技能丰度不是很高✗，太弱了，回头再加强✓
游龙
《逃跑大王》
啊啊啊啊啊啊  明天还要上班！啊！
恋爱养成游戏是吧
人话:还是太简单了，得再来点神经快慢刀
他戳棍的这一下 我看见了分身猴子在喝葫芦回血  哈哈哈
《只用石头人单刷》
哈哈哈哈 策划负责人已经汗流浃背了，回答有一搭没一搭的太逗了
广智：还得是我
这是攻，这是防，这是苇名弦一郎
哇哦！
这葫芦披肩和棍子都太帅了吧
一直不知道婉若游龙的身法什么样，现在知道了
《这个阶段比较高的》
《石头防御比较高》
教女朋友玩3a的感觉哈哈哈哈哈
墨菲特共享网络已连接
青衣（幻视）
啊？
换那个男生，边打边聊都会是这样
哪里都有我们钓鱼佬
排面
稳辣
刀哥
好吧
刀狼教头不愧是自带BGM的妖怪…
鸦香客
我小黄龙第一个不服！
冬眠中
啊?
排面
八爪鱼
这视频告诉我要买智飞手柄吗？
黑神话：广智
丰富度？？？等会打不过了
啊？
排面！
啊？
这招数值巨高，离的近基本上就是秒
难度还在上升
有點好磕，怎麽回事
排面
啊？
"""我们所有形象都是有典故出处的"""
新华社有面儿
黑神话 广智
你是？1
土豆公公
广智救我
我嘞个新华社啊
啊？
谋
艺术
这是震刀
别说话，正打着boss呢doge
搁这谈恋爱呢
啊？
刚打完 脆皮高伤
孙哥
？？
打完回来了，这龙的游龙斩第一下真的好难躲，次次都要挨一刀
太帅了，我去
意境太高了
排面的
没蓝了
这青背龙要折磨死人了
啊？
蝴蝶步啊
新华社还是排面啊
在（你）这个阶段是比较高的（高情商哈哈哈）
不是哥们
我开始期待她打后面白衣秀士的那一段了
藏戏科学
一般按B是躲避RB是攻击
空军龙
好了该我玩了
广智
新手上路模拟
空军
新 华 社。。
体感游戏是吧
《新手怪》
你是？
我去 央妈
恋爱模拟！！！
欣赏不来，人物BOOS形象跟形象的差太多，动作也很呆板，吹过头了
爷们要战斗！！！！
排面
哈哈哈
四渎：江、河、淮、济
devlock
好好好，公费恋综是吧
山神 土地  本身就很多是精怪册封 城隍系统也是道德贤者被册封来的
啊？？新华社？
黑神话 广智
采访也没用正式版？
土地老儿
啊？
娘们要战斗！~
啊？？？
今天刚打，被打破防了
哈哈哈这里面的妖怪强到爆炸又要被折磨了
布什，戈门
不是 干嘛呢这俩人
体感游戏
"【感受到了双方的尴尬,,ԾㅂԾ,,】哈哈哈哈哈"
雷反！
这个有难度，
主持人其实已经有点晕了
不知该怎么接
土豆子成精了
换个男主持吧
《丰富度不够》
6敖
因为还有土地婆婆
钓鱼老羡慕死了
新华社-菜
广智：谁叫我？嗯
啊？
啊  官方下场？？？
等会？！看眼up名字！！
我被这东西劝退了 新人杀
胸毛有点重啊
跳劈？
钓鱼龙
说得好
不是
现在的老龟北上是有这哥们的模型，钓鱼的，是一个雕塑
美术上叹为观止
经典哎呀呀呀呀
？？？？
啊？
我也外行，请我
游科是浙江省的文化创新类项目，早就是编内了
很难
bug优化还是要修的，我更期待DLC
bug优化还是要修的，我更期待DLC
bug还是要修的，我更期待DLC
啊？
哈哈哈哈
啊？
青背的白龙
哈哈哈，这个狼叫“广智”，打败之后可以变身，现在快变成黑神话广智了，打不过靠这个苟活
我感觉把游戏音效放出来更好，光一个BGM很空很不搭
稳啦
排面！
意思就是这BOSS攻击还不够猛，不够连贯性
广智
？
啊？
这是空军了多久啊，像个雕像了
恋爱的感觉来了
是牌面，不是排面，满屏的错别字。
这土地公公的头看着很不舒服
行行行，土豆土豆
人话 难度不够
谁发的空军龙，笑死我了
牌面啊！！！！！！！！！！！！
你这武器我看上了，给我！
新华社
啊
我做的游戏真好玩儿
@路可一下 就用这个通关吧
菜鸡打新手是这样的
啊？
帅炸了
记者外套挺好看
这个记者很好看啊
动画真可以
。。。
？？？！！！
哇（无感情）
arpg
排面
买不起不代表以后也买不起，加油，赚钱为自己热爱买单
新手小怪 三刀劈死我
这个刀好帅
你干嘛！唉哟~像极了情侣教打游戏哼
挤出姨母笑
好有爱的画面哟~~~
排面了，哥们
啊？？
看的时候带着姨母笑 这是咋回事
像极了教女生打游戏的样子
我了个新华社啊
啊？
啊？
真帅
广智！！！
挂掉说是
说什么分神通啊法术啊，是不是修仙小说看多了啊
长芽的土豆
游戏宅男眼里，游戏才是第一
啊？
黑神话 广智
刀哥
排面
啊？
这是攻这是防这是二郎神
啊？
？？？
独钓寒江雪
你没资格发
帅！
啊？？？？？？？？
啊？
啊？
长毛土豆
哥斯拉
啊？
啊？
啊？
不是新手，是正在学科目二
“亿丝血”
排面
不是，谁？
啊
空军佬
黑神话.山海经
还不够？？
女记者：哇 哦 好厉害
卧槽 这也太帅了
啊????
你们凑什么热闹，这叫wb上面那些拳师怎么发力？
啊？？？？
黑神话·悟空~稀奇来马~弼马温~孙悟空，三桓（孟孙氏、叔孙氏、季孙氏）~三孙子~三损色~three sunset，日落之处，喀喇昆仑，道场悟道，冥界悟空，色即是空，譬喻即如绘画把颜色损到极致，就是黑！
