希望这种法官能再多一些
女士大义
民众还是很清醒啊
有一个好法官多重要
这才是法律精神、伟大的法官，真是当代包青天、希望她一辈子平平安安
就算要这种骑法也得把刹车安在别的地方吧，而且得是手能够到的地方
这姿势成龙也架不住啊
这才是法律精神、伟大的法官，真是当代包青天、希望她一辈子平平安安
這位法官真的偉大！
天啊看了这个案情太残忍了！
青天大姥姥。
为什么去掉刹车？
看过这个，一帮鬼火少年，高速逆行，而且被告已经刹车了，鬼火刹不住，自己装上来的
如果你能提前两秒预判
但是人家没超速呀！
法律不是谁弱谁有理
我滴天！太像最近那个骑行事件了
有理有据！
清汤大姥姥
但是我会担心这位女生出狱后的人身安全，希望她平安吧
法律精神
女士大义！！
有点像有段时间流行的死飞
我....我可以说吗？我觉得这些人该的，就是苦了那位姐姐了
清汤大老爷
青天大老爷！！！
学新闻学的
那个让人不敢扶人的法官叫什么？
不是原告，是检方
王法官：不可能，绝对不可能
为啥强调她的族裔
青天大姥姥！！！！
鬼火（国外版
这真的是能在马路上出现的东西吗？
学新闻的
希望她平安，长寿
老钟一向是机动车承担责任
中国就缺这样有正义感的法官
马来西亚人点赞
想想那个说不是你撞的，为什么要扶
新闻学魅力时刻
青天大姥娘！
青天大姥姥
华裔并不是华集
一斤鸭梨！
需要更多女性从业人员
中国不能判绞刑
做个侦察实验吧
我们需要女法官
？？？自行车还能这样骑
啊？
逆天
笑了，如果法律能被舆论影响，那么不如没有法律
装逼我让你飞起来
恶魔
意思得有见闻色霸气才能开车
舆论来咯
？
感觉是对方换了厉害的律师，并且让原告掀起舆情影响法庭
差点麻了
名副其实
天哪..
这咋骑的？
這深夜 突然串出來 會嚇死人的
没有人道主义赔偿吗？
難得的正義
刚刚看过
欲加之罪
啊？？？
啊？？
？？
包青天在马来西亚？
对的！
而且是马来西亚的国家军校
女士大义
没错，重点就在于控方不是人
马来西亚那边中文普及挺好的
国内那个小孩的呢
骑行圈的
我的天还是人嘛
骑行圈
给阎王送业绩？
？
人类之光
伸张正E!
厉害！
昏 黄 的 路 灯 照 不 亮 整 条 街
但是国内没有这样的法官
国内法官应该向她学习
厉害！
马来西亚的群众的眼睛是雪亮的
马来西亚就是简体中文
这个场面…八个脑袋接连撞在引擎盖上
蓝字的，那你说美籍华人是中国人？
那个消防不止有150万人呼吁吧？
青天大姥姥
？？？
就是精神小伙?
马路上？这不就是自愿求死行为吗
这个姿势怎么蹬脚踏板啊，哪来的动力啊
？？？
华裔又不中国人
这种凌晨三点多放任小孩在外面的家长有啥好同情的……
法官牛逼
我是武器锻造师，这就是沙匕，由矿山中的深金打造而成。
要看哪里了？东大没错估计也得10年。
？
呵呵
卧槽，真的强
有点像2老师的作品
翻译
为农民除害了这是
那八个是拦路抢劫吧
故弄玄虚，
青天大姥姥！！！！！
谁违章引发事故就该全责
？出生中的出生，我不知道你们有没有被火烫过？反正被这东西烫一下贼疼。
来中国当两天
@饼饼
奉劝各位不要学，这真的很危险。
笑死
我们满眼全是公平
这，就是逆转裁判
？
逆转裁判
低调刹车是吧，好家伙
青天大老娘
漂亮~~
看着比死飞还危险
这个案子当时看过，不知道他们的那个自行车是这种骑法，还想怎么能一下子撞死那么多人
女士大义
学新闻学学的
牛！
为了违法者和守法公民安全，你听听这对吗
额 啊？
究极气动
？？？？？？
太前卫了！
？？
但是这个被虐待的是偷了东西
作死
英雌发力
中国没有包青天
动之以情晓之以理
国内也有这种单车，前几年才知道，吓人！希望我碰不到
毛病……
这本就是法官该做的事
这场霸凌案罪犯不是未成年人吧
新闻学
死士俯冲
