所以…书和知识在古代这么珍贵，知道了吧！
印刷二字的来源
？干活的人啥样干活就啥样，干活的样子还有定式了？
姐姐真的好有力量！
《怎么高级玩泥巴》
《这就是女性力量》
可是雕版印刷只能印刷固定的内容，活字印刷可以随意调整顺序，更方便
我妈认为的辣条制作过程：
好有力量感的样子，女性的美就应该是多元化的，不要老是追寻什么白瘦幼
爸妈眼中的奶茶做法
这就是为什么中华文化传承千年，永远有人在想尽办法将今时今日之一切保存记录下来
生巧
坑坑洼洼不重要，也不是工艺品，只要把需要印制的字刻的突出点就行
好厉害，又能做力气活又能做巧活
“若只印二三本，则不觉如此，若印数十百千本，则极为神速”为什么会有人在印刷方面觉得雕版更好一些啊！
现在知道为啥叫叫排版了吧
又健康，又美，自信，这才是真正的身材
战狼版李子柒
大家注意听一下这个歌的歌词。
家长眼中的外卖制作过程
可怕 这视频拍了3个月吧
向智慧的中国劳动人民致敬！
跳进染缸。
果然是豆腐
我的妈呀，给我吃活字印刷粥？
绑只鹅造景哈哈
小米粥还能拿去喂鸡鸭牲口。不会浪费的
小米鱼豆腐粥
这是不是那个李子柒·战狼版
难怪古代一般都是雕版印刷，活字也太累了
我穿越就靠这些视频了
宋仁宗时毕昇发明了活字印刷术，标志着活字印刷术的诞生。他是世界上第一个发明人，比德国人约翰内斯·古腾堡的铅活字印刷术早约400年
前面的，如果有时间的话可以看一下初中的活板，沈括写的，《梦溪笔谈》的作者，那里边有解释。
123跳！跳进染缸！
很直观的说文解字，解释了印刷相关的一些词语由来
能文能武
写反字都写得这么好看，真厉害
欧泥匠
我的天呐好浩大的工程量
姐姐你帅死了！
这首歌很好听，周深唱应该很适合
爱你太难的啦
我感觉他好像又不要做陶瓷
[ohh]
我觉得他要做陶瓷
wc
我出10万
[ohhhh]
三连奉上
古代能用字的差这点小米吗
[ohh]
这个巨沉啊
牛啊
太厉害啦！
[ohh]
卧槽到这熟悉了
我要批发
明明可以直接写，非得秀绝活儿
[OHHH]
[ohh]
好厉害啊啊啊
[ohh]
这个完全可以出售的
好感动，好震撼
我的妈呀好厉害啊
又能吃又能用（bushi）
她感觉做了好几年的老师傅
识别bgm
太厉害了，学到了
有劲
人有冲天之志，非运不能自通
[ohhh]
请看标题（
[前方高能]
你以为古代吃不起饭的难道看得起书吗？这本就是有钱人才会用到的东西
[ohh]
同款盆子
[ohh]
[ohh]
[ohhh]
女性的魅力啊，男女平等不就出来了吗？
哇˶╹ꇴ╹˶！好厉害
我也跟着吹了一下
豪杰
咋和我家逆子造型一样哈哈哈
姐姐嫁给我吧
狗狗应该是叫阿妹吧......
衣服换了好几套的，有没有可能这么大的工程量不可能一天完成？
[ohh]
好凉快的感觉
妇女能顶半边天
这么结实吗
天呐
不怕发霉？
[OHHHHH]
666
煮东西吃呢
[ohhhh]
[OHHH]
泰酷辣
活字印刷？
这下真的可以吃了
[ohh]
啪的一下就关注了
woc四合院
bgm胡广生
bgm好评
狗子的名字哈哈
[ohhhh]
请问现在在做一份活字印刷有何意义？？就为了怀旧吗？
印刻根本不适合活字印刷，泥容易磕崩不说 ，光是用墨量就多
像那个霉豆腐
姐姐好厉害
确实是有点印字不清
[ohhhhhhhh]
辛苦了
反光板痕迹好明显，哈哈哈
用脚做出来的
.
手艺！
这视频调色怎么感觉好不自然啊
差个章
随便一截都是壁纸
跳进染缸
牛逼啊
"Oh, my god."
鸡肉冻干
挺值钱的吧
可以开吃了
天奶啊太震撼了这个画面！
终于开眼了，活字印刷术。
[ohh]
古人怎么那么聪明呢！现在有了方法在做都觉得复杂
好漂亮
[ohhhhhh]
这个喷不了，这是真牛逼
好牛
姐姐，我好喜欢你
厉害
[ohh]
就这最后一步挂房上没有俩人就弄不了
悲伤的音乐反而使人兴奋
有种不在同一贴图的美
手好巧
好厉害
[ohhhh]
[OHHH]
太厉害了！
哇偶
就因为这个文章，你前边白忙活了
我的妈妈呀…
123跳   跳进染缸
刚刚那一桌的字还以为要把GB2312字库给做了
[ohhhh]
板正的字
姐，小心手
wk，强的可怕
姐你可以穿越了
肯定要反着写啊，不然印出来不就是反的了吗
写反字好难的，之前试过用橡皮刻名字的章，总写错
厉害
女性的力量
她一个人做了全部
向伟大的手艺人致敬！
活字印刷大规模只是被西方大规模使用，因为他们只需要26个字母
[ohh]
其实中国古代绝大多数是用雕版印刷，活字印刷有很多弊端
饿了
[ohhhh]
这就是女性且人民的力量
啥呀，活字印刷吗
[ohh]
河中石兽改成活板了
[ohhh]
[OHHHHH]
霉豆腐？
牛啊
中国文化
是挺累的
看了这么久才发现他是拿来印的
大力女子
[ohh]
太牛了
[ohh]
好强劲的生命力
好麻烦哦
怪不得叫印刷！
这才是女性力量代表
唐人尚未盛之
大娘们
这么多啊
[OHHHH]
还有反光板
这玩意看着就沉
开幕雷击
冷知识，古代活字印刷一直没有普及，因为印刷的工人做不到在一堆字里挑出来需要的
50斤有了
殴泥酱
下面全是碳火
人类是真喜欢创作啊
好有力气！！！
[ohhh]
啊？？？
好棒！
那只狗子叫安倍？
啥？
低低低低配版李子柒，真可惜啊
食物不是只有吃了才不叫浪费
伟大无需多言
一个字只有一个吗还是常用的会多做几份呢
oh
谁叫的妻主，真有那味儿啊！
臭豆腐么
太牛了
[OHHH]
[ohhhhhhh]
谢谢你！
这是能顶半边天的女同志
[ohh]
借我玩一下吧555就玩一小会
[ohh]
史？
[前方高能]
再等会，熟了就可以吃了
这里好美啊！！
[ohh]
[ohh]
浪费不了，没有猪吃还有狗吃，都不吃有老鼠吃，蚂蚁吃…
三连了
写字写最后一笔，刻字刻最后一刀
up好厉害
好有力量的女性！
古代砌墙的灰还糯米拌的呢，地主家用还管你草民饿不饿
则字平如砥
好厉害呀
啊啊啊啊啊！！我没币了！！！！！！
写反字是门本事
厉害真厉害
哇，期待住了
好美，好强，佩服佩服
厉害了
体力活
好历害
[ohh]
三连致敬！
强女
好吃
包三连的
反写才能正印啊
bgm好吃
好厉害
丸辣，草东没有○神又炸了
什么叫没听过活版，就算课文删了初中高中历史课都有讲吧。
别说了，上链接吧
芜湖
