口罩尊者
？这几个人和游科有啥关系吗
看完这个采访爱上了冯骥
得央视者得天下
竟然发了我敲
这个主持人真的不行 能不能找一个真正玩游戏的人 她问的问题好片面
排面
某二字游戏
牌面
@米哈游
排面
还有这么多人？
终于有完整版了
踏上取经路，比抵达灵山更重要
都被泄露光了，自己才来发完整版，哈哈
设计的真好
完啦
四门塔 集合
2077
确实
直接拼音
被访者说话时没必要频繁切记者，太乱了
我1650S是不是没戏了
再来黑神话系列
排面，祝黑神话越来越好，期待后续有更多佳作
说得好
幽默
6
肯了肯了
6
6
辛苦了！！
6
多想想LOOG
应该直接翻译为TUDIGONG
表达的真好
地中海有头发了
已老实
热辣滚烫横向等于页游，换个皮圈氪佬钱就完事儿了
他们在做战神的时候考虑中国玩家理解度了么
除了头儿 人均社恐吗哈哈哈哈
汗流浃背了，这不能说那也不能说，那就只能抽象表达甚至宏大叙事模糊重点了
没法说，电影和游戏，属于经济不好的表现。都沉在虚幻的快乐里。
我不仅被打动了，还被打死打败了。好难啊。。。
不愧是学霸，发言好棒
这不是淘宝的李佳琦？
撩妹
理想主义者
里面的文案真的很棒
嘛的，一句一切镜头
人民群众对好游戏的向往与落后的现实之间的矛盾
牛壁
这是哪款手柄？
情报员
一刀秒
隐藏
第九艺术！
一听到还要改，任谁心理都咯噔一下，尤其是PD们
众所周知，当年班上的学霸大多玩游戏也贼6
很棒！！！
正是在下
网格员你可真绝了
哈哈好尬，没训练过配不来
路虽远，行则将至
开拓开拓开拓开拓开拓 我们星铁人 听了这句话，就是满满的开拓
40！？你说她20我都信！？
策划：我谢谢你
明知故问
8月22日回来看，你成功了，你也值得
因为英文单词的信息密度比中文还低
技术宅的反应
指环王取材于尼伯龙根的指环歌剧吧？
务实就是打基础，理想就是望远镜，而开辟者要兼而有之
需要生态
中华5000年还得看山西啊，作为一个山西人，《黑神话:悟空》能在山西取景很骄傲啊！
那确实
爆了
说的太好了
该他们的大儒来辨经了
我超 央视说出来这话 稳了
假面骑士W
假面骑士W
但将行好事，莫要问前程
确实
最美女王，女儿国国王，谁赞成谁反对？
确确实
熊还算比较简单的。
公知们，张大苟眼看好了，这些都是中国的年轻人！
作为一个音乐专业的学生，听这一段真的鸡皮疙瘩起来了
这个制作人是健身的
是的直接跳了一个阶段，就是禁的那几年
毕业了
确实很有意思，
下次还是找个懂游戏的来吧。
我也在中科院，莫名给了我动力
好会问问题
太可惜了正式版没有这段了
腾讯:你报我名字吧
我终于知道游科是怎么拒绝腾讯介入，还能让腾讯只是默默地当一份小股东了
你猜
谦虚
第二章开头这个陕北说书确实惊艳到我了
黑广志，悟空
啊？？
这样侧坐好伤脖子哈哈
刻画主角，就去刻画他的对手。
西游记不单单是一部作品，深挖细想有很多蔓生的人物原著作品可以去看，没有深层理解，黑悟空的内容你会参不透
单机游戏是一个闭环，也就是整个游戏蓝图故事是完整的。网络游戏是一边上线一边开发的氪金游戏，有故事类性么？
期待越大，压力越大。赞美声越大，压力越大。
然后就公费旅游了是吧（doge
镜头好晕啊，一直在切换
灵山是灵鹫山，也就是印度鹫峰山。释迦摩尼修行的地方
简称 大佬
你好坏我好喜欢
《黑神话：广智》     玩家：广智救我！
斗战神啊，真的可惜
包户干部
山西欢迎各位天命人！
口袋妖怪
牛逼
虎先锋
我，从刀狼教头开始卡关……
来了来了
来了来了
出事！
能不能别老切记者镜头啊又没说话
高情商
以前被污名化 本来单机游戏国内起步还不错的
gta也是，没有la的各种帮派就没有洛圣都
《谁杀死了我们的游戏》
先送100抽
前边十年是盗版横行，最近十年是因为腾讯，盗版和腾讯耽误中国游戏二十年
哇 这黑眼圈 真的好辛苦啊
防御比较强——指一刀被秒
不内耗的两大诀窍，关我屁事，关你屁事
梅琳娜
我觉得这段采访都可以达到招人的目的了，领导者太有领导魅力了
腾讯的几款mmo
感觉团队领导者非常谦虚，不好大喜功
第十次改回了第一版
流浪地球
空我
是这样的，看得太透了
冯骥太厉害了，西游记题材是他一直的夙愿吧，当年斗战神太可惜了
感动
谢谢
很犀利的问题
哪个是刹车哪个是刹车！！
是一种结果
感谢，有些令我感触
别再切镜头了，谁说话你就对着谁，头都晕了
魔童
防御比较强，指瞬间空血
曲高未必人不识，自有知音和清词
流浪地球1  流浪地球2
是因为一直都在做
马化腾
说得好！
SIC和竹谷老师的各种作品，看得出来是美术的风格偏向的
应该还原一下，拈诀
广智救我
前面说年轻记者的，这个记者姐姐已经40岁了
真心建议慢点玩 看妖怪小故事 写的太用心了 真的 别浪费啊
太强了
[ohhhhhhhhhhhhhhhhhhhh]
爱了爱了，太帅了
关卡策划出来挨打！
镜头切的太频繁了
vv式难绷表情
排面
艺术是人民的艺术
《禁令》
哈哈哈哈哈
清醒的武汉伢
封身假算了吧，封神其实算西游同人
小羊啊  B站有号的
冯骥的汉普很真实
冯骥是武汉人，同感
哪吒
这个剪辑没事干
什么时候能搞个水浒题材游戏
这个剪辑有点头晕
群众史观：英雄往往是顺应历史发展方向的领导者
就像三体
“迅速” 蚕食
能收服的就变土地公，不能的就是妖怪
我的同事今天问我 黑神话可以联机吗 得到答复说了一句那有个毛意思 我笑死
牛啊
冯汗流浃背了
克劳德
这段味道太对啦
哈哈哈哈哈
没看够
剪辑是新手吧，搞毛线啊，采访这种题材你特么疯狂切画面是嫌观众不够晕
这个记者情商颜商都比较高唉！能力也强！
洪荒时代
真香定律还在延续他的神话
杨奇我的神
华中科技大学
华中科技大学
这段真的绝了
送命题
我以为最后会是和六耳猕猴打
我觉得这个比s什么七会热得更久，肯定，而且让我认识到做游戏的不容易
对杨总而已 悟空是不是还带有遗憾？
为什么我觉着冯骥像吴启华
高材生，说话太有水平了
