？这个字幕少了两个字啊[doge]
更了赞我
如果都投主角是不是就没有后续了？
《認財》
6666666666666666666666666666666666
空瓶
承包空瓶
什么诡辩
320人陪我看
1
这怎么听着这么像停尸间
288
有人还记得最后那条规则吗？融入大家不要让他们发现。
他是怎么知道内鬼是是知道同伙的？
本来蛮紧张的，绷不住了
怎么说可以一直连载到孙老大回归？
占领空屏
1
死了→
1.
猜疑链
273个人
冲刺，冲刺，冲，冲!↑
说不定那三个都是内鬼，反向发金水
286
8月21号扣1。
310个人出来吧
315个
棺材
293人出来吧。
要是我反杀了狼人呢？
盲猜没有内鬼
说不定上一次，另外两个人坐的公交车才是对的，完全离开了怪谈世界
绿色番茄酱
打鼠了
◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥超高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣
说不定就是陶然
··
好像在哪看过
《姑娘》
这种情况是不可能的，除非狼人把所有人杀死
警长去碰瓷呗。
空瓶
老师戴的是joker的人格面具吗
能不能别发人数了
更新赞我
全球高考？
220
快更新
择优录取的意思是只要把别人都杀了自己是不是就能保证毕业(纯猜测)
更了赞我
存活率20%
也可能是乱睁眼有惩罚
其实玩这种游戏最重要的是不要让别人注意到你。先说话的死的比较快。
有人————
215个人出来吧
盲猜只有主角和周毅强是学生
赞了更我
复合肥
那261个
那259个
8号应该是鬼
更了赞我
284人了
la下
《拦住》
好！
回红字:孙华文在医院怪谈
孙老大在医院怪谈
不是？没人查成绩？
生死面前没有性别之分
内鬼的数量未知呀
看样子孙华文是逃出来
付战神
◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANG
◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANG
收藏比赞和投币加起来都多
疑似违背日内瓦公约
只要不断把比我分高的人杀掉就好了
二周目
253
更了赞我！义父
主角史诗级加强
弹丸
哦吼，现在孙哥不在了咋办啊
建议把老师直接装进箱子里
不用害怕，宝贝有我在
◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥超高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣
◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥超高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣◥DRANGR◣◥◣◥高能预警◣◥◣◥DRANGR◣◥◣◥◣◥◣
有没有一种可能除了主角他们两个剩下的全是“异类”
259
345个人
惊人收藏量
326人
10
11
回白字：周文华他们上一集坐公交车逃出去了
，G
会团灭吗？
22
521人出来
那么可不可以离开床铺
内鬼不同意
《手机》
614人
有生之年！！！！！
义父！！！！！！！！！！！！！！！！！！！！！！！！！！！
空瓶是我的了
565人出来吧
有狼，没用
用粉色吧
终于更新了
558人
其实不一定
544
《国际友好手势》
《关于时钟的时针可以在分针转完一圈后往回倒这件事》
怕了
2分钟前！好烫
周文华去哪了
hello
88
上个怪谈还只有他们四个出去了呢
108人
我怀疑既是内鬼也是好人（教室的所有人
更了赞我 谢谢
220
10000+
大晚上的。
可能是强制闭眼呢，毕竟规则怪谈就不算真实世界
.   .
好烫
666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666
红色的血容易被禁掉
那不对啊，如果两方中的其中一方睁眼了，那就知道另外一方的人是谁了啊
你是包括内鬼吗？
570人
不能控制所有人票数一样吗？
劳改犯
←那就是血，不把血涂成绿的审核不让过。
20%的存活率？
"""误杀"""
爽
更新求赞！
弹幕护体
165个人
开眼！
更了赞我
博弈论最有价值的一集。
上一场怪谈和这一场怪谈存在必然的直接性关系。狼和狼人应该要划重点。
内鬼不带刀？
150人陪我看
有人吗？Hello啊！
有人吗？Hello啊？
26分钟前
更了赞我谢谢！
好耶
175
143人
划水
我就知道有后续
杀手选修呢？搁这
欢迎回来
200
198
更了赞我
我有个同学叫付雨泽
我好像看过
183
夜幕降临
22
182
没了，我直接切
占领空屏！！！！
更新了赞我
三小时前
想看完整版的找@暴走阿泽
占领空瓶
保护
2小时热热还能吃
感觉内鬼像老师
161
说的道理
不可能全投主角
躺起来很安详
选拔人才……
来早了↑
一小时前，热热还能吃
阴悦针好厅
神奇的牛顿飞起来倒立说话了
没猜错的话内鬼比学生多
然后你和周义强是对立的身份
没有孙华文我可怎么活啊
又是一个小细节
119人
不用怕
付哥
《血》
好早！
空屏！
[ohhhh]
[ohhhh]
赵希文
有
我在前面的
36分钟前！！！！！！！
害怕
182人
空屏
更了赞我，求求了
《菇凉》
181人
占领空屏
172人出来
有个问题，内鬼知道自己是内鬼吗？
半个小时前！！！
内鬼可能有很多个吗
22分钟
内鬼岂不是无敌了？（在互换身份之前）
怎么没人说话了
那内鬼怎么玩？内鬼又无法自己淘汰人数
11分 还热乎
十分钟
9分钟前！
更了赞我
空瓶是我的辣！
好！！！
78个赞，22个币
啊？逆天 不分性别
五分钟前
甚至还有后续
1434
第六个赞
两分钟前
最早一次
最早的一次
两分钟，好烫
0分钟，好烫
来早了
最早的一集
最早的一集
一分钟前，热热还能吃
