之前，西方游戏有问中国人了解西方文化吗
虽然西游记的西游不是指欧洲 哈哈哈哈哈
弼马温
《简单》
四大天王:魔礼青，魔礼红，魔礼海，刘德华！
真的，只有遇到这种时候才想说为什么当年不好好学英语
从南天门一直砍到蓬莱东路
主动去了解背景知识明明是玩家该去做的事
我战神一点也搞不懂照样玩
德国老哥好文采！
赛博航海家
这才是有意义的输出
其实你真的想玩的话，了不了解背景都没关系，享受游戏过程就行了
孔子学院不是用来宣传的，是用来给国内的人那啥的
没忘了白龙马好评
干的漂亮
开门，云骑军
带我马哥一起玩好评
格雷科普，简称雷普（
太好了，需要这样在外网科普的up
外国网友：这下看懂了
有什么不一样，都是神话 ，不也是一直砍吗
我也不了解北欧神话，我还不是一样玩战神
不一样。北欧神话简单粗暴，除了啪啪就是杀
谁让他们的神话那么好理解呢?
这才是文化输出啊
三眼战神哈哈
低维文明想理解高维文明还是有难度的
这怎么跟崩铁有关了，丰饶本意就是秋收丰满的，别什么都关你米游的事
up主是不是做了微笑唇，无懈可击的微笑
看好了，硬币之力是这样用的
投一个
必给三连
你强迫别人啊？不了解当然第一决策是不玩，谁会为了玩个ARPG去读你书啊
《一时兴起》《没太多准备》
传递文化
西游记要讲那就太多了，那评论区都讲不完
我一个中国人都理不神仙的关系。
巫师的世界观我是一点不了解但巫师3一样玩得开心
强
要启动了
“《一句话》”招笑呢，高中英语都不知道？
好
支持！让更多人体会到我们的文化，我们中国神话的魅力！
外国人开发游戏也没考虑过中国玩家不了解他们的文化啊，你看他们在乎吗
aka 唐三藏哈哈哈哈哈哈
爱玩不玩
ai整活包装一下就能蹭到饭了，文化饭，爱国饭
这里很棒，西游记翻译版本有点多
主要是北欧的文化比较浅，更明了，电影也出的很多，西游记很多都是魔改的了，就是借助悟空这个题材而已
这确实是好游戏
英雄
牛逼
直接去看86版西游记不好吗
没点硬黑
有没有种可能是老外自己不了解的原因？？（狗头）
学外语的意义
感动
这下看不懂了
笑死，我们能自己去了解他国文化，为什么他们不能？
可以，三连奉上！
做得很好，再接再厉
西游记故事在国外还是挺火的，外国人基本都知道点的
哥们不会看的文言文吧？
我当年是看了天籁纸鸢的言情文了解北欧神话的
支持
雪豹闭嘴，不了解就去学，搞得你们出的文化我们就一清二楚一样
6666666
那咋了
我要你了解？
西方神话背景还好，小学那会少儿频道经常放西方神话的动画片，再加上漫威宣传
hero
我艹，帅啊
不友好就对了
那就去了解
那就去了解啊 无知是什么很值得大张旗鼓告诉别人的事吗？
看86西游记
AKA唐三藏哈哈哈哈哈哈哈（yoyo）
-*·123
哟哟哟
黑神话·悟空~稀奇来马~弼马温~孙悟空，三桓（孟孙氏、叔孙氏、季孙氏）~三孙子~三损色~three sunset，日落之处，喀喇昆仑，道场悟道，冥界悟空，色即是空，譬喻即如绘画把颜色损到极致，就是黑！
不了解就去学啊，都给你翻译成鸟语了还怎样
你简直是超人
没文化还有理了？
我们玩家只要随便玩就好了，评分要考虑的就多了
都刻在DNA里面了
可以理解
还真是
看不懂就多读书
"不懂就去学""这种话就是没想友好交流的"
新华社在放英文86版西游记
加油加油
《take my money》
人外国玩家喜欢边玩边看背景
我也不了解，都忘光了，照样玩啊
黑神话的故事让国内的人都望而却步，你又怎么去让外国人理解？
大义啊！！！
这个币我投了！
没文化还有理了
匹诺曹
那不就是说我们文化底蕴很深吗？
黑神话不是做给中国人玩的嘛
那是玩家自己的缺點、自己的認知漏洞
你既然不知道为什么要玩？
你觉得外国卖的贵，人家老外不觉得贵啊！人家一天200欧元顶你一周或半个月的工资了
科普，直接给他买一本西游记么
你好
不了解就去学，惯的
那咋啦
建议国外友人再补一波连续剧
你告诉他，这是七龙珠的祖宗他们就懂了
太双标了，他们的游戏就不说中国玩家不了解文化
我看沙丘的时候也这么认为
原神  启动！！！！
Nihao
那就去了解
以后让外国人学中国文化去
所以，是谁的问题？
那就滚去了解
黑神话，启动！
中国神话过于复杂，科普上难度很大
我5岁都能懂，你想说某些人智力有缺陷？
却步就缺步吧，我们没必要嚼碎了喂他们吃！
创作背景：阴阳当时的朝廷
借着东风参与进去
到我们了朋友们
nb
仁济
那你自己了解呗管我们什么事 我们了解啊
很多外国人，然后都是销量第一~
是时候把悟空传翻译出去了
完辣
加油加油 支持
加油吧
会说你就多说点Doge
这不是ai写的么？
梯子，来！
卧槽！这数据很好了
他们做游戏也没考虑我们啊，笑死
这很好啊
不是有动画片吗
你可以不玩
说的也是
Loong不是dragon，别翻译错了就好
外国神话除了伦理都不复杂
那就去了解呗
外语版都是选章翻译版本
东游记
AI概括也行
你是真正的英雄
二郎高达
自己建墙，没办法帮别人普及。
之前看的西游记，现在剧情忘得差不多了
我也不懂老头环，照样不耽误玩啊
那咋了？
漂亮
太棒了 三连了
哈哈，全世界都一样，玩游戏的都是朋友
功德无量啊 格雷老师
不了解就学啊
杨戬可以介绍一下，也是一位中国神话人物，曾经劈山救母
耶梦加得有什么故事，我看到后立即去搜索
打起来 好难
辛苦了
作为中国人，我都不想玩，没啥创意
能推荐电视剧《西游记》给他们吗？
二周目结局和二郎神的旷世决战会出现
功不可没
20分就摆在这 爱背不背
先对得起本土玩家再谈输出
杨戬每次都有人帮
你说的外国是哪国？
英雄！
你们出欧洲神话时考虑过我们吗？
那我玩外国游戏还不了解外国文化呢
爱玩不玩，玩不懂就别玩
爱玩不玩，玩不懂就别玩
爱玩不玩，玩不懂就别玩
爱玩不玩，玩不懂就别玩
爱玩不玩，玩不懂就别玩
up传递真经，功不可没
无所谓，中国人喜欢就行
猿神，启动！！
这你都想到了
这个不用太了解西游记吧 就是打怪通关啊
都叫文化输出了，你不了解我的问题？
那你们外国人就去多读书啊！
毕竟外国神话除了伦理都很易懂
国外贵不是很正常 你用美区啊什么的充会员， 都是比中国贵的，因为他们的购买力比我们强
这下看懂了
不知道大闹天宫真的很难理解猴子的意难平
不了解，你们去了解啊！笑死！
我还觉得希腊神话看不懂呢
不懂就去学
超牛的猴子，进来坐牢就老实了
没文化还有理了。。
中国文化最深奥，外国没有那么多可理解的，只要他翻译成中文就能看懂，中国文化中的诗句，外国翻译出来让我难绷
《猴子国王》《三眼战神》
哇哦～感动
你三连有了
本质是傲慢
主要是这游戏制作者说了玩不懂了得读西游记。。。
干得漂亮
复杂怎么了？我玩外国游戏不一样自己查吗？
那就去了解啊
不了解？从现在开始了解！
这不是西行记吗
