标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
纯黑《黑神话：悟空》全程无伤攻略解说 第一期,-纯黑-,https://www.bilibili.com/video/BV114421U75X,856.7万,6.9万,"这不得三连支持一下！
视频录制于发售前版本，不保证后续更新后和视频里的内容一致。
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。",61.5万,53.3万,61.5万,17.2万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '悟空', '解说', '纯黑', '攻略', '无伤', '黑神话']",2024-08-20 10:00:00
《原神》纳塔交响音乐现场,原神,https://www.bilibili.com/video/BV18E4m1d7b7,499.3万,3.3万,"本次纳塔交响音乐现场包含《纳塔 Natlan》与《苍原的颂灵歌 Anthem of the Savannah》两首由HOYO-MiX出品的《原神》游戏主题音乐，由指挥家Robert Ziegler、伦敦交响乐团、London Voices合唱团、Vocal Shack合唱团和民乐演奏家们共同演绎。
 ‌
感谢TAKEOFF Studios的协作支持，感谢Stagecast提供的拍摄制作支持。
 
========
 ‌
《纳塔 Natlan》
作曲：苑迪萌（HOYO-MiX）
 ‌
《苍原的颂灵歌 Anthem of the Savannah》
作曲：王予曦（HOYO-MiX）",38.4万,40.6万,38.4万,5.8万,"['音乐', 'MV', '原神纳塔', '米哈游', 'miHoYo', '原神', '原神音乐']",2024-08-16 18:00:00
据说 今天不少外国网友都在打听一只“猴子”的身世~,央视新闻,https://www.bilibili.com/video/BV124421U7Hp,483.0万,6181,Not Found,77.8万,8.6万,77.8万,6.2万,"['游戏', '单机游戏', '西游记', '黑神话悟空', '文化输出']",2024-08-20 17:12:21
《坦克模拟器3》,马鹿blyat,https://www.bilibili.com/video/BV1Qr421M7Xs,465.4万,7169,《坦克模拟器3》被官方催更出来了，感谢《坦克世界》的大力支持。8月20日是《坦克世界》的周年庆，官方有大力活动；感兴趣的小伙伴可以在浏览器中复制这条链接入坑👉https://urlqh.cn/sRHtO,58.9万,16.7万,58.9万,8.7万,"['科技', '极客DIY', '游戏', '坦克世界', '坦克', 'DIY', '搞笑', '模拟器']",2024-08-20 08:00:00
90后第一次割包皮却被老板和同事围观？,亿点点不一样,https://www.bilibili.com/video/BV1RE4m1R7Pm,222.9万,2.4万,什么样的包皮需要切除？割包皮的全过程是什么样的？这期视频中，我们将通过志愿者实拍加科普动画，来看到包皮手术的全过程，让观众对割包皮有更全面的了解。如果这期视频对你有帮助的话，别忘了点赞投币，也欢迎分享给有需要的朋友～,27.0万,11.4万,27.0万,7.0万,"['每天一个健康知识', '知识', '科学科普', '健康', '知识', '科普', '男性', '科学科普', '包皮环切', '医学影像', '万物研究所·夏日探索计划']",2024-08-20 17:00:00
独家对话《黑神话:悟空》制作人冯骥｜“踏上取经路，比抵达灵山更重要”,新华网,https://www.bilibili.com/video/BV1Gi421a74W,192.5万,1.8万,“踏上取经路，比抵达灵山更重要”｜《扬声》第三期：张扬对话冯骥,17.8万,11.0万,17.8万,4.1万,"['推荐宝藏游戏', '游戏', '单机游戏', '单机游戏', '游戏杂谈', '黑神话悟空', '纪录片扬声', '张扬对话十二行家', '踏上取经路比抵达灵山更重要', '新华网']",2024-08-19 18:35:00
《黑神话：悟空》全流程、剧情讲解梳理、4K最高画质攻略！【第一回：火照黑云】01,紫雨carol,https://www.bilibili.com/video/BV17Z421K7ib,438.2万,2.6万,本次攻略的视频制作思路和法环相似，但在解说方面除了必备的攻略讲解以外，我还会结合《西游记》原著来讲解和分析剧情。由于目前游戏刚刚发售，查不到任何资料，而游戏的隐藏要素又很多，我一个人能力有限，如有遗漏，请大家多多包涵，也欢迎大家在评论区留言指正，查漏补缺。,13.4万,7.4万,13.4万,3.4万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '西游记', '国产游戏', '孙悟空', '紫雨', '黑神话悟空', '黑神话', '紫雨carol', '游戏科学', '黑神话攻略']",2024-08-20 10:00:00
时隔二十年终于合体啦#超兽武装#陈洁丽#刘罡,Lily陈洁丽,https://www.bilibili.com/video/BV1DH4y1c7JF,142.1万,2835,Not Found,24.9万,18.1万,24.9万,1.5万,"['音乐', '原创音乐', '#超兽武装', '#陈洁丽', '#刘罡']",2024-08-18 20:49:06
假市长去县里考察，遇到的事刷新三观，老电影太讽刺了！《江城奇事》,浮生说剧,https://www.bilibili.com/video/BV1iy411e7dY,666.7万,2996,电影：《江城奇事》,17.2万,4346,17.2万,1614,"['新剧好剧一起看', '影视', '影视杂谈', '电影剪辑', '电影解说', '电影', '经典电影', '影评杂谈', '奇事', '江城', '老电影', '人人都能聊影视3.0']",2024-08-20 09:30:00
如何错过两次金星奖章？【小约翰】,小约翰可汗,https://www.bilibili.com/video/BV1h1421t7Fc,214.8万,2.2万,本篇为小约翰之亚历山大·法丁。,18.6万,9.0万,18.6万,5065,"['坦克世界周年庆2024', '知识', '人文历史', '人文', '坦克世界', '德国', '历史', '知识', '战争', '苏联', '坦克', '世界史']",2024-08-20 11:11:05
黑神话：悟空  4K全流程,籽岷,https://www.bilibili.com/video/BV1Jx4y14798,302.1万,3.1万,https://store.steampowered.com/app/2358720,14.7万,4.9万,14.7万,1.8万,"['推荐宝藏游戏', '游戏', '单机游戏', '全流程', '孙悟空', '西游记', '悟空', '籽岷', '单机游戏', '4K', '黑神话', '动作游戏']",2024-08-20 10:00:00
转场合集5,Tiger西西,https://www.bilibili.com/video/BV1SE4m1R7Uu,405.5万,1283,转场合集5,23.1万,8729,23.1万,2446,"['美团外卖神抢手', '美食', '美食记录', '搞笑', '厨艺', '吃货', '美食圈', '美食vlog', '沉浸式', '转场']",2024-08-19 18:17:02
一切为了拯救，被送进戒网瘾机构的他！【温柔】,温柔JUNZ,https://www.bilibili.com/video/BV1pT421r7AZ,79.9万,5012,"张恩旭最后写道：

爱我所爱之人，行至仁至善之举，我虽死，精神存，只遗憾不能和爱人厮守一生，不能再行善举，不能亲眼见到这种学校，从世界上消失。

画面：熔炉",14.7万,12.4万,14.7万,1.1万,"['知识', '社科·法律·心理', '温柔', '生活', '社会', '杨永信', '学生', '豫章书院', '戒网瘾学校']",2024-08-20 18:40:11
全网最“外行”《黑神话：悟空》试玩？别急，还有全球首发Boss,新华社,https://www.bilibili.com/video/BV1AS421d7be,256.8万,8178,跟着《黑神话：悟空》策划负责人看青背龙Boss怎么过，但这次眼睛也没学会……,19.2万,3.2万,19.2万,3.9万,"['资讯', '热点', '国产游戏', '专访', '西游记', '纪录片', '黑神话悟空', '黑神话悟空青背龙boss全球首发', '张扬', '新华社', '扬声', '冯骥']",2024-08-19 13:45:51
黑神话悟空 第一期,鲤鱼Ace,https://www.bilibili.com/video/BV1KE4m197MV,177.8万,5.2万,黑神话悟空 第一期,11.7万,5.2万,11.7万,2512,"['黑神话天命人来也', '游戏', '单机游戏', '搞笑', '黑神话悟空', '鲤鱼', '《黑神话：悟空》8.20 直面天命']",2024-08-21 13:52:49
假如在漫展coser背后，用唢呐吹他们的角色主题曲²,浑元Rysn,https://www.bilibili.com/video/BV1Jz421i7w6,122.6万,2148,"第二期！事不过三，还有最后一期，CP可能见！
有难度，看到角色之后迅速在脑子里检索音乐，生怕coser跑了，然尔还是会有错音，吹错（",21.1万,5245,21.1万,1467,"['原神创作者交流会', '音乐', '演奏', '漫展', '二次元', '现场', '唢呐', '角色', 'Cosplay', '原神', '原神fes', '原神UP主激励计划4.8']",2024-08-21 12:00:00
全国第1人，全盲玩家靠听声辨位打过黑神话第1个boss,诺子喵呜,https://www.bilibili.com/video/BV1vz421i7mM,152.1万,1903,"一般晚上9点半到10点之间开播，今晚继续挑战黑神话，希望有条件的可以上船支持一下非常感谢！

本人视力是全盲，微弱光感，看电脑屏幕肯定是看不见任何影子的，而且在这种高节奏速度下看影子也没啥用啊哈哈
能够借助无障碍读屏使用电脑和手机，包括发评论和浏览大家的回复，但是支持无障碍的游戏是非常少的，更别说3A
黑神话【并不支持无障碍】一开始我也只是和大多数人对我的想法那样，抱着听听CG刘辟的音乐就算了去下的游戏

不知道还有没有老粉丝记得，我曾经许下一个愿望，我好希望所有主播都在播热门游戏的时候我也能够享受在其中
能够打过第一个BOSS对我来说真的是非常非常出乎意料的结果，或许我很快就会在第二个BOSS卡关，但是没关系，至少我享受过了超出想象的游戏进度

也非常感谢直播间的大家发弹幕引导我找路，希望大家也能在黑神话中游戏愉快",19.1万,7.4万,19.1万,1.8万,"['黑神话天命人来也', '动画', '综合', 'BOSS', '孙悟空', '直播录像', '黑神话悟空', '牯护院', '首杀', '盲人', '玩家']",2024-08-21 17:03:12
【王老菊】黑神话悟空01：好的开始,怕上火暴王老菊,https://www.bilibili.com/video/BV1Uy411e7DW,116.8万,4.0万,不错不错！,9.2万,9.6万,9.2万,9757,"['游戏', '单机游戏', '黑神话']",2024-08-20 22:53:09
