好莱坞这些年的电影确实不怎么样
小黑狗偷衣服
读86年那一版（不是）
哎，终究是被黑猴摘了桃子，意难平（doge）
成显学了
悟空的安全词：“师傅别念了”
《悟空，今晚不用变了》
喜欢我的紧箍咒吗？
《新手》
百ai争鸣（
《猿神》
黄神话
沉玉谷小曲
加纳～
我当时也就看过86版西游记，甚至有漏看情况
不好意思，到这又忍不住笑了
黑神话悟空在运行时是否会链接WiFi？
这才是互联网应该有的样子
吴承恩杀疯了
猿神
黑悟空原版设定集
小青龙
理论上一胎不少于30个
虽然不知道已经前进多少，但是至少已经踏上了取经之路！！！
所以紧箍咒是什么情趣锁*环触发词么？
崩铁女玩家龙丹头像，太对了
成功反向带货《西游记》，谢谢你ign
先确保他之前吃饱了，不然我可不敢
全世界都差不多，哈哈哈哈哈
因为不了解文化背景而看不懂剧情是人的问题，不是游戏的问题，看不懂就去学
梦幻西游！
金猴奋起千钧棒，玉宇澄清万里埃
唯一的问题是文化底层逻辑和思维不同，我们需要主动解释，而不是任由老外发挥类比，那不好，比如上帝，龙等中西是完全不一样
这就是文化输出
彪哥说滴的为（狗头）
不用担心，《西行漫记》英语版原本就叫Red Star Over China
《DCS》
我也喜欢剧情模式，在游戏里饱览河山殿宇
《英文版哈利波特》
monkey king 没错，早期书名翻译就是这个
这下听懂了，前面神君都在读条是吧
煌煌威灵尊吾敕命，斩无赦~！
就单个金箍棒就能从大禹治水开始说，然后再讲三皇五帝，反正这里面涉及的是真的多
猴子王
相当于做钓鱼竿的碳纤维厂家突然发现了这玩意儿J20能用……
好莱坞：6
莫名有种初中搞西游记备考知识点背诵提纲的既视感
一口气带你看完猴子王的前世今生
也可以顺势宣传画面里现实存在的中国古建筑
敌人太吓人绷不住了
笑死，博士的毕业论文吗
这方面，日本VTuber就比较方便了。要么是小时候看过西游记，要么是直播时看了西游记
不说很像，只能说一模一样，哈哈哈哈
一模一样
哈哈哈哈哈
逆天
？？？
啊？
头像饮月瞩目
?
去？
不是，啊？
啊？
西游记目前中学必读，只要不是九年义务漏网之鱼都会接触原著
我才三十多就已经玩剧情模式了
专业
建议老外再备战一下最终boss的，《人生长恨水长东》
啊？
建议再老外备战一下最终boss的，《人生长恨水长东》
像不像你当初翻英语词典查攻略的时候
《黑红楼：黛玉》
该出奇兵了！
猿神
bgm好听唉
初一牲狂喜
啊这……
中国玩家觉得不需要是因为，自家的东西啊，都懂，但是，老外他不懂啊，所以他得学
妈呀我要哭了
为了玩个游戏写了篇论文
可惜吴承恩停更了
这才是文化输出吧
这宇将军海外分军吧
这bgm是原神的音乐啊
啊？
只有喜爱是大同的
可还有很多参考了山海经，所以还是不够了解
看西游记学习历史？？？
一定都有啊
啊？
有猴和猪的cp
你嗯完会被吃
世界人民大团结万岁！
外网卖电子书是条路啊
啥？还有剧情模式？
啊？
这是阿三吧
刚刷到
啊哈哈哈哈嗝《西行漫记》
游戏厂商：食我第九艺术啦，好莱坞！现在我才是老大！
啊，好笑的是有很多中国人也没有读过西游记原著。
哈哈哈哈哈哈哈
到哪儿都有人炒cp，只能说圈地自萌吧，别影响普通读者。
前有原神神女劈观把老外的头按在书里学中文，后有猿神提着金箍棒逼老外去看西游记
3年前？
好家伙
专业
逆天
