我在这留下一个大大的点赞，等待那位不穿裤子的勇者
肝帝迪哥
回忆是残缺的，永远无法一比一复原出来
小白！阿神！巧克力！舞秋风！
我在等一位1米5的勇士
别刷什么唯一，都是真神
核邪铀碍！！永远不散！！核邪铀碍！！友谊长存！！
时空小涵！注意呆毛，无语汉堡！
阿神
时空小涵！
迪哥！
谁还记得之前有个MC主播叫叶子
小包
猪神
看好了小子硬币之力是这样用的！
阿神
小本！
陈子豪！
小涵
小时候最爱看的组合
鲤鱼
小七
nor叔!!!
再见了
小本！！！！
魔达都有！！！
林凡
兄弟们加油冲冲冲！！！！！！
呆呆！！！！！！
小白
小本
迪哥
阿神！
小潮!
小潮院长！！！！！！！！！！！！
小白
阿神小本，时空小涵木鱼，迪哥，鲤鱼纸鱼，还有，我们的贺子哥，小铃铛
小潮
不是我海哥呢？
nor
木头做的鱼  木鱼
小白
大海是我最早看的。
木鱼啊啊啊啊啊啊啊啊啊啊呜呜呜
小本
小本天骐小天暮云仙仙
小涵
小本！！！
阿神在左边。
唯一真神。
小米丸子呢？
有啊神的小脑袋
阿神！！！！永远的神！！
迪哥！
炎黄
小米丸子！
小枫！！！！！！
小白
小白
橙子！
血舞！
小白
小本呢？
小潮！！！！！！
我在等一位故人。那个1米5的男人，大海。
nor叔
巫妖王集团
勇者不穿裤子
小本
小本
小本
小本
魔哒
小本！！！
小本！
木鱼！
那我们今天玩什么呢
小黄鱼
木鱼
小天！！！！
良作无人
大海
看迪哥才玩的MC。。。真的是童年，晚上躲被窝里看迪哥
木鱼
巫妖王
血舞真神
脏小豆
佳楠
五仁月饼组
看到桶哥直接泪目了
血舞
大海！
五歌
小米丸子
小白
桂楠5人组
致敬小涵
摩达
我在等那夕阳下的西门吹雪。
桂楠
必须阿神
小白、阿神、木鱼、小本、大海、羽毛、时空小涵、小潮院长、
木鱼，小铃铛
鲤鱼！
木鱼！！！！！
小毅的我看过他的无尽贪婪幸运方块模组
小铃铛，打个招呼。
细节CEN挖钻石
赫子哥！！！
木鱼
黑猫
小本！！
叶子
真神登场
魔达《我不知如何表达我的情绪.................................>
小七
我看到鲤鱼了
鱼鱼！
木鱼
小白！
木鱼
还有鬼鬼啊！！
鬼鬼！
灰机呢?
大海？
血舞！！！
小子，看好了，硬币之力是这么用的
我们长大了就对这些人已经退游了 我们太大了，我们就该走了
鲤鱼！！！！
阿神
木鱼
阿神
小本
时空小涵！！！
木鱼
木鱼现在打复活赛打赢了
我在等待一个呆毛会乱飞的故人2
还有蛋白
大白
阿阳呢？
木鱼
阿神，小潮
鸡皮疙瘩
哈喽大家好，我是木头做的鱼，木鱼呀
有谁还记得诸神？
鲤鱼
小橙子姐姐！
夏天y！
啊啊啊啊 居然有小潮
夏天
阿神小月
木鱼
左三阿神对吧
小本！！！！！
五人组！！！！！！！
不穿裤子
核邪铀碍，友谊长存
啊神
舞秋风
阿神！，
小本
巧克力！！！
核邪铀碍，友谊长存！！！
注意呆毛
我也在等一位台湾实况主
小本
我的童年是方形的
大海…
小狗院长
迪哥！！！
雷疯
我是从阿神开始的
想起来了，都想起来了
巧克力
阿神
[前方高能]
兄弟们加油冲冲冲！！
鲤鱼！！
NOR NOR NOR NOR NOR NOR NOR
木鱼
迪哥！！
大家好，大家好，我是nor叔
叶子
呜呜这个音乐搞得我好想哭
阿神！！！！！！
木鱼
籽岷
爷青回
真神！！！
核邪铀碍，友谊长存。
木鱼
奇怪君！
迪哥
鲤鱼
方块学院侦探社！！！！！
来了！
佳楠
时空小涵
啊神
我在等一位现在在种橘子故人。
时空小涵
！！！
阿阳
鱼叔！木鱼！！！
小橙子
叶子
看见阿神了(T^T)
小橙子
小白！！！
阿阳小月。
阿神！！！！！！！
之前的我去哪了
阿神
兄弟们加油冲冲冲！核邪铕碍永远在一起！！
炎黄算了
小本！！！
小潮！
小橙子！
阿阳……
鲤鱼！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
兄弟们加油冲冲冲
卡慕的阴间头像蚌埠住了
看好了，硬币之力是这样用的！
2.9！！！
Easy曹
DioDes？
老轩子呢？
兄弟们加油冲冲冲！！！
来世再做方块..人
愉悦的hehe11
木鱼！时空小涵！小白！（男的！）
我鱼哥
阿神！！
时空小涵，原来的叶子，大小橙子
我的木鱼！！！！
扁桃！！！
呵呵11！
阿青
我的童年在也回不来了！
自由佳楠
Hello，大家好，我是木头做的鱼，木鱼。
蛋白
九哥  小东
木鱼
大海，小本还有摩达最喜欢看他们的梦境那个模组
我看的最长时间的就是木鱼的
摩达
天骐！！！
籽岷！
明月庄主单机生存实况，当时在电视上看的
方块学园！！！！！！！！！！！！！！！！！！！
天骐
最早的仙仙是丁字裤。
那句话怎么来着小本悠然小天旗仙仙
炎黄
小本
小本
还有乔治
悠然小本小天骐
众多的我的世界主播却没有阿神，有点可惜。
阿神不在了吗？
谁还记得血舞？
蕾姆了
血舞
阿神木鱼
Hello大家好，我是鲤鱼
小橙子姐姐
鲤鱼
阿神
核邪铀碍！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
天琪？
小潮
大海！！！
迪哥呢？
核邪铀碍！！
不知道为啥转行了
奇怪之前是我的世界。
鲤鱼！！！
木鱼
庄主！！！我唯一的神！！！！
小涵！！！
我几乎全看!
小潮
老杨
我在等，等一位一米五的逗比
小车子姐姐
我在等一个唱炊饼的男人
大海
木鱼
蛋白还在做视频
Uncle red
啊啊啊啊啊方块学园qwq
阿神！
大海
蛋白
小七
弘扬不科学游戏观，坚持无节操解说一百年。
木鱼！！！！
Uncle red！
我最爱的小橙子姐姐
小橙子姐姐、可乐、时空小涵、不灵姐、裤子、
将不科学坚持解说100年大家好我是小潮院长
潮
小潮
蛋白
小潮院长:弘扬不科学游戏观坚持无节操解说100年
小潮院长
阿神！
小豆！
时空小涵(他现在还在更新着)
老杨！
木鱼！！！！
给别人带来快乐是一件很酷的事
迪哥
我是木头做的鱼，木鱼啊，小铃铛
椒盐蛋
迪哥！！！
阿神！！！
一眼卡妈妈
