标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
《鸣潮》共鸣者「相里要」展示PV丨求索,鸣潮,https://www.bilibili.com/video/BV1UMHsecEAJ,302.0万,4185,"总有一日，我会以自己选择的道路，抵达星海。

中文CV
相里要：斑马
幼时相里要：苏婉
父亲：赵洋

日文CV
相里要：小林千晃
幼时相里要：小山内怜央
父亲：藤吉浩二

英文CV
相里要：Shaun Mendum
幼时相里要：Penelope Rawlins
父亲：Andrew James Spooner

韩文CV
相里要：정의진
幼时相里要：원에스더
父亲：김종엽",10.1万,3.0万,10.1万,9928,"['游戏', '手机游戏', '鸣潮相里要', '鸣潮']",2024-09-04 11:00:00
谁说公主不能是光头呢？,良田田田,https://www.bilibili.com/video/BV13AHsevEAZ,57.9万,3147,Not Found,13.6万,8.6万,13.6万,1460,"['时尚', '时尚潮流', '白血病', '做好事']",2024-09-03 18:29:23
当悟空爱上天竺王后 戏里戏外他都是男主天花板,守望者纪录片,https://www.bilibili.com/video/BV1xmHCejEq9,199.1万,1966,-,27.2万,4488,27.2万,2781,"['娱乐', '娱乐杂谈', '六小龄童', '孙悟空', '西游记', '经典', '爱情', '章金莱']",2024-09-02 17:36:26
赞美中年人 感动中年人 加油中年人✊,papi酱,https://www.bilibili.com/video/BV1bx4y1s7tw,95.0万,1683,Not Found,13.9万,3.2万,13.9万,1.8万,"['生活', '搞笑', '家庭', '中年人', '正能量', '搞笑', '生活记录', '吐槽', '年轻人', '社畜', '工作']",2024-09-03 18:00:00
灵吉菩萨的纹身，是对他最大的讽刺,STN工作室,https://www.bilibili.com/video/BV1TDpMeHEWn,149.4万,4462,黄风岭错综复杂的剧情，绕乱了不少天命人。这一期我们就带大家理清剧情时间线，并从独特角度为大家带来深度解读！,9.8万,4.7万,9.8万,4921,"['黑神话天命人来也', '游戏', '单机游戏', '游戏杂谈', '单机游戏', '西游记', '剧情解析', '黑神话悟空', '黑神话', '灵吉菩萨', '黄风岭', '黄风大圣', '《黑神话：悟空》8.20 直面天命']",2024-09-05 18:00:00
寅虎VS小黄龙！我们举办了一场黑神话BOSS斗法大会！#3,肥格Fager,https://www.bilibili.com/video/BV12E4m197D3,138.8万,5618,"纯属娱乐，切勿当真！下期还想看谁打谁，评论区告诉我！
感谢",9.0万,3.8万,9.0万,2.7万,"['黑神话天命人来也', '游戏', '单机游戏', 'ARPG', '游戏', '单机游戏', 'BVB', '娱乐', '搞笑', '黑神话悟空', '黑神话', '电子斗蛐蛐BVB', '《黑神话：悟空》8.20 直面天命']",2024-09-03 12:00:00
《黑神话: 吗喽》,神奇的老皮,https://www.bilibili.com/video/BV1TNHaejEP6,123.4万,330,当吗喽遇上黑神话~,14.2万,2.0万,14.2万,2.4万,"['动物圈', '动物二创', '单机游戏', '搞笑', '猴子', '特效', '鬼畜', '杨戬', '黑神话悟空', '狗', '虎先锋', '整活']",2024-09-04 12:06:13
国家一级演奏员钢琴奶奶赏析黑神话音乐《屁》，主持人说：“动画不用看了，已经把动画讲完了。”,钢琴奶奶-尹松,https://www.bilibili.com/video/BV1F8H4e9EM9,149.2万,5780,钢琴奶奶 尹松：交响乐团钢琴家，国家一级演奏员，上海音乐学院硕士。曾作为钢琴家参加了多次政府举办的重大演出-如国庆晚会、香港回归庆典晚会等。,7.6万,3.4万,7.6万,8596,"['全民黑神话狂欢', '音乐', '乐评盘点', '游戏音乐', '乐评盘点', '黑神话悟空', '钢琴奶奶', '国家一级演奏员', '生活万花筒14.0-给生活的planB']",2024-09-04 17:00:00
用全球仅有的两套大圣铠甲，实拍黑神话悟空打戏，是一种什么体验？,剑客范十三,https://www.bilibili.com/video/BV1ZbHse1EN9,92.7万,704,Not Found,7.4万,3.4万,7.4万,2677,"['黑神话天命人来也', '运动', '运动综合', '梦想', '4K', '正能量', '黑神话悟空', '实拍', '武侠梦', '《黑神话：悟空》8.20 直面天命']",2024-09-03 17:29:17
像18岁那年一样穷游旅行!,Linksphotograph,https://www.bilibili.com/video/BV159HWe6EYJ,82.3万,2051,"想当年刚刚留学的我，最开心的事就是放寒暑假的时候，买上一张青春18的车票，跟朋友们一站一站坐着最慢的电车摇到目的地。我永远忘不了第一次去北海道的时候，我乘坐在驶向美瑛站的电车上，电车飞驰而过，压过铁道发出有规律的旋律，窗外的飞雪随风飘向后方

自从有了车之后，我基本上就告别了电车旅行。带来更多便利的同时，也失去了通过只有电车才能看到的窗外的悠然风景。

于是这一次我和苍老师一起，买了一张青春18的车票，带上vivo X100 Ultra开始了像18岁那年一样的穷游旅行。敬请收看关于青春18的旅行———夏季篇。


关于青春18：
是JR铁道公司在每年春季，夏季，冬季推出的一种车票。这是一张一日票，任何人，无论年龄大小，购买此票都可以可让无限次乘坐 JR 全国线的普通列车和特急列车。一张票可以使用五天。可以用相对便宜的价格去往远方旅行。缺点是只能坐最慢的车，比较花时间，像极了我们18岁时的旅行方式。",9.1万,2.4万,9.1万,8357,"['打卡夏日美好生活', '生活', '出行', '摄影', '旅行', 'vlog', '日本九州', '穷游', 'vivo', 'vivo手机', '铁道旅行', 'vivo X100 Ultra', '生活万花筒14.0-给生活的planB']",2024-09-04 18:00:00
彩虹miku转圈圈,Kieed,https://www.bilibili.com/video/BV1FxHseUEgt,89.0万,237,gif和单图放在b站动态咧，一共十四张单图,31.1万,5.8万,31.1万,7539,"['初音未来17周年绘画特别征集', '动画', '同人·手书', '手书', '动画', '插画', '板绘', '绘画', '画画']",2024-09-03 17:03:41
给狗狗拍一个最近流行的幽灵照,SEE-NN,https://www.bilibili.com/video/BV1fWHpe3E2M,238.8万,545,tt,26.2万,1176,26.2万,8783,"['动物圈', '汪星人', '狗狗', '万圣节', '幽灵']",2024-09-03 13:36:14
我爸很可怜，没摊上好爹，也没摊上个好儿子,我叫孙火旺,https://www.bilibili.com/video/BV1uKHseaEHL,64.6万,3183,爸，咱家的“没出息”是祖传的不？,9.5万,6.8万,9.5万,9163,"['搞笑小剧场', '生活', '搞笑', '逗比', '生活', '搞笑', '孙火旺', '工地', '爸爸', '沙雕', '外卖', 'BILIBILI金电视奖']",2024-09-03 19:08:07
死夹子和老烟嗓,吸喵会所,https://www.bilibili.com/video/BV1c4pce9EYz,107.1万,430,cr: 屁事多&小辣椒,20.1万,1333,20.1万,3.3万,"['动物圈', '喵星人', '猫咪', '喵星人']",2024-09-04 15:21:34
嘿嘿～黑神话人形八戒脸模本人来啦～#黑神话悟空,睡着了hh,https://www.bilibili.com/video/BV1XyH4eVErr,166.0万,968,-,18.8万,1.2万,18.8万,1.7万,"['记录二次元COS日常', '生活', '日常', '自制', '悟空', '黑神话悟空', '八戒']",2024-09-03 21:11:53
从此这条路除了他自己，再也没有学生受伤。,小熊的猫meme日常,https://www.bilibili.com/video/BV1Zvpce7ESX,94.1万,1205,-,24.5万,1.1万,24.5万,630,"['猫meme小剧场', '动画', 'MAD·AMV', '动画短片', '猫meme', '猫meme日常', '猫meme剧场', '平凡英雄']",2024-09-04 22:41:21
小曲一响，脑子白长！,XFinds寻宝,https://www.bilibili.com/video/BV1NKnZemEK7,341.6万,4347,-,5.8万,1.4万,5.8万,7302,"['音乐分享官', '音乐', '音乐综合', 'BGM', '神曲', '小曲', '迷你世界', '和平精英', '蛋仔派对', '音乐分享官暑期特别企划']",2024-08-31 18:07:31
老师....你投屏没关,逗比的雀巢,https://www.bilibili.com/video/BV19r421K7ST,997.7万,1.6万,"好喜欢模拟恐怖啊 就做了一期 但又不敢做的太恐怖。
我很久之前就在想，我生活中遇到的那些否定，那些贬低和不如意真的是我的问题么？
我的人生真的应该按照别人的想法来进行么？
我现在觉得应该不是的
社会把我们塑造成了我们不想成为的样子，我们无法决定去做我们喜欢的事。我们害怕群体的目光，家里人的指责，老师的期待。但这些不是你的问题，你生下来的目的 是过好你自己的人生。
希望大家都可以活出不一样的生活",89.6万,57.2万,89.6万,6.5万,"['原神UP主激励计划', '生活', '搞笑', '搞笑', '恐怖', '娱乐', '搞笑视频', '开学', '恶搞视频', '哥布林', '原神', '伪人', '原神5.0UP主激励计划']",2024-08-31 17:30:42
什么人一生要吃6279片避孕药啊？,阿文就是Aya,https://www.bilibili.com/video/BV1Q9HheXEph,92.5万,960,-,10.2万,5844,10.2万,2625,"['网络热门鉴定', '知识', '科学科普', '健康', '心理', '科普', '万物研究所·夏日探索计划']",2024-09-04 11:44:26
30个人1年制作100多条广告？特拍公司是如何做广告的,影视飓风,https://www.bilibili.com/video/BV1otHpeBEhq,109.8万,2742,影视行业有这么一个特殊的领域想尽办法用实拍拍出CG的完美感，这期节目我们将带上云鲸J5，一起走进两家特拍公司，看看他们是如何为了一个精彩的镜头绞尽脑汁，创作和探索出更多视觉可能性的。,8.5万,2.2万,8.5万,3742,"['影视', '影视综合', '视觉', '广告', '4K', '小魔方闪电新品', '云鲸J5', '实拍', '拍摄', '扫地机', '装置', '特拍']",2024-09-03 17:00:00
【开箱】2024年了😅小米智能家居成了吗？,陈抱一,https://www.bilibili.com/video/BV1GdHHehEio,101.5万,1964,小号：,6.2万,2.6万,6.2万,7840,"['科技', '数码', '桌面', '开箱', '评测', '改造', '雷军', '小米', '黑神话悟空', '人在传感器', '智能家居', '电竞房']",2024-09-03 17:32:15
B界：你见过我的全盛时期吗？,进击的金厂长,https://www.bilibili.com/video/BV1zE421F7kZ,94.4万,7147,让我在评论区康康兄弟们现在都是LV几？多多投币，突破到传说中的隐藏LV段位指日可待！！！,5.4万,3.3万,5.4万,1544,"['我玩黑神话悟空belike', '生活', '搞笑', '短片', '某科学的超电磁炮', '搞笑', 'B站', '动漫', '搞笑动画', '高能', '黑神话悟空', '金厂长', '搞笑研究所2024 5.0']",2024-09-02 18:12:26
开学带什么去才能镇得住场,那就叫王师傅吧,https://www.bilibili.com/video/BV1Gr421N7RR,216.5万,1292,祝大家开学大吉,13.1万,1676,13.1万,2352,"['B人开学季，启动！', '生活', '日常', '开学', '扫描app', '扫描全能王', '解锁神奇开学搭子']",2024-09-02 17:00:00
你连身上的肥肉都搞不定，还想搞定别人？冲吧！！！小伙子,俞涛不光会做九转大肠,https://www.bilibili.com/video/BV19DHheRETx,181.0万,502,真的感谢刚哥一直以来对我的指导,19.3万,6513,19.3万,6385,"['运动', '健身', '减脂', '减肥', '健身', '塑形瘦身']",2024-09-04 11:36:18
禁字法无伤速刷十周目二郎神：4分15秒！真正做到了我心目中的大圣与杨戬！！,可惜加油kxjy,https://www.bilibili.com/video/BV1AvHye5EeS,83.0万,1728,Not Found,6.7万,3.8万,6.7万,1.7万,"['游戏', '单机游戏', '二郎神', '单机游戏', 'BOSS', '杨戬', '黑神话悟空', '速通', '动作游戏']",2024-09-03 00:34:11
六根齐汇定心猿，大圣施威降小圣！无伤杨戬,里奥达芬奇,https://www.bilibili.com/video/BV1o7pweUEHq,69.7万,1704,"BGM：霹雳布袋戏——龙脑再扬圣龙威
标题里的""六根""是指游戏里的""六件根器""
正常打到这里是只有五件根器，这个档是二周目，所以是六根器
至于为什么是六根，不是六根器，因为顺口硬起的，下次注意。",5.8万,4.2万,5.8万,9454,"['黑神话天命人来也', '游戏', '单机游戏', '鬼泣5', '杨戬', '悟空', '游戏', '二郎神', '无伤', '黑神话悟空', '黑神话', '大病区', '《黑神话：悟空》8.20 直面天命']",2024-09-04 20:45:10
冯骥和杨奇小时候的故事【至尊合订本】,恶意第欢人,https://www.bilibili.com/video/BV1VcH4eCE18,61.5万,906,"做完这期黑神话就要回去做粥的迷宫饭联动视频啦！
希望等我做完下一期视频，黑神话的DLC就发售了~（￣▽￣）
-----------------------------
【脚本】恶意第欢人
【绘制】恶意第欢人
【剪辑】恶意第欢人
【BGM及其他素材来源】详见视频结尾借物表~",7.8万,1.8万,7.8万,1.4万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '搞笑', '动画', '四妹', '手书', '黑神话悟空', '宫崎英高', '杨奇', '冯骥', '《黑神话：悟空》8.20 直面天命']",2024-09-04 12:05:00
骨折手术后第14天，我爸重出江湖，再次伸入他热爱的牛屁股,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1Nx4y1x7wm,126.3万,3164,Not Found,23.4万,4.0万,23.4万,895,"['了不起的新农人', '生活', '三农', '小青年大丰收']",2024-09-02 17:00:00
为了吃口香糖，我招了个员工喂我…,老师好我叫何同学,https://www.bilibili.com/video/BV1iWpPepEnk,96.4万,1542,-,12.5万,2.2万,12.5万,3883,"['技术宅的夏天', '生活', '日常', 'DIY', '何同学', '口香糖', '解压']",2024-09-05 17:00:00
"把老外看懵了,6岁世界排名17",车手小海浪,https://www.bilibili.com/video/BV1SfHheJEHU,131.1万,1282,把国旗挂在芬兰赛道,9.2万,3285,9.2万,6001,"['阿B车友召集令', '汽车', '赛车', '赛车', '老外', '比赛', '2024成都车展', '尘埃拉力']",2024-09-04 11:22:06
被虎先锋杀一万次 才触发的隐藏剧情 《马喽传》第三集,龙大井,https://www.bilibili.com/video/BV1G3HhepEET,78.3万,1960,第二章的故事开始，黄风岭我黑风山棍神来啦，一共做了三期，每期节奏都不一样，不知道各位喜欢哪一款，都喜欢我们就根据剧情走向来回变变。这种漫才风格的视频做起来有点废人，但还是尽力尽快的给大家端上~感谢大家支持,4.6万,4.1万,4.6万,1216,"['黑神话天命人来也', '游戏', '单机游戏', '黑神话悟空解析', '黑神话悟空攻略', '黑神话悟空教学', '黑神话悟空整活', '黑神话悟空结局', '黑神话隐藏剧情', '黑神话悟空搞笑', '黑神话悟空吐槽', '马喽传', '《黑神话：悟空》8.20 直面天命']",2024-09-04 14:03:44
你见过哪些最离谱的屏蔽？,叶公子ye,https://www.bilibili.com/video/BV15nHzeEEmY,354.4万,1961,Not Found,9.1万,6953,9.1万,7525,"['B站小剧场', '影视', '小剧场', 'B站剧情创作人2.0']",2024-09-02 15:00:00
评分飙升，口碑爆棚，今年最好的悬疑片！印度悬疑片《因果报应》,小片片说大片,https://www.bilibili.com/video/BV1Cy411v7Kh,145.0万,1.2万,"众所周知，印度悬疑片除了敢讽刺现实，叙事逻辑也堪称一绝。
而今年印度又拍了一部悬疑神作，名叫《因果报应》（Mahalaja）。",7.9万,4.1万,7.9万,1.5万,"['人人都能聊影视', '影视', '影视杂谈', '印度电影', '犯罪', '烧脑', '悬疑', '反转', '因果报应', '人人都能聊影视3.0']",2024-09-02 20:01:31
【崩铁】飞霄综合测评：光锥选择+队伍搭配+抽取优先级推荐+星魂提升，第二位仙舟将军！！,卡特亚,https://www.bilibili.com/video/BV191HbenEYf,99.4万,2624,"来啦来啦飞霄视频来啦✿ヽ(°▽°)ノ✿包括三月七和貊泽，视频全都有包括，容量非常大的一期，抽取优先级+光锥+队友搭配+星魂全都有希望各位能给个三连Thanks♪(･ω･)ﾉ 
————————————————https://b23.tv/r6QXwva置顶动态送3个满星魂角色+30个648元红包✿ヽ(°▽°)ノ✿万一呢",6.8万,1.1万,6.8万,4171,"['崩坏：星穹铁道创作者激励计划', '游戏', '手机游戏', '崩铁', '飞霄', '崩坏星穹铁道2.4创作者激励计划', '崩铁飞霄', '飞霄配队', '飞霄队友', '飞霄三月七', '飞霄测评', '飞霄布洛妮娅', '卡特亚']",2024-09-04 12:00:00
这些也是刻在DNA里的吗？,粤知一二,https://www.bilibili.com/video/BV1eT421z7RX,162.5万,1718,那些全国统一的东西！,11.5万,2432,11.5万,784,"['原创搞笑剧情', '生活', '搞笑', '搞笑', '高能', '娱乐', '郭嘉峰', '搞笑小剧场', 'DNA', '段子', '粤知一二', 'BILIBILI金电视奖']",2024-09-02 20:36:42
百年供应链，是如何一步一步进化的？,小Lin说,https://www.bilibili.com/video/BV1gAHseeEDT,83.1万,2625,"你能想象么，此时此刻，全球至少有1.5亿人、3千万个工厂、1亿吨的货物正在供应体系上运转，周而复始。
整个世界，其实就是一个由无数个供应链组成的庞大的供应链系统。
今天，咱们就来聊一聊供应链~",4.5万,1.9万,4.5万,6047,"['知识', '财经商业', '西门子', '全球经济', '供应链', '财经知识']",2024-09-03 18:47:30
先出发！再问干什么,小缸,https://www.bilibili.com/video/BV1dyHhefEQ1,51.5万,3879,9月6日又要直播了，大家能帮忙点下预约吗,5.4万,6.7万,5.4万,3069,"['生活', '出行', '旅游', '美食', '生活记录', '说走就走', '广西', '柳州', '在路上', '螺蛳粉', '摩旅']",2024-09-04 13:04:14
最新科研成果---瞒天过海，让系统认为我真的尽力打了,磊哥游戏,https://www.bilibili.com/video/BV1vrpce5EHQ,111.8万,1402,最新科研成果---瞒天过海，让系统认为我真的尽力打了,9.3万,4196,9.3万,1850,"['游戏', '手机游戏', '王者荣耀']",2024-09-04 23:36:12
45元喝一杯粥，cpu烧了吧？“网红奶茶喝法”癫死了！,穿毛裤的小拉泽,https://www.bilibili.com/video/BV11SHpeWEkF,176.6万,5480,美食测评千人千味，口味仅代表我个人，仅供大家参考！注：封神榜>名士榜>凡人榜>妖魔榜,4.9万,7374,4.9万,1701,"['宿舍党囤货指南', '美食', '美食测评', '奶茶', '饮料', '奶茶测评', '奶茶小料', '神仙喝法', '糯香柠檬', '果茶', '网红奶茶', '外卖测评']",2024-09-03 16:50:00
我偷偷把看门的怪换成了大圣给我没玩过的朋友玩，甚至是四周目,惜呆,https://www.bilibili.com/video/BV1GzH1e8EVD,127.2万,218,-,17.0万,1838,17.0万,1.5万,"['整点电子榨菜', '游戏', '单机游戏', '娱乐', '齐天大圣', '黑神话悟空', '大圣残躯', '沙雕']",2024-09-02 22:18:44
坏了！太吃配置了,二二二二狗司令,https://www.bilibili.com/video/BV1UfHheJEfm,103.6万,390,Not Found,10.7万,1312,10.7万,6157,"['万物皆可游戏', '游戏', '单机游戏', '游戏鉴赏家']",2024-09-04 11:15:26
千层肚按斤下！满满一锅吃到爽，彻底实现千层肚自由！,盗月社食遇记,https://www.bilibili.com/video/BV1B9pFejExg,97.7万,2593,心心念念4年的毛肚火锅总算吃上啦 ！！开心的想请大家给视频点个赞！,5.9万,2.2万,5.9万,7762,"['美食', '美食侦探', '火锅', '走四方', '成都美食', '探店', '四川美食', '毛肚', '盗月社']",2024-09-04 16:39:55
【苏星河】如何拥有一台AI电脑？夸克电脑端测评,苏星河牛通,https://www.bilibili.com/video/BV15M4m1Y7e2,180.8万,828,结尾有惊喜！,5.6万,3377,5.6万,1719,"['科技猎手', '科技', '软件应用', '科技', '数码', '电脑', '苏星河牛通', '夸克AI', 'chatgpt', '有夸克PC端秒变AI电脑', '夸克超级搜索框', '软件应用', '科技猎手2024第2季']",2024-09-02 20:28:01
教官，给我个机会！,乐天乔宇派,https://www.bilibili.com/video/BV1PjHseREgq,131.5万,78,Not Found,13.9万,920,13.9万,7710,"['搞笑小剧场', '生活', '搞笑', '搞笑', '高能', '乔宇日记', '抽象', '军训', '反差', '甜宠', 'BILIBILI金电视奖']",2024-09-03 18:55:30
开心超人真人版,梵葵葵,https://www.bilibili.com/video/BV1dT421z7rs,159.2万,744,-,20.8万,1.1万,20.8万,2.7万,"['B站短片计划', '影视', '短片', '真人版', '电影', '童年', '搞笑', '短片', '大学生', 'B站剧情创作人2.0']",2024-09-02 15:14:06
《瓦达西顶补住阿》,伤心欲茄222,https://www.bilibili.com/video/BV1UapFehEL9,107.7万,705,-,13.2万,2669,13.2万,2617,"['搞笑研究所', '生活', '搞笑', '搞笑', '八嘎', '搞笑研究所2024 5.0']",2024-09-04 17:56:37
电影《我的世界》（暂译）首支预告曝光！,Minecraft我的世界官方,https://www.bilibili.com/video/BV1bvpweTE1o,81.1万,6036,#我的世界首支预告# 由全球最畅销电子游戏改编的真人电影《我的世界》（暂译）曝光首支预告！经典像素风格和天马行空的画面让人瞬间回到游戏世界。本片讲述了四个“异类”误入奇异的方块乐园，并在一名资深工匠的帮助下，努力重返现实世界，勇敢迎接挑战，开启一段奇幻冒险旅程的故事。影片由杰瑞德·赫斯执导，杰森·莫玛、杰克·布莱克主演，2025年4月4日北美上映，敬请期待。,7.9万,9533,7.9万,2.9万,"['游戏', '单机游戏', '沙盒游戏', '我的世界', 'MC', '游戏', 'Minecraft', '电影我的世界', '我的世界Minecraft']",2024-09-04 21:20:27
"我是美女,刚上班要注意什么?",对话中的暂停,https://www.bilibili.com/video/BV1DzHpecECZ,40.7万,188,Not Found,7.5万,9301,7.5万,1618,"['B站短片计划', '影视', '短片', '社会新人混社会', 'B站剧情创作人2.0']",2024-09-03 19:00:00
“假如安陵容重生”,y_黑鲨麦旋风,https://www.bilibili.com/video/BV18ZHkeSEr1,45.9万,439,"“梦是现实的延续，现实是梦的终结。”

- BGM： Exoplanet Life 、Fumes and Fury 、Red Moon",6.9万,2.5万,6.9万,8207,"['影视神仙剪刀手', '影视', '影视剪辑', '古装', '甄嬛传', '混剪', '影视剪辑', '电视剧', '鸟嬛', '神仙剪刀手5.0', '甄嬛', '安陵容']",2024-09-02 19:51:20
“闲庭信步，一招一式，这就是儿时幻想过的武侠场景啊”,战斗猪George,https://www.bilibili.com/video/BV1ijn9eWE2k,300.8万,2739,Not Found,29.3万,13.1万,29.3万,5.9万,"['推荐宝藏游戏', '游戏', '单机游戏', 'ARPG', '技巧', '悟空', '回忆', '动作游戏', '场景']",2024-08-31 10:19:40
把《黑神话：悟空》剪成电影！无UI超宽画幅【4K60】！,BuriedAlien,https://www.bilibili.com/video/BV1wE4m1R7cu,75.9万,6129,"把《黑神话：悟空》剪成电影！4K超宽画幅无UI
视频制作：",4.8万,3.6万,4.8万,9578,"['黑神话天命人来也', '游戏', '单机游戏', '悟空', '西游记', '黑神话悟空', '黑神话', '天命人', '国产3A', '《黑神话：悟空》8.20 直面天命']",2024-09-02 15:00:00
书山有路擒为径，学海无涯哭着走,-显眼宝-,https://www.bilibili.com/video/BV1TxpTeUESv,84.3万,755,Not Found,11.7万,2741,11.7万,1637,"['搞笑小剧场开演了', '影视', '小剧场', '显眼宝', '社恐', '反转搞笑', 'B站剧情创作人2.0']",2024-09-05 10:52:18
领导：真好！和00后出差，从来不怕饿着,烦躁的大白,https://www.bilibili.com/video/BV1tepFeFEbT,136.4万,49,-,15.8万,383,15.8万,293,"['生活', '搞笑', '搞笑', '猫meme']",2024-09-04 17:35:54
我的行为vs同学看到的,西维西师傅,https://www.bilibili.com/video/BV14aHxeYEfV,74.2万,178,-,14.6万,2323,14.6万,1851,"['校园迷惑行为大赏', '生活', '搞笑', '动感潮玩迎新会']",2024-09-03 23:04:38
【黑神话悟空】全剧情解析，一口气看完超长完整版！,流心影者,https://www.bilibili.com/video/BV1dS421Q7mS,154.1万,434,万字解析《黑神话悟空》全剧情,1.5万,6958,1.5万,383,"['黑神话天命人来也', '影视', '影视杂谈', '剧情解析', '孙悟空', '游戏', '黑神话悟空', '天命人', '牛魔王', '蜘蛛精', '红孩儿', '猪八戒', '《黑神话：悟空》8.20 直面天命']",2024-09-01 19:39:10
0:7输了，球场上我都没破防，地铁上让我崩溃了,何胜0423,https://www.bilibili.com/video/BV1AWpGexEXJ,166.0万,9611,全力以赴的意义不在于一定会成功，而是不留遗憾,6.9万,9509,6.9万,7941,"['国足世预赛前方观赛团', '运动', '足球', '体育', '中国队', '世界杯', '国足', '足球', '退钱哥']",2024-09-06 00:44:40
鳌拜·前半生：彪悍将军，兵围多尔衮？【康熙王朝】,正直讲史-李正Str,https://www.bilibili.com/video/BV12mHpeREpn,58.1万,5595,Not Found,5.0万,2.7万,5.0万,877,"['历史档案馆', '知识', '人文历史', '康熙', '皇帝', '历史', '皇太极', '鳌拜', '顺治', '多尔衮', '清朝']",2024-09-03 18:30:00
