标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
《崩坏：星穹铁道》千星纪游PV：「飞镝追星」,崩坏星穹铁道,https://www.bilibili.com/video/BV1TT421z7e3,295.5万,1.0万,"无尾无命九死无生之人，没有选择，只能向前。
向前，是为逃离死地，奔向新生。
向前，只因飞星照路，渴求希望。
 
双重脉搏纠缠抵牾之人，注定鏖战不休，永不驻足。
一脉赋其灵智，决事如雷。
一脉催其怒火，匹敌万军。
 
她是帝弓离弦之箭——一箭指向猎物，一箭指向自己。
 
中文CV：
飞霄——叶知秋
 
日文CV：
飞霄——小松未可子
 
韩文CV：
飞霄——손정민",24.7万,8.5万,24.7万,2.3万,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '千星纪游', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-03 12:00:00
《绝区零》简角色展示｜致命审讯,绝区零,https://www.bilibili.com/video/BV16U411S7RT,282.6万,5093,"「老大派我来…好好犒劳你。」
「噢？你有话想说？想好再说噢…」

简CV
中：曾彤
日：岛村侑

—— 欢迎来到新艾利都！——
《绝区零》1.1版本「卧底蓝调」现已开启！
bilibili安卓端下载地址：https://www.biligame.com/detail/?id=108434bilibiliPC端下载地址：https://www.biligame.com/detail/?id=111210",16.0万,7.9万,16.0万,3.8万,"['游戏', '手机游戏', '手游', '剧情', '新游', 'ARPG', 'PV', '绝区零1.1', '绝区零简', '米哈游', '绝区零', '卧底蓝调']",2024-09-03 12:00:00
大型灾难片《开学 》（全明星版）,刘一朵A,https://www.bilibili.com/video/BV1FE4m1R7mx,380.8万,2763,Not Found,23.4万,2.7万,23.4万,4228,"['搞笑研究所', '生活', '搞笑', '搞笑研究所2024 5.0']",2024-09-02 17:00:00
本瞌学历,-维C动物园-,https://www.bilibili.com/video/BV1N4HheGEsM,234.7万,2617,部分音频来自,20.1万,1.5万,20.1万,1.3万,"['动物圈', '野生动物', '狐獴']",2024-09-04 12:54:57
全球排名第一披萨！一年卖30万个，到底多好吃？,Meetfood觅食,https://www.bilibili.com/video/BV1Di421r7rd,474.3万,1.6万,今天又是坐飞机的一天，我们要飞跃8500公里，去探秘全球排名第一的Pizza店，看看到底有多好吃？,22.5万,5.2万,22.5万,4314,"['我秋天的第一顿美味', '美食', '美食侦探', '4K', '意大利', '美食', '美食侦探', '吃货', '披萨', 'JoeJoe', '探店', '意大利披萨', '秋日美食吃喝大赏']",2024-09-02 17:00:00
可以不要发死亡威胁吗🥲,是李嗲和老铁,https://www.bilibili.com/video/BV19epKeWEK4,123.5万,936,Not Found,22.6万,4.7万,22.6万,850,"['影视', '小剧场', '新疆', '公益', '足球', '新疆足球']",2024-09-05 12:30:17
花二万二包了一个抵债的大鱼塘，据说有四五千斤鱼！会不会又是冤大头？,李维刚的日常,https://www.bilibili.com/video/BV1hdHhepEbc,238.1万,7030,-,17.0万,8.8万,17.0万,9670,"['生活', '三农', '生活记录', '鱼', '捕鱼', '记录', '乡村']",2024-09-04 11:56:39
帝 豪 哲♂学,极速拍档,https://www.bilibili.com/video/BV18f421i75p,115.7万,8667,Not Found,17.1万,6.9万,17.1万,7334,"['汽车', '汽车生活', '日常', '汽车', '4K', '生活', '生活态度', '国产车', '百色', '广西', '吉利汽车', '吉利帝豪']",2024-09-03 11:00:00
这也能叫汉堡？,Tiger西西,https://www.bilibili.com/video/BV1ohHse5Ezk,189.2万,1488,制作过程在评论区，感谢观看，求点赞三连！,25.9万,1.3万,25.9万,6063,"['bilibili食界杯', '美食', '美食记录', '一人食', '搞笑', '吃货', '厨艺', '土豆', '美食圈', '美食vlog', '沉浸式', '汉堡']",2024-09-03 17:58:58
楼上住了个小提琴家，古人说的高山流水是这种感觉吗？,逐光钢琴,https://www.bilibili.com/video/BV1TgHsefEc8,87.4万,872,Not Found,22.2万,1.9万,22.2万,9542,"['演奏挑战赛', '音乐', '演奏', '音乐', '钢琴曲', '鸟之诗', '钢琴', '演奏', '小提琴', 'air', '演奏挑战赛10']",2024-09-03 19:09:05
