这不比热辣滚烫豪坎
《金额（元）》
真正减肥成功的还有特效小哥
建议拍个电影——《煎炒蒸煮》
这不比热辣滚烫励志？
反诈老……
真的瘦了？
火云邪神既视感
哥们你练的真好啊
你是…..？？？？
哈哈，阳谋
啊？真瘦了！
刚哥教的好
博主是换人了吗？
我嘞个宽肩窄背啊
牛逼！
功夫厨神的意志传承
敬你两个币
啊？
焦皮
省流——九转大肠
将军表示不认同
这背阔，真的是脱胎换骨了
啊？
不是，哥们你谁啊
敬
这不得拍个电影？
不是，up还用学阳谋
卧推80kg
你来真的啊大哥
冲？好的
一块钱一斤
牛逼！
眼睛小了
?
推100了
人家不是说说真来
男人就要猛
不是哥们，你还真热闹滚烫啊
这还是本人吗，变化好大呀，我靠
242块钱
皮都达拉了
像老陈
帅
牛逼！！
越来越帅
clearlove7
啊？
省流：国服阳谋大师
.
流批
肯定啊，不光减肥还要健美肯定得有点增肌药
刚哥有点东西啊
6666
气质提升了不止一个度啊
有钱有时间真好
@贾玲
这个背阔肌
真帅啊
真特码帅
@李炮
23+1
我去
9696
帅！！！！！！
这个大圆肌怎么练的？
AI识曲
这个背？
牛逼
？兄弟你谁
太牛了！之前开始的时候印象还很深刻呢！
出来的时候有一股火云邪神的味道。
脸上肌肉练起来
nb的
发际线后移严重
阿诺
励志
擦！6666
打药了
大肠滚烫
举报，脸部代偿
感叹涛哥的毅力，刚哥的给力
牛逼
666
脱胎换骨
卧槽？？？？？？？？
牛逼了我哥
帅
会做吃的，还健身，可以！！！
九转大肠？
省流:卖书
啊？
真给他练出来了
凉风有，少废话。
这不是猴哥吗
啊？
省流:阳谋
牛逼
确实帅
我超这个背
啊？
牛逼啊兄弟
这个背真猛啊
90kg
恭喜恭喜!!
啊？
我超rain
nb
nb
恭喜啊
林纳斯大叔
牛逼
蜕变自己。
真天赋型
帅哥你谁？
nb
扎了？
卧槽，天赋！！
胖的人本来肌肉就比较多，要支撑体重
单手捏爆布朗尼詹姆斯！
