装备们：你的实力，我们认可了
大圣的动物朋友
天命人抽到地狱火了（）
地狱火确信
平账大圣
戴着骷髅头冠 胸前挂着佛像 二郎神真成黑郎神
那不去了
就是花果水帘集团（bushi）
筋斗云是腾云的方式，变成专业坐骑了
真假美猴王
五行大山压不住他
百吨王能拉20根doge
凤翅紫金观
监管者携带了挽留
杨戬叫他们来给猴子送法天象地熟练度来了
佛位化身什么的，主要是这两年网文流啊，太能扯了。不怪网友乱猜
不算反骨，杨戬报杀母之仇，应该的
666防具成精了
因为另一半祖籍青岛啊！！！
弥勒，未来佛
杨戬本身就与天庭不和，他可是最早闹天宫的
鹰角
明光铠
原来是拔戒啊（doge）
其实序章只是第一次打，后面妖王围攻才是决战，期间不知打了多少回合
金蝉子啊
丸辣！
狮驼岭被切了，杨戬的法天象地正是沿用了青狮精的模型
那便不去了（雾）
斯达菲五登场
弼马温火烧草料场，二郎神风雪山神庙
这一幕没有菩提座下学神通，悟空不会让别人知道他在菩提老祖那学过的
在青岛，出门带一千，又能逆行又能打人
这里是真结局吧？
青面獠牙应该是跟罗刹一样的人脸兽嘴红毛，跟狮子脸有毛关系
贤侄，以后平步青云了可别忘了俺老猪
鹿出血了
天命人得红眼病了（确信）
彩！
龙宫承重墙
金衣的是黄眉，蓝衣是弥勒
彩！彩！彩
还我四妹！！！
尬黑，《大闹天宫》里的筋斗云也是交通工具
彩！彩！彩！
不识斗战胜佛，只识花果山——美猴王！
金蝉子
兵解，险之又险
我嘞个打击乐
弥勒是未来啊
不是三万六千斤么
借鉴龙珠？前面那二货你没搞错吧？
金蝉子
这是个蛋的狮子，二郎神的法天象地就是青面獠牙红发兽
从来就没有定海神针，原著里是天河定底神珍铁
实际上是唐僧
接了 就是斗战胜佛
只要意念在，大圣便一直在
阴湿们开始带了
你这猴子真让我欢喜！
原著也没说二郎神不是狮子吧，只要符合青面獠牙。剩余的怎么想象都可以
谁说石子不会攻击，老子信了你们的鬼话
下一部   黑神话:杨戬
这是天命人
我觉得记忆就是所谓的意，小猴子若是意根的话，八戒不应该称他为贤侄的，这是对自己后辈的称呼
猜一手是观音
哮天犬满脸问号
作者的文化功底这么厚的吗？
不是顶替，是延续意念，声生不息
第六根有两个，一个是斗战胜佛，一个是齐天大圣
没杀的，包括八戒和沙僧吗？毕竟原著里他们之前也吃人
这个火轮会不会是哪吒的
踏南天，碎凌霄
感觉在骗上面的
既然是弥勒的壁画，为啥四大天王会在里面？
杀不得因为上面有人
不带金箍。大圣会从石头里出来？这里像是个现实与精神连接的虚幻空间，佛家所谓的三千世界？
这是日本龙珠的设定
“筋斗云”变成了一件法宝，是日本龙珠的创设吧
第一个结局里。这是石头里大圣的精神世界，来这儿的时还看见一艘同样的船回去呢。
死了以后转世。继承全部力量。别忘了石头里还有一个。两者会合一，化身更强的大圣
原著的金箍棒可不是这个样子。古代武器分的很细。棍是棍棒是棒。
四大飞舞
帅！
这个二郎神越看越耐看
这三个都不对，影神图帮你排除了
大圣归来
这金甲犀索敌也十分逆天
泪目
注意法天象地不代表面容不会发生改变，这个就是原著中描述的
来开始雪球流，用雪球砸死杨戬吧
这玩意不认得主人的弟弟吗
中间重要的两句话不说？
这四天王是假的，是画中杨戬想出来的
去哪里？去DLC！
不要踩我肠子啦
良作
没看过筋斗云的官方介绍？本来就是法术
八戒胃溃疡
六耳猕猴相对于天命人
这段真的泪目啊
codm神话幽灵的狗狗
重回少年人！
天命人和大圣残躯的关系就像是葛薇和桔梗的关系
这老猴子的话不能全信
步云鹿呢
用的吉祥灯
天河定底神珍铁
啊？青面獠牙可不是狮子脸，看看四大天王。
青面獠牙≠狮子
杨戬法身为什么是狮子
崇拜他，成为他，超越他！
这是六？
好好好
是冯骥
才第二章的先别看啊，有争议的是剧情，但是剧情的表现形式很好的，别没了新鲜感
天命人也干了
原来可以用定风珠啊？马拉松躲着打的
金蝉子
"艾尔登法环打过一模一样的,祖灵"
第六章有剧情？
中间是 毫毛所化
大圣：就陪你玩玩，咋还急了？
谁问你了？哈哈哈
脱了紧箍了
