酵父（bushi
《八万》
丸辣！
就是蛊王了【doge】
啊？
红温了
《无水酒精》
染杂菌是细胞培养不可或缺的一部分，不爽不要玩[Doge]
有没有一种可能，你也是细胞组成的，哈哈哈
嘤舞萝
影视飓风
《 我 食 傻 碧 》
《镜头语言》
绕远路就是最快的捷径哒！
春天到了，又到了万物交配的季节（误入）
我记得要在培养皿上不停地划，就像素描一样
零帧起手
随答：教父的老婆[doge
人类的一小步 老罗的一大步！
酵母菌：你猜我为什么叫酵母菌？
笑点解析:提利昂是个侏儒，意思是是这个面板矮的反人类
《如说》
曲霉菌：为什么我有这么长的名字
《这种筛选工艺在学术上称之为筛选》
不去微生物研究所找个班上可惜了
连吃带拿
镜头语言*2
超净工作台内也要点酒精灯啊，不然打不到实验级无杂菌（
《C语言》
干酵母：老师说有学分就来了（）
嗷过了是不是就要唱beat it了？
欣喜若狂（bushi
路人：申金
屏幕里是《教父》 哈哈哈哈哈酵母
别骂了别骂了
答：为了把菌体的脑浆摇匀喽。
哦本得多
石原里美狂喜
[OHH]
“空气酵母之父”
椰毒假单胞菌：嗨害嗐
大学生：建议改成高中生
艾本德，一支一千吧
777777
[OHHHH]
酵母菌世界
777777
真叫这个啊？
8万都拍不到！
大罗加油！
酵母：我不到啊，他们说有学分，能开实习证明，我就来了
看开点，也许是你没加碳酸氢钠和酒石酸
"只剩一个币了,都给你了"
感谢金主催更
哥，找个研究所刷试管上班吧
左边字幕笑死
纯化
他真的是美食博主
啊？
啊？这…这也能被打一棍？？
鸭 阿婆主竟然没拖更！！！
影视飓风发力呀
真发现了那可太牛逼了
啊？
求求公司高管们发个力吧
[ohh]
看到这不得不给个三连了
啊？
泪目了
我的脑子转起来了
权游可还行
感觉好像左仓双叶
无限进步！
在学呢，哈哈
山东省：这是初中生物（一半是）
终于更了
赞美欧姆尼赛亚
哇，up竟然是锤佬!
为什么我的脑子里出现一个词，叫做什么等梯度密度稀释法
不然你是怎么长大的哇
为了帝皇
[ohh]
说这么快谁能听懂
破防了
好好好这么玩是吧
[ohh]
[ohh]
你不知道酵母，那你总该知道教父吧，是不是一听就知道没有关系
[ohh]
选择培养基（即答）
清朝老片
[ohhhh]
[ohh]
花蓼
啊~
wooo！
酵母呢是一种细菌那个呢是催生的
发了，发了就行了
酵父
果然人不能太闲了，不然就会像up主这样
谢谢你让我看见细胞的分裂生殖
谢谢出来了
有没有种可能我们这种家庭根本用不起你这种高端设备
干酵母大概五毛钱一小袋
这是在燃什么？
在看自己上班
那是面啊
不举
葡萄：我身上一堆你不要是吧
太有意思了必须关注加三连
是郭敬明啊
那玩意儿就是个酵母粉。就类似于带酶的洗衣粉。
作为一个B站网友，我一直有一个疑问，我到底还要刷到这个视频多少次
@羊叔
稀释涂布平板法 高三有学的
不是你？
[ohh]
这话精辟
老罗辛苦了
博主家里各种仪器都可以买辆车了
噗
葡萄表面
up高中生物没学
我上早八
超净工作台
高三牲表示已经开始一轮复习了
说不定以后别的视频还能用到
哪来的妹子？
[ohh]
必须三连
CNDYLFW-700-曲霉菌
我咧个齐贝林杰洛呀
[OHH]
谁会看不起打卤面？！
