兄弟们，我心动了
我去这个真心牛比
破釜沉舟！
这厂子除了提升材料和工艺以外，我想不到其他提升方式了
狼头:工作的时候称植物（榔头）
每日考研(1/1)
甜 蜜 的 冢
错辣 古代叫洛阳铲
锋利IV
砖头：不是，哥们
只狼
家庭矛盾环节虽迟但到
知道了，大哥厨师出身
这是对队友那双手的敬意
门坚硬但是墙不坚硬原理
堪比800合一的洗漱用品（赵德柱）
文化是人创造，为人所用的，羁绊这个词有了新意也是文化演进的结果。大家都认可，也理解怎么就不对了呢
卧槽这个是真NB
如果是真的，我希望是假的。如果是假的，那最好了。
低温，充电宝悬了
有此爱妻 一生何求
要是拿到部队的订单那就值了
铲子：啊？他当时喊着什么羁绊啊亲情啊就使上劲了
多功能铲:在4秒内提高装弹速度
重量太重和金属柄减震差也是大问题
byd贷款啊
《小马暴力》
上编制了 上岸了
我也要（嗷嗷待哺中…）
铲完土再切菜，细品自然芳香
彭师傅:这就上钨钢
这哪是多功能铲啊，这是全能铲啊
这么长的铲柄可比钳子省力多了
还可以当煎锅。
再努努力能开热点就好了
过刚易折
贤内助了属于是
狼头:我真就…（用铲子劈砖头）
榔头狼头
54斤的力，只能说确实对于野外求生来讲，有点软了
这个记者有前途！前几期的记者太损人了！（请看合集）
最希望是剧本的一集
也有可能是妙界（doge
广智
蕾姆了
现在科幻片了。。。
这剧本吧，一个有能力爬雪山的人发明个铲子还要买房子？
这是个铲子啊，需要承重二百斤嘛
永带妹……
我要这个女主持人
达 文 西
这就车里备一把，期待遇到路虎女
工兵铲就是木柄的小铲，多功能铲不实用，结构劣势，全是活动件
刀狼教头
克里格士兵：我要这个铲子的STC
成广告了
想起截肢的队友，泪目
这个世界还是活成了我想要的样子
如果是真的，我希望是假的，如果是假的，那可太好了
由大力本开始强度测试(bushi)
别墅律者启动！
《在导演的剧本下，很快彭师傅就换好了轮胎》
瓦匠：坏了！冲我来跌！
主要是他真搞出东西了的，不是空口说
？我知道挑刺是个必要环节，但是鸡蛋里挑骨头就过分了吧
铲面可以当雷达吗？
那我为什么不直接带一把瑞士军刀？
《要你命3000》无机粉狂喜（确信）
凌凌漆：这表面是一个铲子，其实它是一个移动厨房
哈哈哈，太尴尬了
不怎么样
工兵铲：看看我
印度？ 印度确实不能提 太离谱
砸中间给砸开了？
得此良妻，夫复何求
上链接
原来是这样
20cr mn ti
出音味来
怕不是憨憨
榔头，狼头，傻傻分不清
内心：此铲无用，何以面对妻子与朋友的双手！
红雷快乐铲
狼行：谁又不欠我的了？
铲子联机模式
做把铲子能卖房
真是为硬汉
我想拿这个来挑战熊瞎子
牛啊
卧槽
格洛克出过一把这样的铲子，造型一样
量产
上贝斯卡钢
抓蚊虫那个其实第一代也成功了
防身也是妥妥的，上链接吧
是不是差拧螺丝了？
上连接！
要是再更新更新，这铲子都能自己写书了
发明人彭师傅发明项目，克里格兵工铲
这标准，是给部队生产的吗？
不是据说，是真的
谁家擎天
感觉可以和擎天掰头掰头（CF）
+
我发小公司有差不多的  给了我一把DOGE
多开发开发，还能有更多功能
你这是要砍猛兽啊
是一点蛋也不趁啊
这就是传说中的西红柿炒番茄吧？
桌子：坏了，冲着我来的
一窝Q～
海绵宝宝诚不欺我
模块化设计
我爱发霉
还可以用来截肢（）
召唤榔头帮
招安！
军用了吧
卧槽，真的，哪有卖的啊！
快上链接
铲柄怎么这么长了？额外带了一节？
把刃口取消就是完美产品
倒过来带刃口的登山杖hhh
上锰钢
军工级
有力气你是真使啊
后尾儿
毕竟当年能整户外冒险的怎么着家里都不会缺钱
刀刃这个是最没必要的功能
军用不需要这么多功能，需要耐用
截肢安装两个工兵铲，下次暴风雪还叫他
？？
给人干成锯子了
谁开车不在副驾驶放把铁锨啊
你的担架呢？ 自己开发
来了来了
我咋遇不到呢555555
记者绝对是带着任务来的
发明的多功能工兵铲
真多功能
卧槽  人家这个 确实好
cf的铲子
刀狼教头
这猪八戒看了都想换
国服一叶知秋
不能生孩子
瑞士军刀和中国军铲
记者可以哈
刀狼
没淬火
二战苏联好像有一款迫击炮工兵铲和这很像
有时候成功的反而比较笨
三十五公斤足够了
啥？这还能干？
想要了
54斤，不错了
这叫跨界
啊？
故事应该是真的，所以回忆起当年心有戚戚焉
美女一手车
把老虎喊来是吧
怪不得被收编了
这是多功能吗？这是万能吧
节目组安排的暴风雪
牛逼！！！！
这要是丢了就一下子啥也没有了
合理，终于知道他为啥劈铁板了
这属于材料问题了吧
记得有个挖根机
战狼
买把收藏也好啊
锤子
我都怀疑是不是镐子
牛
来链接吧
刀仔快乐刀
娶妻如此，夫复何求
好假
坏了，我还真看过这集
豪赌
nb
真猛
千机铲！
挖三填一
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
够了
他房子都卖了是奔着做成产业去的，标准肯定得按照市场标准了
这个铲子得10斤吧？
666
还有猫猫车
眼睛都红了不像演的
应该改用铁罐大马锻造
666
肯定暴力呀，野外求生嘛
感觉买不起了
广智救我！
强度测试！
换个好点的材料就行了
卧槽，原来测试是为了这个
千机变
K列飞
媳妇挺漂亮的呀
够用？在户外必须得经过极端的测试才能使用，仅仅够用是不行的
所以工兵铲是他发明的吗？！
多少钱
这铲子之前没有吗？
想买一把
啊？！
我忍了三年，就是要争一口气
五年！你知道我这五年怎么过来的吗！？
要你命三千
是不是得加个保护套
师傅：我吃柠檬
真的，兵工铲。我朋友老板有一把我还玩过
铬钒合金
一眼万年
狗头老高
高压线激光清障器
泪目了果然啊真爱无敌
上链接！
数值不够
我觉得，还能往里面塞条士力架
那俩铲不卸掉，手滑凿一下大腿就老实了
甚至还能给消防队
这记者，厉害啊
来振金
灭火蛋
这是真圆满了
成军用的了，那还能买到吗
世界上就不存在不会卷的刃，只是看砍了什么东西而已
这一挖，是为了兄弟的手
..
这一期我竟然看过
心动了，上链接！
谁会拿铲子承重200斤啊
剧情
我记得真收编了，我还看有视频军队带着这铲子，不过上了军绿色漆
血槽
榔头可不比铁锹弱
这玩意儿感觉没啥技术含量，就是材料上的事情
哈哈哈哈哈不行了
进不了地铁吧
怪不得
那么，哪里可以买到到呢
不是吧
故意找事的吧？
牛逼！
收编了 不用代言人了
这个必须普及啊
我去
难怪你这么使 原来叫榔头
万能铲
6，下一次折磨车窗
人话：上头了
钢换钛，民用变军用
机器猫（天津话
老婆那么漂亮 你去搞铲子
甚至还能砍人
不能生孩子
上链接
榔头
多少带点个人情绪哈哈
暗区小鬼又在叫
无机是吧
5
？？？？？
all in one
摸金校尉制式装备
牛蛙！！
不怕，直接给记者头上来一下子
能玩原神吗
黑风山领队
哈哈哈哈，叫的怪亲切的捏
难怪这么暴力哈哈哈，气全撒在上面了哈哈哈
看见铲子，就发疯。
而且女生用也顺手
买不到
少废话，上链接
才发现这集好像看过
张译
银狼
还有菜刀
一窝Q~
上钨钢。
现学现卖
确实收编了，部队版还加了钩索功能
杠杆省力
加强筋，再换成钨钢，可劲造吧你就。
上链接
力臂更长更省力。
经典环节
就算遇到匪徒，只要对面没有枪，你都能拼一下
有无老狼
啊？？？？
广智
为什么这么极限？没必要啊
不疯魔不成活
那么在哪里能买到呢？
挖三填一
献祭队友
《富人思维》
《富人思维》
？？？？？？？
0.
f放血槽
人机记者
wc！这个是真牛逼！
雷神之铲
好老婆
梭哈！梭哈！梭哈！梭哈是一种智慧
废土必备
哈哈哈
那防水呢
真爱呀
铲子：等会
听力测试鸡将开始！
牛逼
多功能铲？荒野乱斗启动！
專利？成功了山寨滿天飛
？？？
他們把命搭上面了，這樣就壞了要出事啊
還是要用大馬鋼
小时候看，可把我羡慕坏了
估計大力本真能給玩壞掉
传统剧情
看耐久是最合適的
因為這些設計都是狠成熟的設計，他只是做了整合，然後估計想省材料錢
铲脖子也换成加强筋了
我去
666
这个看过的还记忆很清晰，
工兵铲早就有了，这是以前没那么多功能而已
这太牛逼了
这个搁现在能卖爆
增加强度的同时还兼顾轻便易携带，这就很难了
多大福分找这好媳妇
锤子
这个我喜欢
充电宝这功能多余了
什么？
？
还有打火石
卖产品前先听我讲个故事
他还不能喝
这个设计的结构本来就脆
真TM牛逼
贤妻啊，泪目了
还有高手?
如出一辙
买
有一说一，确实有东西啊
爬个山把手爬没了
加个冲燃发动机和雷达导引头是不是可以当成空空导弹了
真是贤内助，提不同意买房的时候还是嬉笑着
德爷贝爷：左手妙界右手跨界，一起征服野界！
高碳钢了解一下
我爱整活
感觉这个去锻刀大赛可以从第一期干到最后一期
德爷贝爷：脖子带妙界，手拿跨界，征服世界
我是搁土木工程进修的新东方烹饪
这眼神我都怕他给记者一下子
没钱强化了
线锯呢
这个好早以前就被量产了 非常牛逼的发明
榔头
起来是轻了。。
《锻刀大赛》
师傅你是做什么工作的
擎天的要你命三千
擎天
挖三填一
一将功成万骨枯
救你命3000是吧?
哈哈哈哈
无处不在的荒批
报菜名
上古神兵出世
啊？6，有魄力
哈哈哈哈哈
我为自己代盐
3，2，1，上链接！
哈哈哈 绷不住了
铲子还能当锅煎鸡蛋
破窗的甚至是个女的
哈哈哈哈哈哈哈哈哈
不说了，直接上链接吧
太好用上编制了
哈哈哈哈哈哈
钢材越硬就越脆
需要工程力学
这是成都量力钢材城还是金府钢材城？
队友祭天
机器帽
这个节目不是卖房就是卖车每期都一样，能不能换个新鲜的？
房东同意了？
老王大哥家也欢迎你
兵工铲
没必要吧
洛阳铲
梭哈了
至少得百公斤吧
前面不都说了吗？欠了不少外债
直接能当军工铲了
666666
666
泪目了，我操
榔头
比死了强
要你命3000！（无机粉狂喜
卧槽，最爱的节目他更新了
哈哈哈哈哈哈哈
找克里格军团
放车里是吧，我买
坏了这是真有用而且市场上很多类似的军区好像很多都普及了
坏了这是真有用而且市场上很多类似的军区好像很多都普及了
玄幻小说？
你在户外的话可能会有摔倒摔落的情况，有可能会压到，这个是有必要的
好像有一期的联合收割机也普及了
98
买过
你是我滴神！
上链接，买了！
老婆好像袁咏仪啊
找榔头啊
让记者这一发音，真成榔头了哈哈哈哈
哈哈哈
你叫狗头
经典三袋
如果有特殊情况，毕竟多是户外用，杆有很高的承重能力也没啥
普通人听到为一个铲子把房子卖了估计得拼命
哈哈哈哈哈
打着灯笼找不着啊
诶呦我去
榔头：6
牛逼
我记得老早就有差不多的
除了贵
“睡”服
这铲子要5w块，你还觉得实用吗
厉害
15度角
15度
15
哈哈哈
厉害
心动了
啊？
熟悉的广子
做大一点，还可以做锅
上链接
大哥？你搁这拆迁呢？？？
？
9.9上链接
贝，德：好小子
这别说挖到石头豁口了 这一用力，石头都要裂
每日考研
卧槽
啊？为了做把铁锹卖房子？
材质不行
还可以当锅铲了
卧槽，无敌！
卧槽，无敌
卧槽
戴佳伟彩笔
破釜沉舟
嫂子好漂亮
这是真行、
这是想挖基岩层吗？
作为登山杖是不是有点太重了
这工兵铲印象深刻
怎么没有诶诶诶哦诶？不认可
？？？？？？？？
雀食牛
我靠
擎天哈哈哈
是个狠银儿
想起来“工匠精神”，真是难得啊……
