刀哥头顶上长草了
徒儿们快过来，外面老爷们又带宝贝来了
噩梦の小树林
这套衣服是最开始没有素材时候做的，现在已经移除了
是土豆！
丁真发力了
这是幽金
0712（bushi
这不是老白吗
刺头
太牛了
他和金池长老有关系
蓝色幽魂
土豆上面戳了几个牙签然后再加上身体的Boss。
大头长头发了
好多沙子，金色是金池的执念，蓝色是魂魄
颜色好正
好家伙，原来是个底座
孤男寡猴共处一室
师傅 你做什么工作的？
刺头
刀哥
有妖气
抽根烟
李斌
光头强
不拿来卖就不侵权
黑熊给金池做的肉身，但金池魂魄和铜钱融合，做的肉身游荡山林
蔚来李斌
师傅你做什么工作的
帅哟
版权不好搞
上连接
勇度
幽魂
←碾压啥呀5把内过的
游戏画质有点高呀
选轻松拿下的太装了，开局必备碾压的
场景还小了点，
云
牛逼
蓝色头灭霸
不贴切猴子应该在金池长老后面蓄力
跪了 大写的牛逼
牛阿
刀哥
yyf rua
为何大神这么多
刀哥
ptsd
吹口烟
上链接
大头
新能源经典配色
头上长刺猬了
牛逼！
加亿点点细节
晕3d了
等个老鼠的我来助你
李斌
他自己做的，又不卖
啊？
这不量产？？
可爱捏
李斌：退出该视频。
上链接
钉子头
我来祝你。
蓄力上了
蓝池长老（doge
上链接！！！
模型全部提取出来的？？！！！
？
上链接
有点像慈航的bgm
这是游戏画面不是模型
好活当赏，币已奉上
比例不对
这。。什么体位。。
刀哥手办
66666666
人参果
幽魂就是金池长老
李斌长老
三D打印的吧
灭霸出家了
二次元刀酱
没玩过。
刀哥。
做个虎先锋
直面天命
空气墙呢？
微细节一般
上链接
做这个东西心真静
哇，着手工太好啦
fw刀
茶宠
好了！50包邮
哈哈哈，我成仙了，道爷我成了，南天门，白玉京，须弥山，我看到了，哈哈哈
火子，道爷我成仙了，南天门 …白玉京…我看到了…哈哈哈，我成仙了，娃儿
这不是毕姥爷吗？
头上的刺有点多
刀哥
有毒
蓝色的李斌
白色的李斌
kid
忠出！
虽然我是逃兵，但这是b站，所以我轻松拿下
李斌
感觉比例不太对吧
完了，脾气上来了
李斌手办
我记得这猴好像没有这么大吧，这幽魂比猴大了好多吧
不对啊，这做的幽魂还是金池
广智救我
大头哥哥
绷不住了
不是，你…
李斌
不商用就行
给你币
你来真的啊
刀哥
什么够使bgm
大头守卫，如来神掌教你做人
这也不像游戏画面啊
猴子太高了
哥，你是第1个做黑悟空微场景的，没上10万不可能。
没刺的你特效没开到头吧
蔚来，李总？
西游题材没版权
卧槽，牛批
李斌
上链接
整盆展  淘宝上链接吧
头刺有点多
李斌
kid
卧槽？！！！！！
阿弥陀佛
fw刀
幻想时间
需要一个偏暗的打光
金刀长老
金池长老
鱼缸造景应该挺好看
三千~四周~无调休~无双休~
啊啊啊啊啊不要蓝色，镀个金色吧，秋梨膏
不错啊这物理建模
细节帝！
汪峰来看看
李斌
广智救我
把金光震碎地面也做出来啊！
李想
这不是大头版的灭霸吗？给版权费了吗？
蔚来老祖
这就是幽魂，前面踏马的是没玩过游戏吗
上链接，买回来我要打他几次
刀哥
头上是金液吗
不知怎么滴看着很像灭霸
土豆发芽了
啊？
除了不能动，不输官方水平啊
再加两个血条就更像了
大头守卫
广智救我
牛啊！
666
加沙还要吗
应该把天命人放石柱后面躲着
这是幽魂不是金池
好活当赏
牛
啊？
u盘
光评论就能抽奖那怎么行？我必须投俩币我
枫哥？
这明显都是3D打印再上色的
场地太小不够气场
压迫感已经拉满了
那想斐济杯的，口味不是一般的重啊
刀哥
就你是黄眉是吧
广智都打不过那你玩原神都费劲
上链接
上链接
发到YouTube等外网上吧
上链接！
黑神话·尕娃
上链接
66666
大头居然没笑
3d打印吗
3d
幽魂头上原来有刺啊（）
大头大头，下雨不愁。
刀哥
既见蔚来，为何不buy
神龙斗士里的大叔
大头有刺，难怪中了掉大血
3D打印？
刀哥
广智打不过可以开无敌啊
金池生前是撞墙而亡，头顶要有裂纹的
尕娃
刀哥
虚幻10
专业的就是不一样
手里的blender瞬间扔了
有版权吗
李斌？
如果有一个简单的机械结构能磕一个，那将是绝杀！
量产
太牛了 已关注
徒儿们~
突然开始焦虑
大头虐我千百遍
第一难不是广智吗
好想买
出四大天王吧
出个四大天王的
上链接
好了该我玩了
上链接！
已经开始晕了…游戏不能玩超过20分钟
尾巴
上链接
牛
黄眉老祖，手办达人
猴子大了
物理建模
上链接
连场景都做了，太牛了
量产！
哇塞
蔚来李斌
李斌
给它磕一个
GK用3d打印你看几个认?没有灵魂的核心要素根本不够。微缩确实很好。
做的真好
woc，大佬
游戏没这么清晰
这不是金池的幽魂吗？怎么一群人云成黄眉啊？
外买阻拦队队长
比例有点不对
量产！！！
这都还原真相，能还原这么多以上算不出来，毕竟游戏里面那个，那个大场面，都要还原的，工作量太大，如果可以还原的话，那收藏价值肯定很高
可以做不能卖的，侵权
搞下版权，上链接
这东西叫gk 比量产贵的多
想要这套
感觉下一秒就要翻滚闪避了。
才打到虎先锋
保安
感觉要火，插个飞雷神
幽魂得磕着才对味！
刀哥
手巧的人还是太厉害了
金刺长老
抽根烟冷静一下
游科手办和周边市场估计可以收入至少10个亿
玉溪？
李斌:我谢谢你
呀土豆◉‿◉
量产
印度运镜
蔚来老祖
我今年二十七岁了，空挣了几百个手办，怎么得有他这一件
广智救我口牙
蓝色的幽魂  金色的才是长老
李斌
强
黄梅老祖草
我通关啦，还是打过二郎神的
是不是把虚幻5的模型文件直接倒出来了
大头有点像墨索里尼
果然RE1的效果爆杀UE5
没有广智帮根本打不过
量产
这不是金池长老吗  幽魂才适合这场景
？啥时候刀哥也出手办了
做的很真啊
《新手导师》
幽魂：嗯？要我给你磕一个么
情侣装
哇
黄旭东
来个八戒 谢谢
很帅，一想到一会大头两巴掌拍死一个天命人就更帅了
这boss.初见就打掉了，毫无难度
你币有了
上链接
量产
有同款斐济北吗
义父送我！
想要
哈哈哈
运镜语言
确实猴子太大了 和大腿变高 劈开腿的话应该比大腿还矮上2分
太酷了， 我幽魂噶了好多次。 抽中我啊， 已经三连。
猴子大了
毕姥爷
黑神话第一课，幽魂老师
阿弥陀佛
一模一样
啊？
哇哇～
法相庄严
轻松拿下
柱子上得有钢筋吧
玉体
龟派气功！
李斌会不会告你侵犯他肖像权
好看
经过李斌同意吗
20多级才打这玩意，轻松加愉快
整太小了，不利于观赏吧
背后过去直接一套连招
我感觉大头用磕头或者拍巴掌的姿势视觉冲击感会更强
刀哥
上链接
鱼缸造景完美
这不是刀哥吗
《屁》
既见蔚来，为何不buy？
啊？独特品味
bgm对位
我是先打这个再去打的广智，然后发现广智简直太好打了
广智，你又回来啦？
李斌
打幽魂真正的方法是这样的，金蝉的时候，先去找到广智打败他，再打幽魂
卧槽
轻松拿下
我记得好像还有一摊水的
二周目做到了数值碾压大头
场地太窄了
kid！！！
雀食牛逼
小黄车是啥意思？
好帅
这么多角色，为啥金池长老这么出名？大头娃娃不行么？还有八戒
南无阿米波多野
猴子出售吗
有了广志轻松拿捏
最具代表性的BOSS
幽魂头上没次
游戏文档里拉出模型 丢3d打印就可以了 所以难点不在建模
啊？
我嘞个黄眉
Bgm太洗脑了
这头发是不是有点多
真好
直面头锤
这bgm莫名的特讨厌
灭霸
那一日，人们再次回想起了被大头支配的恐惧
蔚来李斌
刀哥
撒子安？
尕娃
你这上色效果好像原版呀
赶紧出四妹
自己做着玩又没有奶哪来的侵权？
哼哼哼，一观，就一观
量产
这是幽魂
即见蔚来，为何不Buy~
联系一下搞个版权，弄个猪八戒
简直就是一模一样
气功波
上链接上链接
牛
蛋生蛋~
蛋生蛋~
小师傅 好手段啊
上链接
精美
省去了施魔法的步骤
"幽魂不是背对状态减分/doge,都是先上去偷一个重棍"
呀！土豆！
浇给～
李斌
上链接
啊？
丁不歪_
前面的模型做的猴子有脸
前面的幽魂头上是有刺的
李斌咋卖
那一行玩到极致都让人赞叹
人才
斯国一
噩梦开始的地方
