撼山易，撼青丘军难！
《再次见到那道光芒之前》
帝弓仅以光矢宣其轮椅（确信）
《此身为箭》
魔阴身回复生命值
嗯?进度条还有这么多
步离：我打飞霄？
飞霄不歪，玩到关服！祝大家十连三金
蜜雪冰城—飞霄
老夫箭下，插翅难逃！
画眼线了（
天上有一个……（
西北望，射天狼！
此女1的不可方物
卧槽，圣痕
这魔音身
我们飞霄1得惊天地泣鬼神
法兰西：我也举起了双手
勇烈头
我有月狂症.JPG
哈撒给！面对疾风吧！
砂狼白子（）
才最接近天理..（bushi）
它说，小狐狸，你可以玩星穹铁道
唯有巡猎，才更接近天理（
《自由引导人民》
世界名画《自由引导仙舟》
这一箭，贯穿星辰！
召命之神弓（）
岳家军既视感
法式军礼（）
黄泉同款（
大捷将军
马达马达（）
我嘞个仙舟霍去病
大姐头的诞生
寻猎的飞星
官方教你飞霄配装
星穹列车会伪装成流星
菠萝蜜多斩！
白上吹雪（）
好普通
大捷！
飞霄不歪，玩到关服
飞霄不歪，玩到关服
许愿飞霄！
撼山易撼我岳山难
飞霄不歪，玩到关服
飞霄不歪，玩到关服
大捷！
飞霄不歪，玩到关服！
飞霄不保底，玩到关服
宁撼山，撼山易，撼岳家军难。————清·洪亮吉《岳家军》
许愿飞霄0十1不歪！
大捷！
十连双金，玩到关服！
飞霄不歪，玩到关服
飞霄不歪，玩到关服
许愿飞霄0+1，出比还愿！
鬼见条
飞霄不歪，玩到关服
立，，立雪？
飞霄不歪，玩到关服！
许愿飞霄不歪
大捷！
好帅，大捷！
飞霄提前出，玩到官服
大捷！
许愿飞霄2+1，出必氪到关服
飞霄不歪，玩到关服！
君の抽卡
大捷！
飞霄不歪，玩到关服
飞霄不歪，玩到关服
大捷！
飞霄欧了玩到关服！
飞霄不歪，玩到关服
许愿飞霄不歪
云翳障空，卫蔽仙舟！
许愿飞霄2+1
飞霄不歪，玩到关服！
飞霄不歪，玩到关服
云翳障空，卫蔽仙舟！
大捷！
飞霄0+1不歪玩到关服！
飞霄不歪，玩到关服！
飞霄不歪，玩到关服
飞霄太帅了！
飞霄别让我歪了，好吗？
许愿0+1飞霄不歪，出必回来投两个币
我要哭了
悍我岳山更易
许愿飞霄0+1
飞霄不歪，玩到关服
飞霄不歪，玩到关服
大捷！
许愿不歪
大捷
飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！飞霄不歪，玩到关服！
飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞霄不歪，玩到关服飞
许愿飞霄不歪！
飞霄不歪，玩到关服
许愿飞霄不歪
许愿飞霄角色和专属光锥小保底不歪，出必还愿
帝车超光所向捷！
飞霄出来吧
飞霄老婆
飞霄不歪 玩到关服！
飞霄2+1许愿
飞霄不歪，玩到关服
飞霄不歪，玩到关服！！！
无虑，无悔，无敌！
大捷！大捷！大捷！
许愿飞霄不歪
许愿2+1飞霄！！！
巡猎的飞星！
飞霄不歪，玩到关服
飞霄不歪，玩到关服
飞霄不歪，玩到关服！
许愿飞霄姐姐，出必还愿
奔狼的领主
飞霄不歪，玩到关服
撼岳山难
大捷
飞霄不歪，玩到关服
飞霄不歪，玩到关服
许愿三无将军，出必还愿
飞霄不歪，玩到关服
飞霄不歪，玩到关服
放箭，放箭
飞霄不歪，玩到关服！
飞霄不歪，玩到关服
飞霄0+1不歪，玩到关服
飞霄不歪，玩到关服！
祝大家十连三金
别比比了（bushi
飞霄不歪，玩到关服
许愿飞霄不歪
我是来自m78星云的宇宙人
logo没变化 说明这个角色普普通通
飞霄不歪，玩到关服
看是你快，还是老夫的箭快
大姐！！！
就光是这军吼 这军势 就比隔壁那服务鸣朝不知道好多少倍！
大捷
大捷
飞霄不歪，玩到关服
说玩到关服的真像我前男友
岳飞既视感
飞霄不歪，玩到关服！祝大家十连三金
大捷！
撼山易，撼我岳山两剑气！
大捷！
倭寇没尽，何以退却?
哈哈哈终于找到个黑岩射手的了
大捷！
这里好像华
飞霄不歪
大喜！大喜！
飞霄不歪，玩到关服
许愿飞霄不歪，出必还愿
这是流莹
2+1飞霄不歪玩到关服
求你了米哈游，我这辈子没求过人，我生日当天能不能给我一只啊
飞霄不歪，玩到关服
-+
太帅了！
飞霄不歪，玩到关服
飞霄不歪，玩到关服
云翳障空，卫蔽仙舟！
撼山易，撼岳家军难
飞霄不歪，玩到关服！
飞霄不歪，玩到关服
飞霄不歪，玩到关服！
飞霄不歪，玩到关服
飞霄不歪，玩到关服！
大捷
飞霄双黄玩到关服
飞霄双黄玩到关服
飞霄双黄玩到关服
返祖
飞霄不歪，玩到关服
贯穿星辰
我嘞个六边形战士
大捷！
我部畅通无阻！畅通无阻！！
丧飞～！牛逼
大捷
飞霄不歪，玩到关服
直面恐惧吧！
流星一条~
许不了一点
信仰巡猎
飞霄不歪玩到关服！！！
捍卫银河的美
一个人的血，是不够偿还债务的
《帝弓仅以光矢宣其纶音》
记忆里的那道光
大威天龙
飞霄一出，玩到自己没了!
飞霄不歪，玩到关服
把恐惧分给卡夫卡
飞霄不歪玩到关服
飞霄不歪，玩到关服
飞霄不歪玩到关服
飞霄不歪，玩到关服
弓箭角公鸣，弦发鸟兽散！
许愿飞霄不歪
帅呆
飞霄不歪，玩到关服！！！
飞霄不歪，玩到关服！！！
部队呢？部队还能救一救
飞霄不歪，玩到关服
飞霄不歪，玩到关服
撼山易，难撼曜青
大捷
飞霄！
撼山易，撼我耀青难
飞霄不歪，玩到关服
飞霄不歪，玩到关服
单发步枪？
前面就是大雷
仙舟李世民
大捷！大捷！大捷！
威武侯在此
这个飞霄的手偶好可爱
飞霄不歪，玩到关服!
许愿飞霄
飞霄不歪玩到关服！！
飞霄不歪玩到关服
飞霄不歪，玩到关服
飞霄不歪，玩到关服
好帅啊啊啊啊啊！！
许愿飞霄十连必出
大捷！
大捷！
飞霄不歪，玩到关服
飞宵不歪，玩到关服
飞霄不歪，玩到关服
飞霄不歪，玩到关服
飞霄提前金，玩到关服
感觉更像霍去病，少年将军（和其他几个比），封狼居胥
我是剑骨头
刃:。
飞霄不歪，玩到关服
将军的狐尾呢
飞霄不歪，玩到关服！
飞霄不歪，玩到关服
飞宵不歪，再玩一年
大捷！
大捷！
燃尽一切，至死不休
飞霄不歪，玩到关服
