这已经不是怨妇了，是看开了
全团上乘风破浪的话其他人还有的玩吗（doge）
我服了身材怎么都这么好！！
丝滑变装
这个姐姐是主唱嘛？这音色太好听了吧！而且中文咬字都这么厉害！！！
中文厉害！
我的天，这个拉普一听就对味
这位姐姐和穿长裤的那位中文发音很标准  不违和
璐最后甩头ending这一下好美
我们二三代团的粉丝吃的真的很好，泪目
曹璐最好的大姐
时代的眼泪
这段RAP用英文很巧妙啊!既避免了中文RAP说不好（男子汉），加在中文歌曲里又不违和。
怨妇不再！大女主回归！！
看到这么整齐的舞蹈想起有人说自己的爱豆唱歌不需要舞蹈齐整
哎呀，露露呀，你总算能站上c位了，加油啊，祝你长红
这个雨景好看 还应景
路人，很感动
这段rap也太帅了
这位好标准啊
感觉从之前的怨妇，成长为了大女主
没有追过什么韩娱什么女团但是看的很感动
填词很棒诶，不是怨妇风，是洒脱大女人
因为前公司不当人lulu绿卡没什么词，是后面综艺火了lulu苹果派词才开始多
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
叶子 NB
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！！！
啊啊啊啊啊真的好喜欢！姐姐们太棒了！！
FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！FIESTAR回归大发！
好美好美
这位和上一个两个人发音真的很好
2015年全球百大最美面孔 金珍熙（JEI）
姐姐们腿都好长，身材都好好！！！
大发
再看亿遍！！！
FIESTAR！！！！！！！
还得是这种，白幼什么 少女什么我看腻了！加上回忆杀 只能太棒了！祝大火！
姐姐们的衬衫杀人啊
啊……前面的男子汉，我们泡泡茶真的方文山占大错
FIESTAR回归大发！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊
助力百万
助力百万
回归大发姐姐们！
加油加油
好好看！！！！！！！
呜呜呜呜呜
jeijeijeijeijeijeijwijeijeijeijei
这是我们的姐姐没错了
期待姐姐更多的舞台
有梦想多久都不晚
这是我近几年听到最喜欢的歌。
今天也来助力！！！
太美了吧姐姐们
支持
期待你们的打歌舞台
加油加油加油加油加油！
加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油加油
ni h
好漂亮
回归大发！！！
冲冲冲
这中文咬字也太好了
jeijeijeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijei
jeijeijeijeijeijei
jeijeijeijeijeijei
jeijeijeijeijeijei
jeijeijeijeijeijeijeijeijeijei
jeijeijeijeijeijeijei
jeijeijeijeijeijei
90万播放了
拉得好棒啊！太厉害了
加油
满屏弹幕哈哈哈
天才的中文词
姐发个练习室版嘛！
好听好听！！！
好听好听好听
哭了哭了
是谁又回来听了，是我
新编的曲好好听啊啊啊
姐姐好棒!!!
助力百万～
姐姐加油~
好听
循环一百遍了
姐姐们要大发赚大钱！！！！！！！！
虚化好评
这个姐姐好漂亮
这段真的好好听
好好听
真的好好听qwq
这个放今年真的无敌啊啊啊啊
谁懂这一幕，五个人的腿简直太漂亮了
每个人都跑到c位美我一跳
姐姐们回归大发 棒棒哒
两主唱厉害了，发音和尾音处理都很有华语歌的味道
这句好好
回归大发
FIESTAR FIESTAR FIESTAR FIESTAR FIESTARFIESTAR FIESTAR FIESTAR FIESTAR FIESTAR
FIESTAR FIESTAR FIESTAR FIESTAR FIESTARFIESTAR FIESTAR FIESTAR FIESTAR FIESTAR
FIESTAR FIESTAR FIESTAR FIESTAR FIESTARFIESTAR FIESTAR FIESTAR FIESTAR FIESTAR
