标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
老师....你投屏没关,逗比的雀巢,https://www.bilibili.com/video/BV19r421K7ST,894.4万,1.5万,"好喜欢模拟恐怖啊 就做了一期 但又不敢做的太恐怖。
我很久之前就在想，我生活中遇到的那些否定，那些贬低和不如意真的是我的问题么？
我的人生真的应该按照别人的想法来进行么？
我现在觉得应该不是的
社会把我们塑造成了我们不想成为的样子，我们无法决定去做我们喜欢的事。我们害怕群体的目光，家里人的指责，老师的期待。但这些不是你的问题，你生下来的目的 是过好你自己的人生。
希望大家都可以活出不一样的生活",82.9万,53.1万,82.9万,5.9万,"['原神UP主激励计划', '生活', '搞笑', '搞笑视频', '搞笑', '恐怖', '开学', '娱乐', '哥布林', '恶搞视频', '原神', '伪人', '原神5.0UP主激励计划']",2024-08-31 17:30:42
《崩坏：星穹铁道》千星纪游PV：「飞镝追星」,崩坏星穹铁道,https://www.bilibili.com/video/BV1TT421z7e3,271.4万,8996,"无尾无命九死无生之人，没有选择，只能向前。
向前，是为逃离死地，奔向新生。
向前，只因飞星照路，渴求希望。
 
双重脉搏纠缠抵牾之人，注定鏖战不休，永不驻足。
一脉赋其灵智，决事如雷。
一脉催其怒火，匹敌万军。
 
她是帝弓离弦之箭——一箭指向猎物，一箭指向自己。
 
中文CV：
飞霄——叶知秋
 
日文CV：
飞霄——小松未可子
 
韩文CV：
飞霄——손정민",23.1万,7.8万,23.1万,2.2万,"['游戏', '手机游戏', '崩坏：星穹铁道', '崩坏星穹铁道', '飞霄', '千星纪游', '崩坏星穹铁道飞霄', '碧羽飞黄射天狼', '米哈游', 'miHoYo']",2024-09-03 12:00:00
全球排名第一披萨！一年卖30万个，到底多好吃？,Meetfood觅食,https://www.bilibili.com/video/BV1Di421r7rd,328.8万,1.3万,今天又是坐飞机的一天，我们要飞跃8500公里，去探秘全球排名第一的Pizza店，看看到底有多好吃？,17.4万,3.9万,17.4万,3359,"['我秋天的第一顿美味', '美食', '美食侦探', '披萨', '吃货', '4K', '美食', '美食侦探', '意大利', 'JoeJoe', '探店', '意大利披萨', '秋日美食吃喝大赏']",2024-09-02 17:00:00
纯黑《黑神话：悟空》全程无伤攻略解说 第四期,-纯黑-,https://www.bilibili.com/video/BV1if421e7SH,150.3万,1.6万,"这不得三连支持一下！
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。",16.3万,17.0万,16.3万,5601,"['游戏', '单机游戏', '悟空', '纯黑', '无伤', '石敢当', '解说', '攻略', '黑神话', '石先锋', '黄风怪']",2024-09-01 12:00:00
世界上缺陷最多的工程在哪？【神奇组织23】,小约翰可汗,https://www.bilibili.com/video/BV1Kw4m1r7do,301.1万,3.5万,本篇为神奇组织之FBB。,20.7万,8.8万,20.7万,1.2万,"['人文历史档案馆', '知识', '人文历史', '知识', '奇闻', '工程', '建筑', '德国', '历史', '人文', '行走的人文', '机场', '世界史']",2024-09-01 11:00:00
“闲庭信步，一招一式，这就是儿时幻想过的武侠场景啊”,战斗猪George,https://www.bilibili.com/video/BV1ijn9eWE2k,229.4万,2308,Not Found,22.5万,10.0万,22.5万,4.7万,"['推荐宝藏游戏', '游戏', '单机游戏', '悟空', 'ARPG', '回忆', '技巧', '动作游戏', '场景']",2024-08-31 10:19:40
《绝区零》简角色展示｜致命审讯,绝区零,https://www.bilibili.com/video/BV16U411S7RT,178.7万,4403,"「老大派我来…好好犒劳你。」
「噢？你有话想说？想好再说噢…」

简CV
中：曾彤
日：岛村侑

—— 欢迎来到新艾利都！——
《绝区零》1.1版本「卧底蓝调」现已开启！
bilibili安卓端下载地址：https://www.biligame.com/detail/?id=108434bilibiliPC端下载地址：https://www.biligame.com/detail/?id=111210",13.3万,6.9万,13.3万,3.0万,"['游戏', '手机游戏', 'PV', '手游', '剧情', '新游', 'ARPG', '绝区零1.1', '绝区零简', '米哈游', '绝区零', '卧底蓝调']",2024-09-03 12:00:00
上学第一天你们没迟到吧！,脱缰凯Kk,https://www.bilibili.com/video/BV1pr421T7Md,161.0万,4563,-,22.0万,1.2万,22.0万,2401,"['我在B站拍短剧', '影视', '小剧场', '写作业', '作业', '搞笑', '爱情', '短片', '原创', '校园', '剧情', '学生', 'B站剧情创作人2.0']",2024-09-01 17:46:46
赛 博  坟 墓,汤木檀泽,https://www.bilibili.com/video/BV1h74y1m7px,238.4万,3612,-,18.3万,5480,18.3万,5063,"['永劫无间手游天命赛季', '生活', '日常', '永劫无间手游', '墓园', '入殓师', '殡葬行业']",2024-09-01 14:15:00
骨折手术后第14天，我爸重出江湖，再次伸入他热爱的牛屁股,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1Nx4y1x7wm,98.0万,2776,Not Found,18.6万,3.2万,18.6万,717,"['了不起的新农人', '生活', '三农', '小青年大丰收']",2024-09-02 17:00:00
大型灾难片《开学 》（全明星版）,刘一朵A,https://www.bilibili.com/video/BV1FE4m1R7mx,126.5万,2017,Not Found,15.9万,1.4万,15.9万,3139,"['搞笑研究所', '生活', '搞笑', '搞笑研究所2024 5.0']",2024-09-02 17:00:00
小曲一响，脑子白长！,XFinds寻宝,https://www.bilibili.com/video/BV1NKnZemEK7,191.8万,2510,-,3.3万,7604,3.3万,3782,"['音乐分享官', '音乐', '音乐综合', '神曲', 'BGM', '迷你世界', '小曲', '和平精英', '蛋仔派对', '音乐分享官暑期特别企划']",2024-08-31 18:07:31
帝 豪 哲♂学,极速拍档,https://www.bilibili.com/video/BV18f421i75p,77.7万,6938,Not Found,13.3万,5.4万,13.3万,5418,"['汽车', '汽车生活', '日常', '4K', '汽车', '生活', '国产车', '生活态度', '广西', '百色', '吉利汽车', '吉利帝豪']",2024-09-03 11:00:00
《原神》过场动画-「最后的保障」,原神,https://www.bilibili.com/video/BV1S1421x7W7,181.8万,2137,"为了带卡齐娜回家，众人坚持到了最后一刻。
只要太阳还在，光明就总有一天能够照亮黑夜。

中文CV：
玛拉妮——王晓彤
派蒙——多多
空——鹿喑
伊安珊——真理
卡齐娜——静宸
恰斯卡——张若瑜
玛薇卡——李晔

日文CV：
玛拉妮——东山奈央
派蒙——古贺葵
空——堀江瞬
卡齐娜——久保百合花
恰斯卡——甲斐田裕子
玛薇卡——小松未可子

《原神》bilibili服下载地址：https://www.biligame.com/detail/?id=103496",14.8万,1.4万,14.8万,2148,"['游戏', '手机游戏', '玛薇卡', '火神', '米哈游', 'miHoYo', '原神', '原神5.0']",2024-09-01 12:00:00
当悟空爱上天竺王后 戏里戏外他都是男主天花板,守望者纪录片,https://www.bilibili.com/video/BV1xmHCejEq9,155.1万,1605,-,19.9万,3178,19.9万,1919,"['娱乐', '娱乐杂谈', '经典', '爱情', '章金莱', '六小龄童', '孙悟空', '西游记']",2024-09-02 17:36:26
一只猫和一只老鼠，为什么能火80年？,影视飓风,https://www.bilibili.com/video/BV1CW421X7pt,89.3万,3555,《猫和老鼠》这部经典动画是几代人的童年记忆，也许你也会好奇，Tom和Jerry为什么会发生这么多变化？夸张却传神的表情和动态都是怎么设计出来的？这次我们有幸邀请到了《猫和老鼠》官方画师John Pomeroy一起拉片，他也和我们分享了《猫和老鼠》制作的种种细节。如果你喜欢这期视频，请多多支持我们，并把视频分享给其他感兴趣的朋友一起看看！,11.0万,3.6万,11.0万,3738,"['京东小魔方', '知识', '野生技能协会', '猫和老鼠', '4K', '科普', '动画', '手绘', '绘画', '艺术', 'PICO 4 Ultra MR一体机', '全能玩出彩就在PICO']",2024-09-02 20:02:02
【侦查冰】黑神话抹黑西游？了解一下事实吧！,芒果冰OL,https://www.bilibili.com/video/BV1wz421q7bx,149.3万,2.7万,文：芒果冰/抱只大橘,13.1万,13.9万,13.1万,1.5万,"['黑神话天命人来也', '游戏', '单机游戏', '游戏杂谈', '西游记', '黑神话悟空', '黑神话', '游戏科学', '《黑神话：悟空》8.20 直面天命']",2024-08-31 10:53:35
71万人打出8.6分，却几乎没人能完全看懂！逐帧解读《花束般的恋爱》,木鱼水心,https://www.bilibili.com/video/BV1Fw4m1r7nY,156.6万,8786,"它过于真实，像偷窥了我们的生活
却又几乎没人能完全看懂

从今天开始，我们将为你逐帧解析
这部高分佳作《花束般的恋爱》
以全知视角来回切换男主和女主的观点
深度剖析这部电影是如何讲透爱情真谛
引发无数年轻人强烈共鸣的

每一期《25格》都要花费很多心血
还请大家多多点赞、投币、收藏
并将它分享给你同样爱电影的朋友
谢谢你们的支持！~",12.1万,7.7万,12.1万,1.6万,"['专业视角聊电影', '影视', '影视杂谈', '有村架纯', '菅田将晖', '电影解说', '木鱼水心', '爱情', '影评杂谈', '花束般的恋爱', '25格', '拉片', '暑期星榜天团创造营']",2024-08-31 20:25:46
如何在家制造活性干酵母,嘤武罗,https://www.bilibili.com/video/BV1Qy411v7VK,142.7万,2857,-,6.6万,4.4万,6.6万,1398,"['bilibili食界杯', '美食', '美食制作', '美食制作', '酵母', '美食教程']",2024-09-01 17:00:00
作者发烧干碎体温计做出来的游戏让我折磨,某幻君,https://www.bilibili.com/video/BV1QW421Q7vD,74.9万,9651,游戏：KinitoPET,8.1万,4.3万,8.1万,3506,"['整点电子榨菜', '游戏', '单机游戏', '游戏杂谈', '搞笑', '恐怖', '萌宠', '娱乐', 'KinitoPet', '沙雕']",2024-09-01 12:08:11
探秘中国十大“禁区”！闯入神的住所深处！【07 神农架】,东尼ookii,https://www.bilibili.com/video/BV1zw4m167D1,263.9万,6887,"感谢大家的观看！ 已经尽力了，这次进到了神农架的中核心地带。
大山里没信号，磁场又强，无人机都飞不起来。
大家如果想去神农架旅游的话，其实也可以去玩玩..记得一定要自驾..体验一次就够了",6.8万,2.7万,6.8万,1119,"['跟着UP主看世界', '生活', '出行', '美女', '诡异', '恐怖', '旅游', '永劫无间', '中国十大禁区', '永劫无间古墓丽影联动', '神农架', '东尼ookii', '我们的夏游记']",2024-08-31 19:53:46
