李白单杀猪八戒，我怎么会做这样的梦？
夏洛特也是弱化平a，但是是多段伤害，还有斩杀
我们王者自己的绘梨衣
幽默“来吕布就老实了”
你竟然还会研发输出装（dogo）
下水道大战下水道
《英雄所见略同》指的是过一段时间就变成出装创始人了
开庭时带上四位责任人
李白下水道？
gggg
出现了！
送头流李白
典韦：你好
这波澜是真的，如果是正常红刀的话，一个大招上去一套，打完马可肯定死不了，反手死的就是自己
澜测过了，全时期都弱
其实后期有破军一样是可以瞬秒人的
这是暗信吗
这波要是吸血刀打猪打完还是满血
牢布笑拉了
顺风用啥都好，逆风用啥都打不了
这不是我初中刚玩的时候训练营配着玩的装备吗（）
几乎和我一样思路
刺客要什么坦度
我们仨
猪八戒：不是哥们。
出肉没伤害切不了人
站撸流
澜是下水道？起码加强几次了。
澜还有些不太会的玩，玩刘备的新玩家很少了
没有经济压制，李白出啥都白扯
李白没经济压制，谁都打不过
没用的，李白没有经济和节奏，出啥都没用
就直直的走到伽罗脸上啊…输出刘备敢想吗
苍穹还是太全面了，肉装火了之后，下版本肉装可能又要全面削弱了
刘备玩家泪目
澜胜率很低吗，一直感觉挺高的
爆裂物抗220能兄弟
猜猜王者里有几个是带无法选中的？位移过去人家摸都摸不到你还说机制弱？
当年澜打肉随便转，现在这么弱了吗
脸黑的人玩不了这一套。
李白这个不行
这不看运气么而且前期哪有那么高暴击
梦回六年级的我
但是暴击装a几下野怪就死了，回不了多少
这个容错真的不是多一点半点
还吕布呢，倒数榜也有他的身影
不要移速了吗
熔炼血末流蓝
正常李白后期这么出不就行
这出装和传统出装都没肉，怎么能说只有这个是玻璃大炮呢
强吗
哎，不是肉装我吃。
公式?哈哈哈
遇到纯肉就老实了
你别说，我早就在这么出
这套我早就有了，之前CD不够的时候，为了容错我就玩的肉
幽默出装
吕布是宗教英雄吗?天天搁这尬吹
我有段时间也是这样出的，真挺不错
低端局不随便乱杀吗？
李白的试过，大招太刮痧了，感觉原出装好用点
没有破军大招伤害不会更低吗，大招无法触发暴击
最大的问题是 李白没有位移赶路，全靠移速
李白吸血刀是为了一直不回家，但现在这版本确实拖节奏
上一个火影绘梨衣，这个就王者孤单边，有两大贤臣我怎么就上不去段呢？
李白就不适合肉刀，李白这种刺客出肉刀太浪费了
这套出装不是一直都有吗……几个赛季前就有人这么出
李白站撸八戒，我怎么会做这样的梦
我是肉刀，冷却，红莲，黑切，不死，霸者，很早之前可被骂惨了
这个出装曾经看过
说实话，还在坚持老版本电刀刘备的已经不多了
爆裂：？
确实发的比较早啊
思路不错
"刘备你怎么改都没用 ,只有变异"
刘备的问题应该是摸不到人移速的问题我感觉
感觉李白和澜的出装不错，可我还是觉得刘备的有点怪
李白不带移速一样是放弃机制
这跟我用自己的理解配的出装一模一样！
太贵了吧
本来只是打算看看的，你这个音乐一出来直接关注点赞加投币
进度条是真相
换常规出装李白早就一一跑路了
该不会所有的打野都要出肉装吧 ！！！
这个在逆风的情况下作用不是很大
逆风出个影刃还没a两下就被秒了啊
澜好像不下水道吧？T3应该有的。
冲这个歌我必须试一下暴击李白
我记得以前有段时间我是这样出的
姓李的秒猪八戒都玩似的
1A1A是硬控啊
幽默渡魂人
这波换正常出装就死了
混伤出破军吧
14级猪单杀15级李白，知道要练谁了吧
展示容错
我用过，刷不起来
刘备柠檬的要是打不出经济压制那还打柠檬呢？
这种李白建议是搭配开团辅，毕竟消耗能力弱了
你们只看装备不看出装的顺序是吧
食不食油饼？
我没睡醒，居然看见了猪八戒被李白杀了
我嘞个雷啊，这护盾，还是我认识的吗？
这不就是我三年前玩的李白吗……
235辱究了
还是苍穹加爆裂合适
刘备只能全攻
弱化普攻全峡谷独一无二
终于轮到我牢备了
他还是忘不了他的坤跑鞋
可惜，移速是硬伤
你玩打野不经济压制，你回炉重造吧
卡点了
大家可以看到刘备在本视频没有什么戏份
哎呦，你干嘛
我要的是那百分之十的cd和附带的加抗加血
没什么用
地图变大了，野区野怪变多了。刘备就跟个笨蛋一样，经济刷都刷不起来。
孤尔钟馗
雅典娜出装
除了肉刀有区别吗
谁问你了
本人去试了一下，第一套出装里的黑切改鸡爪手感会更好，但CD上少了一点，不过出装这种东西仁者见仁，智者见智
冰痕追人挺好的
幽默牢猪
李白突进太强了 ，一技能三段回以及不可选中可以让他不计成本的突进
刘备，玩家们别想了，肉的话，队友不会玩，照样没用，咋有这时间还不如去团结一点，在王者下面评论，加强刘备
第一次压扁成这样的我~
本来想省个币的。。。
你牢备出肉下赛季拿个金蝉就老实了
懂了，明天我就去试试这个澜
暴裂：啊对对对，他最低
李白铭文直接舍弃攻速带暴击，第一件做无尽是有机会秒人的，不暴击也比黑切伤害高
LK4 -==============================================================烦人
鸡爪可以尝试一下，就不缺攻速了，爆裂甲的移速也很重要
打不过你不会反手出肉吗？
不仅是血魔，所有的普攻法球，暴击，吸血都无法触发
错误的，澜是少有的换了锤子也打不动肉的ad
《移速 512》
《强》
兄弟李白做吸血刀就不脆了吗？
牢珍：？
一个暴击给大司命打醒了
刘备只能打经济压制，肉装不可行的
边路刘备
复兴汉室！
up我建议李白的话先出战斧再出大刀，先出的话被动不满没伤害。
求BGM
BGM是什么？？？
小黑子
边边我爱你，你终于科研澜了！
劉備基礎傷害本來就高
這個才叫坐牢元
開庭的時候戴上你的耳機
昨天晚上就梦到有澜的新出装！！！！
幽默雙刀小陀螺
我几年前就遇到过出影刃的李白
你币有了
这容错率
因为刘备本来就刷的快，肯定能压的
只要不被控就能回血回上来
坏了我就是这么出的
不好用，什么都有了但是什么都不强
感觉李白宗师可以换碎星锤
这个操作都能强杀，强度看起来确实可以
血魔确实浪费，还是纯净苍穹合适
为啥刘备是下水道
红莲魔尊——孤单边
本就前期不强的李师傅更弱了，暴击李白没大顺风还想玩？
这护盾等于两个元歌了都
《九级打六级》谁都能打过吧
都玩刘备了你经济压制打不出来？
可以玩一手信息杀
正常情况，这个澜已经死了
牛逼
第一次听完鸡你太美
不会，冰痕很适合
无处不在的村里人，将进酒杯莫停来干来干，将进酒杯莫停来干来干
铠?
孤单边救我的刘备
这玩意不是主流吗？
说没必要的↑我只能说还是很有必要的，可以拉低新玩家对这个英雄的上手难度
李白就是要输出，主打一个消耗
可惜，苍穹被削了
我感觉电刀不需要换个末世吧
太脆了
哇，这不给辅助磕一个？
鸡爪！
可以无限将进酒（doge
这是半肉吧
红莲魔尊
这出装带飞不了
那我想问队友不是人该怎么带飞？
还指望吕布呢？两喷秒了就老实了
那原版出装就被猪秒了
立宝竟然能杀猪
肯定是补移速的呀，不然你觉得爆裂的被动够干啥的？
你肉宫本出碎星锤
出出来的丝滑不？
无限乱斗玩过
刘备，我感觉可以出大肉刀，攻速鞋，逐风黄盾，血魔最后一个出啥都行
UP主的出装主要是保下限，照顾那些手法意识稍微有些欠缺的玩家
牢布破军都没憋完呢你队友都给人打穿了
李白更慢了
雅典娜同款
没睡醒看到李白单杀猪八戒了
输出刘备的话，如果钟馗肯打基本上就死了
这个连招，我想到了一个超标的故人
老板出装，就因为这个前期伤害太d就改成后期吸血刀了
血刀出装的李白，当时我就觉得有问题，你吸血又不强势，还不如人家韩信一个横扫，你不带吸血吧七进七出又不好打
笑死了，现在的吕布那伤害就是蚂蚱来的，哪来的自信说吕布来了就老实?
前面的，刘备的大招跟没有一样，后期打团一配就碎
英雄所见略同啊，我就是这么出装的
小锦儿不就这么出的吗
刘备自身的爆发输出可不低啊
有伤害，有坦度，有控制，有位移，出装带来的超标，那就削装备吧
还来个吕布就老实了，现在打吕布都不用躲技能的
苍穹完全的冰痕上位替代
我之前遇到过这样的，结果我玩个伽罗，点了七八下不死，还把我反杀了。
黄盾算什么？刘备的被动穿透算什么？暗影战斧算什么？
这出装跟现在差别不大啊
我牢备终于重启了
求主播科研一下亚瑟的 打的真费事
