给我一种龟哥的感觉
我是开心超人，一开心我就……
开心超雄
全明星阵容
好家伙
第二个李宇春吗
很有精神，太牛逼了。
绷不住了
众所周知，b站和童年只能选择一个
抽象
有时候一个人上网挺无助的
好漫长的15秒
看到这个我的大脑宕机了
这几个排骨精哪里淘来的
求断更
我是超人强，越超人越强
这不是籽岷嘛哈哈哈哈
太帅了
开心超人的动作也太帅了吧！
省流：开心超人笑麻了
求断根
求断更
还别说第一个动作很有力感。
大便超人（确信
开心超人，你怎么穿派大星的裤子
骇死我咧！
闪击侠
《新哲学》
经典地图
请选择你的英雄
求UP主精神状态
太前卫了
魑魅魍魉
求断更
闪电侠
靠眼前一黑。
最开始看他视频的时候，谁知道他会变成这样？
谁知道他以后会变成这样的
我是神父，这就是圣经
别说还挺上头
这艺术对我来说还是太超前了
我以为闪电侠呢我靠
不好！！我的童年打劫了
求断更
好癫啊
又觉得帅又觉得好笑
这不是甜心超人吗
画质越来越模糊，童年越来越撒笔。
byd腰带掉下来真是点睛之笔
好阴间
难绷
求断更
求断气
求断更
小小怪下士本士
一种很新的东西
奖励超人
大大怪将军
啊我的眼睛
待会洗不掉就老实了
这下轮到我开心超人了
请选择你的英雄
小时后最爱看的一集
洗的掉吗
逆天搜索
好火
好活，当赏
《开心焯人〉
《请选择你的英雄》
好！
求断更
我嘞个零帧起手
闪电侠可以
虽有点惊呆，但对于认真的你点个赞
请选择你的捍卫者
求断气
众神归位！
你要杀死比赛吗
为什么这个号现在这么抽象了
看视频原来真的会很无助……
第二个是个什么玩意儿，没看懂
童年逐渐模糊，记忆逐渐邪乎
开心超人巨tm开心，笑死我了
求断更
挥斥方遒
三次元版本
已举报，求断更
我的眼睛！~~
《闪电侠》
求断气
余承东
byd表情
我的脑子告诉我这是石
我不确定，但是……
好有力感的开心超人呐！
梦泪
还是出来了
雷军
我嘞个上来给我眼睛来个飞天大c啊
牛了大的
毁童年
不，我的童年啊！！
求断更
丸辣是心动的感觉！
两眼一黑
哇袄，人体彩绘
画质越来越清晰，童年越来越邪呼
其实感觉蛮好的
四大细狗
是快递侠吗？
求几个断气
神奇四宝
开心超人一开心就超人
求断更！！！
伤心超人呢？
哪来的畸变体
神奇四侠
抽象
DIO
很好肯有精神
