举个例子{让子弹飞}诞生了 让学
他们要的是童话故事
每一代人有每一代人的西游记，吴承恩也借西游的故事讽刺当时的官场
弥勒很复杂，他不是绝对的善恶
哪怕是央视版，都跟原著不一样
真有人分不清现实和游戏啊？
玄奘法师:西游记尊重我了吗？！
哎~难道不是吗doge
←别人一直能控制你，你怎么打？能不能打得过是另一回事，必须先摆脱控制
二郎神是真的够意思
《不贪不杀》
猎户捕猴没问题，返过来猴啥猎户也没问题啊！
这几年来设计的最棒的最终BOSS
个人认为这段抢葫芦的彩蛋可以载入动作游戏史册，里面蕴含的情感复杂且丰富
就现在而言，是真的有人怕你有反抗精神的
但实际横担着棍子在原著里也出现过，不能说只是致敬《大话西游》
舆论战  文化战不是开玩笑 这些拿钱带节奏的要认清
有槽点，但游科第一个买断能做到这种程度，已经很了不起了
这个现象会一直存在于人类所有文明的所有阶段中
还真是
玄奘法师:西游记尊重我了吗？！
《三国演义》尊重历史了吗？
这是正经原文
正式版剧情叫彩蛋？？你是不是对彩蛋有什么误解？
原著党:根据可靠线索可以发现，其实是先有的86版电视剧，才有的原著
战神：是的我也干了
他们的原著是86版
我算是明白了，这些所谓的原著党忠于的不是原著，是86版西游记
原著党出来救我啊
原教旨主义卫道士要出动了
是这样的，就是原文。
游科:自有大儒为我辩经
弥勒佛是东天佛祖，如来是西天佛祖还是不同的
《神仙都说》
在steam上好评如潮在别的不要游戏的平台就变成了褒贬不一
但孔子和马克思会
大圣残躯时刻在告诉玩家：不要追逐我变成我，要超越我
这游戏大圣帅出了新高度好吧，八戒的塑造可爱又有反差，有血有肉
对不起，我真的需要九颗龙珠
前面的，你看现在的风评，放在支线彩蛋里，就不会变成那群人攻击的武器么？
可怜我牛哥一家
我希望他们是出续作而不是DLC，因为DLC的体系完全不适合把后面的事讲完
就算1个人产生了偏差，也有9个人懂得，他们会向他说明，那个人也会不断传承
单独看八戒跟蜘蛛精有染甚至有个女儿确实离谱 但是也没有多大抵触 就是因为故事讲得好
悟空的核心就在于反抗二字，而不是谈不谈恋爱，因为谈恋爱说毁了悟空实在是贻笑大方
若不披上这袈裟，世人又怎知我尘缘已断，金海尽干呢
细说金瓶梅
越靠近灵山，妖怪背景越大，
我们有这种孙悟空完美的错觉，那还不就是86版删改
这是有功的游戏 是封神的游戏 谁也杀不死他
预防性注册，学过知识产权的都知道这一招
真通关的哪个不期待DLC啊！我还想着打上天庭和灵山呢，顺便救一下四妹
所谓的原著党很多其实是86版党
如果你都不知道他的存在，你又如何会去了解他呢？
这里的隐射有点东西
什么时候有这条设定？哪里写了取经是为了啥
我个人感觉就是对斗战神的一个彩蛋，不必深究
合理的，就像老干爹也在老干妈手上
新闻学魅力时刻
剧情没问题逻辑自洽
被说哭了，这段时间太憋屈了，明明是一个好游戏，被这么抹黑
剧情只有彩蛋，和斗战神原本剧本是没有关联的
会误解不看，看的不会误解
《10天》，没听说过天上一天地下一年么？
这个就是纯原著
其他弟子也帮忙添柴火了
猜猜黑神话为什么叫黑神话
up主是有道士证的，这个up主确实是权威
西游记 也可以说就是二创里最有名的一个而已
原剧党
留下根器是留下希望，但希望被利用也属于希望的错不属于幕后推动者？什么逻辑
与时俱进，经典咏流传
因为那个时代专打封建
传承至今的传统文化
确实有   真的不是很多人都玩过斗战神
于是他母亲长生不老
我说过那些人没有看过西游记
现在的问题是，谁来界定改的好不好，前面你说了算吗？
神佛认可的是孙悟空取经后的路程，怎么可能贬低他取经过程中的事呢？
不同时代背景会对孙悟空赋予不同的使命
越近灵山，妖魔越多，来头越大
理解他，成为他，超越他！
人家是创作者，人家愿意致敬你乐不乐意有什么用
说句不好听的，又有多少人真正看过西游记原著全文呢
并没有 自以为是众人皆醉唯我独醒而已
《 参 考 文 献 》
吴承恩孩子们我也干了
但是游科明明标注了基于1592年西游记  你说是不是元杂剧
刺客信条：6
先把七龙珠的悟空形象改过来吧
四大名著另外三部结局都是悲剧，你以为西游也能跑得掉吗
自己这么想要一个西游的正面故事为什么不自己去创作一个，而是在别人的作品下一直喷
不完美，但是我要给他满分
黑子：我不管，这就是原著，我心中的白月光神圣不可侵犯！
不完美跟主观满分有什么冲突吗，不完美于他的游戏表现，满分于他带给我的情绪价值，杠什么？
前面的。。。真的是费尽心力咬文嚼字的反驳啊，你看明白up在说啥了吗？
黑神话最大的矛盾点在于塑造的不是大众心里的那个盖世英雄猴儿哥
没有调查，就没有发言权！
那什么是“正确”的理解，哦他们觉得自己的理解就是正确的理解
人都被吃了，当然不贪不杀
哇还有人不许游科他们对同样付出心血的作品塞致敬呢，笑嘻
当然配，四大名著没一本是给朝廷唱赞歌的，水浒和红楼更是从市井和高门大户两个方面最登峰造极的揭露封建苦难的古典小说
东西神佛实际上是南北官场
吴承恩：是的孩子们，我也干了
“祖宗之法不可改”到底让谁得了利。
为什么要忘记斗战神呢，有切割的理由吗，作为彩蛋不也是很正常的吗
央视拍的电视剧和动画肯定会把这些美化，因为面向全年龄
想不到？我早就都习惯了。
不用抹黑，吴承恩自己就干了
他们还是忘不了斗战神
玄奘：尊重一下我呗
没有苦难谁还信佛
这个话题有热度，某些势力的目的就达到了
道家不在乎的
腾讯兵 你好
米桑出列
没错！猴子的最正面的形象就是一个顶天立地的反封建急先锋，而不是什么拜伏在地的佛
宗教游戏
猴子所拥有的反抗精神正是其一直被喜爱的主因，而不是他是一个符合世俗的英雄！
原不也是，这么多年了都
一个明朝时期的小说而已，还代表上传统文学了
【‘；立刻就会你吗，                       各个方向在了【’
↑任何被删减都会比制杖解读成政治阴谋，笑死
弓手太郎
为什么要轮回脱紧箍，最后又带上啊？？
你这不是断章取义？前因后果都没有
当今同样适用
他剧情里目前表达的意思差不多就是杀妻证道啊，你不能用你的臆想来解释剧情的不合理啊。
第六章 《未竟》
