白笑话：吉吉
三千，四周，无双休～～
这个不错
还是吉吉国王好看
不是哥们，你非得把你自个当成孙悟空吗，闹麻了
你姓马？
绝了
全部留级
86电视剧 98动画版
这这这也不是水粉啊
是非为那面包
成天，进厂
如～割韭
画的？
我超农
这不是吃面条那集的衣服么
黑神话抢先版马楼
送命人！
月薪三千，工作四周，无所求
八戒，画的真棒！！
厚礼
法国IGN：你礼貌嘛？
啊？
之前几个是水粉，这个是水彩吧
唐
sun walker
这个起稿就是我达不到的远方了
不是，哥们
烈火堂的猴子看看
第一个就没绷住
99小公主！
棉签？
帅呀！
讚！！！！！！！！！！！！！！！
啊啊
厉害了
好家伙
牛。。。
加载中
好了，下期画四大天王
没这紫金冠，世人怎知我尘缘已断，金海尽干？
猪八戒
没下巴
抢先版和正版都是同一个人做的
拍仰了。。看着头小了
啊♂啊♂啊
看到标题我就点开了，未看先点赞。
画出你心中的大圣。
酱紫剪？还有点小帅
不调休？就算玉帝老儿来了也照样调休！
啊？
不是，哥们？啊？
啊？
这是水彩啊
错了，这是天命人不是悟空
盖颜料盒啊！！！
不是哥们
？
啊？
啊？
啊？我也妹炸眼啊
我出钱买
也就那样
没关，就是开了
明明吉吉画的很好
三千，四周，无所体
如割韭~
无双休～无调休～
Monkey brother
我最钦佩美术生的一点是他们能把脑子里的东西，搬到现实里让别人看见
结尾不是四大艺术家，我不是很认可
三妾四舅无所求
笑容逐渐收敛
你犯法了，知道吗，在哔站用笔画画是犯法的
光看这起形就有感觉了
寻妹眨
不是哥们？
66666
？？？？
我去，这个颜色好NB
我擦，活板硬刷！
我也梅眨眼啊
直接开啊
用魔法是吧
你和对这画有什么区别
你创作下啊
这个线稿已经薄纱了哈哈哈哈哈哈哈
酱紫剪？
起稿就得我琢磨一辈子
学生用水粉，老师用的水彩，肯定画得更细腻
monkeybro
歌曲充分表达了打牛马三千块，四周没周末的心情
上链接
大雷
黑吗喽·吉吉
三姐，四舅
气死我了，无双修
？
这肯定是临摹的草稿，正常自己默画应该画不出来的
如割韭
??
啊？
双开门猴哥
咋还少了半句话
啊？
完了，我又眨眼了
三千四周无双休不可…调～～
抢先版的小曲
斗战胜佛
水粉画的
不是，这是加速了，不是瞬移了吧
是为了那面包
进厂
成天
三千，四周，无双休
全部淘汰
？？？
这我学集贸啊
无双休～
？
三千     四周        无双修
这我学集贸啊
水粉就是色粉掺了点胶，薄水粉干了之后可以擦掉的
好剪
啊？
这我画集贸啊，
啊？
布什哥们儿
猴哥:0黄老师:O
啊？水彩？
