实力逐渐增强，跑车碎片逐渐集齐
最大的箱子是不是装着十三香（
房子碎片+1
Boss即将进入第二阶段
变声期到了（狗头）
再撒点十三香
《玉吐》
《洗衣机》
下集预告：马桶泡饭
《有点》
《学校》
《食用品》
实力依旧强大
台下人走过，不见旧颜色，台上人唱着，心碎离别歌。
下期视频：鼻涕和眼泪泡饭
肯尼迪：头部灵敏度发一下
鱼哥为什么从之前的出租屋里搬走了(doge)
病毒：呜呜呜终于感染上了兄弟们
下期视频预告：吃过的泡面不要扔，小伙教你做泡面袋泡饭
《第二阶段》
我知道床头的纸巾怎么来的了原来是擦鼻涕眼泪
照妖镜
流下的鼻涕和眼泪不要扔，小伙教你鼻涕和眼泪泡饭
吃个北京烤鸭（架）
下期小伙教你们洁厕灵泡饭
奔驰花洒
鱼哥好好打扮一下还是挺帅的
厨房（确信）
《卫生间》
新僵尸复活点
2000+人出来吧
玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉玉
1000+的出来吧
2000+出来
真 沐浴露
洁厕灵搞里头
细节卫生纸
逆天
弹幕里喊鱼哥鱼哥的，等人家赚到钱了你们就不会这么开心了
小甜糖
遗容镜
科技汤
谢谢，兄弟们不吃
炼金室
-
冲完赶紧刷牙
立白呢
可移动水龙头
呜呜，兄弟们吃饱了
泡面缺了核心十三香
奔驰
馋了
玉汤
玉卫
什么玉最终都只会害了你
玉桶
玉桶
这里的网友都真好呀！~
可以加餐了
哈哈
解锁新地图
居然没玉哭
漱口水
见证历史
便宜
850可以在广州市区租房
快160万粉丝了，应该有很多吧
其实这个泡面还挺好吃的
装修史中史
261
261
261人
《不怎么用》
同款泡面
。。
北京850应该算便宜的吧
850一个月不便宜？这是北京啊好兄弟
DlC大更新
nb
实力大增
玉玉玉玉玉玉玉
正在吃 同款
吃
知道为什么我感觉到感冒的状态比他平常的状态都好多了
《感冒的原因找到了（喜）》
细节十三香
BOSS进入第二阶段
带子:女娲
玉床
十三香呢？？？？？？？？？（不解）
谢谢，我不吃
找厂哥是吧，扛不住啦
你的龙头有点松弛
下期预告：糖泡饭
泪目
鱼哥加油！
突然觉得鱼哥好可怜
老母    鸡汤面
白象打钱！！！
立白洁厕灵
这角度还挺帅
《食品用》
细节纸巾
解锁新地图
必须要13香
这厨房还蛮大
13香代言人。
省流:最心疼的一集
呜呜呜
我是辩论会主持人，这就是答辩
谢谢鱼哥，兄弟们给你吃！
Ssldksskkfkko
奇怪的布局
闲鱼加油，我相信你能住上更大的房子
板蓝根泡面 请
我也爱吃泡面
我靠   都159万粉丝了   我那时候关注  还只有9万多粉丝
厕所比厨房大
连招？？哦，虚晃一枪啊
不对 我好像隔着屏幕闻到了香味
卫生间跟厨房安一起吗？
拍视频肯定会有收入的，实力大增也算是正常
13香呢，我13香呢，我问你我13香呢！
前面睾汤包笑死我了
现在正在吃老母鸡汤面
不错了，
天男散花
水壶
逆天
零帧起手呢
实力强大
