纯纯仁济队长
原著里，安德直接就把他杀了
凯申微操
我选择原神启动
说真的，你全部不加一点真的真有一种情况，有必须有你
仁济巨人
过~来~（水牛音）
玩第五人格
？这，，，这不对吧，这是个人不就会想试试巨人么？
仁济队长
我嘞个寰宇蝗灾
脆皮巨人
印第安人:那我呢？︔导演又在美化美国的行为了
原著里女皇已经死了，只留下了一段记忆与一个虫卵
原著里是让数架战斗机执行毁灭母星的自杀任务
对，我想起来这个影片在几年前就有了，为什么现在还能播出来
死者代言人和虫族女皇建立链接了
人话：玩游戏
和以前看的国语不太一样
哦，这糟糕的中文配音就像隔壁的玛丽老太太的苹果派一样糟糕
闭环了我靠
安德：众所周知，无论什么外星生物，都会说英语
初号机:“这我熟”
寰宇蝗灾
王多鱼：我熟啊
卡芙卡开大
我选圣杯（即答）
入侵而死的人：“666，红运当头”
有点随便其实
原电影是无人机啊
寰宇蝗灾
其实就是真实的战场
莉莉，是荒野乱斗的莉莉吗？
就是真实战斗
其实这就是实战，他们为了安德越过良知就骗他说是模拟器
其实这里就是实战
寰宇蝗灾
寰宇蝗灾
飞舞巨人
↑星鐵好玩嗎
都能远程指挥了还不能无人驾驶吗？有点bug啊？
寰宇蝗灾
当时我惊呆了，最后神转折
刚玩p社游戏的萌新be like:
不论怎么选都会死不如拼一把
嘎了巨人
米痴收收味
并非对这部电影，而是原著，大刘表示这部电影太执着于还原导致不太成功
不是成王，只是复活（详见原著《外星屠异》）
安德系列足有23部作品（有声书、短篇、长篇）
豆子：浪费时间的心理游戏一点不玩
我小学看的都翻出来了？
RTS真人版
黑暗森林：小子你很勇哦
一直都是真的，大发雷霆是因为真似了那么多人
其他，请补充
哼，规则，就是用来打破的！我来送你上路！以自己的意志，抵达结局吧
我就知道哈哈又是寰宇蝗灾
规则，就是用来打破的！
没看过小说就觉得电影很好看了，别说小说了
这个是真实的战争
豆子
吃了
吃了平板
这个队长死了，只是他们为了不让安德分心才说他要回去治疗
地球除了石油和生物奴隶啥也没有，缺资源周边行星采矿就好了，非要跑个几光年去地球
典中典
中国玩家：那到底还有哪里可以点呢？
反杀巨人
杀
第五人格启动！
塔萨达尔：你也叫虫族主宰？
怎么还有汉索罗
城市化
9
就这？发布当天就有人发攻略了
？？有那么先进的科技还要人类干嘛
有没有可能，人类本身就是资源
最终，虚伪的善良拯救了虫族！！
haze开大了
为啥要用这配音，太拉了
打巨人
是我就全突突了
外国人那么喜欢霸凌吗？
安德的游戏
这不就是最典型的白左思想，那就是除了人类，其他所有生物都是善良的，没有敌意的，文明的~~
这就是典型为了让玩家打破规则而设置的规则，万一最终你杀去杀死规则也和选择一样的结果，那就没意义了~
然后回来把人类灭了··
蚂蚁在火灾里也是这样
这种是帅才
如果告诉他这就是真实的战场，安德会崩溃掉的
这是模拟人类舰队第一次进攻虫族母星防守
其实，最后的试炼是实战
上校你给我等着
助推器分离
INVATION！
网瘾少年
用来打破的规则就不是好规则
不遵守规则
一直不选，一直长生
用原声会死系列
应该是无人机母舰上指挥员，无人机被摧毁了，就没啥能保住母舰的了，所以牺牲了
难绷
你们有这技术就不能造无人机吗
区区上校，有这个权利？
我好像看过原著
《安德的游戏》？
实际上是因为孩童容易操控，可以做出高层想做但不能做的决定
台譯：戰爭遊戲
太洛智了看不下去
帝国灭绝令
只要有血条，根本不用考验直接有人干boss
去玩无人深空就好了
个人英雄主义
逃跑
灭了让你选择的“人”
2000+
砸巨人
没有大到不能承受的牺牲，也没有小到可以容忍的背叛
杀了他。
原来这是安德的游戏
mxz崩皮丝麻了
安德的游戏
从巨人的眼睛钻进去把它杀了
请你打破一下美国的规则
设备医生
原作他噶了
安德：我不吃牛肉
钻进巨人眼睛里
我选择杀死那个巨人。
扑棱蛾子
又是这个演员，叫啥来着
美国灭了美洲土著，然后之后的电影总是保留这种鳄鱼的眼泪
想起来了，我看过这本书
serral？
杀了巨人。
安德的游戏
我选择杀掉巨人。
选nm
拔电源
肘巨人
钻到巨人嘴里
泰伦虫族？
杀
虫族从进攻变成自卫被迫反击了
有声书的录音
结果这里是真实的战情指挥室
你行你上啊
这次的模拟对战其实是真的
沙
斯丹康也是演的现实里指不定是啥家族
喜马拉雅。。。。
一直都是真的。。。。
所以是科幻小说
安德鲁？！
什么刀锋女王，虫族之心
其实这里是实战来的，所以饱含泪水
人类能指挥这种级别的战役？
改写程序
是谁在呼叫舰队？
杀死巨人
刘启玩法
上校就可以决定人类命运了，总得用个将军吧
是又两支舰队是吧?分了两路，这支被他们玩没了
服了
啊？
程序员:你猜你为什么能这么做？
这是虫族占领的星球 被第一远征军打下来建立了前哨站
安德的游戏
林强？
注意，这已经开始真正打仗了，不是模拟战
把上帝咬死
刘启：你以为棋盘只有一种用法吗
试图找到其他答案
在那的模拟都是真的在实战
蛋仔派对启动
不毒死也要淹死
琼斯教授
星际争霸（
npc没亮血条怎么办
小医生
原著中，这里是一处小行星
80%的人选择息事宁人，牛马型沉默！！！
开转了（敌人：已经慌了）
咬他
未成年的我异常兴奋
巨人杀了不就行了
嗜杀蜂群（）
现在是模拟！最后一次才不是模拟！！！！
之前所有的也是真的小规模战役
要有这自由度，正常玩家都是直接单杀巨人了
勇敢冲向巨人
完全不同的种族哪有这么多心慈手软
慈不掌兵，义不掌财！
我全喝
自私的人类把所有的责任推给一个孩子，自己在背后享受胜利的果实
F35战斗机
我记得原作是亖了
widong
绫 小 路 清 隆
跳下桌子
上帝？他有几个师啊！
选择把制造困难的人解决掉
哈里森福特
小孩哥
莉莉？第五人格，启动
BGM一响，成功把我劝退
沙了巨人
战舰上的士兵真的都死了
虫族在知道自己错了以后没有在打算入侵地球，两个种族因为语言不通错过了和平共处。
虫族标配
把巨人杀了
这个中文配音真的毫无感情，自顾自地夹着说话
阿凡达不更扯？原始人打能跨星系航行的种族
《膀胱》
三体人表示：太菜导致的
杀！！！
这不过是个模拟罢了，没有这游戏，你想有的话你可以自己做
是的，舰队里是真的人
《黑神话·马喽》启动
时代少年团
玩暗区突围
把巨人殺了
有史以来拉的最好的
一直都是真的
我宁愿去看原版，也不看这个
进巨人鼻子
钻到巨人眼睛里秒了
巨人
你的仁慈将是人类的灾难
不可能从未通关
多少？
其实不是模拟
满大人（）
俄国面孔（）
突然发现他最后就是这么干的
其实不是试炼而是真正的战争，这个游戏死了无数人
起床战争
666
低傲
安德的游戏（）
安德的游戏？
《从未通关》
为啥不叫安德森？
他命令自杀的那些舰队里面真的有人
直接掏出AK
反人类罪直接上国际法庭
勇敢去做
你不是夺宝奇兵吗
崩p的全家福只有一个人
星际争霸是吧？利维坦吗
中间啊
不选
第7次看这个电影
人与人的路是不可复制的，我走在我自己的人生道路上
审判庭呢，救一下啊
叫楚轩来
不会看攻略啊
光矛青春版
我全都要
@到处征兵的男人
好了什么时候结昏
其实一直都是真的，那些战舰都没了
宇宙极罪人
t..
冲击巨人
这  次  按  我  的  规  矩  来
巨人能被杀死，这不就说是游戏提前设计好的吗，这不也是规则？
程心！你怎么做变性手术啊？
这  次  按  我  的  规矩来
撞巨人
有真人，有无人机
规则和纪律存在的意义不就是被打破
崩铁批闹麻了
就这次是真的
嗯，真的
最开始都是模拟，最后一次是真的在指挥舰队
等到后面他知道这场战争也是真的。。。。
选中间
游戏设定有这个才能这么通关
"如果我是小黑,我会说WC牛b啊"
说不定都是毒药，我直接罐他嘴里
游戏不是这里，是后面的考核
杀了他就不用选了
孩子喜欢我的一套下来7000斩杀线吗？
安德的游戏
把巨人沙了
解决提出问题的人
原著小说里是人类先打的虫族才被入侵的地球，高层选择了隐瞒并让人类对虫族加以仇恨
我选择走。
牢美特有的霸凌
就是安德的游戏里面的片段
这个我看过，而且是完整版的电影，直接钻眼睛里了
实际也是这样，隔段时间就演练，让执行的人分不出那次是真的
粒了《确信》
不是，男版程心？
这么说其实只要干掉安德，虫族也能不战而胜
赞美火龙之主！！！！！！
暗区突围启动
这也算残暴？那在场的各位都是残暴的人喽
杀巨人
开了
规则就是用来打破的
紫砂巨人
开了
虫：天天就我事多是吧
杀了巨人
寰宇蝗灾(确信)
这张脸……是斯丹康(笑)
后退
扣他眼珠子
仁济队长，菜还爱玩，难绷
杀巨人
飞舞队长
仁济队长
杀了他
傲慢才是
押不是压
求和？不觉得种族之战这么容易求和，
把巨人给杀死
典
这里应该是，殖民地男孩陪着他而不是佩查
打他
懂了，眼睛是圣水
杀了
浴巾绑的真结实
杀掉巨人
选巨人
不是叫佩查吗
那个队长好矮呀！
不是四个人用头盔顶住敌方大门四角，至少一人通过敌方大门才算胜利吗
打死巨人
钻鼻孔。
正确通关方法，尝试把巨人给干掉
杀掉那个巨人
直接弄他。
把巨人杀了
右边
我全都要！
安得的游戏
第二天的是真的
我梦见一片焦土，一株新蕊破土而生，它迎着朝阳绽放，向我呢喃低语：飞萤扑火，向死而生……
实际也是这样，隔段时间就演练，让执行的人分不出那次是真的
寰宇蝗灾
空集
把那个人杀了
啥巨人？
《死者代言人》
给策划寄刀片
荒野小鬼收收味
《超 新 星 纪 元》
巨人
我选择弑神！
杀了他
都星际战争了ai还不能代替人类啊
别怨我公事公办罢了，你很优秀，你的故事本不应该在这结束。可惜你再也看不到雷诺伊尔举世无双的事件了那么感谢你的付出，晚安。
f
上身
铁锈战争（不是）
这配音没谁了
我将 点燃星海
独立日（不是）
右
弑神
一
要是真有一杯解药，巨人把他喝了那不就只剩毒药了
咦，是你小子阿，性教育那个片子
规则就是用来打破的
搞上帝
杀掉发起者
杀他
无尽的拉格朗日
作为一个群星玩家，我只会觉得斩草必除根
虫类要是有人这么大还真难搞
两杯毒药
干掉巨人
我超，地爆天星
让对方先选
看片
我不选不行吗
中间不是还有一个吗？
冲进巨人的眼睛里挖。
杀死巨人
直接钻他眼睛里，把他眼睛给吃了
杀死上帝
看哈尔滨猕猴桃
所以选拔这么长时间，选拔出来个程心
其实这是真实的，只不过教官没有告诉他
干掉出题人
那前线的战士们呢？
事实上这就是真正的战争
真相就是明天实际上是真战场吧
游戏里能有攻击巨人这个这个代码，那这肯定就是唯一通关的条件啊
前面的美式中文真标准
仁机
？怎么变成侵略虫族了
杀掉巨人
杀巨人
封号了
跑上帝嘴里
荒野小伙收收味
开桂
这不是《安德的游戏》吗？
人鸡巨人
豆沙了
杰克史派罗
玩三国杀
注:这里其实是虫族的母星
杀人
冲进巨人的眼睛
都不喝。
选给他喝
规则就是用来打破的
原著里，哥哥和姐姐也是天才，但哥哥太暴虐，姐姐太温柔
直接把他杀了
黄金圣水
我嘞个超新星纪元啊
玩光遇
把巨人杀了
《度司》
打死巨人
眼
把人杀了
干掉巨人
北海不比他好
逃不过的比赛设定
养猪流后羿
原谅我看完2001和三体，我真的看不下去了
繁育的遗嗣
中心化网络缺陷
下一部死者代言人
有才又爱玩
所谓的模拟实际上是真的？
杀掉那个让我选择的人
就算真的有外星人，也不会看上我们地球的这点物资的
好了，远程操控指挥实际上已经是现实了
突然感觉看过
不如强互作用力材料直接冲爆星球
杀
把怪物杀了
砸杯子
直接把这个人给吃了
Han Solo？
打X巨人
星穹列车（bushi）
飞舞巨人
规则，就是用来打破的！！！
不选，硬耗，看谁能耗死谁
跳进染缸（无端
打开明日方舟
冲进巨人眼睛里
COD17下毒现状
这一场就是实战
结局将至
丸辣！！！
丸辣！！！
把那个人给杀了。
中间那个人
那我直接往后跑不行吗
小黑不是在农场吗
全是人命
空气墙：你好
我干亖他丫的
一群飞舞，要一个小孩拯救地球？没有能人了？
飞舞
啊？这么快？
呼叫三体舰队
杀了它
莎冰，能被杀还让我选药
又菜又爱玩啊这个
ky哥魅力时刻
情商真的高哇
寰宇蝗灾（doge）
那女皇是个人类
我哪个也不选
两杯都不选
虫奈落（不是）
这是一本书叫安德的游戏
紫砂
什么超级宇宙战争？
规则，就是用来打破的！
学会了，游戏在哪？
规则，就是用来打破的！
第四天灾培养记
干巨人
电影是无人机，小说是真人
规则，就是用来打破的
格拉默，早就…不存在了……
《上海堡垒》
繁育星神
