老登有一种今天玩完 明天就不在内娱干了的松弛感
我觉得有几个人更有权利回答吧。
我们不知道该怎么安慰你们，你们才能听到，但是我们会用尽全力来守护你们
缺点:巨雷登陆计划（开玩笑）
虽然因为恋爱这件事对你印象变了很多 但毕竟是看着你们长大的 还是心疼
你俩给我吓一跳。。。双子别太像了
小朱和小余要一起出道！
左航既然看他了
鑫鑫小鱼忍着痛说出来辛苦啦，未来都要好好的
苏新皓好可爱呀！
不是，高中，毕业证？
从一变灵（bushi）
很好的鑫鑫，给小余递纸
小苏眼睛红红的好心疼
张极还是挺单纯的
《遗憾是与你们错过的六年》
天亮了我的初五该出道我的初五要成为闪闪发光的大明星了
左航：喝口水压压惊
我想念我的小话唠帅帅了 o(╥﹏╥)o
张峻豪抬头
这里老于的表情笑死我了
“你的痛苦我都心疼想为你解决”
真正的遗憾说出来也会被剪掉吧。。唉。。。
气氛好怪啊
《镜头语言》
左航三代最强唯一RAP担
一个拆金针菇 一个拆灯
但那些不经意说的话对别人造成的伤害可能是别人一辈子都无法释怀的
大家好，我是TF家族张泽禹
“就让爱我的人来救我吧”
我嘞个左……天润
c83一起出道！！！！
帅帅
苏新皓苏新皓
快出道了搞这么煽情
虽然是对家  但希望大家都好好的
峻豪，你会后悔辜负了粉丝吗
我嘞个发小
《朋友不多，都在这桌》
顺顺，不要哭⊙﹏⊙。铲妈看着也很难受。
“我们好不容易，我们身不由己”
产生了也没事，反正演唱会之后各过各的，又不会再相见了
他们选择了这份职业，就要承担这些，但也是从十几岁的小孩走过来的，要说遗憾多的是
祝君武运昌隆，愿君顶峰相见
这很真实的 友谊本来就是阶段性的 有些缘分断了就断了吧
应该问苏新皓和邓佳鑫
余宇涵在想什么呢
笑死我了突然搞笑
感觉小苏快哭了 好低落的感觉宝宝
说得轻巧，造成的伤害能忘记吗
志极好可爱
《番位》
《谈恋爱好不好玩》
。大家别玩梗了，行吗？
不是…这个问题真有意思
吓我一跳我以为左航呢
那苏新皓受过的伤害算什么呢
偷喝苏新皓的水！
我嘞个水灵灵的涵坤
这两个问题都很犀利
《善良》
小禹禹站在边边角角的那些年
不用怀疑哥们儿 你确实说唱最好
这是能问的？！（但好像该问的另有其人
左航邓佳鑫手牵手一起出道吧，不要再放开彼此了
《妈生鼻》
要出道了开始搞团魂。。有啥意义。之前。。唉。。
“大家好，我是苏新皓”
这波回得好
左邓一起成为大明星吧
我哭了，不是粉，真心希望小鱼能出道，他综合实力绝对能排进前五
我认了，我们登真的就是同事而已。。。。。
一定要去搞这嘛，聊点儿开心的不好吗？好不容易来海边
那么多遗憾一时竟不知从何说起
谁不委屈 但是其他人的委屈加起来还没有苏新皓一个人受的委屈多 你要我怎么不计前嫌
更爱朱志鑫了
毛哥心疼余宇涵吧
苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓苏新皓
后悔谈恋爱没藏好了
现在就别在这玩梗了行吗？真的很难受。。。
左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航
永远忘不了左航得第一你们是怎么说左航的
张泽禹游戏王实锤！
我们泽禹赢了
上热搜呦～
陈浚铭
勇敢一点，对左航说
高中毕业了不高考吗？
他又不是不懂自己的身份 只是心善怕ts尴尬
张峻豪：？
“以十三人打破规则，手牵手，一起出道”
谈恋爱没藏好
宠物猪调解家庭纠纷
这个镜头切的好
不是，十一个朋友很少吗？我一个都没有
咋着be4换豪丞左邓了
苏苏你别又要被骂了…
左航三代第一且唯一rap
豹豹猫猫我开饭了
芒猴八嘎闺蜜头……
苏新皓好可爱啊呜呜呜
张峻豪说唱确实强
小鱼小鱼快快游，四面八方皆自由！小鱼小鱼快快游，四面八方皆自由！小鱼小鱼快快游，四面八方皆自由！
妈呀补药放c83了。。。
顺最大的遗憾可能是辜负了小时候的努力吧
小苏为什么一直低着头呀
张泽禹张极成名在望！
左航三代最强唯一rap担左航三代最强唯一rap担左航三代最强唯一rap担左航三代最强唯一rap担左航三代最强唯一rap担
鑫左也会遗憾没有高考吗
我们这一群人在一起才是三代！才是家人！
原来你们都懂……
左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航左航
我一个宝丝已经哭了
这是我能看的吗，建议每个人都回答一下这个问题
笑死了张极 太有梗了
有可能他的爸爸在关注他 希望能看看这期
还能说什么遗憾呢，是从小离家追梦想家被网暴，出众的实力但不匹配的番位，还是三公的舞台，四公的银钥匙，我真的不想说
三比最后的合体物料了。舍不得
哎呦我天 这些小孩小时候都那么可怜 一个经常寄宿亲戚家 一个和隔壁邻居阿姨住 一个六七岁就单亲
小铲演出顺利
张泽禹给台阶哎 暖心
这不引战呢
哈哈哈哈张泽禹反应好快
《史崩脸上了》
left永远自由
左航三代唯一最强rap担
我天，路演啊，所有航丝的痛啊
我勒个妈呀！这是真的6
黄朔总给我一种他还小的感觉
离开四代何尝不是一个遗憾呢……
进公司之前才几岁。。。
后期敢问，老登敢答，火锅局名不虚传
插一句：这镜头换来换去 张泽禹呢？切不到
我的天时代峰峻你为什么那时候不放人啊
