标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
“独属于中国人浪漫的彩蛋”,y极简,https://www.bilibili.com/video/BV1QLWoeaEBg,570.6万,3792,地图位置：第二回 黄风岭 不济谷  打完沙大郎后可以看见背后有一面摆满佛像的墙壁 变身成大头撞开墙壁即可进入彩蛋隐藏地图,62.4万,3.7万,62.4万,9058,"['影视', '影视剪辑', '彩蛋', '孙悟空', '黑神话悟空', '菩提祖师']",2024-08-24 12:28:31
相片漂流瓶之冰棍老头,老牛的Vlog,https://www.bilibili.com/video/BV1mf421e7yy,233.8万,1913,-,57.8万,7.5万,57.8万,1276,"['生活', '日常', '生活记录', '摄影', '手工']",2024-08-24 11:48:33
纯黑《黑神话：悟空》全程无伤攻略解说 第二期,-纯黑-,https://www.bilibili.com/video/BV1VE421c7vv,260.1万,2.6万,"这不得三连支持一下！
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。",32.1万,36.6万,32.1万,3.0万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '解说', '无伤', '攻略', '悟空', '纯黑', '黑神话', '《黑神话：悟空》8.20 直面天命']",2024-08-24 12:58:07
不要拘泥于单一棍法，进来感受齐天大圣的魅力！无伤寅虎,里奥达芬奇,https://www.bilibili.com/video/BV1NBWSeeEFe,410.9万,5093,Not Found,29.5万,13.0万,29.5万,9.6万,"['黑神话天命人来也', '游戏', '单机游戏', '悟空', '无伤', '单机游戏', '黑神话悟空', '黑神话', '动作游戏', 'fgo', '寅虎', '《黑神话：悟空》8.20 直面天命']",2024-08-23 18:41:44
黑神话凭什么这么火,碎嘴企鹅,https://www.bilibili.com/video/BV1Bw4m167su,132.6万,2715,很荣幸能亲眼见证。,30.1万,5.6万,30.1万,4590,"['我玩黑神话悟空belike', '生活', '搞笑', '搞笑', '生活记录', '高能', '游戏', '主机游戏', '原创', '吐槽', '黑神话', '段子', '搞笑研究所2024 5.0']",2024-08-24 18:56:36
内部绝密视频首次公开？影视飓风900万粉丝Q&A！,影视飓风,https://www.bilibili.com/video/BV1Yf421e72c,172.8万,2.5万,没想到才过了4个月我们又900w粉丝了，非常感谢大家的关注和支持。快来看看这次关于公司、员工、内容，大家又提了什么怪问题吧！如果你喜欢这期节目，请多多支持我们，并将视频分享给朋友看看！让我们1000万见！,23.8万,16.0万,23.8万,7386,"['科技猎手', '科技', '数码', '4K', '职场', '高能', 'Q&A', '粉丝', '工作', '年会', '员工', '问题', '科技猎手2024第2季']",2024-08-24 20:00:00
多一个人看，这份中国最了不起的非遗，就又多了一个传承人！,夏叔厨房,https://www.bilibili.com/video/BV1eb4214727,387.0万,4302,中国最了不起的非遗—木榨油！太久没见过属于历史的东西，你有没有忘记了身为华夏文明的骄傲？,61.1万,15.5万,61.1万,2765,"['我们的小城游记', '美食', '美食制作', '美食教程', '文化', '人文', '历史', '非遗', '记录片', '食用油', '非遗文化']",2024-08-22 14:10:27
【星穹夏日联欢盛典】欢迎来到 匹诺康尼基金会！,哈米伦的弄笛者,https://www.bilibili.com/video/BV1Xz421e7m6,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
黑神话悟空最菜玩家！菜还很合理！【主播说三农】,央视农业,https://www.bilibili.com/video/BV1k2421Z77v,181.5万,6410,Not Found,30.7万,5.2万,30.7万,1.2万,"['资讯', '综合', '西游记', '游戏', '孙悟空', '黑神话悟空', '主播说三农', '农业']",2024-08-23 11:00:00
黑神话摄影师 | 卧龙寺「虎先锋」海报级摄影【第二期】,可达波昂棒,https://www.bilibili.com/video/BV1GrsFeGEU1,166.3万,1379,"小伙伴说可以先拍一些大家讨论比较多的BOSS，那我这就来了。

1、摄影原图100%为up主自行拍摄。
2、展示图片有经过后期调整。
3、后期是因为摄影师的责任是将最好看的呈现给大家。
4、感谢游戏科学的坚持不懈，终于将我们中华文化展现了出来。
5、再次感谢游科的顶级美术！
5、为保证观看体验，建议大家横屏观看。",24.4万,4.2万,24.4万,1.8万,"['黑神话天命人来也', '游戏', '单机游戏', '国产游戏', '悟空', '单机游戏', '黑神话悟空', '黑神话', '动作游戏', '游戏摄影', 'steam游戏', '游戏科学', '《黑神话：悟空》8.20 直面天命']",2024-08-24 22:34:39
开学夜：就 你 叫 悟 空 啊 ！,进击的金厂长,https://www.bilibili.com/video/BV1VT421z711,442.9万,8018,得道高人：点赞投币之后，有好事发生～,10.3万,6.8万,10.3万,1797,"['黑神话玩家的精神状态', '生活', '搞笑', '搞笑', '作业', '暑假', '搞笑动画', '短片', '开学', '黑神话悟空', '新学期', '金厂长']",2024-08-23 18:05:07
【黑神话·悟空】全网首发旋风猴-3分钟无伤速通二郎神,在线囚徒,https://www.bilibili.com/video/BV1TYW7emEQP,218.6万,6942,所有属性优先选择回复元气，可以更快打出芭蕉扇,19.3万,4.7万,19.3万,11.7万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '二郎神', '孙悟空', 'BOSS', '无伤', '黑神话悟空', '黑神话', '《黑神话：悟空》8.20 直面天命']",2024-08-23 05:04:46
写作业的时候要听音乐~♫,yoyo鹿鸣_Lumi,https://www.bilibili.com/video/BV17i421r7kv,103.2万,7412,"夏天已经过去一大半了，你们都是怎么度过的呢？
软件：UE
动作：动作捕捉
BGM：见评论区",14.7万,7.4万,14.7万,1.5万,"['动画', 'MMD·3D', '背景音乐', '歌单', '夏天', '音乐', '学习', '作业用BGM', 'HOYOMIX', '放松', '陪伴', '米哈游']",2024-08-23 12:03:27
《给我老老实实出丑啊！》,伤心欲茄222,https://www.bilibili.com/video/BV1aW421X77w,304.4万,1080,素材：少林阳武堂,37.2万,3171,37.2万,1702,"['搞笑研究所', '生活', '搞笑', '搞笑', '八嘎', '搞笑研究所2024 5.0']",2024-08-24 18:25:54
耗时30天带孩子做套低配版《黑神话悟空》,又又Elf,https://www.bilibili.com/video/BV1EyWVe9E7q,242.9万,4543,Not Found,51.2万,9.6万,51.2万,2.3万,"['用手工打开黑神话悟空', '生活', '手工', '手工', 'cos', '黑神话悟空', '仿妆cos', '盔甲']",2024-08-22 13:11:36
二阳没被录取究竟为何……,二阳咂-,https://www.bilibili.com/video/BV1tw4m1r7cH,340.0万,882,-,23.1万,2433,23.1万,257,"['影视', '小剧场', '校园', '原创', '大学']",2024-08-23 19:02:26
领养代替购买 用爱终止流浪,他叫阿园,https://www.bilibili.com/video/BV1GT421z76Y,249.7万,3240,-,47.7万,14.0万,47.7万,967,"['生活', '出行', '公益', '生活记录', '正能量', '流浪猫', '温暖']",2024-08-22 19:08:51
有人遗憾有人圆满,阿宅寒星星,https://www.bilibili.com/video/BV1pM4m1a79s,154.1万,2607,-,25.8万,8573,25.8万,3675,"['原创搞笑剧情', '生活', '搞笑', '爱情', '生活记录', '校园', 'BILIBILI金电视奖']",2024-08-24 18:36:52
上学历险记,脱缰凯Kk,https://www.bilibili.com/video/BV1Bf421e7ox,184.4万,3184,-,24.3万,9294,24.3万,1049,"['BILIBILI金电视奖', '影视', '小剧场', '短片', '日常', '搞笑', '原创', '校园', '艺术', '学生']",2024-08-23 17:50:42
爱情天梯,_凡不凡人_,https://www.bilibili.com/video/BV1ncWfeDEeM,223.2万,737,"“六千多级台阶，您一个人能下去吗？”
“我不是一个人。”他会来的，像那六千多个日夜一样奔向我，握住我的手。
--分割线--
真实事件改编",34.6万,6078,34.6万,4888,"['生活', '日常', '真爱', '猫meme', '真实事件', '爱情天梯', 'meme']",2024-08-24 18:04:59
《不时轻声用内心话遮羞的若叶睦同学！》【泛式】,泛式,https://www.bilibili.com/video/BV1pH4y1F7ke,86.8万,3954,"之前看《亦叶亦花》发现有个角色的属性特别适合做睦头人二创，于是有了这个尝试！

画面：一部分是P的，一部分是找人画的。
台词：一部分是原片剪的，一部分是ai炼的。哇靠睦的训练样本是真的太少了！
剧本：我胡编的，大家图一乐别当真。
（PS：万分感谢ChatGPT教我如何润色高中女生的语气…）",12.9万,7.9万,12.9万,2.0万,"['动画', '综合', '搞笑', '新番', '泛式', 'mygo', '七月新番', '败犬女主太多了', '长崎素世', '丰川祥子', '不时用俄语小声说真心话的邻桌艾莉同学', '亦叶亦花']",2024-08-24 19:59:27
当一个女生跟你说她没衣服穿：,星有野,https://www.bilibili.com/video/BV1b4421f7Va,240.3万,1840,红温了，但是好温馨,23.3万,1.4万,23.3万,8328,"['UP！原创动画', '动画', '同人·手书', '女生', '搞笑', '原创', '动画短片', '原创动画', '恋爱', '星有野', '抽象', 'UP！原创动画3.0超时空高校季']",2024-08-24 12:00:00
变胖了就更好捏了不是吗？,叶玲秋雨,https://www.bilibili.com/video/BV1X2421Z7Rj,142.9万,2529,"小两口老夫老妻似滴日常，芙宁娜因为要减肥不能吃大鱼大肉，但是吃太少容易肚子饿，空不忍心看到芙宁娜因为减肥而饿坏肚子

借物表
模型：miHoYo/观海/克里斯提亚娜/Airsoya/婳魔Yandere桑/Danielxwy/Mafubash/倾辞一绘/开朗的米悠悠
场景所有：MiHoYo 
场景提取：克里斯提亚娜
场景修改：克里斯提亚娜 
动作/镜头k帧：叶玲秋雨
人物渲染预设：小二今天吃啥啊",15.8万,4.0万,15.8万,1.1万,"['原神UP主激励计划', '动画', 'MMD·3D', 'MMD', '原神MMD', '原神动画', '芙宁娜', '空', '米哈游', '原神', '原神UP主激励计划4.8']",2024-08-24 18:45:39
人生的本质是痛苦的，要学会与痛苦的人生和平共处，高分冷门电影《来自俄亥俄的获奖者》,顾我电影,https://www.bilibili.com/video/BV1ef421i7Lk,268.8万,1.2万,人生的本质是痛苦的，要学会与痛苦的人生和平共处，高分冷门电影《来自俄亥俄的获奖者》,15.2万,1.2万,15.2万,4368,"['人人都能聊影视', '影视', '影视杂谈', '冷门', '经典电影', '电影剪辑', '励志', '电影解说', '来自俄亥俄的获奖者', '温情', '高分电影', '人人都能聊影视3.0']",2024-08-23 21:05:00
15个简单有趣的小食谱～有手就会系列～,胡仔一人食,https://www.bilibili.com/video/BV1Ni421r774,105.3万,851,Not Found,14.4万,4471,14.4万,3559,"['还是淘宝香', '美食', '美食制作', '甜品', '月饼', '创意', '美食', '教程', '美味', '中秋', '有手就会']",2024-08-23 20:00:00
【星穹夏日联欢盛典】告白,zd点仔ily,https://www.bilibili.com/video/BV1LM4m1Y7uY,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,['Not Found'],Not Found
《黑神话悟空玩家现状》,二师兄不好拉,https://www.bilibili.com/video/BV1kT421z7Gu,220.2万,782,《黑神话悟空玩家现状》,32.7万,5336,32.7万,1.6万,"['影视整活大赏', '影视', '影视整活', '影视剪辑', '搞笑', '孙悟空', '西游记', '黑神话悟空', '黑神话', '神仙剪刀手5.0', '黑神话悟空玩家现状', '当代年轻人']",2024-08-23 16:28:11
