土方十四郎：我去。
土方十四郎已收藏
她还是那么喜欢巧克力
今天是鸡蛋专场
这原来是曾舜晞的歌！？
原汤化原食
《奈雪的茶》
猪油不怎么腥
她拿了浣碧的木薯粉
QUASO（无端）
吐司：我免费了！！
土方：这就是甜菜
大家都被天才的创意震惊到了都忘记发弹幕了哈哈
BGM:Dehors(曾舜晞）
BGM：Dehors
是你，古希腊掌管蛋挞皮的神
我是植物学家，这就是甜菜！
滴了啊啊啊啊啊啊啊
《喜欢吃牙签》
曾什么曾，原曲是法国的好吧？
小晞！
人家唱了中文版 联动 ok？不知道别乱说～
夏目友人帐插曲哦
翻唱报听
恭喜接广
曾舜晞新歌！
粤语。。是这样唱的吗。。。
晞宝！
搜一下比利时焦糖饼干就可以搜到
发明小曲
你发明了世界上第一台空调
不会
BGM好评，有品
天才！
还以为我电话铃响了
可惜我一吃珍珠就反胃(＞＜)
是他吧，不是她
imase的歌！！
新西游记！
难她天
闪电泡芙？
！
就是这个茶包线，害我杯盖拧不紧，提起来就摔坏了。
松饼小队
吓得我突然发现没有关注。
虾滑被挤出来了。
是猪油拌饭！！！！
让他恰
让她赚！
勾使bgm
杯子是不是裂了
原汤化原食
这个我做过
喜欢牙签的留下最后吃因为好吃的要最后吃
曾舜晞的歌
天才
啊︖天才
这个也在我歌单里ww好惊喜
谢谢金主妈妈
小晞和原唱合作的双语版诶 超喜欢
哇小晞！！
粤语不伦不类的，毁了原曲
尕娃の小曲
这个饼干是肉桂味的
没见过腥的猪油
？
画风突变
我想吃这个
用椰奶做过
蛋挞皮炼金术士
天才
难，她，天？！
bgm最后的华尔兹
我是来听歌的
曾舜晞！！！
我操，这双厨狂喜，小晞的歌
原唱是全法语，加了粤语后多了点自由的味道
dehor
不如买英红九号
卡农
啊啊啊啊啊，奥利弗
这bgm拉低了视频档次
太厉害
天才
中法合唱版！
dehors
问题哈，50多片15包的话，为什么我不去喝两块钱一大杯的茶呢？（本人不追求精致，只追求实用）
蛋黄派做法，我当年有猪油的时候就狠狠试了。
有史放史
音乐好评
我是生物学家，这就是甜菜
mystery of love！
你管这个死面饼子撒猫饭叫披萨？
←果然 这个世界被喜人包围了哈哈哈
我是厨师，这是甜菜
哇，这状态一看就好吃
难她天？
BGM：爱乐之城
千与千寻！！！
这个饼干齁的慌
这个版本的法语是原唱唱的。。
难他天
?
等等 泡芙？
同款碗嘿嘿嘿
起泡胶
！！？
啊？
肯定不是中国人吃的
构思bgm
蛋黄酱是生的无菌蛋吧
土方十四郎有福了
老铁，你真的可以勇闯YouTube
bgm 《say hello》
这是电影以你的主题曲啊！！！！！
pasta!
正好我不爱吃蛋挞皮
为什么我们只能将蛋挞皮里面灌入蛋挞浆
天才！
夏目？哪来的夏目？
求——歌——名——
太会吃啦！！！！！
这个是真想要
刀哥，你头上怎么长草了
这进度条不简单
天才
春饼仙人
进度条惊人
754人。。。
知道我为什么会刷到这个视频啦
小晞的歌知道我为什么刷到了
小溪的歌！
让我们说：谢谢歌名侠！
bjm好评
天才
乱跑音游人↑
不敢想象这有多好吃。
王ok唱的炒鸡好听
这是王OK cover的city of stars
好想吃啊啊啊
[ohh]
。。。
luv sic pt3
请以你的名字呼唤我
猪油拌饭，呜呜呜老童年了
我有，我给你找找
换成其他的面也可以吧？虾滑搞成球
莫非你真是天才……
？！这一定是魔法！
903人。
不是曾舜晞的
果断关注
我是学生我先吃！！！
这个是真的好吃！
熬猪油要放点香料什么的才不会腥哦^O^
我都不敢想象这牙签有多好吃
两个最喜欢的bgm啊啊啊啊啊啊
好吧我错了这不是曲奇
牙签一定要开水捞过消毒哦
难他真？
舒肤佳老师！！！！！！
我做的话还会堆点芋圆
奈雪打钱！！！！
天才
我重生了
饼干泡雀巢的咖啡加纯牛奶好吃
@大家的养分
奈茶的雪
看过类似的做法
bgm狂喜
爱乐之城
瓜怂~
看着报吃
？明明是好听的啊，为什么说粤语的不好听？
446人出来
勾十bgm
去我收藏夹吃灰吧！
这真不是尘大师？
不敢想象这有多好吃
沙拉酱在现代只是一个酱料的统称，或者说一般指的是白色的沙拉酱，至于你真的放什么调味，随便
dehors！
是golden hour 前面说的不对
前面那个，真的像蛋堡
油是用 92 还是95的
这不爆杀白人饭
天才！
难道她真的是是天才
看到巧克力瞬间不想吃了
？
前面的焦糖饼干就是这个lotus 焦糖味很浓
刀哥你这个土豆拿开
mystery  of love...
这是什么花生酱呀
？
丝滑小连招
尤维苏特兰。
有幸吃过
刷到这个视频是有原因的，曾舜晞啊啊啊啊啊啊啊啊
我妈说他们小时候珍珠就是这么做的
她还是那么喜欢吃牙签。
泡芙！！！
天才！！！
土方十四郎来学习一下
羽贤酱喜欢的闪电巧克力泡芙！。
感觉要yue了
感觉粤语的有点怪
这个估计是养分看的鞋垫泡芙
卡农！
天才！！！！！
晞晞！！！
太腻了
学到了学到了，这个我好喜欢！！
牛
费牙
有品！！！
眼睛一下子就睁大了
"歌名是Mystery of love, call me by your name是电影名字"
sh
馋了
没有烤箱秒了
这个什么饼干
哈斗了直接
@绵羊料理
尕娃の小曲
安念真吾！
铜锣烧
有些还行，有些好疯
芜湖～BGM硬控
看着好甜啊
bgn就是时
嘉然学会做给马文杰吃吧
恭喜接广
你们爱听哪个版本关我屁事
这不就是烤粉皮，一点味儿没有啊
头像是罗恩唉
尕娃小曲
我寻思我也没眨眼啊
突然感觉以前的蛋挞都白吃了
？
青年大学习
呜呜呜，兄弟们终于吃上北京烤鸭了
这个就是曾舜郗和原唱一起唱的呀
天才
OK，凌晨三点，创造美食
同款杯杯～
、、、、
奈雪的茶打钱！
记得之前有这样吃巧克力冰淇淋的，也超级好吃
啊？
我是植物学家，这就是甜菜
这里好像剪开糖果！
这个奶很难喝，超市里没其他鲜奶了才买这个
这 ……锻炼咬肌
啊？
跑路姐的巧克力软糖…
这个饼干齁甜
水煮鸡蛋没啥味道，加咸鸭蛋怎么说
热量炸弹
卧槽！！！这样超级好吃！！！超级！！！！！！！
司马改编 回喷老子也一样司
温宜又吐奶了
这个饼干空口吃有点腻 还挺香的
两种最美味的食材 我天这该有多好吃
发明の小曲
天才啊
我的小说呢
天才啊
啊？！
新鲜猪肉又不腥
奈雪打钱
这个饼干叫什么
大哈斗
百万还不申请个小闪电
袋子我要了
ve～
我家有菠萝
甜菜
啊？
天才！
这个不是翻唱呀，有粤语部分听不出吗？和法语区别还是挺大的吧
私人改编
泡芙？！
我去！！！这么简单！！！！我要学！！！
每一步的发展我都意想不到
天啊！！！每个都不难，都好好吃的样子！！！！
每一步我都想不到
卧槽
太牛了
794人？！！！
额 额 额~终于吃上烤鸭啦…
请问用平底锅焖煎多久呀
刀哥の小曲
这是作者来中国开live唱的版本
焦糖饼干真的超级好吃
这是什么歌呀？好好听
BGM:Garden hour
这不就是20块钱3个的哈斗！
天才
王若琳吗
普通的不行，有专门耐高温的
这个饼干超好吃
《昏の红茶》
bgm:Dehors
恭喜接广！
小晞！
挖槽！
好想吃啊
范   式   ：起   源
我是厨师，这就是添柴
我是村民，这就是甜菜。
菠萝
惊世智慧
出音味来
阿婆是女生哦
蛋黄酱就是比沙拉酱多加了蛋黄，用蛋清做就是沙拉酱
胡仔难道是小食天才
牛批
种草油喷壶
知道了，要做珍珠
哇每次我都收藏
让她赚
让她赚
这个月饼看起来真的真的好好吃
豁，706个人
奈雪打钱！
触发连招
啊？？
golden hour！
奥利奥终于来了
进度条都快完了，奥利奥还不出场吗？
修—坤—！
底特律披萨
我是农夫，这就是甜菜！！！
南通的两种结果
沙拉酱就是用蛋黄酱加其他的做的
泡芙？
这么做要是没有冰碴up吃方便面没有调料包
酥皮蛋塔（）
晞啊
这熟悉的歌
这个看上去里面不太行
感谢金主爸爸或妈妈
up放的歌，全在我歌单上的 真巧啊
全在我歌单里的
我有烤箱我直接做蛋挞不就行了
减脂吃花生酱是吧，谁家外星人
雅~太雅了~
原来是闪电泡芙
恭喜接广！
请以你的名字呼唤我的书前面写着夏日终曲，所以其实说夏日终曲也没错啊
奈茶的雪
这个bgm，好，我知道我为啥会刷到这个视频了
唐歌
？？
我靠
不是翻唱哦  是和原作者合作的一首歌
不是翻唱  是合作
天才呀！
天才
bgm：One Of A Kind
我不敢想象这得有多好喝。。。
妈耶，好会做。
其实我最喜欢吃牙签了
city of stars的翻唱版
为什么不直接用面团呢？
这首歌是什么豪豪庭
天才
？天才
完了，遇到真天才了！
天才!
难她天?
巧克力哈斗！！！！！！
天才
人家前面写了耐高温保鲜膜
天才！
我靠，我以为有人给我打语音了（）
这是自制鸡蛋沙拉酱？
难道他真的是天才？！
1000多人!
晞晞!
披萨！！
啊
出音味来！
买不起
啊
啊？
泡芙
家里有拖孩
天才！！！
发明天才的人真是个胡仔
鸡蛋液不放柠檬汁会很腥
曾舜晞是联动啊……
我都不敢想这会有多么好吃
大家喜欢吃牙签的也可以留着哦
Garden hour
难道他真的是天才？
优雅
这个会咬不动。。
我嘞个夏目啊
山姆的吗
可以，正好家里剩点蛋挞皮
胡仔是女孩 别什么哥们哥们他的 你们有性别障碍？
？这是请以你的名字呼唤我
天才
这个不是原唱…
原曲是法语歌
请以你的名字呼唤我！
爱乐之城！
天才
bgm：mystery of love
这是以你的名字呼唤我啊
？天才！！
这首歌风格跟蛋堡好像
天才啊您
zhegeshapaizibingganya
珍珠原来可以这样做！
zayongde
hageZeiTianNiNi
naixue1banban
hagendeTaitianle
www
1000＋大馋丫头正在看
这个BGM令人想起帕梅拉的拉伸
恭喜接广
这个我妈以前买过!!!还可以滴!!!!!!!!
这个饼干真的很一般
不是夏日终曲吗……
啊啊啊啊
挂壁不一定会更好吃，但一定会更难洗！！！
BGM有品
保鲜膜要确认是耐高温的！
去吧，收藏夹
不能明星翻唱过就说是明星的歌
牛逼了哥 会生活的人
我觉得可以加点巧克力或者是蜂蜜，应该很好吃。
！
这个奶超好喝！！！
ai识曲
鸡蛋沙拉canole是吧
我的热量要爆炸了
我还以为不开火直接吃呢
啊！这个我会！
请加一点土豆泥吧，我出100！！
尕娃
哈斗！？
蜂蜜和葱不能一起吃!!!
啊？
曲对币有！
热量仙人，
我是烧火的，这就是添柴
以为歌单响了 bgm:golden time
这个饼干超好吃！
难他天？
反正我觉得原唱比这个粤语的好听
内娱追星粉还是尊重一下原作者吧。。。
，！……………………………………………………………………………………………………………………………………………………………………
奥利弗
请以你的名字呼唤我
天才
我服了关夏目什么事啊。。
啊？夏目友人帐里有这首歌吗没听过唉
我开弹幕了吗？
啊啊啊杀人啦
轩妈真的好好吃！！
能不能别ky啊，有点难受看你们刷的
bgm好奇怪啊…
关夏目什么事啊？我笑了
这个前两年是不是做过
City of stars好评
？！我超！
胡仔真的是天才
840人
天才
别乱刷梗，很没素质
没事，我喜欢吃牙签
艺术の小曲
添柴！
这个饼干真的很好吃！！！焦糖风味十足！
BGM有品！！
这肯定是披萨
不是曾舜晞的。。。。
这个小玩意针不戳欸！
nujabes
吃到蛋皮不会硌牙吗？
天才！
我也条件反射滑下去了
博主怎么发明的这样吃，天生美食脑
我要吃
啊啊啊啊我要吃
好像bayashi（先辈厨房）也做过
这是法语歌dehors
失踪人口回归
同款牛奶
夏目插曲个啥，还那么多人点赞
猪油拌饭
你看
难她倒
弃饼，食牙签
果然，蛋挞皮除了做蛋挞什么都好吃
真的很讨厌这个版本
bgm：city of star
605人？！
中法合唱啦
这个我初中吃过，真的豪赤
《出音味来》
不敢想象有多好吃
天才
天才
BGM:Golden Hour
天才
好听诶
Call me by your name
回来了
原作者人家是法国的，这歌也是法国人唱的歌，不是翻唱一下火了之后就是他的了，最讨厌翻唱的人了
BGM：Dehors
猪油拌饭特别香！！！
这bgm改成什么史了
蛋挞皮刚放过期就刷到了这个。。
混沌武士，你赞有了
gold hour
mystery of love
cmbyn
恭喜接广
BGM有品
王OK唱的city of stars
难道她真的是天才……
夸搜
艺术の小曲
由于看的太认真，根本没想起来发弹幕
才发现我还没关注
名字是myself of love
一个是沙拉酱，一个是蛋黄酱吧？
蛋黄酱是用生鸡蛋的
致死量的巧克力，好想吃！
这个最简单！！！！！✺◟(∗❛ัᴗ❛ั∗)◞✺
恭喜接广
我嘞个去五十块十五包？
这个饼干超好吃
这是法国作者自己在账号里发的，ok？
cannoli 鸡蛋三明治
自制哈斗！！
这是翻唱的
不是翻唱，是中法歌手联动，俩人合唱的。还有别讨论这个了，认真看美食把
此处BGM：アナログライフ
上一首歌刚好到高潮，结果突然换bg m给我吓一跳
这下真打钱了
mayo内子～～～
我超舒肤佳
阔颂~
放吉利丁片一定不要高温放，容易不凝固
古希腊掌管蛋挞的神
看的我好想吃啊啊啊啊啊啊啊！
可颂？！
珍珠还能这么做啊？？up好厉害
不是啊啊啊啊这个是联动 本质还是dehors
难道他真的是天才？
请以你的名字呼唤我
曾牛魔，追星追傻了吧
第二个不行，会有明显的颗粒感，不如直接用生鸡蛋蛋黄
@豆啦B梦 你的红豆火烧
啊啊保鲜膜可以放进去吗
啊？曾舜晞？方多病？
触发连招
BGM是什么
莫名其妙
熟面团+蛋液 泡芙？
