推荐先把二郎打残血，打败国王后一招再收走二郎
实测没有猪八戒也打不了，必须要在第一次和猪八戒一起去
正常扫图能找到，关键是你前两章碰到马哥第三章也会自己扫图找
盘丝洞地下监牢
《有些难度》
引诱它撞开那面都是佛像的墙，其实用幽魂头槌也行
看到第二个老鼠我就知道丸辣
应该就是午马，因为其他有寅虎辰龙戌狗
我觉得这游戏一周目适应游戏先通关，二周目再来过全剧情比较好
起猛了 听到p3的曲子了
猴的记忆
我嘞个五万个天命人呀
红温了
我的这里是一只鸡，打了一下他就进剧情了
我觉得它扔东西烦 一下来我给它秒了哈哈
纠错：不是击败最终妖王，是八戒跟你分开之后，所以拜四佛的任务要在打完之后再做，不然就会失去无量蝠
老马支线必然藏东西了，太不完整，第三结局应该跟他有关
大头守卫
红泪石戒指
真的好喜欢四妹啊，下一次大闹天宫就为了四妹
这个手给我吓住了，被老头环的手怪搞得ptsd了
主要是国王太小一个了，战斗的时候注意力都集中在二郎身上
洋葱骑士X亚历山大
错过啦，四妹叫我“快走”，我就听话的走了
白龙马是龙不是马啊
糜道人是最开始演示视频里的
幽魂很容易被击倒，逮着暴打就行了，不要一直躲
已经错过蝎子了哭死，先打了晦月魔君直接寄
暗示马化腾想收购天命人
配个铁丸泡酒直接无敌
特别好打的那个活阎王
第三章还有一个物品收集，浮屠灯笼怪，一共八只的样子，每层两只。全杀给个道具，杀掉魔将妙音就不会刷新了
主要是金片，没有金片猪不会带你去斯哈里国
马哥一直想救大圣
“有一个存档”指单局游戏只有一个档，回不了档（改文件或许可以）
其实。。还有灯笼怪，魔将打了，经文停了，错过了就只有下个周目了
可以先把二郎打残再杀国王，不然狂暴后二郎不好打
幸好我打黑熊精一直死，导致现在还没开第二章
小黄龙是我第1个初见杀的，数值给的很好，但当我发现离得远，以后交互会变蠢，就知道该怎么打了
主要是全部精魄收集，有成就呀
这个我第二章很快就遇到多，我还以为是必打boss，我第一次先打死他爸 他直接变成神金狂暴。。
马面吧
这里有个特别好打的boss小黄龙，打死还可以做飞龙棍，过了这周目就没了所以要在还没打百目的时候打
这里记得跟旁边的互动点互动一下，你会回来感谢我的。
可是我真的不想杀她
盖亚我就说第四章小怪的服饰看着要打糜道人了结果通关了都没遇见
不是必经之处，百足虫有两个入口，不一定要走花间桥
猴的记忆
↑没八戒照样可以触发，这里八戒到了山顶，我还没去极乐谷
和隐藏不搭边，用幽魂化身就能撞
这个BOSS是最难的几个之一了
猫火
这时候千万不要先上菩提山，带八戒要先去打无量幅
猴子也要登月了是吧？
无量蝠还好，仔细听八戒说的话先去找蛇将尸体就能遇上
小黄龙打了12次过的，用好铜头铁壁就是打仔，这游戏难度真的很低
这个要带八戒，八戒离队了也没了
十点不少了，前期总共就四十点
用幽魂就能砸墙
“休要伤我爹爹”
害怕虫子，疙瘩都起来了
第一个还真错过了，蝎太子也没打
我当时觉得杀国王辅助打的太烦。就提前集火秒了他。没想到还有这种设定。
这里背后的墙打碎就是隐藏道具，第一，二章瀑布有隐藏BOSS
有自动存档的
从雪山滑下去之后好像就没了
这里建议先把沙二郎打残血了再打沙大王
直接重击也可以让他下来
可以先把二郎打到残血再去杀国王
ps端落泪
谁的记忆？
uu还是贵，不如用电脑备份
已经没了，二周目吧
第二章还有一个：打大郎的旁边有面墙，用冤魂撞一下会开个口子，可以进去打龙
建议先把二郎血量打底再杀国王
建议先把二郎打残
二周目，启动！
steam 本身就可以。
撕了符，四妹就被鹤老贼炼金丹了，宁愿不撕
我风灵月影宗门弟子怕过谁
私人音乐
有些东西是不是只玩过老头环
是马化腾么？
为什么弹幕这么多菜还出来叫的，不多想想该怎么打吗
我二次就过了
ps端，配个u盘也能本地存档
这里走坠龙崖比较快
我直接带八戒把两边的蝙蝠和龙都打了
为什么我和八戒一起打过无量蝠后收取却没有
先压血线戈门
建议先把二郎打残血
已经错过了QAQ，不过打完黄梅东西会直接到包里
这个一般，正常打了刚才那个大头也用不上这个
大郎旁边墙大郎会撞开的
吓死，自己随便打的，因为国王血少直接先打死的，完全不知道，差点错过
我这里摔死几次之后就不想过去了
毒敌大王也很重要，别让晦月魔君打死
我以为打完逃跑然后被沙大郎吃掉是剧情
如果先去假弥勒和八戒分手后，独自来这里，无量蝠点击就送。
不先杀国王是没有沙二郎的精魄的
一个幽魂基本可以用到底
谁的记忆
已经错过了
这个我没有，直接打掉老二了，拿不到了
这个精魄可有可无
没打到呢先不看了
啊
Wegame咋办。。。
小黄龙来咯
幽魂2周目吧
你的记忆
先把沙二郎打残~要不然沙国王死了 他会狂暴的~
大力水手厉害
马哥已经聊第三张都聊完了
