箱子里面人太多了，俗称维尔汀或者司辰的箱子（不是）
他的箱子里可以不装任何东西呀，理论上来说应该不累
维尔汀的箱子（bushi）
磁悬浮箱子（）
举轻若重可比举重若轻难多了
不稳
卓别林
《行为艺术》
真正的行為藝術
帅
妮可老大
v2t的箱子！！！
牛蛙牛蛙
不会有人看不到抓着箱子的替身吧
爱好者水平，赛博儿子还吹上了
这么重还浮空是吧
周围的好心人纷纷上前帮助
啊？
前面的说错了，应该是张霜剑，叶逢春不会肢体
这人真的好厉害啊，这默剧这个效果真的，谁是他师傅？难道自学？
维尔汀的箱子
真功夫这是
不是不是，真的很牛
这里还好，后面就开始要么用力过猛要么不敢用力，有点不够自然，其实已经挺好的了doge
很好看
好牛
都看到青筋了
艰难的收藏家正在劝动桃瓶
这里居然还有收藏家(ﾟ⊿ﾟ)ﾂ
欢乐喜剧人的叶逢春
如果他放开后还停在空中我的小脑会萎缩的
这核心力量厉害啊
好有动态感啊，这个真的厉害
握草好牛逼
坏了我现在觉得箱子周围有空气墙
真的很酷
6
疑似模仿卓别林
好活
臂力惊人
箱子有神器
????幻术吗
????
牛逼，根本学不来
oh～麦G克
这种表演是可以上台面表演赚钱的，你以为
维尔汀的箱子（
大爷：让我看看怎么个事
这种不都是默剧表演的吗？
箱子会抖还得练
空の箱
后面大爷穿了65军装
离谱
现代卓别林
鹈鹕吃了所有的人
网卡了
难道这还不厉害吗？
后面有人跳舞！
上过央视的小品
神金看什么都觉得是神金（乐）
协调的好厉害啊
牛逼卧槽
苟拉线原理
啊？魔法？！
大爷：让我看看怎么事儿
这个是真厉害啊
小汤师傅爱跳舞
好厉害
行为艺术
山姆记得安装外骨骼
《虚》
哈哈哈哈好有意思
卓别林的艺术太超前了
这还不稳？要的不就是这种悬浮感？有没上下左右移动。只是摇晃
围观的人逐渐变多）
厉害啊
《加密箱》
Primary part和weld没有绑定好
有点东西啊
我不敢想象这人的小脑有多么强大
大爷:我看看怎么个事？
雷神之箱
不大行，箱子在轻微的上下晃
大叔看呆了
前面对行为艺术是不是有什么错误了解？
演得不错啊
后面几个大爷跃跃欲试
大爷爱看
牛犇
后来有人似你三分，我便慌了神
大爷：嗯？我活这么久还没见过此样稀奇
这是哑剧吗
里面装的核燃料吧
高底给他留俩钢镚
小臂肌肉很清晰
卧槽，牛哇
后面大爷:哎呀你曾爷爷的给我干哪儿来了，这还是2024吗
后面大爷：让我瞅瞅怎么个事
好强的控制力
疑似卓别林附体
这核心力绝了
卓别林转世
陀螺里面有
这箱子很轻。
这是维尔汀的箱子
好活，好重，里面是被幽魂打死的猴子吧
装了个中子星进去吗
大爷：卧槽？
开了
仔细看他的小臂肌肉，是大佬
大爷进攻中
初见端倪
行为艺术
哑剧演员
啊？
可以
后面有一位同志
继承了卓别林的衣钵
说不稳的你来？
好灵活的肢体控制力
箱子里面是大冰
卓别林
嫉妒才华
这是哑剧吗？
无陀野的箱子(doge
观战席内：盒子里面装了金子吗？
我怎么刷到这视频的？证明我平时看的都是有趣的
大爷:闹鬼了
最后应该拿起箱子就跑
核nm
好看
有意思
《卓别林转世》
卓别林
好厉害
经典默剧啊
卓别林
如如不动
666
厉害
这人有实力啊。
Chaplin
紫气御鼎—举轻若重
太稳了
这水平还差点意思
人形稳定器
别动不动就抽象，你自己试试去
不要钱嘿
哦哦哦卓别林！
螺旋加速器
某种意义上来说还挺厉害的
痔疮
有水平的
好牛逼的小臂
《箱子特小号》
卓别林淹过这个
这是维尔汀的箱子
送货员的箱子装满了（）
杂耍表演
大爷大妈都爱穿蓝色
卓别林
好强的核心力量
神之演技
模仿的国外一段视频哈，但也挺熟练的了
卓别林
大爷：什金
当其他人来提v2t的箱子时
怎么哪里都有司辰啊（
人类抽象行为
6
最后这一下很有感觉
提不走，但是提在空中
这肢体控制能力
这箱子挺晃了，比不上原版，但也很强了
围观的人好少
卓别林附身
应该不是核心，这是协调性好
我生怕他下一秒松手然后箱子浮空
试试放手
卓别林
后面的老大爷：不行 这个我要站起来看
核心怪快出来
实力
大爷是老兵吗？
我嘞个默剧
后面的主角快登场了
666
e人的世界真好
太强了
街头艺术家！
能这么玩的都是高人。
卓别林
大爷：woc这年轻人
说三脚猫功夫的有本事你演一个↑
哇，这个臂力这个核心。太牛了，我好羡慕。
引力弹弓加速（）
美队：第一次捏锤子我也是这么演的
大爷：啊？
行为艺术
见过一个老外表演的
是叶逢春吗
请做出物体的受力分析
我听说有两个美女在跳舞我又回来了
啊？
666
少鹿几发吧
老红军来了
空之箱（
后面有两个美女在跳舞。
我猜那个箱子是空的
老人：我看看怎么个事
想到了《邦尼和琼》诶
大爷：我看看怎么个事儿
他真的能演出那种用力的感觉
赛博？鬼打墙？
空气墙（doge）
哑剧
看得出来惯性很大
两根手指拎一个箱子，稍不注意这箱子就掉了
大爷：这人没事吧
？？？
牛蛙
v2t的箱子
这箱子都活了
省流:这人是真牛
大爷：我看看怎么个事
我的钱包
哑剧高手
6666
啊？？？
好厉害
有操作的呀
吸引了几个老头
陈它不注意，一下子拉走就好啦
绕着跑步还第一次见，真的牛
完了，我中幻术了
稳定器.jpg
卓别林的默剧也有音乐，摩登时代里甚至配角有台词，就卓别林没有而已
核心科技
初见端倪
路人:神金
汤师傅会的是真多
这演技
如果换成黑白画质再把声音去掉就是卓别林的默剧了
太强了
大爷：让我看看怎么个事
好强
核心组发挥稳定
？
行为艺术
这箱子里装的是我的钱包
哑剧大师
好强
街头表演！
好稳
牛哇
牛逼！
挺稳
有操作的
大爷：我来帮你！
太强了
牛逼
这水平，已经能上电视了
《卓别林》
默剧大师
强大的力量
啊？
大爷：我来看看怎么个事
周润发牛的
箱子要是保持不动就牛逼了
举轻若重
好厉害
这还不够稳呐？
有操作的呀
大爷看的一脸懵比，好像上去帮这小伙子提一下
我肩膀已经脱臼了
箱子有器灵，器灵不悦当然走不了
牛逼
旁边的大爷们都在看热闹
行李箱藏尸案
牛啊
我去，大龙潭
假的吧？起码象假的
牛逼
箱子很轻，但是这手很稳
这核心牛逼了
厉害
厉害了
首先箱子一定要轻
默剧
开场以为要铁山靠
看这哥们的小臂
nb
虚空箱子
NB
牛逼
小黑子
真牛啊
厉害
太牛了
这哥们是真有实力
牛啊
厉害
厉害
厉害啊
好厉害
封面铁山靠
后面的大爷笑嘻了哈哈哈
给这群小老头看懵逼了
我去厉害啊
专业
看懵仨老头
有实物表演经典教程
牛逼，这核心力量大佬
举重若轻易，举轻若重难！
这控制力，牛的
别人:申金吧
6666
大爷看乐了
两分钟，热乎
