道理我都懂，可是猴哥为什么不穿鞋子？
李星云
大帅是你吗大帅
八戒套装
冷面小青猴
搁腾讯，一套衣服198
漂泊悟空
奇迹猴猴
桃塔罗斯！
腥红之月？（）
定身棍花流 专属
奇迹吗喽
我嘞个灵吉菩萨
唯一真神！！！
直接成boss了
磊哥同款
冷面小青龙（确信）
红面小赤龙
这套放米哈游没有大保底下不来
羽士套超帅的
超喜欢这套，倒三角身材
这套黑色真的帅
真神！
锁子黄金甲
大力和大圣套装是同系列的吧
我喜欢这套有个披风
唯一真神
恭迎大圣！！！
玄铁在造梦是材料
这个也帅
这个帅
齐天大圣
唯一真神
大圣！！！！
大圣！
《牛魔王》
全体起立！！
少一双藕丝步云履
孙行者
唯一真神
唯一真神
这个最帅，还带个小披风
大圣
唯一真神
贝奥武夫
哇，我要最后那件，最帅！
别的没法比这个
秒了秒了
无敌了。。。
拉亚斯特
能不能给俺老孙来双鞋
地狱之眼
牛魔套我愿称其为最强轮椅套
这套应该有鞋呀
你知道我在等什么
不给配鞋吗
凤翅紫金冠 锁子黄金甲
这个霸气
盾构笑死我了
帅炸了
帅帅帅帅帅帅
唯一真神
帅帅帅帅帅
丝绸时代的恨意
黑神话时装秀
豪华版谢礼
这套帅
全体起立！
全体起立！！！！！
半面，好酷
唯一真神
大圣套最帅，毫无疑问
唯一真神
文武袖
换腾讯游戏一套就得268
百戏其实很帅 但头饰我不喜欢
以悟空之名
这套漏毛毛，感觉毛茸茸的，萌
真大圣套呢
吕布
唯一真神
平天大圣！
唯一真神
来了！
还有真大圣套装呢
这下看懂了
这个真的很邪很帅
最喜欢夜叉套
我还在等。。。
夜叉套是真的帅
夜叉套是真的帅
最喜欢的
这个面具我觉得特别帅
这个好像浪人，帅的一批
这个帅
夜叉最帅
李星云啊
猪套
全体起立！
这个最帅我超爱
我觉得设计鞋子挺好的，光着脚跑丛林，跑沙漠，跑冰天雪地，跑蛇虫鼠蚁，跑熔岩火山的，我看着都脚疼
游戏里还有一套不一样的齐天大圣
Diablo
别名，棍花套
那必须这个！
唯一真神
龟仙人
帅
唯一真神
轮回大圣哪
唯一真神
头戴凤尾紫金冠，足登藕丝布云靴，身披锁子黄金甲，手持如意金箍棒
帅
！
真神出场
还是大圣套最帅
这套用的
这个帅啊
大圣残躯特攻套装
苍角，到
唯一真神
都很帅
最喜欢的一套
神中神
唯一真神
唯一真神
朴昌骡出列
阿萎骡跪下
大圣！！！！！
唯一真神！！！
有点帅的这一套
唯一真神
卧槽，我得站起来，哦不，我还是跪着吧！
苍角（不是）
这套是纪念86版前期的那一套吧
等靴子mod
这衣服回血，是最适合中期升起来推图用的，打小怪伤血不用喝葫芦
龙战于野，其血玄黄
这个是真帅
挖槽！！！！！！！太踏马的帅了！！！！
神踏马冷面小青猴，笑死了
zhe赭黄
行者套神中神
沙师弟套装
卧槽，真有大圣战甲
穿模了
说是这套是假的，真的有鞋子
毛毛流套
帅
唯一真神来了
帅的亚比
唯一真神
目前最好看的
中看不中用
少双鞋
汤饺，到！
唯一真神
出奇迹
虎哥不妙套
恭迎大圣！！！
真神
闪耀空空
唯一真神
唯一真神
这个最帅
唯一真神
这个这个这个！！！！
大圣套没有鞋吗
天命人都快烦死了
一直用这套
不良帅
酷
这个也帅
这套帅啊
唯一真神
奇迹猴猴
最喜欢这套
恭迎大圣
这个后面的飘带好看
唯一真神
江湖悟空
奇迹空空
《奇迹猿猿》
斗笠太帅了
唯一真神
要来立！
唯一真神
黑神话的秘密
有没有虎皮裙
这不天海吗
广智：干什么？一直在我家门前徘徊。
好帅
大圣！！！
不良人装
时装秀
牛魔王套
牛魔王套是吧
猴子时装秀
赵子龙套装
黑神话时装秀
跪了
全体起立！
好帅
这个帅
唯一真神
奇迹行者
原皮孙悟空
毒套强度感觉一般
奇迹悟空
这个nb
唯一真神
能变成人时候吗
帅！！！！
唯一真神
真神
唯一真神
这身好帅！！！
唯一真神
你这里没把升阶后的展示出来
有些套装升阶后样子会大改，像行者套
要来力！！！
真神登场
头戴凤尾紫金冠，足登藕丝布云靴，身披锁子黄金甲，手持如意金箍棒
SHUAI
唯一真神
真神
齐天大圣孙悟空！！！！！！！！！！！！！
最绝最顶的齐天大圣
唯一真神
帅
行者升满级很帅
唯一真神
嚯，这小虎皮裙
武器没换啊
大圣不喜欢穿鞋呢？
大圣有靴子的啊
←在花果山上的一个宝箱里
黑风那套很不错
巴黎猴
不良帅
最帅的一套
水猴子！
头戴凤尾紫金冠，足登藕丝布云靴，身披锁子黄金甲，手持如意金箍棒
前方高能！！！！！！！！
