大伟哥雷姆了
星轨王城的小曲
这个仆人哈哈哈好激动
没有哦，我没有在你背后贴贴纸～
纳塔见！
我永远都在！大伟哥加油！米哈游加油！我永远爱你！！！
我相信噼里啪啦的清汤大老爷也永远不会放过任何一个好人，永远不会冤枉任何一个坏人。
希望这个游戏能火到我长大长大我一定要去亲自看一眼。建模真的好还原
热心市民金先生被邀请上台(
衣服上的是现场大家送的无料，是临时挂的
准备好“砖石镐”好随时挖掉刷怪笼
第三天入场引导的志愿者嗓子都哑了，辛苦啦
这难道就是传说中的！王离月干年吗！哈哈哈哈
仆人好激动啊
大伟哥加油！
放饭啦！大家快冲~（不是）
堀堀子超级可爱啊啊啊啊啊啊！！！
呼叫巡海游侠！
啊 是临场啊
我这也算是电子去过了……
去过的都知道到底有多好玩
看到了，小姐姐屏保是克洛琳德
名 场 面
托帕(doge）
《这和说好的不一样》（doge）
登录小曲DJ版
身价百亿の走姿
好有意思啊，别给我看这么有意思的画面，我嫉妒我去不了。
巡海游侠准备施工
被官方取材了（doge）
白祇重工(
插个火把，防止刷怪
七叶寂照秘密主好大的排面（doge）
感谢所有为这次活动付出的幕后工作人员
志愿者们辛苦啦
米哈游，一款年轻人的整点报时器
原神也是我的精神支柱之一，不管是剧情还是音乐，一定要坚持下去啊大伟哥！永远支持！
原宝加油！
这个公爵立牌最后变成双马尾了233
懂了，星铁land第一天是试运营：（
这会不会被有心之人截图下来说是皮套
仔细看，有好几个旅行者开始扁嘴了
@小鸣同学
啊逆亩
巡海游侠，集结！
我是学生党我没钱去不了上海
支持原神的一切决定
上一次哭之后崩三六连s
希望真的如你最后说带来全新的开始，日后见分晓（fes现场参加还是不错，游戏内剧情还需斟酌）
三度泪目
带散兵徽章怎么了，就算大伟穿着散兵的衣服上去又怎么样
花铃   多多
龙哥，包包
真是阿桑啊
投湖
纳塔见
纳塔见！
纳塔见！！！
看他上台好想流眼泪
纳塔见！
翠翠！！！
纳塔见
云先生！！！！！！！
辛苦了
哈哈哈凌乱的斑马老师
纳塔见！
酷
纳塔见！
纳塔见！
快哭！！
你猜为什么没有来
崩三周年庆也来一次吗
泪目了
纳塔见！
鳄鱼的眼泪
纳塔见！
绳匠
纳塔见！
纳塔贝！
散兵大人，我喜欢你
泪目了
哈哈现场这段我在三馆都能听到4馆的笑声
龙哥啊啊啊啊啊啊啊
这次，我可以自豪的说，在现场
纳塔见
纳塔见！！
纳塔见！
纳塔见，各位旅者
纳塔见！
明年见！！！
跨越尘世 于此相聚！
志愿者们辛苦了
那个维护反米二创的巡海游侠？算了吧，别帮倒忙就谢天谢地了
纳塔见！！！
納塔見
蕾姆
纳塔见
纳塔见！
加油！
纳塔见
高三牲实名羡慕
1mo多多！
这个这个纳西妲是1mo多多
加油！
纳塔见
辛苦啦
纳塔见！
加油！
真的就是临场发挥啊！
好细心啊，活动编排真的很复杂
我的别墅啊，呜呜呜呜呜
我曾三度哭泣
纳塔见
纳塔见
加油原宝
纳塔见！
啊？原神官号！？
琛琛可爱捏
xx游戏，用心创造快乐
纳塔见！
加油 希望大伟开心一点
巡海游侠，到！
纳塔见！
好想拍左边岩龙的肚皮
纳塔见
纳塔见
纳塔见
纳塔见
加油！
明显老了
纳塔见！！！
大伟哥！！！！感谢米哈游做出这么多这么好的游戏让我玩！！！
为什么派蒙的工作笔记里发的今天的合照是低角度拍的，看不到观众啊
我也想听呜呜呜
风与飞鸟！
好多旅行者发现了，还给他送了好多东西
mihoyo总裁的魄力
是呼呼飞车
！！！！！！！
线上直播没有这一段啊啊啊啊
叫我开拓者（bushi）
66666
好多人啊
辛苦啦！
