标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
《原神》纳塔交响音乐现场,原神,https://www.bilibili.com/video/BV18E4m1d7b7,404.9万,2.6万,"本次纳塔交响音乐现场包含《纳塔 Natlan》与《苍原的颂灵歌 Anthem of the Savannah》两首由HOYO-MiX出品的《原神》游戏主题音乐，由指挥家Robert Ziegler、伦敦交响乐团、London Voices合唱团、Vocal Shack合唱团和民乐演奏家们共同演绎。
 ‌
感谢TAKEOFF Studios的协作支持，感谢Stagecast提供的拍摄制作支持。
 
========
 ‌
《纳塔 Natlan》
作曲：苑迪萌（HOYO-MiX）
 ‌
《苍原的颂灵歌 Anthem of the Savannah》
作曲：王予曦（HOYO-MiX）",33.8万,35.3万,33.8万,5.1万,"['音乐', 'MV', '原神纳塔', '米哈游', 'miHoYo', '原神', '原神音乐']",2024-08-16 18:00:00
纯黑《黑神话：悟空》全程无伤攻略解说 第一期,-纯黑-,https://www.bilibili.com/video/BV114421U75X,568.3万,5.5万,"这不得三连支持一下！
视频录制于发售前版本，不保证后续更新后和视频里的内容一致。
质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。",43.4万,37.7万,43.4万,13.0万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '悟空', '纯黑', '解说', '攻略', '无伤', '黑神话']",2024-08-20 10:00:00
活字印刷,谢大炮8,https://www.bilibili.com/video/BV1ir421K7he,188.2万,6292,活字印刷，中国四大发明之一，一起来感受中国传统文化的魅力！,44.2万,20.1万,44.2万,6674,"['一起上岸吧', '生活', '三农', '原创', '制作', '设计', '手工', '艺术', '记录', '活字印刷', '匠人', '古法', '哔哩哔哩开学季']",2024-08-17 17:41:18
《坦克模拟器3》,马鹿blyat,https://www.bilibili.com/video/BV1Qr421M7Xs,281.4万,5303,《坦克模拟器3》被官方催更出来了，感谢《坦克世界》的大力支持。8月20日是《坦克世界》的周年庆，官方有大力活动；感兴趣的小伙伴可以在浏览器中复制这条链接入坑👉https://urlqh.cn/sRHtO,41.9万,11.6万,41.9万,6.3万,"['科技', '极客DIY', '坦克', 'DIY', '搞笑', '游戏', '坦克世界', '模拟器']",2024-08-20 08:00:00
据说 今天不少外国网友都在打听一只“猴子”的身世~,央视新闻,https://www.bilibili.com/video/BV124421U7Hp,318.4万,4256,Not Found,53.4万,5.9万,53.4万,4.8万,"['游戏', '单机游戏', '西游记', '黑神话悟空', '文化输出']",2024-08-20 17:12:21
时隔二十年终于合体啦#超兽武装#陈洁丽#刘罡,Lily陈洁丽,https://www.bilibili.com/video/BV1DH4y1c7JF,128.0万,2507,Not Found,22.3万,16.5万,22.3万,1.4万,"['音乐', '原创音乐', '#超兽武装', '#陈洁丽', '#刘罡']",2024-08-18 20:49:06
独家对话《黑神话:悟空》制作人冯骥｜“踏上取经路，比抵达灵山更重要”,新华网,https://www.bilibili.com/video/BV1Gi421a74W,175.8万,1.7万,“踏上取经路，比抵达灵山更重要”｜《扬声》第三期：张扬对话冯骥,16.5万,10.3万,16.5万,3.8万,"['推荐宝藏游戏', '游戏', '单机游戏', '游戏杂谈', '单机游戏', '黑神话悟空', '纪录片扬声', '张扬对话十二行家', '踏上取经路比抵达灵山更重要', '新华网']",2024-08-19 18:35:00
如何错过两次金星奖章？【小约翰】,小约翰可汗,https://www.bilibili.com/video/BV1h1421t7Fc,160.5万,1.9万,本篇为小约翰之亚历山大·法丁。,15.7万,7.5万,15.7万,4201,"['坦克世界周年庆2024', '知识', '人文历史', '坦克', '德国', '历史', '人文', '坦克世界', '战争', '知识', '苏联', '世界史']",2024-08-20 11:11:05
老牛舌头太诡异，吓坏养牛户，我爸深入老牛口腔摸索，结果被震惊到了,龙腾虎跃龙兽医,https://www.bilibili.com/video/BV1Er421M7rA,390.5万,2676,Not Found,34.1万,8.1万,34.1万,968,"['了不起的新农人', '生活', '三农', '开启暑假的100种方式']",2024-08-17 19:17:57
《黑神话：悟空》全流程、剧情讲解梳理、4K最高画质攻略！【第一回：火照黑云】01,紫雨carol,https://www.bilibili.com/video/BV17Z421K7ib,305.6万,2.2万,本次攻略的视频制作思路和法环相似，但在解说方面除了必备的攻略讲解以外，我还会结合《西游记》原著来讲解和分析剧情。由于目前游戏刚刚发售，查不到任何资料，而游戏的隐藏要素又很多，我一个人能力有限，如有遗漏，请大家多多包涵，也欢迎大家在评论区留言指正，查漏补缺。,10.5万,5.7万,10.5万,2.6万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '国产游戏', '孙悟空', '西游记', '紫雨', '黑神话悟空', '黑神话', '紫雨carol', '游戏科学', '黑神话攻略']",2024-08-20 10:00:00
90后第一次割包皮却被老板和同事围观？,亿点点不一样,https://www.bilibili.com/video/BV1RE4m1R7Pm,128.0万,1.5万,什么样的包皮需要切除？割包皮的全过程是什么样的？这期视频中，我们将通过志愿者实拍加科普动画，来看到包皮手术的全过程，让观众对割包皮有更全面的了解。如果这期视频对你有帮助的话，别忘了点赞投币，也欢迎分享给有需要的朋友～,16.0万,7.2万,16.0万,4.2万,"['每天一个健康知识', '知识', '科学科普', '健康', '科普', '知识', '男性', '科学科普', '包皮环切', '医学影像', '万物研究所·夏日探索计划']",2024-08-20 17:00:00
全网最“外行”《黑神话：悟空》试玩？别急，还有全球首发Boss,新华社,https://www.bilibili.com/video/BV1AS421d7be,238.0万,7892,跟着《黑神话：悟空》策划负责人看青背龙Boss怎么过，但这次眼睛也没学会……,18.1万,3.1万,18.1万,3.9万,"['资讯', '热点', '国产游戏', '专访', '西游记', '纪录片', '黑神话悟空', '黑神话悟空青背龙boss全球首发', '新华社', '张扬', '扬声', '冯骥']",2024-08-19 13:45:51
黑神话：悟空  4K全流程,籽岷,https://www.bilibili.com/video/BV1Jx4y14798,253.9万,2.3万,https://store.steampowered.com/app/2358720,12.7万,3.8万,12.7万,1.6万,"['推荐宝藏游戏', '游戏', '单机游戏', '西游记', '孙悟空', '籽岷', '全流程', '4K', '悟空', '单机游戏', '黑神话', '动作游戏']",2024-08-20 10:00:00
转场合集5,Tiger西西,https://www.bilibili.com/video/BV1SE4m1R7Uu,353.1万,1164,转场合集5,20.4万,7216,20.4万,2044,"['美团外卖神抢手', '美食', '美食记录', '吃货', '厨艺', '美食圈', '搞笑', '美食vlog', '转场', '沉浸式']",2024-08-19 18:17:02
哥！我着急下班呀！,羊羊Actress,https://www.bilibili.com/video/BV1Hi421a74W,378.8万,736,-,29.2万,2407,29.2万,1737,"['影视', '短片', '正能量', '职场', '生活', '下班', '零零后', '服务员', '吃饭']",2024-08-18 17:47:03
最难出来的一集...,呱唧菌,https://www.bilibili.com/video/BV1Nf421B7NP,744.1万,5234,Not Found,34.9万,2.7万,34.9万,1.5万,"['生活', '搞笑', '高能', '搞笑', '鬼畜', '呱唧', '段子']",2024-08-16 19:30:00
啥!我来cos黑神话悟空?,魔改丶老K,https://www.bilibili.com/video/BV1SW421X7Lk,225.5万,2145,这次cos体验还是挺不错的，虽然没有我大甲累，但是他的面罩是排不了汗的，毕竟第一次cos猴，下次如果还有机会继续体验~,26.5万,1.6万,26.5万,6428,"['生活', '日常', '孙悟空', '手工', 'cosplay', '黑神话悟空', '拓竹科技', '天命人', '拓竹']",2024-08-17 18:05:56
绘黑悟空 魑魅魍魉,MEspace天植,https://www.bilibili.com/video/BV1jE4m1d7LQ,107.0万,969,-,30.1万,9.7万,30.1万,9667,"['一起来画画吧！', '生活', '绘画', '原创', '绘画', '绘画过程', '手绘', '孙悟空', '游戏', '西游记', 'mental canvas', '一起来画画吧！暑期绘画逆袭之路2.0']",2024-08-17 18:04:32
高压线掉落 跑得越快S的越快,救援队长郭台伟,https://www.bilibili.com/video/BV1ar421M7KY,96.0万,1742,高压线掉落，我们为什么不能跑，我们又应该如何保护自己，奔跑远离是我们下意识的动作，但是这样做却是最危险的,15.5万,3421,15.5万,5511,"['知识', '野生技能协会', '知识', '高压线', '救援', '技能', '触电危险']",2024-08-18 18:20:23
探秘法国奥运会！冠军庆功宴！都吃什么？,HOLA小测佬,https://www.bilibili.com/video/BV11M4m1y7Sz,451.7万,6491,探秘法国巴黎奥运会，奥运冠军都是怎么庆祝胜利的？庆功宴上都吃些什么？那今天就跟小测一起！登上奥运冠军广场上的埃菲尔铁塔！一探究竟！,12.5万,4.0万,12.5万,5155,"['运动哔计划', '美食', '美食侦探', '奥运会', '试吃', '4K', '法国', '美食', '测评', 'X4全景相机', '探店', 'Insta360', '开启暑假的100种方式']",2024-08-17 18:30:00
通关了《黑神话：悟空》后，简单锐评一下幽默的西方游戏媒体评分。【游戏之外】,智能路障,https://www.bilibili.com/video/BV1uz421B7ef,781.5万,2.6万,Not Found,37.6万,18.6万,37.6万,3.7万,"['黑神话悟空UP试玩感受', '游戏', '单机游戏', '黑神话悟空', '黑神话']",2024-08-18 10:07:56
《🤩》,LandenPurifoy,https://www.bilibili.com/video/BV1Zy411e7BM,523.4万,581,➪ Landen Purifoy,38.3万,1216,38.3万,647,"['音乐', '演奏', '箫', '高能', '独奏']",2024-08-17 20:22:07
【命硬的小裴本人】最新视频来袭，快来看看吧！,命硬的小裴本人,https://www.bilibili.com/video/BV1zf421v7sK,195.2万,1869,-,20.1万,4398,20.1万,3362,"['B站小剧场', '影视', '小剧场', 'VLOG', '短片', '原创', 'B站剧情创作人2.0']",2024-08-18 17:10:11
17年后，依然是我一人在对抗全日本,玩主小小虫,https://www.bilibili.com/video/BV1SE4m1R7gy,153.3万,6497,"脑子一热就开始想做一期视频
做起来了就不想停下
格斗圈不是我多擅长的领域
所以描述肯定还会有不少失误，还望各位圈内人士海涵
很多地方因为匆忙还是剪的比较粗糙
但已经尽我最大努力了
再次恭喜肥孩拿下这座史无前例的冠军！",9.5万,6.5万,9.5万,8832,"['整点电子榨菜', '游戏', '单机游戏', '游戏集锦', '街霸', '街头霸王', '游戏杂谈', '格斗游戏', '怀旧游戏', '街机游戏', '街头霸王6', '格斗赛事']",2024-08-18 17:41:11
摆摊真的比上班强嘛…3.0（配方版）,小杜的日记,https://www.bilibili.com/video/BV1nb421J7QS,144.7万,555,-,6.5万,5.1万,6.5万,6791,"['记录我的美食日常', '美食', '美食记录', '生活记录', '提拉米苏', '创业', '探店', 'Vlog', '开启暑假的100种方式']",2024-08-18 18:54:59
逗逗先生入驻哔哩哔哩,HelloMrPea,https://www.bilibili.com/video/BV1qU411U79B,88.6万,927,Not Found,35.7万,1.0万,35.7万,1174,"['搞笑研究所', '生活', '搞笑', '搞笑研究所2024 5.0']",2024-08-20 09:33:46
老戴《黑神话 悟空》01 序章 【全流程攻略解说】,老戴在此,https://www.bilibili.com/video/BV1iy411i7ab,214.8万,1.3万,见证历史,7.9万,4.4万,7.9万,2.5万,"['黑神话悟空攻略在此', '游戏', '单机游戏', '全收集', '攻略', '解说', '老戴在此', '黑神话悟空', '全BOSS', '流程']",2024-08-20 10:00:00
《坏了，这次要寄了》,凶鸭栗,https://www.bilibili.com/video/BV1RZ421T7fZ,143.1万,865,"《SOS》坠机的下集，荒岛历险!
上集链接：https://www.bilibili.com/video/BV1pT421X715/",16.7万,5485,16.7万,2974,"['原神UP主激励计划', '动画', '同人·手书', '原神纳塔', '玛拉妮', '原神', '原神UP主激励计划4.8']",2024-08-18 19:35:13
谁上学这么干过,脱缰凯Kk,https://www.bilibili.com/video/BV1Ji421a7Nx,150.1万,4423,-,18.0万,1.4万,18.0万,3379,"['B站小剧场', '影视', '小剧场', '校园', '搞笑', '原创', '剧情向', '短片', '艺术', '学生', 'B站剧情创作人2.0']",2024-08-18 18:26:47
假市长去县里考察，遇到的事刷新三观，老电影太讽刺了！《江城奇事》,浮生说剧,https://www.bilibili.com/video/BV1iy411e7dY,443.9万,1938,电影：《江城奇事》,11.5万,2261,11.5万,757,"['新剧好剧一起看', '影视', '影视杂谈', '电影剪辑', '经典电影', '电影解说', '电影', '影评杂谈', '奇事', '江城', '老电影', '人人都能聊影视3.0']",2024-08-20 09:30:00
历史的缔造者！火影首位7000万战力玩家诞生！我们的故事永远不会结束！,鬼叔黍,https://www.bilibili.com/video/BV1Gz421i7gF,89.1万,2.2万,-,9.6万,4.8万,9.6万,4773,"['游戏暑期狂欢节', '游戏', '手机游戏', '直播', '手游', '鬼叔黍', '主播', '战力', '火影', '火影忍者手游', '2024游戏暑期狂欢节']",2024-08-20 09:00:31
“大石最终还是碎了胸口......”,龙之王修罗,https://www.bilibili.com/video/BV1Fy411q76v,221.7万,2122,"BGM：晚风
感谢百万填词：",40.9万,15.8万,40.9万,8088,"['鬼畜', '鬼畜调教', '谭谈交通', '人力VOCALOID', '鬼畜调教', '鬼畜', '人生', '人民', '真实', '谭警官', '大石碎胸口']",2024-08-16 10:00:00
再这样打下去，我体力值就要不够用了,磊哥游戏,https://www.bilibili.com/video/BV1ZE421w7ZX,175.5万,2939,再这样打下去，我体力值就要不够用了,15.1万,7666,15.1万,2037,"['王者荣耀UP主激励计划', '游戏', '手机游戏', '王者荣耀', '王者荣耀 UP 主激励计划']",2024-08-18 22:20:59
【王老菊】黑神话悟空01：好的开始,怕上火暴王老菊,https://www.bilibili.com/video/BV1Uy411e7DW,63.9万,2.9万,不错不错！,7.1万,7.5万,7.1万,7843,"['游戏', '单机游戏', '黑神话']",2024-08-20 22:53:09
鸡汤毫无营养95%都是水？,敖小丙1688,https://www.bilibili.com/video/BV1sn4y1f7wB,348.1万,1582,Not Found,9.4万,1458,9.4万,158,"['万物研究所', '知识', '科学科普', '省流', '敖小丙', '有趣冷知识', '万物研究所·夏日探索计划']",2024-08-19 17:00:00
7年经验外卖小哥！没结婚已买房？ 挑战花100元街边随机抓外卖小哥带我去吃干净的店,阿真仔,https://www.bilibili.com/video/BV1aw4m1k7zX,176.3万,1212,Not Found,14.8万,3474,14.8万,672,"['美食', '美食侦探', '外卖', '探店']",2024-08-18 16:30:00
学校时的你 VS 暑假时的你,进击的金厂长,https://www.bilibili.com/video/BV1d4421Z7M8,139.5万,4082,投币后果然有好事发生了～,6.0万,2.4万,6.0万,486,"['原创搞笑剧情', '生活', '搞笑', '开学', '搞笑动画', '暑假', '校园', '搞笑', '短片', '学生', '新学期', '金厂长', 'BILIBILI金电视奖']",2024-08-19 17:55:48
《猿神！启动！》,怪盗剧场,https://www.bilibili.com/video/BV1BE4m1R7gW,78.7万,2159,啥也不说了，支持一下国产3A！,12.1万,2.5万,12.1万,1.8万,"['黑神话悟空启动', '游戏', '单机游戏', '搞笑', '大话西游', '黑神话悟空', '名场面', '搞笑配音']",2024-08-19 15:39:51
明天开学，还有一点作业没写,生姜蛋包饭,https://www.bilibili.com/video/BV1ey411e7cU,110.8万,1402,"这期筹备了超长时间！！！
———————————————————————————
 你的每个「三连」必将是我更新的动力~ (｡･∀･)ﾉﾞ

告诉你个秘密：将蛋包饭设置为「特别关注」可以第一时间收到推送喔！ 

顺带一提：蛋包饭会很认真的看每条评论！ 
———————————————————————————
 求三连！求关注！求鼓励！求三连！求关注！求鼓励！求三连！求关注！求鼓励！求三连！求关注！求鼓励！求三连！求关注！求鼓励！求三连！求关注！求鼓励！呜呜呜！呜呜呜！呜呜呜！",13.2万,2.2万,13.2万,2798,"['B站小剧场', '影视', '小剧场', '娱乐', '生活', '搞笑', '动画', '二次元', '高能', '恶搞', '校园', '学生', 'B站剧情创作人2.0']",2024-08-17 20:07:43
【IGN】10分，《黑神话：悟空》评测：踏平坎坷成大道,IGN中国,https://www.bilibili.com/video/BV1Ti421a7dv,819.9万,5.0万,《黑神话：悟空》绝对可以说是一座中国游戏行业的里程碑，它所呈现的优秀品质对得起这四年来它背负的所有期待，这是真正意义上放在全球市场也是极具竞争力的国产游戏，我相信它会成为今年年度游戏的有力竞争者，而游戏科学也将在此役之后毫无疑问成为全球顶尖ARPG游戏开发商之一。,47.5万,20.3万,47.5万,20.3万,"['黑神话悟空媒体评测', '游戏', '单机游戏', '单机游戏', '游戏评测', '国产游戏', '孙悟空', '腾讯', 'PS5', 'IGN评测', 'IGN评分', '游戏科学']",2024-08-16 22:00:00
海外《黑神话》社区，已成“西游记学习小组”,退役编辑雨上,https://www.bilibili.com/video/BV1pE4m1d7N7,193.9万,6810,国外玩家：学吧，学无止境，太深了。,10.7万,1.0万,10.7万,1.1万,"['黑神话中的人文故事', '游戏', '单机游戏', '西游记', '搞笑', '游戏杂谈', '英语', '老外', 'steam', '黑神话悟空', '行走的人文', '中国文化', 'ign']",2024-08-19 00:41:56
玩具熊陷入球池 第三期,鲤鱼Ace,https://www.bilibili.com/video/BV1YT42167YR,220.0万,2.0万,玩具熊陷入球池 第三期,4.4万,1.4万,4.4万,534,"['整点电子榨菜', '游戏', '单机游戏', '鲤鱼']",2024-08-19 12:26:40
这下真逆天了！！4.0,FoFTG,https://www.bilibili.com/video/BV1NE421w7YH,211.5万,1184,"来自新版本的特性！！直接两个通宵爆肝出一个奇迹！！！
这下真的逆天⁴了！！每条评论都会看！！（真的x12138
一天之内三连总数过10w我将会重新挑战！！！

PS：这个系列主打就是克服地心引力，包逆天的pwq

为了这期视频我找到了时光机（哈哈剪辑软件崩了工程回溯了一个小时哈哈哈哈哈呜呜呜呜",15.7万,9837,15.7万,1295,"['万物皆可游戏', '游戏', '单机游戏', '游戏视频', '我的世界', 'MC', 'Minecraft', '操作挑战']",2024-08-18 10:25:00
不同收入家庭面对孩子单身不爱结婚,三金的搞笑日常,https://www.bilibili.com/video/BV1jr421K7hG,154.6万,1913,-,14.5万,3765,14.5万,5975,"['B站短片计划', '影视', '小剧场', '生活', '短片', '剧情', '单身', '情感', '搞笑', '婚姻', '内容', '父母', 'B站剧情创作人2.0']",2024-08-17 19:45:49
馒头快递里面到底有什么？,小馒头的面食面艺,https://www.bilibili.com/video/BV1Sy411e7MY,126.7万,2996,面粉蒸出全世界,18.3万,1.6万,18.3万,5873,"['炎炎夏日·美食解暑气', '美食', '美食制作', '馒头', '一人食', '美食展示', '快递馒头', '有趣的馒头', '零食馒头', '创意美食', '吃货日常', '花样面食']",2024-08-18 15:45:41
男人特有的“蜘蛛感应”,CCCmlng,https://www.bilibili.com/video/BV1B4421Z7fe,341.2万,507,-,21.8万,1014,21.8万,2741,"['暑期整活剧场', '影视', '小剧场', '搞笑', '转场之我在云台山', '这个暑假云台山瀑布下见', '开启暑假的100种方式']",2024-08-18 18:51:39
“mvp结算时间......”,文月无心很妖,https://www.bilibili.com/video/BV1Df421v72p,122.7万,317,Not Found,17.2万,8970,17.2万,807,"['影视', '影视剪辑', '混剪', '剪辑', '电影', '影视混剪', '影视剪辑', '电影剪辑', 'MVP', '反差']",2024-08-18 08:00:00
被骂上热搜的“老二不讨喜事件”撕开了多少父母的遮羞布,老炮电影,https://www.bilibili.com/video/BV1CS411w7gY,313.7万,1116,被骂上热搜的“老二不讨喜事件”撕开了多少父母的遮羞布《请回答1988》,6.4万,2136,6.4万,776,"['人人都能聊影视', '影视', '影视杂谈', '电影解说', '社会', '人人都能聊影视3.0']",2024-08-17 17:00:00
该入坑了！普通人也可以买3D打印机！,贪玩歌姬小宁子,https://www.bilibili.com/video/BV1nU411S7bB,211.4万,2694,"以下这些视频中出现的打印件，都可以从MakerWorld网站上一键打印哦：
螺旋小花瓶：https://makerworld.com.cn/zh/models/164936#profileId-81665
旋转指环：https://makerworld.com.cn/zh/models/132627#profileId-29885
无限方块：https://makerworld.com.cn/zh/models/436419#profileId-352448
解压萝卜刀：https://makerworld.com.cn/zh/models/123201#profileId-3017
打印机料架：https://makerworld.com.cn/zh/models/125814#profileId-8903
东方龙：https://makerworld.com.cn/zh/models/436580#profileId-352659
西方龙：https://makerworld.com.cn/zh/models/126557#profileId-13448
龙珠神龙：https://makerworld.com.cn/zh/models/127021#profileId-14333
关节鲨鱼：https://makerworld.com.cn/zh/models/125196#profileId-7153
玫瑰：https://makerworld.com.cn/zh/models/237800#profileId-171020
香蕉太刀：https://makerworld.com.cn/zh/models/379655#profileId-303042
小黄鸭：https://makerworld.com.cn/zh/models/141704#profileId-46745",6.0万,3.0万,6.0万,8241,"['科技猎手', '科技', '数码', '3D打印机', '数码', '3D打印', '科技', 'DIY', '模型', 'MakerWorld', '入坑', '拓竹', '科技猎手2024第2季']",2024-08-17 17:33:26
狗狗知道监控的存在吗？,柯铭和四只熊孩子,https://www.bilibili.com/video/BV1Km42137yg,299.0万,2604,虚构演绎，内容仅供娱乐，请勿相信,52.9万,1.2万,52.9万,4.3万,"['毛孩子放风计划', '动物圈', '汪星人', '汪星人', '狗狗', '戏精', '毛孩子放风计划 亚宠季']",2024-08-17 12:44:08
脆骨症第一期,佳楠很难,https://www.bilibili.com/video/BV1YE421w7iK,364.5万,2631,喜欢就点个关注吧~,2.9万,5495,2.9万,270,"['推荐宝藏游戏', '游戏', '单机游戏', '游戏实况', '实况解说', '沙盒游戏', '我的世界', '五仁月饼团队', '热门', '佳楠', '脆骨症', '制作不易']",2024-08-17 17:31:12
《柯南》离谱！犯人竟一眼认出了柯南是工藤新一！,他说电影,https://www.bilibili.com/video/BV1Vi421a7BS,239.3万,966,本人本站只有这一个账号哦~,9.1万,1280,9.1万,313,"['动画', '动漫杂谈', '原创', '动漫杂谈', '名侦探柯南', '搞笑', '柯南', '动漫解说']",2024-08-18 20:14:57
你们一定都听过关于“他”的故事【扬声｜张扬对话《黑神话：悟空》制作人冯骥】,小羊在鲜花舍,https://www.bilibili.com/video/BV16f421v762,164.6万,3890,Not Found,8.5万,2.3万,8.5万,1.9万,"['纪录片《扬声》', '资讯', '综合', '游戏', '黑神话悟空', '张扬', '冯骥']",2024-08-18 12:02:35
【凛研】在广西边境发现有恶魔瞳的二级保护动物！！！,凛某人,https://www.bilibili.com/video/BV1X1421479j,88.3万,2735,非常幸运能见到睑虎们！！！走那么多路值啦！！！,13.1万,2452,13.1万,1439,"['野生动物奇遇记', '动物圈', '野生动物', '蜥蜴', '科普', '蛇', '昆虫', '考察', '保护动物', '爬宠', '野生动物', '广西']",2024-08-19 11:00:00
【不齐舞团】家人们，叔叔学的怎么样？,不齐舞团,https://www.bilibili.com/video/BV1Ez421i7Q7,190.0万,1301,"创作类型：模仿
谢谢你的关注",27.2万,7799,27.2万,1.8万,"['用一支舞打开b站', '舞蹈', '舞蹈综合', '不齐舞团']",2024-08-17 19:32:40
【STN快报第七季68】卡普空坚持不了那么久,STN工作室,https://www.bilibili.com/video/BV1uH4y1c7wZ,108.8万,1.1万,日本武士就是要堂堂正正潜行,7.9万,3.7万,7.9万,2385,"['游戏', '单机游戏', '怪物猎人', '星空', '黑神话', '克苏鲁崇拜者', 'Trainer Eyes', '卧龙', '卡普空', '夜校', '对马岛之魂']",2024-08-18 18:00:56
