铁佛寺是全国重点文物保护单位，你说怎么知道的
黑熊精杨奇
以前的含金量介绍：我在哪个哪个国的游戏大厂担任过什么什么     现在的含金量介绍：我在游戏科学担任什么什么
死亡气泡音
广智：还得是我
我们跳过了pc时代，直接进入移动互联网时代了，这在全世界都很罕见
打两份工（doge）
这才是真正做过事的人，干过事的人，做事本来就很难，所以你看，哪怕是美帝也拒绝不了不做事的诱惑，就拉成现在这个样子，历朝历代，无不去此
始终有个想法就是，烂游戏（电影）也是这个行业生态的一部分，得有这么大的生态才能冒出那么一两个顶尖的作品
好久没听过这种实打实干的理想主义话了、
腾讯：哈秋？
这是攻击，这是闪避，这是虎先锋(
3A就是大成本大制作，声画表现精良，技术先进，但是3A≠好玩，这点制作人也提到了，游戏本身的内容，玩法才是游戏核心
死亡面试与申论标准答案
没有量，是出不来精品的，哪怕是当年好莱坞巅峰时期，也是有大量烂片的，你看不到是因为烂片没人盗版
我真的很喜欢玩单机游戏（没有社恐不爱吧？）
猴瘾犯了身上有蚂蚁在爬
没苦硬吃QAQ
好形象的比喻哈哈哈哈哈
本意是招人，出圈是意外！哈哈哈哈哈～
村里第一个大学生效应
这个主持人比我那些奥运记者强太多了，言之有物，前面说游戏的时候不太了解，但是挖掘的时候很细腻
笑死了，国外游戏制作时有考虑过其他国家玩家无法理解文化的问题吗？
热心玩家x  急急国王√
中国单机市场已经很大了，这次预售单靠国区就能冲击榜一
@大圣归来
新闻播音初次转行be like
土地公：我成防火女了？
独立游戏就是最好的例子，游戏真的太特殊了，我认为好的创意和可玩性真的比画面重要太多了
《热辣滚烫》没错，正是在下
吴承恩：你们多少该给我烧点纸
《战网魔》
高情商:情绪是对的
小黑：6
防御性比较强：指一刀被砍成空血
前面的朋友请不要用“不就是”这种话就概括了，正反馈的表现有很多种，情绪上的愉悦感只是其中一种，多思考一下谢谢
《谁谋杀了我们的游戏》，2007年，尤卡
承载了太多期待，反而压力很大，所以卸下这些标签，回归游戏本身
麻辣滚烫：hello~
真的单看这个人的接受采访时的表情动作和话语，我感觉都能学到很多得体讲话时的技巧
《网瘾战争》
冷知识，游科的创始人们是最初被腾子抛弃的一群人
《谁谋杀了我们的游戏》-冯骥
三步并两步→滑步→褒姒
还有10个小时哦
电子海洛因，游戏禁令
可以翻一翻你们报社20年前是怎么报道游戏行业的
ign：阿巴阿巴
丸辣！
既然当地人都不清楚，游科从哪得知的？也就是说，游科是从文献找到这个东西，然后再去的实地？传承啊
三剑时代→盗版猖獗→难以为继→传奇→征途内购→腾讯起势→尝试未果→摆烂至今
一身雪还没有鱼上钩的空军龙
《你自己送上门来了》
游科入职的时候就要求你必须是个多面手，起码都要精通一点，然后再有一个自己专职的
勒克莱尔：？你想看我？
山西古建太多了，很多本地人不知道是很正常的。。
女生的表情真心真实！
防御性比较强：指一刀秒
此时的我突然在家中床上蹦起：你越是不肯，我越要让你拜服雷音！语调铿锵，就是家人看我的眼光有些奇怪，没事的，他们不懂我黄眉大王的傲然威风，定要那猢狲折服于此！我不要去医院，我没疯～～
直奔名场景：防御性比较强.jpg
不同游戏侧重点不一样，这其实是个比较重要的信息
游科郭帆
确实理解不了
还要比较高的电脑配置（狗头）
不是因为做过斗战神吗（笑）
尤卡称黑神话是依托
罗小黑：你们的猫居然还在
穿台天天师兄了
阿根廷:是的孩子们
狐神的大手
原创的时候参考资料容易被污染，之前还出现过以倭代华的情况。改成扫描太对了
这一刻，他估计想起了在腾讯做斗战神的那些年
《恋爱模拟》
哎呀，我怀念高中带女生去网吧教她玩暗黑破坏神的时候
空镜头太少了，为了画面不枯燥只能不停地切镜头
我放弃了一扫到底
有人在打黑熊精有人还在灵虚子哈哈哈
有两个游戏一年能赚600多亿和400多亿，你不妨问问那两家厂商
视频是faker做的？一直切屏？
说到关键了（战术推眼镜）
打游戏打到中科院了
“国产”代表的应该是你产品所体现出的在国际上的地位和实力，而不是你产品招呼吆喝本国人购买的依据
想了一下被盖泡面的样子
老祖宗严选
土地感觉像类似村里年长的长辈，不是很厉害，但是这附近的事情都知道，万事通一样
《电子海洛因》
《中科院呆了一段时间》凡尔赛顶点了属于是
居委会干部
山西旅游模拟器
潜台词就是意难平呀！斗战神！
不了解游戏的人往往会觉得喜欢玩游戏就是游戏玩的好，当然，真实的情况嘛，大家也都知道
《也许同事配的更自然》
经典递手柄
说到关键了（战术推眼镜）
马化腾：在说我的事？
尤卡抢着说可以改后老妹儿苦涩的表示可以改，职场真实了w
情商太高了
冯导的台词功底和作本功力堪称大师，之前的戒网歌词也是他写的，游戏里的很多过场诗词也是他设计的
冯总清醒
采访玩游戏，明天左脚进门开除（doge）
《防御性比较强》
鱼儿游向大海，但你是淡水鱼（）
褒姒啦
虎先锋
《流浪地球》
这哥们一看就是真喜欢，一玩就笑
虎先锋本喵
袈裟小短裙
人参精啊.脚上还绑着红绳呢.采参人为了防止人参逃跑就会系红绳
懂了，DLC：弼马温
还可以改（痛苦面具）
造出蘑菇蛋，挺直腰杆子！
往生咒来段
网格员
请叫我福德正神（）
《电子海洛因毁了我的孩子》
《葫芦小金刚》
