他翻过来的时候吓我一跳，我以为反面也雕呢
我需要鼠符咒！
啄木鸟电音
看着很难，其实一点也不简单
外面的景色通过环境描写表达了作者对青衣不歪的向往 和对青衣浓厚的爱慕之情 同时天空密布的云朵表达了作者对家乡的思念这一副场景直接将作者的心理状态描写出来为文章点上化金之笔
怎么？这片云像青衣吗？不！他是我飘走的保底啊！！
旅行者，绝区零好玩吗
开拓者，绝区零好玩吗
美食制作中
王の宝库
现在做这种手工的很少见了，基本都是直接上雕刻机
《平面雕刻》
最轻松的一部分（大概
逆风翻盘的小曲儿
修细节肯定是最轻松的一步了，因为已经肉眼可见接近完工了，肯定是越做越有劲，最难的是开始的时候，一眼望不到头，遥遥无期，是最辛苦的
粥吧打过来了？！
足力健的诞生
Boss进入第二阶段
寻妹眨
见过纸上建模的第一次见木上建模
万能的思乡之情
666这个是桂腌斗不带腌的
这不是厨力，这是吃饭的本事
善
师傅，你的击破效率一定很高吧
鞋子这段太厉害了
会画不一定会雕 会雕一定会画
↑希望楼上走出语文的阴影。
王的懒腰
无车通关隐身巨人海（bushi）
T7の小曲儿
老师，绝区零好玩吗？
66这个入是桂
《奥特曼》
立体几何天才
热成像的小曲
司辰，绝区零好玩吗？
漂泊者，绝区零好玩吗？
出音味——等等……什么？
T7的小曲
不是这背景音乐是什么东西？这不是热成像小曲吗？
第五人格盲女小曲
有石粒
众所周知，学过木雕的雕东西不会失误，因为可以改回来
法木同
背景音乐是什么？
这我学个集贸啊
火影们，绝区零好玩吗？
和平精英的，绝区零好玩吗？
褪色者，绝区零好玩吗？
特遣队员，绝区零好玩吗？
我是猎户，这是真雕
方块人，绝区零好玩吗
666盐豆不带盐
长按为UP加速
ᕕ(◠ڼ◠)ᕗ
我出2000
在现场
善
刀客塔，绝区零好玩吗？
t 7
我的邻居，绝区零好玩吗？
冒险家，原神好玩吗？
大保底出了玛卡巴卡
这就是传奇绳匠“鲁班”吧
青衣我提前80抽出
头彩7
只不过看了20多天，终于雕完了
抛光会咋样
博士，绝区零好玩吗？
善
第一次心动一块木头
我的一辈子
我们在少量木头中发现了大量青衣
我的青衣是电属性异常
3D打印秒了
特种兵，绝区零好玩吗？
木姬空语的雕刻时光
蓟县！！
我才一只
老板的小曲
善
男娲凿人
sensei，绝区零好玩吗
但丁，绝区零好玩吗
主管，绝区零好玩吗
牛壁啊
谁家啄木鸟
牛逼啊
T7的小曲
听曲知难度（）
这个刻字我也行（硬气）
终于到了敲螺丝刀的环节
百万粉就要不要笑挑战了，别尬黑
这简直就是艺术品
卧槽 是个人才
同理玩粘土的也是会捏一定会画，脑子里有3D的模型
葫芦娃既视感
好玩！！！
布什，戈门
布什，戈门
浮雕
看过捏
bgm Underground
进度条不觉得
列车长，绝区零好玩吗？
啄木鸟
二渲三（雾）
老师，绝区零好玩吗
3D大立牌（确信）
给我手看疼了
善
善
3，2，1上链接
善
布什·戈门
栩栩如生了
管理者！别玩绝区零了，来给小唐穿鞋
NB
上色
又想骗我学木工
卧槽
刀客塔，绝区零好玩吗？
不要做了，没人会给你点小心心的
教练：这我学个集贸啊
鼠符咒
啊？
真·三渲二
黑塔即将完成克隆人
啊？背面也来了
封面看成初音未来
拿去和老米换6+5
这回是真的在现场了。
好天气
猜猜哪个白卡……对不起走错了
卧槽，这个雕花
看好了，硬币之力是这么用的
我的青衣是冰系击破
主管，绝区零好玩吗？
刻线是吧
独龙的小曲
会有的
哎呀！快把老爹的鼠符咒拿来！
膳
将大局逆转吧
女娲区up主
教练我要学这个，教练：我也想学
真的好怕摔下来
我嘞个赛博啄木鸟
师傅，你做什么工作的？
木雕上油漆不就跟塑料的一样了吗，上个木油就行
这是什么木头
我是科学家，这是立体三维转换器。
善链接！
将军同志，绝区零好玩吗
为大佬送上膝盖。
确实像百岁山
这一段的背景音乐是什么？
布什·戈门
手看向大脑：我不会，你会不？ 大脑：俺也看不懂
善
bgm:underground
T7
真的好看
2.5d的维度
Duang～
太厉害了
我的一辈子
热成像小曲
上个保护腊就有灵魂了
疑似青神道招聘简章
善
啊？
牛
你这个不行寄过来我帮你改造一下
好消息，小保底八十多发出金了坏消息，歪了是猫又好消息，下一发就出大保底了好消息，四抽没垫出武器了
旅行者和开拓者，青衣好看吗？
《T7小曲/鼠皇小曲》
青一一一一一一一一衣！
透雕？
青衣冷却快好了
PVZ的小曲
马萨卡
善
分析员，绝区零好玩吗？
会有人给手艺人点赞吗？
啊？！
我都不敢想象在涂个色会有多牛
我作为特遣队员评价，非常好玩
这下不关注不行了。
这个合法？版权没给你吧
召唤师：绝区零好玩吗
逆风的小曲
火钳刘明
他其实做的很简单，只不过是释放了木头中的生命而已。
您就是传奇绳匠“墨子”吧
