众生平等洗手间！
bkl：终点处你给我等着
能量蕉
我嘞个零帧起手
会长一如既往的倔强 哈哈哈
他还是承认了
西红柿炒蛋！
樱桃小丸子
艺术体操队
看到勒布伦兄弟了hhh
这里就能看到顶尖运动员的恐怖速度了，不管名次怎么靠后，这都是世界舞台的优秀运动员
留出来专门给大迫杰的，磕
香蕉计数员：5
我第一次参加奥运会太紧张了
全天平均心率 57……
←这是小勒布伦
我靠，兄弟们已经紧张死了
会长的放松跑 我的极限
春龙最喜欢的一集
时长感人
《慢跑》
兄弟们，第一次参加奥运闭幕式有点紧张啊
吃到原产地河水做的了（doge
也是喝上可乐了doge
地球村的感觉啊，这就是奥运会的意义吧
666，肯定是含在嘴里面拍的（dog）
China first!
《我是特步的运动员》
杰哥心态没出问题就好，还年轻还有下届
食堂稳定刷新樊振东，没遇到吗
年轻的孙继海
空泥奇蛙～
这就是奥运会的意义 交流 美妙的赛事
会长还是有点小兴奋的
说几不说把，文明你我他（doge）
哈哈哈哈。这老哥
这下梦幻联动了
都是义乌生产的，没事
贝林厄姆！
不是会长我们都不知道奥运还有这么精彩的一面
我擦我都掉眼泪了你来句好饿
第一次参加闭幕式有点紧张各位
前面的别再说义乌了，买的和换的意义能一样吗？
i am very love you
世界人民大团结万岁
马飞～～～
云南是因为离北京远，巴黎是因为离赤道远
亲家（2）
世界人民大团结万岁
笑死我了 杰哥
大迫杰也要来递水
全世界都说中文
大迫杰看起来是比较生人勿近的，但还是好帅
孙颖莎是出息了，能和会长合影了
艺体的俄教哈哈哈
那是全天平均，他静息心率就36
往后23分钟都是会长致感谢词/doge
乔爷：未来是你的
热知识：你们可以呼吸
哈哈哈 司机都在拍
抱抱会长啊
赫~tui~
紫薯种植园
司机都在录像笑死我了
now end of you  到此为止了
第一次参加奥运会就跑赢了基普乔格！
将军：没关系，我的意志将击穿大楼
这一刻坚定的眼神，爱了！
乔爷这里说未来是你们的
这个时长爱了爱了，会长辛苦了
贝克勒：报告组委会，这小子从进奥运村就跟着我，都到马拉松终点了
睡着了（确信）
傲视全b站的vlog
来了来了，大迫杰和会长预告的内容要来了
春龙：早知道可以这么玩 拼了命也要来一趟
跑完全马还有力气打晕会长，贝克勒也是神一般的存在。
《灭霸公寓》
