？干活的人啥样干活就啥样，干活的样子还有定式了？
印刷二字的来源
《怎么高级玩泥巴》
《这就是女性力量》
可是雕版印刷只能印刷固定的内容，活字印刷可以随意调整顺序，更方便
我妈认为的辣条制作过程：
好有力量感的样子，女性的美就应该是多元化的，不要老是追寻什么白瘦幼
爸妈眼中的奶茶做法
这就是为什么中华文化传承千年，永远有人在想尽办法将今时今日之一切保存记录下来
生巧
坑坑洼洼不重要，也不是工艺品，只要把需要印制的字刻的突出点就行
好厉害，又能做力气活又能做巧活
“若只印二三本，则不觉如此，若印数十百千本，则极为神速”为什么会有人在印刷方面觉得雕版更好一些啊！
现在知道为啥叫叫排版了吧
又健康，又美，自信，这才是真正的身材
战狼版李子柒
大家注意听一下这个歌的歌词。
家长眼中的外卖制作过程
可怕 这视频拍了3个月吧
向智慧的中国劳动人民致敬！
跳进染缸。
果然是豆腐
我的妈呀，给我吃活字印刷粥？
绑只鹅造景哈哈
小米粥还能拿去喂鸡鸭牲口。不会浪费的
小米鱼豆腐粥
这是不是那个李子柒·战狼版
难怪古代一般都是雕版印刷，活字也太累了
我穿越就靠这些视频了
宋仁宗时毕昇发明了活字印刷术，标志着活字印刷术的诞生。他是世界上第一个发明人，比德国人约翰内斯·古腾堡的铅活字印刷术早约400年
前面的，如果有时间的话可以看一下初中的活板，沈括写的，《梦溪笔谈》的作者，那里边有解释。
123跳！跳进染缸！
很直观的说文解字，解释了印刷相关的一些词语由来
能文能武
写反字都写得这么好看，真厉害
欧泥匠
我的天呐好浩大的工程量
这才是视频网站该有的视频
[ohh]
好厉害
土坯窑？！
姐姐你帅死了！
卧槽
起鸡皮疙瘩了
[ohhh]
活字平得像磨刀石
雕版虽然成本高，但是可以量产，活字在古代实际上没那么大用处，急用活字会好些
[ohh]
板印书籍
有力气的大女人
跳进染缸！
哇塞！好厉害！！！
太棒了。。。
[ohh]
当时学活板这篇课文的时候，语文老师但凡给我看一眼这个，我也不至于背的那么麻烦
其上以松脂，蜡和纸灰之类冒之
[ohhh]
[ohhhh]
上链接
好优秀的女性力量！
我知道，这一步叫刷墨
这歌不男不女的
我的天
＊的，为什么投币个数有限制
[ohhhh]
想听周深唱这歌，深深能翻唱就好了
这首歌很好听，周深唱应该很适合
姐姐好厉害！
马上可以吃了
煮了吃掉(bushi)
6666
很装逼的感觉
[ohh]
麻将
牛啊 这个可以裱起来
哇
好像是我第一个三连……给了！敬前人的智慧，也敬姐姐的传承！
[ohh]
我丢
糯米都能用来筑城墙
霉豆腐原料准备
[ohhh]
卧槽！反字
煮散的别搞笑，前面已经烧制过了，怎么会散
摄影技术影像级的
了不起
豆腐（
正片开始
一旦手抖刻多了……
想吃
这也太牛了。。。。越看越震惊
炒糖色
[ohhh]
传承文化啊
李子柒战狼版是东北雨姐，用在这位姐姐身上也合理
有点好吃的样子
鸡皮疙瘩一下就起来了
[ohh]
我的妈…
啊？？
果断关注！
不是你真会啊
[ohhhh]
[ohhhh]
流泪了
这要是C4…
ohohoh
哇
为什么只能投两个币
[ohhh]
好美，这就是劳动人民的美
123跳进染缸
好有力量
太厉害了！
原来如此
wc
麻将
太厉害了
这不吃什么时候吃
我滴妈
让开，我要吃了
[ohh]
终于吃上烤鹅了，兄弟们
用大米可以吗
看着像ai视频（）
[ohhhhhh]
火钳刘明
好家伙
嗯，这是我妈眼里的鱼豆腐制作过程
？这是吃吗
[ohhhhhh]
大鹅。
6啊。
太饿了
泰裤辣
蠢
感觉很容易用坏啊
[ohh]
厉害
谢谢你
[ohhhhhh]
饿了
我就是学篆刻的，这也就是为了拍视频说实话刀功真的一般
刀功一般
我趣读书吧
大鹅好搞笑
这也太能干了
好有力量
胡广生
下雨就完了
我勒个活字印刷
看哭了
我靠这一幕……
啊，我有个问题既然用的纸为啥不直接在纸上写呢？
想吃
之前有幸體驗過！
能吃吗
看得我想哭
板印书籍，唐人尚未盛为之，自冯瀛王始印五经，以后典籍皆为活版
满铁范为一版，药稍融，则以一平板按其面，乃密布字印
墨
[ohhhh]
[ohhhhhhhhh ]
麻将是否源于活字印刷
[ohh]
[ohh]
唐兄救命啊！
汗滴下的这个画面好美
新赛道
我天！
我勒个文武双全啊
[前方高能]
[前方高能]
[前方高能]
[ohh]
好强的技术力
印 刷，哇唔，才知道两个字两个动作
这还是简体字，古代刻繁体字真的是大工程
好厉害
干个农活没晒黑，衣服倒是换了好几身。
拿个镜子放前面就好了
穿越必修课打卡
喷绘往脸上喷水的助理辛苦了。
第1次见这么听话的大鹅
烧陶啊
盖聂
姐姐真是啥都会啊
我以为像这种的都该是一千多万播放量的……
好帅，真的好帅
牛
割的双眼皮好丑
哦吼吼
求bgm
这个UP主和归乡人山白是一个团队吗？
牛牛牛！
[ohh]
好帅
这工程量也太大了
这换做是我，早就累趴了
好厉害！
有没有人能说一下，这个up和归乡人山白一样吗？
真美啊
[ohh]
？！写反字 好厉害！
热知识古人有的不太认字，所以大部分时间都是用的雕版印刷术
这辈子有了
[OHHHH]
活字印刷……
后面天上有飞机
现在看会了，等穿越的时候用的上
多明显的团队，还姐姐好厉害有力量，笑死
国服兔妈
[ohhhh]
这力量感 太帅
不是我正写都...
好治愈
常用字要刻很多的
致敬！！！！
好美，人和景都美
草木灰K2CO3
姐姐的鞋子已经绝版了，老解放鞋
省流：必须给我认真看，不能快进！
阳字真难刻的
[OHHHH]
姐姐是穿越过来的吧，手痒了
刘珂矣的歌真配
在这个流量的时代，真不好评价什么东西
北宋毕昇
乃密布字印
[ohh]
啊？
活字印刷
啊啊啊啊这些弹幕怎么回事……好多感觉入站测试都没过（）
[OHHHH]
泪目！
泥牛入海~
[ohhhhh]
[ohh]
这字太牛了
李子柒能跟她比？？
姐姐好厉害
姐姐你写的好看就算了，，，，还是反着写的？？！！
是补缝吗
我左手可以写反字
[ohhh]
OHOHOHOH
妈耶
我靠
好厉害
你帀有了
麻将 麻将
绿豆糕
[ohhhh]
木头，泥什么的都是很重的东西
竟然不大喘气，我走两步估计就得趴下
感觉好好吃
可是活字可以反复用啊，还可以随时更换版面大小
另一种风格的李子柒
十几万的粉丝就是p主，有着几百万粉丝的活！
好漂亮的颜色
古法不能和生产力相匹配了
[OHHH]
[ohh]
[ohh]
←历史书上不就长这样吗？
词穷啦
好厉害！
做这个挺磨人的
好美
首页通知书
[ohhhh]
08年奥运？？认字的人不知道活字印刷？还要靠奥运识别？
[ohh]
[ohhh]
我的天
害怕融了
好清澈的小溪。
不会是要吃吧，真的是“腹有诗书”
妈妈！投币！
以为做了只狗，笑死
牛啊
好厉害
[ohh]
文武双全
炮哥，身手还是这么好
牛！
这里感觉古人真的好浪漫啊
防韩国小偷
[ohh]
这才是真正的奢侈品
[ohh]
这边投币怎么行
漂亮，
[ohh]
下意识吹了一下，同频了哈哈
我先投资2个币
啊？？
缝纫机底座
厉害
好有力量的身体！
不自觉的吹了口气
[OHHHH]
[ohh]
[ohh]
写字好好看
好厉害，真的被震撼到想哭
这不是月饼吗
原来印刷是真的！印！刷！
原来排版这个词是这么来的！
火猴刘明
[OHHHH]
[ohhhh]
摄影有构图的 好棒
毕昇只是改进活字印刷术，不是他发明的
啊？？？！！姐你来真的呀
[ohhhhh]
[〔ohh〕]
[ohh]
[ohh]
太厉害了
一 二 三 跳！
[Ohh]
[ohh]
好帅www
[ohhhh]
这首歌好好听，叫什么名字啊？
