杨戬：助战？助哪边？
不是说是假杨戬，是想表达杨戬的心性也改变了成长了不是原来的他了
杨戬：太好了，这猴头说不定能当个好队友一起反（）
正好后羿射9日，嫦娥飞天
杨戬的武器很重把天命人压了下去说明那是金箍棒
这确实，相比于火眼金睛的能力，反而徒增一项弱点
黑神话姜子牙
黑猴里，八戒的故事两人第一次见面是八戒也羡慕猴哥能痛痛快快的大醉一场
孙悟空天生石猴能杀他的只有他自己
“共谋大事的人来了！”
三尖两刃两万多斤，比定海神针还重
那个武器这么重，丢过去都接不住，可能是金箍棒
被天庭杀的猴子猴孙：6
金箍是锁心的，成佛后金箍自然就没有了
谢谢，听了太多次，已经红温了
二郎神和猴子本来就不冲突啊，原著打完九头虫还喝了一晚上的酒
杨戬:不是哥们 怎么闹天宫不带我？
梅山七怪
张翰是吧
风灵月影宗表示不用试了，我秒了
懂了，下一部，黑神话杨戬
说的丑是说之前的二郎神不敢直面天命的丑陋，如今放下顾虑所以才说他之前比现在丑多了
不是复活，是大圣自己重走修心路，结局打完残躯成就是“二心竞斗，只取其一”
"这里有个细节,杨戬边说话,边抬手施法用云把天上的金光给挡住了."
反天庭第一人——杨戬
四大天王：我上早八
大圣：稳辣！
用活物炼丹，果然鹤仙人就是你，老君
灌江口二郎显圣真君
悟空：杨戬反否 杨戬：哪吒反否 哪吒：早他娘想反了
《小神》
因为悟空曾说过：天上的阳光太扎眼，随我去山中会会
天生破妄睛被火烧之后变成了火眼金睛被削弱了
这不周冠宇么
瓜田琪亚娜！！！
弥勒很不服如来的，他俩之前争过佛主之位
杨戬的武器有可能就是如意金箍棒，因为很重，天命人都拿不动
这是杨戬呢，还是林冲呢？
byd 网络小说原文是吧？
四大天王应该是幻影
如来是一个称号，不是特定的谁，弥勒也是如来
既然怎么都有隐情  干脆放焦恩俊的脸算了
这时候反的话还愁捅不穿天庭？
火眼金睛是眼病辣，孙悟空的弱点
但孙悟空比杨戬识破更快
防砍头
杨戬和二郎神本来不是一个人的
这说的是封神还是西游？这个up一本正经的胡说八道。
猴子原本的眼睛更强
太棒了，还有第二部
dlc！
吕小布
也不能说交与吧，天命人走完这些苦难，已经有了自己的意
四大天王怎么进画的呢？！
袁弘是葫芦仙人
难怪大圣药帮忙挡天命人的棍子
温度不够
悟空天生石猴，不缺仁义，但缺少人性，杨戬不缺人性，但也让他受到牵绊
看似两人互殴，实则两个大圣演戏
确实，我一直都这么感觉，明明是有人从中作梗干预决斗，最后不少人竟然让杨戬背了骂名，真不知道脑子怎么长的
你到底在讲封神演义还是西游记？
白马
西游量劫天庭也是输家
这个我以为他大哥是黄眉
我以为他大哥是金池长老呢
点子哥
好想看以前的小人书啊
神佛一家
《宋江討方臘》
猴哥明着反，二郎神暗里反，哪吒？哪吒想反就反
才想起来四妹要被熔了！
杨戬没放水
什么中二台词
我草好兄弟杨戬
天兵甲:我在现场
在洪荒中孙悟空的眼睛能够望穿三界，然后经过了太上老君炼丹炉，只能看清妖怪，还被黄峰大妖的沙子所伤就离谱
懂了，要出黑神话杨戬了
金箍棒在水帘洞
孙悟空是不死不灭的
一路上都是杨戬，金蝉，和菩提在帮天命人
这里二郎把三尖两刃枪gei天命人了
再来个哪吒，你们凑个三人组
来个dlc:再战天庭
天使？
张瀚吗？
哪吒也牛，他爹哪天不拖他他就是一刀
拜托了世界上的另一个我
摆脱佛道两家得控制
杨戬接诏令肯定是不跪的
确实，都没得选
才一周目还有好多周目
厨邦酱油美味鲜，晒足180天
我命由我不由天
家族传统
不是打赌输了 而是没打过
原著里太上老君是故意的
韩立
这配音太王者荣耀了 还是英配吧
