沙大郎会玩啊，压二郎血线等进斩杀再杀蝶，完美拿到隐藏（）
这沙国王诗人握持
神风一起，三界何人能敌
袈裟小熊立正了
我靠这段太帅，真有斗法的感觉了
一山不容二虎，除非一公一母
砂锅王开局送了，二郎就能赢
数值平衡过了，真正的原本数值可以去看有人做的虎先锋vs金池，那个数值没调过，差距巨大
疯虎吃的是伥鬼骗来的村民，虎先锋吃的是老鼠，还是有差距的
杀国王要是先死了，杀二郎必赢
《 风 灵 月 影 》
咳咳咳，小西天土地，在此恭迎天命人～
符合人设
地铁，小张太子，手机
虎先锋以为是黄风带来的手下老鼠，所以说吃他们解恨，应该不知道他们原本是人类
这哪儿差数值啊，看不出来血量以及命中的攻击谁多吗？
沙国王最大意义或许是死掉然后让二郎红温
挖草·国王连弩伤害爆炸
诶 大朗是不是可以捡弟弟精魄了
你是风儿我是沙
虎先锋是不知道老鼠就是人变的，他在村子里被供奉为虎神，就是因为他一直帮助过路的人类
JK熊
应该是黄风大圣的机制抽不开场地，只能把熊拉过来
按理说虎哥比虎弟营养好，一池子饮料呢
说数值的别云了 这两个打到伤害就是差不多，只是黄风攻击次数多罢了，明显调过数值的
黑熊精：没定风珠我玩集贸啊
劈头士（灵吉大士）
白首男和白次男
识破！
蝜蝂：我来助你！
我有一计，献祭沙国王
黑风山一号种子vs黄风岭一号种子
大圣残躯vs二郎神
父慈子孝，兄友弟恭
虎头拿来泡酒，剩下的留给大王
上单打架旁边ob的adc be like：
黑熊精在游戏里被削弱不少
我来助你！！！！
燃尽了 ！！！！
别打我爹爹
头条主赛
这把父子局
精彩
根本难不到他
飒！
精彩！
符合原著
精彩
大郎该吃药了。
精彩
为什么不把虎爹也加进来1V1V1（dong）
我买了，还不错就是按键声音有点大
手足相残
我还是用我的Xbox吧
精彩
八戒打虎先锋
你也逃！不！掉！～
送老爸婴儿般的睡眠
PronhuB大战
应该是亢金龙的咬
精彩
精彩！！！
精彩
极限
黑熊数值低了，数值一样熊赢了
买了飞智
主场优势，黑熊精主场就赢了
小黄龙打寅虎
打不了，数值碾压
一通操作猛如虎，一看伤害二十五
不在疯虎场地主要是落石
愚蠢的欧豆豆哟
弟中之弟
第一关的打第二关数值差的有点多
你哥还是你哥
加油啊，穿包臀裙的小熊熊
难绷
精彩
毒敌大王吧！
这个早就买了
这个反手叉确实精彩
冥虎
你看那鼠辈到讲人情
火焰啊！吞噬一切！
啊？！
精彩
有点意思，这是靠什么原理实现的啊
赛博斗蛐蛐
