666这个入开桂了
会场的人：999这个入开桂了，盐豆不带盐的
这个入是桂
鹰子：666这入是桂
听说台下还有几个刺客，被黑衣人拉到后巷“友好交流”
平凡的名字，不平凡的一生
美国：丸辣
我们成设密码的了
我已经找不到用任何词来形容她了，只能说，伟大，无需多言
我就一直奇怪我们的网络支付怎么这么安全，原来早一是世界之巅
典中典的弹幕
女士大义！！
《很容易》
《又》
《随手摧毁了一个密码界而已》
"我学俩小时C语言，学会了Hello, World!"
蜘蛛纸牌：不是，我能跟sha-1并列？
《闲着没事干，随手就破解了》
一般这个时候又是要搞出大事儿的节奏了
“试试”
《千万年破解不了》《三个月》
《只能前三》
存在了上百年的md 5，设计者怎么还能活着？
666盐豆不带盐
拿MC玩家的话来说就是：徒手把基岩挖破了
先生大义
女士大义！
青岛人啊
盐豆不带盐的
《跑到乡下休假》
666，这个入是桂
省流：神
山东之光
女士大义！！！
山东银来咯
女士大义!
王小云对于我们来说不算陌生
有也不会说出来
暗算_黄依依
卧槽老乡
太震撼了
国士无双
hhhhhhhh太可怕了
女士大义！！！！
没有家务和小孩 4年可能就破译了
666算了100万年
大国之盾
牛逼啊
谁说她只能破解密码呢？她也可以自己创造密码呀
省流：三个月
《两个小时》
？
只能
致敬
《入门》
《试试》
国之盾
国家出手了
国士无双！
先生大义
先生大义
学了计算机史诗级加强
女士大义！
“不要也罢” 这几个字，好强。。。
女士大义
？？？？？？？？
小心车祸哦
经典的江郎才尽
白眼测试山寨机性能用的就是sm3算法
小说这么写都会被骂的呀姐（抓狂
29岁副教授，六
彩虹表：？
国家要特殊保护啊
天才啊
我丢… 女神要注意人身安全啊…
这个麦家的小说写的确实莫名其妙
MD5还在用哟
省流：国士无双
女大侠
妥妥的作文素材
致敬
女士大义！！！
？？？
大义
哈希难绷
博雅计划初等数论潘承洞潘承彪
女士大义！！！！
女士大义！
需不需要人身保护她啊
国密算法
确实，两个小时够你学会基础语法了，剩下的就全靠天赋，把数学逻辑转换成代码了……但是这个难度有点像给你一堆矿石一个炉子，让你打一把绝世神兵……
额，从语言方面来说，这种人确实只要两个小时，但是算法就不一样了
这是中大!
？？？
顶中顶
《前三》《偏科》
所以，翻拍成电影的时候主角变成了男性
致敬
再不试试，我家神兽就要上幼儿园了
md5现在还是很常用
致敬！
《阝亻可》
致敬
为人尊敬者，皆可为先生，先生决不单指男性言，请不要无知
一生要强的中国女人，哪有不带娃成长的啊，哈哈
这明明是大礼堂前的草坪，前面那栋科学楼就是华罗庚早起背课文的地方
8年也是很久了
华罗庚干过这种事，人不在昆明，也要保护昆明的人躲避轰炸
说出这话，up你不会也是个桂吧
lIli
本质就是映射，密码它如果是通过方程式来编译的绝对有破解的可能，如果用一套混沌无章的方式编写才会比较难破
小孩哥：有幸看到，妈做的数学题我一点也看不懂（不是）
憋了个大的
女士大义
29岁山东副教授？你知道这有多难吗
我们山东大学的骄傲
。。。。。
咱们是不是不应该告诉他们=. =
山大根本没给她好待遇，后来去清华了
英语好逻辑性好，两小时不奇怪
太牛逼啦啊啊啊啊啊啊啊啊 大姐
哇哇哇哇哇
太牛逼了8年我草，8年啊啊啊啊啊啊啊啊！我疯啦！
太牛逼了姐姐！
先生大义
国士无双！！！！！！！！！
