标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
游戏加速100倍+极限模式+一格物品栏通关MC!,节操Pro,https://www.bilibili.com/video/BV1Lb421E7dn,426.9万,2.0万,"啊啊啊啊终于做出来了 
然后的话其实最后一点赶最后一部分内容可能节奏不是很好 十分抱歉 
剪辑",53.2万,46.8万,53.2万,1.4万,"['万物皆可游戏', '游戏', '单机游戏', '沙盒游戏', '我的世界', '游戏', 'Minecraft', '一格物品栏', '加速100倍', '挑战', '极限模式']",2024-08-28 10:00:00
为了让大家多喝水，我做了这个…,老师好我叫何同学,https://www.bilibili.com/video/BV1N1421b7NL,631.2万,3647,-,53.2万,4.9万,53.2万,9997,"['影石Insta360', '生活', '日常', '何同学', '拇指相机GO3S']",2024-08-27 18:00:00
关于我开兰博基尼撞到外卖小哥事件的后续,涛哥测评,https://www.bilibili.com/video/BV1NW421X7RV,173.4万,5634,这件事的具体情况是：首先车辆碰撞发生是因为外卖小哥闯红灯，对方被交警判全责，而我无责。同时外卖小哥身体并无大碍。其次这辆兰博基尼是我朋友借我开的，不是我的。最后修车钱我自己一个人承担了，没有追究外卖小哥一点责任，毕竟大家都不容易，互相理解下吧。,32.5万,13.7万,32.5万,2115,"['生活', '日常', '兰博基尼', '日常', '外卖小哥', '交通事故', '车祸']",2024-08-28 20:43:00
纯黑《黑神话：悟空》全程无伤攻略解说 第三期,-纯黑-,https://www.bilibili.com/video/BV1ST421z7EW,201.5万,2.1万,"这不得三连支持一下！
ED非官方部分素材出处：BV1e7421R7sR质量越高速度越慢，视频越长速度越慢，既然视频又长质量又高那更新速度肯定不会快，所以请耐心等待。
一般情况下会根据游戏背景选择会用哪种语言的歌曲做片尾，但奈何自己中文歌听的太少（没有说中文歌不好的意思，死宅一般只听ACG相关歌曲导致的），只能选兼容性较强的英文歌了。制作片尾需要大量时间精力，已经做好的不可能再更换。",24.9万,28.2万,24.9万,1.4万,"['游戏', '单机游戏', '无伤', '悟空', '纯黑', '攻略', '解说', '黑神话', '小骊龙', '虎先锋']",2024-08-28 10:21:42
《黑神话：八戒》3分钟实机演示,毒影子,https://www.bilibili.com/video/BV1EcHgezEyF,329.6万,7338,早先，一个月前，就在和小伙伴们策划的一个视频短片哦~所以内容和游戏本体多少有点出入，权当娱乐，切勿当真~,21.3万,9.6万,21.3万,5.0万,"['黑神话天命人来也', '游戏', '单机游戏', '搞笑', '特效', '四妹', '实机演示', '蜘蛛侠', '黑神话', '猪猪侠', '真人特效', '整活', '《黑神话：悟空》8.20 直面天命']",2024-08-30 11:30:00
小潮team的收藏品大选！,杜海皇,https://www.bilibili.com/video/BV1ME4m1R79t,211.8万,2.7万,"希望各位观众老爷们喜欢这期视频！
喜欢记得点赞/投币/收藏/分享！",18.7万,8.4万,18.7万,2266,"['搞笑研究所', '生活', '搞笑', '搞笑', '高能', '生活', '幽默', '魔性', '逗比', '娱乐', '测评', '杜海皇', '搞笑研究所2024 5.0']",2024-08-28 12:00:00
离谱！我们真的把正义高达装进了魔蟹！MG1/100蟹壳完成！【RAY】,RAY的模型世界,https://www.bilibili.com/video/BV1zW421Q796,82.4万,7090,正义魔蟹这个梗，我们是不是玩的太认真了？,14.8万,18.6万,14.8万,3.6万,"['手办模玩怎么玩？', '动画', '模玩·周边', '夏亚', '模型制作', '高达模型', '万代', '高达SEED', '机动战士高达', 'MG', '手办模型', '模型', '动画嘉年华2024·无限同人']",2024-08-28 19:00:00
《绝区零》简角色PV丨逮捕,绝区零,https://www.bilibili.com/video/BV1YT421r7pH,208.6万,6434,"「有坏东西跑掉了，我去清理一下。」
「对了，我的印记，你也记得清理哦~」

简CV
中：曾彤
日：岛村侑

—— 欢迎来到新艾利都！——
《绝区零》1.1版本「卧底蓝调」现已开启！
bilibili安卓端下载地址：https://www.biligame.com/detail/?id=108434bilibiliPC端下载地址：https://www.biligame.com/detail/?id=111210",17.2万,8.7万,17.2万,2.8万,"['游戏', '手机游戏', '手游', 'PC', '剧情', '新游', 'ARPG', '绝区零1.1', '绝区零简', '米哈游', '绝区零', '卧底蓝调']",2024-08-30 12:00:00
国 产 单 机 游 戏 现 状,进击的金厂长,https://www.bilibili.com/video/BV1Cx4y1s73T,181.2万,6955,兄弟们最喜欢的国产游戏是什么？让我在评论区康康大家的答案！,17.4万,4.9万,17.4万,1319,"['我玩黑神话悟空belike', '生活', '搞笑', '搞笑动画', '短片', '搞笑', '国产游戏', '单机游戏', '黑神话悟空', '国产单机', '玩家', '金厂长', '搞笑研究所2024 5.0']",2024-08-28 17:58:25
【明日方舟×迷宫饭】SideStory「泰拉饭」活动宣传PV,明日方舟,https://www.bilibili.com/video/BV1ZW421Q7PC,197.7万,1.9万,"【明日方舟×迷宫饭】SideStory「泰拉饭」限时活动即将开启

迷宫里......竟然存在这样的地方？
源石？泰拉？罗德岛？这些都是什么东西啦！
比搞不清楚状况还要可怕的......是营养不足！
“不是吃，就是被吃”的道理在这里也行得通吧？
收拾好刀剑和法杖，也别忘了锅、铲还有调料！
准备好了吗，我们可要开动了！

———————————— 
详细活动内容敬请关注《明日方舟》官网及游戏内相关公告。",16.9万,5.6万,16.9万,8.2万,"['游戏', '手机游戏', '明日方舟', '迷宫饭']",2024-08-28 10:58:54
《张万鼠，下药了》,伤心欲茄222,https://www.bilibili.com/video/BV1sW421X7C2,259.0万,1372,-,36.6万,2.4万,36.6万,2.5万,"['搞笑研究所', '生活', '搞笑', '搞笑', '八嘎', '搞笑研究所2024 5.0']",2024-08-28 18:00:18
假如二郎神是来花果山娶亲,大龙也丢啦GG,https://www.bilibili.com/video/BV1u2421o76W,146.4万,6036,视频引用了,17.3万,3.1万,17.3万,3.1万,"['黑神话被鬼畜了', '鬼畜', '鬼畜剧场', '二郎神', '搞笑', '游戏', '孙悟空', '国产游戏', '鬼畜', '黑神话悟空', '鬼畜剧场', '鬼畜星探企划']",2024-08-27 21:26:05
