这游戏真的就是艺术品
我去随手一拍就是大片。
风后奇门-启动
我怎么听见了大圣之力
工笔入化的音效诶！
老马啊老马
我嘞个张力啊
《急中生智》
黑神话相机
黑神话广智
听到了无敌的声音
其实就是星如雨
钓鱼佬上货了！
风后奇门，启动
我从他的第一个视频就开始看了，这个up是最早开始做黑神话摄影那个
开头看成对马岛之魂了
宝可梦
帅啊
至此已成艺术
牛逼牛逼
牛皮
专业的就是不一样
墨海屠龙
啊
我们玩的是一个游戏？
是秦王破阵曲
啊？
攒豆就是这个声音啊
角落的八戒被截去（悲）
撑杆跳（确信
哇，这个最难拍到了吧
艺术！
可惜这么惊艳的设计，只用在了一个boss身上
这游戏不止年度最佳！艺术品
老粉
嚯
卧槽
万年潜水被激的给了个三连
这就是传说中的遗像吗
怎么拍的
真tmd帅
影之刃哈哈哈
不会拍照的男的你看他能截出这么好的图不？
我的妈呀
卧槽
我测好他妈帅啊
别打我老马！
卧槽！卧槽！卧槽！万万没想到
这也太帅了ba
会拍照的男生也不一定有女友哈哈哈
太帅了
太帅了
谁说男生不会拍照的
八戒！
老马啊！
土地一次过的，看他自己本体脆的不行我就知道肯定有转阶段
nb
太会拍照了哥们
帅哭了
哇靠太帅啦
好美的画
给鱼一个大逼斗
这是明日方舟夕的攻击音效？？
哇
使用波纹之力！
鸡爪流，启动
歪日
老马啊，老马，啊啊啊
QAQ画质感人
广智铠甲合体！
全体起立
随手一截就是一张壁纸
帅帅帅
野猿广智
护手换成念珠就更帅了
极天流星雨VS大圣齐天
独钓寒江雪
牛！
阴阳割昏晓
上号
叮
老马啊~~呜呜呜呜呜
'
命可以不要，拍照一定要帅
至此已成艺术
不是哥们儿！
币有了
太牛逼了
钓鱼佬！
暴打马化腾！
八戒：6
对你M岛
阴阳鱼：布什戈门
没什么印象啊这招
这个BOSS设计是后期顶级
打完这里我还以为马哥没了，支线断了
这些弹丸能不能来一张
炎狼铠甲
应该换枪来拍
第4955个
我去
这个太好了
怪不得拔河了 鱼真不小～
帅
太帅了
太帅了！
夕的普攻音效？
卧槽张力十足
风后奇门定中宫
生前留影（）
哇帅
智狼！
听，秦王破阵乐！
《黑神话:广智》
老马呀，老马
我去
这游戏268块钱卖给你们是真的亏了。
我去这个构图牛牛
牛哇
倒影绝了
我去
广智：休伤吾儿
我去，那么好看
wok
、这种水墨画一样的战斗场景太棒了
哇
秦王破阵
老马啊！！！
卧槽！！！
二刷了
教练，我想学这个
可以
马哥！
拍的好
帅帅帅
我勒个漂泊佩恩
我愿辅佐不良帅
为了心中的梦！
黑神话:广智
《黑神话:广智》
我草
西牛贺洲第一高手，广智大师！
我草牛
直接关注
太酷了吧
好看
太好看了
帅啊
帅啊
666666666
这张好
帅啊我去
WOW
因为这最后一张图  会很帅
握草
草
就这几张截图卖几百都不贵
这个我知道，张力，我同学
张力
怎么做到收藏跟关注一样多的
、、、好看吗
vocal!!
广哥，救我。
太帅了
卧槽我喜欢这张
不是黑神话么，怎么变壁纸引擎了
宗门弟子
造化钟神秀，阴阳割分晓
我靠，周！
这里是我看直播觉得场景最好的一关
哇塞
有高手
因为最后一张巨帅
强！
帅
我怎么听到了宗门的力量
真的帅
阴阳鱼！
BGM不是秦王破阵乐吗？
离字！炼狱！
6666
你的“广智救我”没气势ꉂ(ˊᗜˋ*)
帅
战斗的时候怎么照相？
我嘞个摄影师啊
为了心中的梦
绝了，超帅
帮帮我！！广智先生！！
帮帮我广智先生！！！！
这是悟广吗
急中生智
别打我马哥
不是这是什么滤镜弄的啊。。这么帅，让游科套皮开个小武侠
不许打马哥！
这要4090才行吧
你猜为什么叫影视级
1000＋
怎么背景音听到了夕的三技能的声音
怎么有叮的一声（doge）
广智才是主角
帅
宝个毛
急中生智
好帅啊
老马啊
哥们起鸡皮了
广结善缘
字不是广智我不是很认可
这个好有张艺谋的影的味道
卖268真的是亏了
太漂亮了
什么杜普兰蒂斯
这张帅
火焰山土地是真帅，可惜数值真低
黑神话:广智
是哥们
风后奇门
WOC！
老马啊~啊~老马啊~~~
不是哥们儿
游戏 还是卖给你们卖便宜了
秦王破阵乐
哇
这太帅了吧
拍摄功能成功被玩出花！up主镜头感真的很强，游科这场水墨boss战做的也好
帅呀
不要欺负老马！！！
听到了大圣的声音
这游戏几百卖你亏大发了
挺帅的
现在人文化水平这么低了 看个八卦就只知道风后奇门了?
黑神话:广智
希望你打完土地后发现还有好几个阶段的时候你能笑出来
张力！我同学！
啊？我一遍过的甚至没喝药
《足智多谋》:广智使用越多，越容易在谋略中战胜对方
是夕宝的音效欸
太牛逼乐，我都想象得出要是真人版武侠片用这种构图运镜会有多牛逼
好有张力的画面
哇，太帅了
步时戈门
土地这一战太有水墨画味道了
土地这一幕太爽
这构图无敌
马哥？
怎么拉这么远的
黑神话:广智
不是原来这么好看啊。
现在黑神话的战地记者真不少，这是第三个了
怎么不配BGM
前面的，bgm是：听！秦王破阵乐
这328卖给你是卖亏了(ーー;)
乍一听挺耳熟，秦王破阵乐
小怪：把我拍那么帅
张艺谋的《影》
你 币有啦
(⊙o⊙)哇
好帅
后天八卦
键鼠p键进入照相模式
好好好
我草
广智：休伤吾儿
开赌
我超，绝了
老马呀！
不…不良人？
说广智刮的，广智是百分比伤害，小怪刮痧，大怪刮骨。
头上长草了
张力！
啊，我怎么没见过这招
哇
一杆钓起满天星
广智？光之铠甲！合体！
BGM：象王行
不知道还以为来打你的小怪
有水打不动
见多识广
后天八卦图
张力好足
不！！！！！马哥！！！
不愧是广志，轻易做到了天命人做不到的事情
显卡:我受不了了
这个湖中倒影也是非常真
这个有点掉帧了
每一张都是壁纸
广志铠甲，吞噬血条的力量
你拍得给我整不会了兄弟
帅啊bro
黑神话：广志
卧槽？咋弄的
？这个音效在哪儿听过
牛的
卧槽？
老马
休伤吾儿
摄影狂人
广智铠甲，合体
银狼铠甲？
风后奇门？
天才
天河一挂淘龙鱼
不是哥们
夕的攻击音效！
广智救我！
披坚执锐！！
旁边应该写广智（
广智呢？直接看不见啦
风后奇门，是吧？！
啊？哥们你真会啊
遗照
黑铠甲：广智
这是个什么东西？黑八卦:广智吗？
太燃了，比博人传还燃。
老马，老马啊老马
老马
老马呀！
布什戈门？！
啊？
交战的每一帧都是绝美的壁纸
天！星！落！
叮～
老马啊老马
啊？
凌晨三点给我看不困了
妙！
真的好厉害
